SiteUUID,PODorPOUSite,Longitude,Latitude
KSwr_S10250,POD,-101.4568,38.62261
KSwr_S10251,POD,-97.45797,39.51376
KSwr_S10252,POD,-101.6326,39.41224
KSwr_S10253,POD,-100.405,38.93063
KSwr_S10254,POD,-100.6375,39.07603
KSwr_S10255,POD,-100.5913,39.06177
KSwr_S10256,POD,-100.601,39.04767
KSwr_S10257,POD,-100.5558,37.54021
KSwr_S10258,POD,-99.33638,38.16021
KSwr_S10259,POD,-101.6698,39.40921
KSwr_S1026,POD,-96.04607,38.39339
KSwr_S10260,POD,-101.6704,39.42035
KSwr_S10261,POD,-101.227,38.44292
KSwr_S10262,POD,-101.2212,38.4393
KSwr_S10263,POD,-101.2258,38.43929
KSwr_S10264,POD,-101.7109,38.63404
KSwr_S10265,POD,-97.84339,39.95903
KSwr_S10266,POD,-100.7194,37.25652
KSwr_S10266,POD,-100.7194,37.25652
KSwr_S10267,POD,-100.7213,37.22276
KSwr_S10268,POD,-100.7522,37.22768
KSwr_S10269,POD,-100.7879,37.2137
KSwr_S1027,POD,-99.78667,38.41721
KSwr_S10270,POD,-100.9351,37.46793
KSwr_S10271,POD,-98.90894,37.65215
KSwr_S10272,POD,-99.27266,37.9603
KSwr_S10273,POD,-99.2819,37.96762
KSwr_S10274,POD,-99.26809,37.96745
KSwr_S10275,POD,-101.3176,39.68295
KSwr_S10276,POD,-101.9753,37.72111
KSwr_S10277,POD,-101.2184,37.63411
KSwr_S10278,POD,-100.7057,39.91525
KSwr_S10279,POD,-100.7054,39.91722
KSwr_S1028,POD,-100.8142,38.03917
KSwr_S10280,POD,-100.1947,38.90045
KSwr_S10281,POD,-100.1886,38.89667
KSwr_S10282,POD,-100.2038,38.88609
KSwr_S10283,POD,-100.1907,38.89271
KSwr_S10284,POD,-100.9242,38.38373
KSwr_S10285,POD,-101.6803,37.69853
KSwr_S10286,POD,-100.8435,37.53323
KSwr_S10287,POD,-100.2761,39.03123
KSwr_S10288,POD,-100.9358,37.3411
KSwr_S10289,POD,-100.8064,38.02551
KSwr_S1029,POD,-100.7104,38.10472
KSwr_S10290,POD,-100.3599,37.93904
KSwr_S10291,POD,-100.6382,39.62612
KSwr_S10292,POD,-100.6874,39.16978
KSwr_S10293,POD,-100.6715,37.29954
KSwr_S10294,POD,-99.99123,37.94331
KSwr_S10295,POD,-101.7843,37.18992
KSwr_S10296,POD,-101.2797,38.60943
KSwr_S10297,POD,-99.84502,38.08525
KSwr_S10298,POD,-100.3978,37.36982
KSwr_S10299,POD,-100.661,38.14882
KSwr_S103,POD,-99.3595,38.45407
KSwr_S103,POD,-99.3595,38.45407
KSwr_S1030,POD,-100.2281,39.14346
KSwr_S10300,POD,-100.6942,38.14544
KSwr_S10301,POD,-100.5011,37.89756
KSwr_S10302,POD,-100.5011,37.89289
KSwr_S10303,POD,-101.959,39.22823
KSwr_S10304,POD,-99.94737,37.74261
KSwr_S10305,POD,-101.1854,38.46042
KSwr_S10306,POD,-101.1833,38.46078
KSwr_S10307,POD,-101.4322,38.28181
KSwr_S10308,POD,-101.4325,38.28345
KSwr_S10309,POD,-101.4329,38.28364
KSwr_S1031,POD,-97.78727,37.62557
KSwr_S1031,POD,-97.78727,37.62557
KSwr_S10310,POD,-101.4326,38.28202
KSwr_S10311,POD,-101.4329,38.28345
KSwr_S10312,POD,-101.4326,38.28181
KSwr_S10313,POD,-101.6171,39.36565
KSwr_S10314,POD,-98.87258,37.82082
KSwr_S10314,POD,-98.87258,37.82082
KSwr_S10315,POD,-99.41808,38.46975
KSwr_S10316,POD,-99.32777,38.46726
KSwr_S10317,POD,-100.6069,39.19823
KSwr_S10318,POD,-100.9532,37.57716
KSwr_S10319,POD,-100.9558,37.59122
KSwr_S1032,POD,-97.77828,37.62599
KSwr_S1032,POD,-97.77828,37.62599
KSwr_S10320,POD,-100.6074,37.38663
KSwr_S10321,POD,-101.92506,37.67794
KSwr_S10322,POD,-101.8924,37.73132
