index,STATE,COUNTY,RESERVOIRNAME,Amount,ReportYearCV,BeneficialUseCV,TheJoin,AFFGEOID
13,AZ,Apache,Unspecified,36.205457883295765,1984,LivestockDist,AZApache,0500000US04001
14,AZ,Apache,Unspecified,36.205457883295765,1985,LivestockDist,AZApache,0500000US04001
15,AZ,Apache,Unspecified,22.123601339882743,1986,LivestockDist,AZApache,0500000US04001
16,AZ,Apache,Unspecified,22.123601339882743,1987,LivestockDist,AZApache,0500000US04001
17,AZ,Apache,Unspecified,22.123601339882743,1988,LivestockDist,AZApache,0500000US04001
18,AZ,Apache,Unspecified,22.123601339882743,1989,LivestockDist,AZApache,0500000US04001
19,AZ,Apache,Unspecified,22.123601339882743,1990,LivestockDist,AZApache,0500000US04001
20,AZ,Apache,Unspecified,22.123601339882743,1991,LivestockDist,AZApache,0500000US04001
21,AZ,Apache,Unspecified,22.123601339882743,1992,LivestockDist,AZApache,0500000US04001
22,AZ,Apache,Unspecified,22.123601339882743,1993,LivestockDist,AZApache,0500000US04001
23,AZ,Apache,Unspecified,24.15553665708077,1994,LivestockDist,AZApache,0500000US04001
24,AZ,Apache,Unspecified,42.55679808651076,1995,LivestockDist,AZApache,0500000US04001
25,AZ,Apache,Unspecified,6.657310363006352,1996,LivestockDist,AZApache,0500000US04001
26,AZ,Apache,Unspecified,6.657310363006352,1997,LivestockDist,AZApache,0500000US04001
27,AZ,Apache,Unspecified,6.657310363006352,1998,LivestockDist,AZApache,0500000US04001
28,AZ,Apache,Unspecified,6.71910700669296,1999,LivestockDist,AZApache,0500000US04001
29,AZ,Apache,Unspecified,6.803613070606201,2000,LivestockDist,AZApache,0500000US04001
30,AZ,Apache,Unspecified,5.5898416292529465,2001,LivestockDist,AZApache,0500000US04001
31,AZ,Apache,Unspecified,5.5898416292529465,2002,LivestockDist,AZApache,0500000US04001
32,AZ,Apache,Unspecified,5.5898416292529465,2003,LivestockDist,AZApache,0500000US04001
33,AZ,Apache,Unspecified,5.5898416292529465,2004,LivestockDist,AZApache,0500000US04001
34,AZ,Apache,Unspecified,5.5898416292529465,2005,LivestockDist,AZApache,0500000US04001
35,AZ,Apache,Unspecified,5.5898416292529465,2006,LivestockDist,AZApache,0500000US04001
36,AZ,Apache,Unspecified,6.617900066316002,2007,LivestockDist,AZApache,0500000US04001
37,AZ,Apache,Unspecified,7.1,2008,LivestockDist,AZApache,0500000US04001
38,AZ,Apache,Unspecified,14.363310248574003,2009,LivestockDist,AZApache,0500000US04001
39,AZ,Apache,Unspecified,16.945113642660004,2010,LivestockDist,AZApache,0500000US04001
40,AZ,Apache,Unspecified,20.723861102689188,2011,LivestockDist,AZApache,0500000US04001
41,AZ,Apache,Unspecified,12.5263529600085,2012,LivestockDist,AZApache,0500000US04001
42,AZ,Apache,Unspecified,13.581519405226503,2013,LivestockDist,AZApache,0500000US04001
