MethodUUID,OrganizationUUID,ReportingUnitUUID,VariableSpecificUUID,WaterSourceUUID,AllocationCropDutyAmount,Amount,BeneficialUseCategory,CommunityWaterSupplySystem,CropTypeCV,CustomerTypeCV,DataPublicationDate,DataPublicationDOI,InterbasinTransferFromID,InterbasinTransferToID,IrrigatedAcreage,IrrigationMethodCV,PopulationServed,PowerGeneratedGWh,PowerType,PrimaryUseCategory,ReportYearCV,SDWISIdentifierCV,TimeframeEnd,TimeframeStart
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_2,AZ_1,,71658.0,Artificial,,,,06/15/2020,,,,,,,,,,2003,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_3,AZ_1,,11869.2815,Artificial,,,,06/15/2020,,,,,,,,,,2003,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_2,AZ_1,,73107.0,Artificial,,,,06/15/2020,,,,,,,,,,2004,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_3,AZ_1,,15794.289,Artificial,,,,06/15/2020,,,,,,,,,,2004,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_2,AZ_1,,79107.0,Artificial,,,,06/15/2020,,,,,,,,,,2005,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_3,AZ_1,,8188.054,Artificial,,,,06/15/2020,,,,,,,,,,2005,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_2,AZ_1,,72833.0,Artificial,,,,06/15/2020,,,,,,,,,,2006,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_3,AZ_1,,14735.2285,Artificial,,,,06/15/2020,,,,,,,,,,2006,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_2,AZ_1,,73361.0,Artificial,,,,06/15/2020,,,,,,,,,,2007,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_3,AZ_1,,16316.999,Artificial,,,,06/15/2020,,,,,,,,,,2007,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_2,AZ_1,,73305.0,Artificial,,,,06/15/2020,,,,,,,,,,2008,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_3,AZ_1,,11787.3755,Artificial,,,,06/15/2020,,,,,,,,,,2008,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_2,AZ_1,,73649.0,Artificial,,,,06/15/2020,,,,,,,,,,2009,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_3,AZ_1,,15835.1065,Artificial,,,,06/15/2020,,,,,,,,,,2009,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_2,AZ_1,,73782.0,Artificial,,,,06/15/2020,,,,,,,,,,2010,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_3,AZ_1,,13947.4135,Artificial,,,,06/15/2020,,,,,,,,,,2010,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_2,AZ_1,,73812.0,Artificial,,,,06/15/2020,,,,,,,,,,2011,,,
AZ_AMAModels,ADWR,AZ_1,AZ_Consumptive Use_3,AZ_1,,12675.9465,Artificial,,,,06/15/2020,,,,,,,,,,2011,,,
