AllocationApplicationDate,AllocationAssociatedConsumptiveUseSiteIDs,AllocationAssociatedWithdrawalSiteIDs,AllocationBasisCV,AllocationChangeApplicationIndicator,AllocationCommunityWaterSupplySystem,AllocationCropDutyAmount,AllocationExpirationDate,AllocationFlow_CFS,AllocationLegalStatusCV,AllocationNativeID,AllocationOwner,AllocationPriorityDate,AllocationSDWISIdentifierCV,AllocationTimeframeEnd,AllocationTimeframeStart,AllocationTypeCV,AllocationVolume_AF,BeneficialUseCategory,CommunityWaterSupplySystem,CropTypeCV,CustomerTypeCV,DataPublicationDate,DataPublicationDOI,ExemptOfVolumeFlowPriority,GeneratedPowerCapacityMW,IrrigatedAcreage,IrrigationMethodCV,LegacyAllocationIDs,MethodUUID,OrganizationUUID,PopulationServed,PowerType,PrimaryUseCategory,SiteUUID,VariableSpecificUUID,WaterAllocationNativeURL,WaterSourceUUID,SiteName,SiteTypeCV,Latitude,Longitude,ReasonRemoved,index
,,,,,,,,,Certificated Issued,11459,Unspecified,1965-07-15,,12/31,01/01,Appropriation,"432.774, 315.205, 358.8","Irrigation, Stockwater",,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S7048, KSwr_S7047, KSwr_S7046",KDADWR_Allocation All,,"KSwr_WS57, KSwr_WS104",,,,,Bad WaterSourceUUID,1036.0
,,,,,,,,,Certificated Issued,1200,Unspecified,1953-01-27,,12/31,01/01,Appropriation,1280.0,Irrigation,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S618, KSwr_S617",KDADWR_Allocation All,,"KSwr_WS57, KSwr_WS39",,,,,Bad WaterSourceUUID,1425.0
,,,,,,,,,Certificated Issued,132,Unspecified,1946-08-08,,12/31,01/01,Appropriation,489.0,Irrigation,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S44, KSwr_S43",KDADWR_Allocation All,,"KSwr_WS57, KSwr_WS39",,,,,Bad WaterSourceUUID,2280.0
,,,,,,,,,Certificated Issued,13963,Unspecified,1967-07-13,,12/31,01/01,Appropriation,"10.002, 302.0","Irrigation, Stockwater",,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S8978, KSwr_S8979, KSwr_S8981, KSwr_S8980",KDADWR_Allocation All,,"KSwr_WS24, KSwr_WS87",,,,,Bad WaterSourceUUID,2789.0
,,,,,,,,,Certificated Issued,14789,Unspecified,1968-02-05,,12/31,01/01,Appropriation,"36.121, 429.0","Irrigation, Stockwater",,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S9657, KSwr_S6368",KDADWR_Allocation All,,"KSwr_WS57, KSwr_WS39",,,,,Bad WaterSourceUUID,3358.0
,,,,,,,,,Certificated Issued,16393,Unspecified,1969-01-17,,12/31,01/01,Appropriation,"360.0, 267.0, 358.0, 255.0",Irrigation,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S10845, KSwr_S10844, KSwr_S10846, KSwr_S10843, KSwr_S10842",KDADWR_Allocation All,,"KSwr_WS24, KSwr_WS87",,,,,Bad WaterSourceUUID,4434.0
,,,,,,,,,Certificated Issued,17661,Unspecified,1970-07-09,,12/31,01/01,Appropriation,"673.59, 1033.448, 330.458, 556.788, 657.54, 630.696, 731.377",Municipal,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S11815, KSwr_S11816, KSwr_S11814, KSwr_S11817, KSwr_S11819, KSwr_S11813, KSwr_S11818",KDADWR_Allocation All,,"KSwr_WS24, KSwr_WS87",,,,,Bad WaterSourceUUID,5331.0
,,,,,,,,,Certificated Issued,21486,Unspecified,1973-07-30,,12/31,01/01,Appropriation,"505.0, 25.011","Irrigation, Stockwater",,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S15032, KSwr_S15033, KSwr_S15031, KSwr_S15034",KDADWR_Allocation All,,"KSwr_WS57, KSwr_WS39",,,,,Bad WaterSourceUUID,8205.0
,,,,,,,,,Certificated Issued,22019,Unspecified,1973-12-06,,12/31,01/01,Appropriation,30.904,Industrial,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S15531, KSwr_S15532, KSwr_S15530",KDADWR_Allocation All,,"KSwr_WS57, KSwr_WS39",,,,,Bad WaterSourceUUID,8647.0
,,,,,,,,,Certificated Issued,22855,Unspecified,1974-06-03,,12/31,01/01,Appropriation,"297.0, 20.0","Irrigation, Stockwater",,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S16286, KSwr_S16283, KSwr_S16284, KSwr_S16285",KDADWR_Allocation All,,"KSwr_WS53, KSwr_WS33",,,,,Bad WaterSourceUUID,9317.0
,,,,,,,,,Certificated Issued,26899,Unspecified,1976-04-12,,12/31,01/01,Appropriation,"570.0, 50.023","Irrigation, Stockwater",,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S19835, KSwr_S19837, KSwr_S19838, KSwr_S19836",KDADWR_Allocation All,,"KSwr_WS57, KSwr_WS39",,,,,Bad WaterSourceUUID,12440.0
,,,,,,,,,Certificated Issued,2722,Unspecified,1954-06-04,,12/31,01/01,Appropriation,323.0,Irrigation,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S1339, KSwr_S1340, KSwr_S1341",KDADWR_Allocation All,,"KSwr_WS57, KSwr_WS39",,,,,Bad WaterSourceUUID,12681.0
,,,,,,,,,Certificated Issued,29959,Unspecified,1977-03-30,,12/31,01/01,Appropriation,"120.0, 37.0",Irrigation,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S22398, KSwr_S22397",KDADWR_Allocation All,,"KSwr_WS24, KSwr_WS86",,,,,Bad WaterSourceUUID,14720.0
,,,,,,,,,Certificated Issued,30288,Unspecified,1977-05-06,,12/31,01/01,Appropriation,"98.0, 90.0",Irrigation,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S22640, KSwr_S22639",KDADWR_Allocation All,,"KSwr_WS24, KSwr_WS93",,,,,Bad WaterSourceUUID,14937.0
,,,,,,,,,Certificated Issued,31204,Unspecified,1977-12-02,,12/31,01/01,Appropriation,"172.0, 183.0",Irrigation,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S23370, KSwr_S23369",KDADWR_Allocation All,,"KSwr_WS53, KSwr_WS33",,,,,Bad WaterSourceUUID,15578.0
,,,,,,,,,Certificated Issued,391,Unspecified,1948-07-23,,12/31,01/01,Appropriation,"1283.409, 740.216, 1349.697, 518.335, 835.658, 747.888, 881.691, 371.028, 1048.946, 1722.566",Municipal,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S186, KSwr_S188, KSwr_S185, KSwr_S189, KSwr_S194, KSwr_S193, KSwr_S187, KSwr_S191, KSwr_S192, KSwr_S190",KDADWR_Allocation All,,"KSwr_WS24, KSwr_WS86",,,,,Bad WaterSourceUUID,20221.0
,,,,,,,,,Vested Active,50098,Unspecified,1950-07-27,,12/31,01/01,Vested,921.0,Municipal,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S2830, KSwr_S2831",KDADWR_Allocation All,,"KSwr_WS120, KSwr_WS39",,,,,Bad WaterSourceUUID,23685.0
,,,,,,,,,Vested Active,50133,Unspecified,1955-01-24,,12/31,01/01,Vested,352.922,Municipal,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S30926, KSwr_S1504",KDADWR_Allocation All,,"KSwr_WS108, KSwr_WS117",,,,,Bad WaterSourceUUID,23715.0
,,,,,,,,,Certificated Issued,5429,Unspecified,1956-03-24,,12/31,01/01,Appropriation,520.001,Municipal,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S2830, KSwr_S2831",KDADWR_Allocation All,,"KSwr_WS120, KSwr_WS39",,,,,Bad WaterSourceUUID,24833.0
,,,,,,,,,Certificated Issued,8804,Unspecified,1961-02-24,,12/31,01/01,Appropriation,690.211,Municipal,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S2830, KSwr_S2831",KDADWR_Allocation All,,"KSwr_WS120, KSwr_WS39",,,,,Bad WaterSourceUUID,32549.0
,,,,,,,,,Certificated Issued,9636,Unspecified,1963-07-22,,12/31,01/01,Appropriation,"282.0, 100.0",Irrigation,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S5569, KSwr_S5570",KDADWR_Allocation All,,"KSwr_WS24, KSwr_WS104",,,,,Bad WaterSourceUUID,33120.0
,,,,,,,,,Certificated Issued,993,Unspecified,1952-09-02,,12/31,01/01,Appropriation,471.0,Irrigation,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S44, KSwr_S43",KDADWR_Allocation All,,"KSwr_WS57, KSwr_WS39",,,,,Bad WaterSourceUUID,33333.0
,,,,,,,,,Certificated Issued,10000,Unspecified,1964-02-18,,12/31,01/01,Appropriation,"0.0, 91.5","Irrigation, Recreation",,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S5860, KSwr_S5861",KDADWR_Allocation All,,KSwr_WS112,,,,,Bad Flow or Volume,0.0
,,,,,,,,,Certificated Issued,10005,Unspecified,1964-02-19,,12/31,01/01,Appropriation,"458.0, 302.0",Irrigation,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S5864, KSwr_S5865",KDADWR_Allocation All,,KSwr_WS120,,,,,Bad Flow or Volume,4.0
,,,,,,,,,Certificated Issued,10006,Unspecified,1964-02-19,,12/31,01/01,Appropriation,"362.0, 445.0",Irrigation,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S2572, KSwr_S2571",KDADWR_Allocation All,,KSwr_WS104,,,,,Bad Flow or Volume,5.0
,,,,,,,,,Certificated Issued,10007,Unspecified,1964-02-19,,12/31,01/01,Appropriation,"298.0, 502.0",Irrigation,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S5866, KSwr_S5867",KDADWR_Allocation All,,KSwr_WS25,,,,,Bad Flow or Volume,6.0
,,,,,,,,,Certificated Issued,10061,Unspecified,1964-03-04,,12/31,01/01,Appropriation,"698.0, 199.0",Irrigation,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S5900, KSwr_S5901",KDADWR_Allocation All,,KSwr_WS104,,,,,Bad Flow or Volume,38.0
,,,,,,,,,Certificated Issued,10071,Unspecified,1964-03-09,,12/31,01/01,Appropriation,"27.997, 207.0",Municipal,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S5908, KSwr_S5909",KDADWR_Allocation All,,KSwr_WS24,,,,,Bad Flow or Volume,45.0
,,,,,,,,,Certificated Issued,10082,Unspecified,1964-03-13,,12/31,01/01,Appropriation,"38.5, 25.0, 38.0",Irrigation,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S5131, KSwr_S5133, KSwr_S5132",KDADWR_Allocation All,,KSwr_WS39,,,,,Bad Flow or Volume,53.0
,,,,,,,,,Certificated Issued,10096,Unspecified,1964-03-18,,12/31,01/01,Appropriation,"486.0, 606.0, 1311.0",Irrigation,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S343, KSwr_S5927, KSwr_S3536",KDADWR_Allocation All,,KSwr_WS57,,,,,Bad Flow or Volume,60.0
,,,,,,,,,Certificated Issued,10151,Unspecified,1964-04-08,,12/31,01/01,Appropriation,"162.0, 158.0",Irrigation,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S5969, KSwr_S5968",KDADWR_Allocation All,,KSwr_WS120,,,,,Bad Flow or Volume,93.0
,,,,,,,,,Certificated Issued,10152,Unspecified,1964-04-08,,12/31,01/01,Appropriation,"162.0, 158.0",Irrigation,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S5969, KSwr_S5968",KDADWR_Allocation All,,KSwr_WS120,,,,,Bad Flow or Volume,94.0
,,,,,,,,,Certificated Issued,10153,Unspecified,1964-04-08,,12/31,01/01,Appropriation,"162.0, 158.0",Irrigation,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S5969, KSwr_S5968",KDADWR_Allocation All,,KSwr_WS120,,,,,Bad Flow or Volume,95.0
,,,,,,,,,Certificated Issued,10159,Unspecified,1964-04-13,,12/31,01/01,Appropriation,"792.0, 739.0, 1483.0",Irrigation,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S5977, KSwr_S5978, KSwr_S1241",KDADWR_Allocation All,,KSwr_WS24,,,,,Bad Flow or Volume,100.0
,,,,,,,,,Certificated Issued,10161,Unspecified,1964-04-13,,12/31,01/01,Appropriation,"18.812, 45.499",Municipal,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S5980, KSwr_S5979",KDADWR_Allocation All,,KSwr_WS34,,,,,Bad Flow or Volume,101.0
,,,,,,,,,Certificated Issued,10181,Unspecified,1964-04-22,,12/31,01/01,Appropriation,"12.2, 14.9",Irrigation,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S5008, KSwr_S5994",KDADWR_Allocation All,,KSwr_WS24,,,,,Bad Flow or Volume,112.0
,,,,,,,,,Certificated Issued,10185,Unspecified,1964-04-23,,12/31,01/01,Appropriation,"0.0, 729.0, 509.0",Irrigation,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S5998, KSwr_S6001, KSwr_S5999, KSwr_S6000",KDADWR_Allocation All,,KSwr_WS120,,,,,Bad Flow or Volume,116.0
,,,,,,,,,Certificated Issued,10198,Unspecified,1964-04-27,,12/31,01/01,Appropriation,"828.0, 607.0",Irrigation,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S6012, KSwr_S6013",KDADWR_Allocation All,,KSwr_WS87,,,,,Bad Flow or Volume,127.0
,,,,,,,,,Certificated Issued,102,Unspecified,1946-05-07,,12/31,01/01,Appropriation,"643.0, 39.988","Irrigation, Stockwater",,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S22, KSwr_S23",KDADWR_Allocation All,,KSwr_WS57,,,,,Bad Flow or Volume,129.0
,,,,,,,,,Certificated Issued,10215,Unspecified,1964-05-04,,12/31,01/01,Appropriation,"36.827, 38.668, 383.611","Municipal, Stockwater",,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S6028, KSwr_S6027",KDADWR_Allocation All,,KSwr_WS119,,,,,Bad Flow or Volume,142.0
,,,,,,,,,Certificated Issued,10235,Unspecified,1964-05-08,,12/31,01/01,Appropriation,"41.0, 25.0",Irrigation,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S1474, KSwr_S1473",KDADWR_Allocation All,,KSwr_WS87,,,,,Bad Flow or Volume,157.0
,,,,,,,,,Certificated Issued,10236,Unspecified,1964-05-08,,12/31,01/01,Appropriation,"32.3, 17.4, 46.3",Irrigation,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S6044, KSwr_S6045, KSwr_S6046",KDADWR_Allocation All,,KSwr_WS87,,,,,Bad Flow or Volume,158.0
,,,,,,,,,Certificated Issued,10267,Unspecified,1964-05-21,,12/31,01/01,Appropriation,"418.0, 635.0",Irrigation,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S6076, KSwr_S6075",KDADWR_Allocation All,,KSwr_WS104,,,,,Bad Flow or Volume,181.0
,,,,,,,,,Certificated Issued,10288,Unspecified,1964-05-26,,12/31,01/01,Appropriation,"124.0, 908.0",Irrigation,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S6090, KSwr_S2286",KDADWR_Allocation All,,KSwr_WS120,,,,,Bad Flow or Volume,196.0
,,,,,,,,,Certificated Issued,10302,Unspecified,1964-06-01,,12/31,01/01,Appropriation,"610.214, 423.712, 232.272, 360.484, 366.971, 526.486, 501.168, 631.058, 542.174, 351.30800000000005",Municipal,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S6107, KSwr_S6106, KSwr_S6111, KSwr_S6105, KSwr_S6108, KSwr_S6109, KSwr_S6104, KSwr_S6103, KSwr_S6110, KSwr_S6112",KDADWR_Allocation All,,KSwr_WS24,,,,,Bad Flow or Volume,205.0
,,,,,,,,,Certificated Issued,10306,Unspecified,1964-06-02,,12/31,01/01,Appropriation,"441.0, 170.0, 542.0",Irrigation,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S1844, KSwr_S1845, KSwr_S1843",KDADWR_Allocation All,,KSwr_WS103,,,,,Bad Flow or Volume,209.0
,,,,,,,,,Certificated Issued,10334,Unspecified,1964-06-12,,12/31,01/01,Appropriation,"378.0, 107.0, 343.0",Irrigation,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S6141, KSwr_S6139, KSwr_S6140",KDADWR_Allocation All,,KSwr_WS103,,,,,Bad Flow or Volume,231.0
,,,,,,,,,Certificated Issued,10357,Unspecified,1964-06-23,,12/31,01/01,Appropriation,"52.0, 45.0",Irrigation,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S5317, KSwr_S5316",KDADWR_Allocation All,,KSwr_WS103,,,,,Bad Flow or Volume,245.0
,,,,,,,,,Certificated Issued,10358,Unspecified,1964-06-24,,12/31,01/01,Appropriation,"304.0, 228.0, 222.0, 208.0",Irrigation,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S6155, KSwr_S6156, KSwr_S6154, KSwr_S6153",KDADWR_Allocation All,,KSwr_WS111,,,,,Bad Flow or Volume,246.0
,,,,,,,,,Certificated Issued,10372,Unspecified,1964-07-01,,12/31,01/01,Appropriation,"10.33, 15.9","Irrigation, Recreation",,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,KSwr_S6165,KDADWR_Allocation All,,KSwr_WS37,,,,,Bad Flow or Volume,254.0
,,,,,,,,,Certificated Issued,10393,Unspecified,1964-07-13,,12/31,01/01,Appropriation,"21.0, 14.0",Irrigation,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S3256, KSwr_S3257",KDADWR_Allocation All,,KSwr_WS34,,,,,Bad Flow or Volume,272.0
,,,,,,,,,Certificated Issued,10404,Unspecified,1964-07-20,,12/31,01/01,Appropriation,"320.0, 75.0",Irrigation,,,,01/06/2021,,0,,,,,KDADWR_Water Rights,KDADWR,,,Irrigation,"KSwr_S4649, KSwr_S6192",KDADWR_Allocation All,,KSwr_WS103,,,,,Bad Flow or Volume,283.0
