Basin Code,Inflow/Outflow,Sector,Year,Quantity,Water Type,Component
PHX,Inflow,Municipal                                         ,2004,59847.30073,Groundwater                                       ,Incidental Recharge
PHX,Inflow,Municipal                                         ,2005,11941.44,Groundwater                                       ,CAGRD Replenishment
PHX,Inflow,Municipal                                         ,2005,68451.70809,Groundwater                                       ,Incidental Recharge
PHX,Inflow,Municipal                                         ,2006,17472.44,Groundwater                                       ,CAGRD Replenishment
PHX,Inflow,Municipal                                         ,2006,72764.62634,Groundwater                                       ,Incidental Recharge
PHX,Inflow,Municipal                                         ,2007,20102.2,Groundwater                                       ,CAGRD Replenishment
PHX,Inflow,Municipal                                         ,2007,70879.26092,Groundwater                                       ,Incidental Recharge
PHX,Inflow,Municipal                                         ,2008,29546,Groundwater                                       ,CAGRD Replenishment
PHX,Inflow,Municipal                                         ,2008,65843.62708,Groundwater                                       ,Incidental Recharge
PHX,Inflow,Municipal                                         ,2009,35714.24,Groundwater                                       ,CAGRD Replenishment
PHX,Inflow,Municipal                                         ,2009,65891.41731,Groundwater                                       ,Incidental Recharge
PHX,Inflow,Municipal                                         ,2010,25066.2,Groundwater                                       ,CAGRD Replenishment
PHX,Inflow,Municipal                                         ,2010,63643.27394,Groundwater                                       ,Incidental Recharge
PHX,Inflow,Municipal                                         ,2011,25506.57,Groundwater                                       ,CAGRD Replenishment
PHX,Inflow,Municipal                                         ,2011,65460.86436,Groundwater                                       ,Incidental Recharge
PHX,Inflow,Municipal                                         ,2012,25215.23,Groundwater                                       ,CAGRD Replenishment
PHX,Inflow,Municipal                                         ,2012,67154.69312,Groundwater                                       ,Incidental Recharge
PHX,Inflow,Municipal                                         ,2013,37744.71,Groundwater                                       ,CAGRD Replenishment
PHX,Inflow,Municipal                                         ,2013,66530.5106,Groundwater                                       ,Incidental Recharge
PHX,Inflow,Municipal                                         ,2014,38583.04,Groundwater                                       ,CAGRD Replenishment
PHX,Inflow,Municipal                                         ,2014,66811.78388,Groundwater                                       ,Incidental Recharge
PHX,Inflow,Municipal                                         ,2015,39402.99,Groundwater                                       ,CAGRD Replenishment
PHX,Inflow,Municipal                                         ,2015,68010.2445,Groundwater                                       ,Incidental Recharge
PHX,Inflow,Municipal                                         ,2016,38764.64,Groundwater                                       ,CAGRD Replenishment
PHX,Inflow,Municipal                                         ,2016,71331.09088,Groundwater                                       ,Incidental Recharge
PHX,Inflow,Municipal                                         ,2017,32018.37,Groundwater                                       ,CAGRD Replenishment
PHX,Inflow,Municipal                                         ,2017,69212.55648,Groundwater                                       ,Incidental Recharge
PHX,Inflow,Natural,1985,20177.14068,Groundwater                                       ,Groundwater Inflow
PHX,Inflow,Natural,1985,24216.40585,Groundwater                                       ,Mountain-front Recharge
PHX,Inflow,Natural,1985,140800.2469,Groundwater                                       ,Streambed Recharge
PHX,Inflow,Natural,1986,20177.14068,Groundwater                                       ,Groundwater Inflow
PHX,Inflow,Natural,1986,24216.40585,Groundwater                                       ,Mountain-front Recharge
PHX,Inflow,Natural,1986,128006.7175,Groundwater                                       ,Streambed Recharge
PHX,Inflow,Natural,1987,20177.14068,Groundwater                                       ,Groundwater Inflow
PHX,Inflow,Natural,1987,24216.40585,Groundwater                                       ,Mountain-front Recharge
PHX,Inflow,Natural,1987,126037.5637,Groundwater                                       ,Streambed Recharge
PHX,Inflow,Natural,1988,20177.14068,Groundwater                                       ,Groundwater Inflow
PHX,Inflow,Natural,1988,24216.40585,Groundwater                                       ,Mountain-front Recharge
PHX,Inflow,Natural,1988,133888.1467,Groundwater                                       ,Streambed Recharge
PHX,Inflow,Natural,1989,20177.14068,Groundwater                                       ,Groundwater Inflow
PHX,Inflow,Natural,1989,24216.40585,Groundwater                                       ,Mountain-front Recharge
PHX,Inflow,Natural,1989,201787.3829,Groundwater                                       ,Streambed Recharge
PHX,Inflow,Natural,1990,20177.14068,Groundwater                                       ,Groundwater Inflow
PHX,Inflow,Natural,1990,24216.40585,Groundwater                                       ,Mountain-front Recharge
PHX,Inflow,Natural,1990,310031.4187,Groundwater                                       ,Streambed Recharge
PHX,Inflow,Natural,1991,20177.14068,Groundwater                                       ,Groundwater Inflow
PHX,Inflow,Natural,1991,24216.40585,Groundwater                                       ,Mountain-front Recharge
PHX,Inflow,Natural,1991,130627.5617,Groundwater                                       ,Streambed Recharge
PHX,Inflow,Natural,1992,20177.14068,Groundwater                                       ,Groundwater Inflow
PHX,Inflow,Natural,1992,24216.40585,Groundwater                                       ,Mountain-front Recharge
PHX,Inflow,Natural,1992,95839.00144,Groundwater                                       ,Streambed Recharge
