WaterSourceUUID,WaterSourceNativeID,WaterSourceName,WaterSourceTypeCV,WaterQualityIndicatorCV,GNISFeatureNameCV,Geometry
DOLPHIN SAFIR WELL-CODWR,DOLPHIN SAFIR WELL-CODWR,,Unspecified,Fresh,,
DOMESTIC SPRING NO 1 D-CODWR,DOMESTIC SPRING NO 1 D-CODWR,,Unspecified,Fresh,,
DON LAFONT DITCH NO 2-CODWR,DON LAFONT DITCH NO 2-CODWR,,Unspecified,Fresh,,
DOUGS STOCK DIV-CODWR,DOUGS STOCK DIV-CODWR,,Unspecified,Fresh,,
DP WELL NO 4-CODWR,DP WELL NO 4-CODWR,,Unspecified,Fresh,,
DRAPER DITCH-CODWR,DRAPER DITCH-CODWR,,Unspecified,Fresh,,
DOT BACK UP WELL-CODWR,DOT BACK UP WELL-CODWR,,Unspecified,Fresh,,
DONELSON DITCH-CODWR,DONELSON DITCH-CODWR,,Unspecified,Fresh,,
DORCEY D 3-CODWR,DORCEY D 3-CODWR,,Unspecified,Fresh,,
DORENKAMP WELL NO 4517-F-CODWR,DORENKAMP WELL NO 4517-F-CODWR,,Unspecified,Fresh,,
DORRELL DITCH 3-CODWR,DORRELL DITCH 3-CODWR,,Unspecified,Fresh,,
DOW MIDDLE FK PIPELINE ALT PT 2-CODWR,DOW MIDDLE FK PIPELINE ALT PT 2-CODWR,,Unspecified,Fresh,,
DOUBLE RL P/A POD-CODWR,DOUBLE RL P/A POD-CODWR,,Unspecified,Fresh,,
DOWNING D-CODWR,DOWNING D-CODWR,,Unspecified,Fresh,,
DOWNING NNT DAWSON-CODWR,DOWNING NNT DAWSON-CODWR,,Unspecified,Fresh,,
DIAMOND DOUBLE S SPRING NO 1-CODWR,DIAMOND DOUBLE S SPRING NO 1-CODWR,,Unspecified,Fresh,,
DINAPOLI  ET AL. NNT DAWSON-CODWR,DINAPOLI  ET AL. NNT DAWSON-CODWR,,Unspecified,Fresh,,
DRY CANYON 21-26-CODWR,DRY CANYON 21-26-CODWR,,Unspecified,Fresh,,
DRY CREEK NO 1 DITCH-CODWR,DRY CREEK NO 1 DITCH-CODWR,,Unspecified,Fresh,,
DRY FORK DITCH NO. 1-CODWR,DRY FORK DITCH NO. 1-CODWR,,Unspecified,Fresh,,
DRY GULCH RESERVOIR (USFS)-CODWR,DRY GULCH RESERVOIR (USFS)-CODWR,,Unspecified,Fresh,,
DRY PARK DITCH DIV PT. 1-CODWR,DRY PARK DITCH DIV PT. 1-CODWR,,Unspecified,Fresh,,
DIREZZA WELL NO 2-CODWR,DIREZZA WELL NO 2-CODWR,,Unspecified,Fresh,,
DIVINE DIVERSION-CODWR,DIVINE DIVERSION-CODWR,,Unspecified,Fresh,,
DOG FLOWER SPRING-CODWR,DOG FLOWER SPRING-CODWR,,Unspecified,Fresh,,
DUCEY DITCH-CODWR,DUCEY DITCH-CODWR,,Unspecified,Fresh,,
