PODSiteUUID,POUSiteUUID,StartDate,EndDate
UTwr_S62089,UTwr_S463049,01/01/2021,12/31/2021
UTwr_S18487,UTwr_S463147,01/01/2021,12/31/2021
UTwr_S40396,UTwr_S463131,01/01/2021,12/31/2021
UTwr_S60823,UTwr_S463113,01/01/2021,12/31/2021
UTwr_S60825,UTwr_S463051,01/01/2021,12/31/2021
UTwr_S61250,UTwr_S462953,01/01/2021,12/31/2021
UTwr_S61263,UTwr_S463052,01/01/2021,12/31/2021
UTwr_S61548,UTwr_S457444,01/01/2021,12/31/2021
UTwr_S62030,UTwr_S462952,01/01/2021,12/31/2021
UTwr_S60701,UTwr_S456789,01/01/2021,12/31/2021
UTwr_S60409,UTwr_S457534,01/01/2021,12/31/2021
UTwr_S60082,UTwr_S457540,01/01/2021,12/31/2021
UTwr_S60082,UTwr_S457541,01/01/2021,12/31/2021
UTwr_S17209,UTwr_S457542,01/01/2021,12/31/2021
UTwr_S17208,UTwr_S457542,01/01/2021,12/31/2021
UTwr_S60172,UTwr_S461583,01/01/2021,12/31/2021
UTwr_S60172,UTwr_S461584,01/01/2021,12/31/2021
UTwr_S60172,UTwr_S461586,01/01/2021,12/31/2021
UTwr_S60172,UTwr_S461582,01/01/2021,12/31/2021
UTwr_S60172,UTwr_S461585,01/01/2021,12/31/2021
UTwr_S60990,UTwr_S457488,01/01/2021,12/31/2021
UTwr_S17376,UTwr_S462865,01/01/2021,12/31/2021
UTwr_S17376,UTwr_S462846,01/01/2021,12/31/2021
UTwr_S17376,UTwr_S462853,01/01/2021,12/31/2021
UTwr_S17376,UTwr_S462856,01/01/2021,12/31/2021
UTwr_S17376,UTwr_S462834,01/01/2021,12/31/2021
UTwr_S17376,UTwr_S462849,01/01/2021,12/31/2021
UTwr_S17376,UTwr_S462847,01/01/2021,12/31/2021
UTwr_S17376,UTwr_S462858,01/01/2021,12/31/2021
UTwr_S17376,UTwr_S462845,01/01/2021,12/31/2021
UTwr_S17376,UTwr_S462837,01/01/2021,12/31/2021
UTwr_S17376,UTwr_S462863,01/01/2021,12/31/2021
UTwr_S17376,UTwr_S462835,01/01/2021,12/31/2021
UTwr_S17376,UTwr_S462864,01/01/2021,12/31/2021
UTwr_S17376,UTwr_S462850,01/01/2021,12/31/2021
UTwr_S17376,UTwr_S462838,01/01/2021,12/31/2021
UTwr_S17376,UTwr_S462862,01/01/2021,12/31/2021
UTwr_S17376,UTwr_S462859,01/01/2021,12/31/2021
UTwr_S17376,UTwr_S462840,01/01/2021,12/31/2021
UTwr_S17376,UTwr_S462855,01/01/2021,12/31/2021
UTwr_S17376,UTwr_S462848,01/01/2021,12/31/2021
UTwr_S17376,UTwr_S462842,01/01/2021,12/31/2021
UTwr_S17376,UTwr_S462844,01/01/2021,12/31/2021
UTwr_S17376,UTwr_S462843,01/01/2021,12/31/2021
UTwr_S17376,UTwr_S462839,01/01/2021,12/31/2021
UTwr_S17376,UTwr_S462841,01/01/2021,12/31/2021
UTwr_S17376,UTwr_S462852,01/01/2021,12/31/2021
UTwr_S17376,UTwr_S462851,01/01/2021,12/31/2021
UTwr_S17376,UTwr_S462854,01/01/2021,12/31/2021
UTwr_S17376,UTwr_S462861,01/01/2021,12/31/2021
UTwr_S17376,UTwr_S462857,01/01/2021,12/31/2021
UTwr_S17376,UTwr_S462836,01/01/2021,12/31/2021
UTwr_S17376,UTwr_S462860,01/01/2021,12/31/2021
UTwr_S17383,UTwr_S457487,01/01/2021,12/31/2021
UTwr_S59906,UTwr_S457517,01/01/2021,12/31/2021
UTwr_S59906,UTwr_S457518,01/01/2021,12/31/2021
UTwr_S59906,UTwr_S457520,01/01/2021,12/31/2021
UTwr_S59906,UTwr_S457519,01/01/2021,12/31/2021
UTwr_S59906,UTwr_S457516,01/01/2021,12/31/2021
UTwr_S59921,UTwr_S461533,01/01/2021,12/31/2021
UTwr_S59921,UTwr_S461532,01/01/2021,12/31/2021
UTwr_S59921,UTwr_S461530,01/01/2021,12/31/2021
UTwr_S59919,UTwr_S461533,01/01/2021,12/31/2021
UTwr_S59919,UTwr_S461532,01/01/2021,12/31/2021
UTwr_S59919,UTwr_S461530,01/01/2021,12/31/2021
UTwr_S59920,UTwr_S461533,01/01/2021,12/31/2021
UTwr_S59920,UTwr_S461532,01/01/2021,12/31/2021
UTwr_S59920,UTwr_S461530,01/01/2021,12/31/2021
UTwr_S59922,UTwr_S461533,01/01/2021,12/31/2021
UTwr_S59922,UTwr_S461532,01/01/2021,12/31/2021
UTwr_S59922,UTwr_S461530,01/01/2021,12/31/2021
UTwr_S17457,UTwr_S468282,01/01/2021,12/31/2021
UTwr_S17481,UTwr_S457543,01/01/2021,12/31/2021
UTwr_S15096,UTwr_S461591,01/01/2021,12/31/2021
UTwr_S15096,UTwr_S457361,01/01/2021,12/31/2021
UTwr_S15096,UTwr_S461581,01/01/2021,12/31/2021
UTwr_S15096,UTwr_S461590,01/01/2021,12/31/2021
