,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,GNISCodeCV,Geometry,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,ReasonRemoved,SiteName,SiteNativeID,SitePoint,SiteTypeCV,SiteUUID,StateCV,USGSSiteID,index
66,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,620735.0,,unknown,WA_15587,WA,,15586.0
67,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,620650.0,,unknown,WA_15590,WA,,15589.0
68,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,620657.0,,unknown,WA_15592,WA,,15591.0
69,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,620659.0,,unknown,WA_15594,WA,,15593.0
70,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,620680.0,,unknown,WA_15596,WA,,15595.0
71,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,273839.0,,unknown,WA_15602,WA,,15601.0
72,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,273842.0,,unknown,WA_15603,WA,,15602.0
73,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,610807.0,,unknown,WA_15630,WA,,15629.0
74,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,620014.0,,unknown,WA_15646,WA,,15645.0
75,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,610719.0,,unknown,WA_15954,WA,,15953.0
76,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,610722.0,,unknown,WA_15956,WA,,15955.0
77,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,610724.0,,unknown,WA_15959,WA,,15958.0
78,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,610622.0,,unknown,WA_15961,WA,,15960.0
79,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,610736.0,,unknown,WA_15963,WA,,15962.0
80,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,610615.0,,unknown,WA_15965,WA,,15964.0
81,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,610737.0,,unknown,WA_15967,WA,,15966.0
82,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,610740.0,,unknown,WA_15970,WA,,15969.0
83,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,610741.0,,unknown,WA_15971,WA,,15970.0
84,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,610623.0,,unknown,WA_15973,WA,,15972.0
85,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,610624.0,,unknown,WA_15975,WA,,15974.0
86,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,610726.0,,unknown,WA_15983,WA,,15982.0
87,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,610725.0,,unknown,WA_15985,WA,,15984.0
88,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,610723.0,,unknown,WA_15987,WA,,15986.0
89,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,390013.0,,unknown,WA_15998,WA,,15997.0
90,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,390012.0,,unknown,WA_16000,WA,,15999.0
91,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,610633.0,,unknown,WA_16002,WA,,16001.0
92,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,610634.0,,unknown,WA_16004,WA,,16003.0
93,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,610636.0,,unknown,WA_16006,WA,,16005.0
94,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,610745.0,,unknown,WA_16007,WA,,16006.0
95,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,610645.0,,unknown,WA_16009,WA,,16008.0
96,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,610646.0,,unknown,WA_16011,WA,,16010.0
97,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,610647.0,,unknown,WA_16013,WA,,16012.0
98,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,610648.0,,unknown,WA_16015,WA,,16014.0
99,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,610649.0,,unknown,WA_16017,WA,,16016.0
100,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,610650.0,,unknown,WA_16019,WA,,16018.0
101,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,610651.0,,unknown,WA_16021,WA,,16020.0
102,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,610655.0,,unknown,WA_16023,WA,,16022.0
103,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,610658.0,,unknown,WA_16025,WA,,16024.0
104,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,610659.0,,unknown,WA_16027,WA,,16026.0
105,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,610660.0,,unknown,WA_16029,WA,,16028.0
106,,Unspecified,,EPSG:4326,,,,,,,,,Bad Latitude,Unspecified,610661.0,,unknown,WA_16031,WA,,16030.0
