SiteUUID,PODorPOUSite,Longitude,Latitude
OKwr_S10290,POD,-99.1565425,35.5633595
OKwr_S10291,POD,-99.14986509,35.55613133
OKwr_S10292,POD,-99.14987382,35.55432373
OKwr_S10293,POD,-99.4447475,35.6215545
OKwr_S10294,POD,-98.12094192,35.61207502
OKwr_S10295,POD,-99.30075184,35.59977346
OKwr_S10296,POD,-98.72195362,35.55424154
OKwr_S10297,POD,-98.66316645,35.61312555
OKwr_S10298,POD,-99.0088601,35.63675009
OKwr_S10299,POD,-99.02442062,35.61492856
OKwr_S1030,POD,-100.33536338,36.58436254
OKwr_S10300,POD,-99.00885409,35.63303796
OKwr_S10301,POD,-99.02883637,35.61133932
OKwr_S10302,POD,-99.01329748,35.62943703
OKwr_S10303,POD,-99.01771581,35.61493658
OKwr_S10304,POD,-99.01333484,35.6258514
OKwr_S10305,POD,-99.01992584,35.61131868
OKwr_S10306,POD,-99.03557585,35.63682512
OKwr_S10307,POD,-99.04667712,35.63679343
OKwr_S10308,POD,-99.03558297,35.63314846
OKwr_S10309,POD,-99.0267266,35.62953594
OKwr_S1031,POD,-99.19917555,34.46557038
OKwr_S10310,POD,-99.02673387,35.62591561
OKwr_S10311,POD,-99.02894713,35.636824
OKwr_S10312,POD,-99.04781168,35.63037698
OKwr_S10313,POD,-99.04113918,35.62495967
OKwr_S10314,POD,-99.04439985,35.61865303
OKwr_S10315,POD,-99.033288,35.618542
OKwr_S10316,POD,-99.02666291,35.62041716
OKwr_S10317,POD,-97.9336445,35.5612785
OKwr_S10318,POD,-97.99590525,35.58848043
OKwr_S10319,POD,-97.99590987,35.59209454
OKwr_S1032,POD,-99.199177,34.4691895
OKwr_S10320,POD,-97.96032125,35.57396375
OKwr_S10321,POD,-97.93123774,35.57221974
OKwr_S10322,POD,-97.929016,35.5704135
OKwr_S10323,POD,-98.6091095,35.6213535
OKwr_S10324,POD,-99.82411497,35.6135701
OKwr_S10325,POD,-97.5106005,35.688403
OKwr_S10326,POD,-97.51285962,35.68302386
OKwr_S10327,POD,-97.5619095,35.6866645
