index,SiteUUID,RegulatoryOverlayUUIDs,WaterSourceUUID,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,Geometry,GNISCodeCV,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,PODorPOUSite,SiteName,SiteNativeID,SitePoint,SiteTypeCV,StateCV,USGSSiteID
80,NDwr_S80,,NDwr_WS2,,Unspecified,Williams,4326,,,,,48.19562,-103.08447,,,POD,Unspecified,15409606BB,,Surface Water,ND,
82,NDwr_S81,,NDwr_WS2,,Unspecified,McKenzie,4326,,,,,47.79529,-103.17887,,,POD,Unspecified,15009823DA,,Surface Water,ND,
83,NDwr_S82,,NDwr_WS2,,Unspecified,Morton,4326,,,,,46.78247,-101.50016,,,POD,Unspecified,13808611,,Surface Water,ND,
84,NDwr_S83,,NDwr_WS2,,Unspecified,Morton,4326,,,,,46.81728,-101.83119,,,POD,Unspecified,13908831AB,,Surface Water,ND,
85,NDwr_S84,,NDwr_WS2,,Unspecified,Grant,4326,,,,,46.0367,-101.73122,,,POD,Unspecified,13008831DA,,Surface Water,ND,
86,NDwr_S85,,NDwr_WS2,,Unspecified,Burleigh,4326,,,,,46.80525,-100.65203,,,POD,Unspecified,13807904A,,Surface Water,ND,
87,NDwr_S86,,NDwr_WS2,,Unspecified,Burleigh,4326,,,,,46.80522,-100.64147,,,POD,Unspecified,13807903B,,Surface Water,ND,
88,NDwr_S87,,NDwr_WS2,,Unspecified,Grant,4326,,,,,46.48507,-101.8577,,,POD,Unspecified,13508927BB,,Surface Water,ND,
89,NDwr_S88,,NDwr_WS2,,Unspecified,Williams,4326,,,,,48.54137,-103.7029,,,POD,Unspecified,15810102BD,,Surface Water,ND,
90,NDwr_S89,,NDwr_WS2,,Unspecified,Ward,4326,,,,,48.32522,-101.44989,,,POD,Unspecified,15608422AA,,Surface Water,ND,
91,NDwr_S90,,NDwr_WS2,,Unspecified,Stark,4326,,,,,46.8706,-102.59858,,,POD,Unspecified,13909407BC,,Surface Water,ND,
92,NDwr_S91,,NDwr_WS2,,Unspecified,Williams,4326,,,,,48.17093,-104.03269,,,POD,Unspecified,15410411CC,,Surface Water,ND,
93,NDwr_S92,,NDwr_WS2,,Unspecified,McHenry,4326,,,,,48.398328,-100.398853,,,POD,Unspecified,15707530BA,,Surface Water,ND,
94,NDwr_S93,,NDwr_WS2,,Unspecified,Williams,4326,,,,,48.19556,-103.00863,,,POD,Unspecified,15409603AB,,Surface Water,ND,
95,NDwr_S94,,NDwr_WS2,,Unspecified,McHenry,4326,,,,,48.27756,-100.49365,,,POD,Unspecified,15507606BC,,Surface Water,ND,
96,NDwr_S95,,NDwr_WS2,,Unspecified,Ward,4326,,,,,48.33973,-101.46082,,,POD,Unspecified,15608415BA,,Surface Water,ND,
97,NDwr_S96,,NDwr_WS2,,Unspecified,Ward,4326,,,,,48.3361,-101.45538,,,POD,Unspecified,15608415AC,,Surface Water,ND,
98,NDwr_S97,,NDwr_WS2,,Unspecified,Ward,4326,,,,,48.33066,-101.45536,,,POD,Unspecified,15608415DW,,Surface Water,ND,
99,NDwr_S98,,NDwr_WS2,,Unspecified,Ward,4326,,,,,48.33247,-101.4499,,,POD,Unspecified,15608415DA,,Surface Water,ND,
100,NDwr_S99,,NDwr_WS2,,Unspecified,Ward,4326,,,,,48.33611,-101.46082,,,POD,Unspecified,15608415BD,,Surface Water,ND,
101,NDwr_S100,,NDwr_WS2,,Unspecified,Ward,4326,,,,,48.33973,-101.46356,,,POD,Unspecified,15608415BN,,Surface Water,ND,
