OrganizationID,ReportingUnitNativeID,ReportingUnitName,ReportingUnitTypeCV,VariableCV,VariableSpecificCV,BeneficialUseCategory,USGSCategoryCV,WaterSourceID,MethodName,ReportYearCV,TimeframeStart,TimeframeEnd,InterbasinTransferFromID,InterbasinTransferToID,Amount,PopulationServed,IrrigatedAcreage,PowerGeneratedGWh,NAICSCodeCV,Geometry,State
UTDWRE,49049,Utah,County,Consumptive Use,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,Consumptive Use Estimate,2012,10/1/2012,9/30/2013,,,231441.36,,,,111000,,Utah
UTDWRE,49017,Garfield,County,Consumptive Use,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,Consumptive Use Estimate,2017,10/1/2017,9/30/2018,,,58100.63,,,,111000,,Utah
UTDWRE,49023,Juab,County,Consumptive Use,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,Consumptive Use Estimate,2009,10/1/2009,9/30/2010,,,48958.23,,,,111000,,Utah
UTDWRE,49011,Davis,County,Consumptive Use,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,Consumptive Use Estimate,2013,10/1/2013,9/30/2014,,,38215.98,,,,111000,,Utah
UTDWRE,49045,Tooele,County,Consumptive Use,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,Consumptive Use Estimate,2016,10/1/2016,9/30/2017,,,66063.55,,,,111000,,Utah
UTDWRE,49045,Tooele,County,Consumptive Use,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,Consumptive Use Estimate,2010,10/1/2010,9/30/2011,,,40225.79,,,,111000,,Utah
UTDWRE,49003,Box Elder,County,Consumptive Use,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,Consumptive Use Estimate,2014,10/1/2014,9/30/2015,,,296268.32,,,,111000,,Utah
UTDWRE,49047,Uintah,County,Consumptive Use,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,Consumptive Use Estimate,2017,10/1/2017,9/30/2018,,,213015.1,,,,111000,,Utah
UTDWRE,49055,Wayne,County,Consumptive Use,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,Consumptive Use Estimate,2009,10/1/2009,9/30/2010,,,31118.44,,,,111000,,Utah
UTDWRE,49009,Daggett,County,Consumptive Use,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,Consumptive Use Estimate,2012,10/1/2012,9/30/2013,,,13033.84,,,,111000,,Utah
UTDWRE,49053,Washington,County,Consumptive Use,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,Consumptive Use Estimate,2014,10/1/2014,9/30/2015,,,29641.83,,,,111000,,Utah
UTDWRE,49003,Box Elder,County,Consumptive Use,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,Consumptive Use Estimate,2006,10/1/2006,9/30/2007,,,294173.03,,,,111000,,Utah
UTDWRE,49041,Sevier,County,Consumptive Use,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,Consumptive Use Estimate,2012,10/1/2012,9/30/2013,,,113427.23,,,,111000,,Utah
UTDWRE,49015,Emery,County,Consumptive Use,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,Consumptive Use Estimate,2005,10/1/2005,9/30/2006,,,108624.27,,,,111000,,Utah
UTDWRE,49023,Juab,County,Consumptive Use,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,Consumptive Use Estimate,2015,10/1/2015,9/30/2016,,,50242.22,,,,111000,,Utah
UTDWRE,49039,SanPete,County,Consumptive Use,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,Consumptive Use Estimate,2007,10/1/2007,9/30/2008,,,164059.28,,,,111000,,Utah
UTDWRE,49043,Summit,County,Consumptive Use,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,Consumptive Use Estimate,2014,10/1/2014,9/30/2015,,,28857.83,,,,111000,,Utah
UTDWRE,49039,SanPete,County,Consumptive Use,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,Consumptive Use Estimate,2013,10/1/2013,9/30/2014,,,152069.95,,,,111000,,Utah
UTDWRE,49029,Morgan,County,Consumptive Use,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,Consumptive Use Estimate,2017,10/1/2017,9/30/2018,,,18987.66,,,,111000,,Utah
UTDWRE,49033,Rich,County,Consumptive Use,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,Consumptive Use Estimate,2012,10/1/2012,9/30/2013,,,77388.33,,,,111000,,Utah
UTDWRE,49033,Rich,County,Consumptive Use,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,Consumptive Use Estimate,2006,10/1/2006,9/30/2007,,,86435.23,,,,111000,,Utah
UTDWRE,49027,Millard,County,Consumptive Use,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,Consumptive Use Estimate,2016,10/1/2016,9/30/2017,,,257514.68,,,,111000,,Utah
UTDWRE,49041,Sevier,County,Consumptive Use,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,Consumptive Use Estimate,2006,10/1/2006,9/30/2007,,,119850.35,,,,111000,,Utah
UTDWRE,49057,Weber,County,Consumptive Use,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,Consumptive Use Estimate,2008,10/1/2008,9/30/2009,,,73854.48,,,,111000,,Utah
UTDWRE,49051,Wasatch,County,Consumptive Use,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,Consumptive Use Estimate,2012,10/1/2012,9/30/2013,,,36337.67,,,,111000,,Utah
UTDWRE,49015,Emery,County,Consumptive Use,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,Consumptive Use Estimate,2011,10/1/2011,9/30/2012,,,115884.72,,,,111000,,Utah
UTDWRE,49021,Iron,County,Consumptive Use,"Consumptive Use, Irrigation",Agriculture,Irrigation,Fresh_SW_GW,Consumptive Use Estimate,2007,10/1/2007,9/30/2008,,,128086.34,,,,111000,,Utah
