SiteUUID,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,Geometry,GNISCodeCV,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,PODorPOUSite,SiteName,SiteNativeID,SitePoint,SiteTypeCV,StateCV,USGSSiteID,ReasonRemoved,index
AKwr_S482,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,B8540,,,lake,AK,,Bad Latitude,481.0
AKwr_S483,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,M9206,,,lake,AK,,Bad Latitude,482.0
AKwr_S484,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,K201/L9123,,,lake,AK,,Bad Latitude,483.0
AKwr_S485,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,RTS07119,,,lake,AK,,Bad Latitude,484.0
AKwr_S486,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,RTS07118,,,lake,AK,,Bad Latitude,485.0
AKwr_S487,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,RTS07124,,,lake,AK,,Bad Latitude,486.0
AKwr_S488,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,RTS07131,,,lake,AK,,Bad Latitude,487.0
AKwr_S489,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,RTS07132,,,lake,AK,,Bad Latitude,488.0
AKwr_S490,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,RTS07121,,,lake,AK,,Bad Latitude,489.0
AKwr_S491,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,River Crossing 1A-S,,,river,AK,,Bad Latitude,490.0
AKwr_S492,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,River Crossing 1B-N,,,river,AK,,Bad Latitude,491.0
AKwr_S493,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,River Crossing 1A-N,,,river,AK,,Bad Latitude,492.0
AKwr_S494,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,L9804/L9805/L9817/M0301,,,lake,AK,,Bad Latitude,493.0
AKwr_S495,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,M9923,,,lake,AK,,Bad Latitude,494.0
AKwr_S496,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,R0076,,,lake,AK,,Bad Latitude,495.0
AKwr_S497,Unspecified,Unspecified,Unspecified,EPSG:4326,,,,,,,,,POD,M0701,,,lake,AK,,Bad Latitude,496.0
