index,SiteUUID,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,Geometry,GNISCodeCV,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,PODorPOUSite,SiteName,SiteNativeID,SitePoint,SiteTypeCV,StateCV,USGSSiteID
76,OKwr_S77,,Unspecified,Cimarron,EPSG:4326,,,,,36.54615985,-102.82401483,,,POD,Unspecified,89,,Groundwater,OK,
77,OKwr_S78,,Unspecified,Cimarron,EPSG:4326,,,,11100101.0,36.54422898,-102.54758563,,,POD,Unspecified,250,,Groundwater,OK,
78,OKwr_S79,,Unspecified,Texas,EPSG:4326,,,,11100101.0,36.5112449,-101.91006777,,,POD,Unspecified,581,,Groundwater,OK,
79,OKwr_S80,,Unspecified,Texas,EPSG:4326,,,,11100103.0,36.5052115,-101.404319,,,POD,Unspecified,791,,Groundwater,OK,
80,OKwr_S81,,Unspecified,Cimarron,EPSG:4326,,,,11100103.0,36.5642785,-102.747762,,,POD,Unspecified,154,,Groundwater,OK,
81,OKwr_S82,,Unspecified,Cimarron,EPSG:4326,,,,11100103.0,36.50985257,-102.71387138,,,POD,Unspecified,180,,Groundwater,OK,
82,OKwr_S83,,Unspecified,Cimarron,EPSG:4326,,,,11100103.0,36.5116625,-102.711587,,,POD,Unspecified,182,,Groundwater,OK,
83,OKwr_S84,,Unspecified,Cimarron,EPSG:4326,,,,11100103.0,36.5062345,-102.709338,,,POD,Unspecified,181,,Groundwater,OK,
84,OKwr_S85,,Unspecified,Cimarron,EPSG:4326,,,,11100103.0,36.55607967,-102.75552167,,,POD,Unspecified,169,,Groundwater,OK,
85,OKwr_S86,,Unspecified,Murray,EPSG:4326,,,,11130304.0,34.58684942,-96.84804031,,,POD,Unspecified,226,,Groundwater,OK,
86,OKwr_S87,,Unspecified,Texas,EPSG:4326,,,,11100101.0,36.56910512,-101.995598,,,POD,Unspecified,510,,Groundwater,OK,
87,OKwr_S88,,Unspecified,Tillman,EPSG:4326,,,,11120303.0,34.59187239,-99.05685075,,,POD,Unspecified,959,,Groundwater,OK,
88,OKwr_S89,,Unspecified,Tillman,EPSG:4326,,,,11120303.0,34.591922499999995,-99.0503085,,,POD,Unspecified,942,,Groundwater,OK,
89,OKwr_S90,,Unspecified,Stephens,EPSG:4326,,,,11130208.0,34.58440398,-97.97019912,,,POD,Unspecified,369,,Groundwater,OK,
90,OKwr_S91,,Unspecified,Stephens,EPSG:4326,,,,11130208.0,34.58439679,-97.96801312,,,POD,Unspecified,370,,Groundwater,OK,
91,OKwr_S92,,Unspecified,Texas,EPSG:4326,,,,11100101.0,36.50222563,-101.8852317,,,POD,Unspecified,586,,Groundwater,OK,
92,OKwr_S93,,Unspecified,Texas,EPSG:4326,,,,11100102.0,36.57841806,-101.19902572,,,POD,Unspecified,861,,Groundwater,OK,
93,OKwr_S94,,Unspecified,Murray,EPSG:4326,,,,11130304.0,34.53690511,-96.86445583,,,POD,Unspecified,230,,Groundwater,OK,
94,OKwr_S95,,Unspecified,Tillman,EPSG:4326,,,,11130203.0,34.58645975,-99.02838017,,,POD,Unspecified,886,,Groundwater,OK,
95,OKwr_S96,,Unspecified,Tillman,EPSG:4326,,,,11130203.0,34.58644895,-99.02400764,,,POD,Unspecified,889,,Groundwater,OK,
96,OKwr_S97,,Unspecified,Tillman,EPSG:4326,,,,11130203.0,34.58645161,-99.0218262,,,POD,Unspecified,891,,Groundwater,OK,
97,OKwr_S98,,Unspecified,Tillman,EPSG:4326,,,,11130203.0,34.58645142,-99.02619135,,,POD,Unspecified,888,,Groundwater,OK,
98,OKwr_S99,,Unspecified,Cimarron,EPSG:4326,,,,11100101.0,36.5294219,-102.12104141,,,POD,Unspecified,476,,Groundwater,OK,
99,OKwr_S100,,Unspecified,Cimarron,EPSG:4326,,,,11100101.0,36.54387355,-102.08507078,,,POD,Unspecified,458,,Groundwater,OK,
100,OKwr_S101,,Unspecified,Tillman,EPSG:4326,,,,11120303.0,34.58459278,-99.07211109,,,POD,Unspecified,961,,Groundwater,OK,
101,OKwr_S102,,Unspecified,Tillman,EPSG:4326,,,,11120303.0,34.5864045,-99.07210315,,,POD,Unspecified,962,,Groundwater,OK,
102,OKwr_S103,,Unspecified,Cimarron,EPSG:4326,,,,11100103.0,36.52243001,-102.91132163,,,POD,Unspecified,17,,Groundwater,OK,
103,OKwr_S104,,Unspecified,Cimarron,EPSG:4326,,,,11100103.0,36.51879346,-102.91133585,,,POD,Unspecified,20,,Groundwater,OK,
104,OKwr_S105,,Unspecified,Cimarron,EPSG:4326,,,,11100103.0,36.51881210000001,-102.90451592,,,POD,Unspecified,21,,Groundwater,OK,
105,OKwr_S106,,Unspecified,Comanche,EPSG:4326,,,,11130202.0,34.57354935,-98.42760958,,,POD,Unspecified,655,,Groundwater,OK,
106,OKwr_S107,,Unspecified,Texas,EPSG:4326,,,,11100101.0,36.58355047,-101.98655112,,,POD,Unspecified,500,,Groundwater,OK,
107,OKwr_S108,,Unspecified,Texas,EPSG:4326,,,,11100103.0,36.53618208,-101.32340085,,,POD,Unspecified,824,,Groundwater,OK,
108,OKwr_S109,,Unspecified,Texas,EPSG:4326,,,,11100103.0,36.5234479,-101.321174,,,POD,Unspecified,833,,Groundwater,OK,
109,OKwr_S110,,Unspecified,Murray,EPSG:4326,,,,11130303.0,34.563744799999995,-97.15232774,,,POD,Unspecified,41,,Groundwater,OK,
110,OKwr_S111,,Unspecified,Murray,EPSG:4326,,,,11130303.0,34.5618975,-97.152333,,,POD,Unspecified,42,,Groundwater,OK,
111,OKwr_S112,,Unspecified,Cimarron,EPSG:4326,,,,11100101.0,36.55865902,-102.94716953,,,POD,Unspecified,3,,Groundwater,OK,
112,OKwr_S113,,Unspecified,Cimarron,EPSG:4326,,,,11100103.0,36.55160334,-102.73187564,,,POD,Unspecified,166,,Groundwater,OK,
113,OKwr_S114,,Unspecified,Texas,EPSG:4326,,,,11100104.0,36.57749308,-101.18674375,,,POD,Unspecified,860,,Groundwater,OK,
114,OKwr_S115,,Unspecified,Texas,EPSG:4326,,,,11100102.0,36.50905285,-101.31215687,,,POD,Unspecified,855,,Groundwater,OK,
115,OKwr_S116,,Unspecified,Texas,EPSG:4326,,,,11100103.0,36.57276651,-101.73229765,,,POD,Unspecified,631,,Groundwater,OK,
116,OKwr_S117,,Unspecified,Texas,EPSG:4326,,,,11100103.0,36.5690995,-101.7345625,,,POD,Unspecified,633,,Groundwater,OK,
117,OKwr_S118,,Unspecified,Cimarron,EPSG:4326,,,,11100101.0,36.57468247,-102.13217901,,,POD,Unspecified,434,,Groundwater,OK,
118,OKwr_S119,,Unspecified,Texas,EPSG:4326,,,,11100103.0,36.54554452,-101.66704685,,,POD,Unspecified,702,,Groundwater,OK,
119,OKwr_S120,,Unspecified,Tillman,EPSG:4326,,,,11120303.0,34.55918893,-99.08961069,,,POD,Unspecified,984,,Groundwater,OK,
120,OKwr_S121,,Unspecified,Tillman,EPSG:4326,,,,11120303.0,34.55919519,-99.09620801,,,POD,Unspecified,985,,Groundwater,OK,
121,OKwr_S122,,Unspecified,Tillman,EPSG:4326,,,,11120303.0,34.54097668,-99.12687753,,,POD,Unspecified,998,,Groundwater,OK,
122,OKwr_S123,,Unspecified,Cimarron,EPSG:4326,,,,11100103.0,36.5659915,-102.798901,,,POD,Unspecified,83,,Groundwater,OK,
123,OKwr_S124,,Unspecified,Cimarron,EPSG:4326,,,,11100103.0,36.5805205,-102.693867,,,POD,Unspecified,134,,Groundwater,OK,
124,OKwr_S125,,Unspecified,Tillman,EPSG:4326,,,,11120303.0,34.55916855,-99.11820934,,,POD,Unspecified,986,,Groundwater,OK,
125,OKwr_S126,,Unspecified,Cimarron,EPSG:4326,,,,11100103.0,36.53338001,-102.82151962,,,POD,Unspecified,99,,Groundwater,OK,
126,OKwr_S127,,Unspecified,Texas,EPSG:4326,,,,11100103.0,36.50377601,-101.64454802,,,POD,Unspecified,723,,Groundwater,OK,
127,OKwr_S128,,Unspecified,Cimarron,EPSG:4326,,,,11100103.0,36.5315676,-102.78361145,,,POD,Unspecified,173,,Groundwater,OK,
128,OKwr_S129,,Unspecified,Texas,EPSG:4326,,,,11100103.0,36.54332162,-101.45817098,,,POD,Unspecified,779,,Groundwater,OK,
129,OKwr_S130,,Unspecified,Texas,EPSG:4326,,,,11100101.0,36.54557336,-101.98653465,,,POD,Unspecified,518,,Groundwater,OK,
130,OKwr_S131,,Unspecified,Cimarron,EPSG:4326,,,,11100101.0,36.57288304,-102.16779989,,,POD,Unspecified,401,,Groundwater,OK,
131,OKwr_S132,,Unspecified,Cimarron,EPSG:4326,,,,11100101.0,36.5638365,-102.170061,,,POD,Unspecified,402,,Groundwater,OK,
132,OKwr_S133,,Unspecified,Tillman,EPSG:4326,,,,11120303.0,34.58193305,-99.02070316,,,POD,Unspecified,884,,Groundwater,OK,
133,OKwr_S134,,Unspecified,Tillman,EPSG:4326,,,,11120303.0,34.58107131,-99.03494745,,,POD,Unspecified,885,,Groundwater,OK,
134,OKwr_S135,,Unspecified,Cimarron,EPSG:4326,,,,11100101.0,36.54419283,-102.52489806,,,POD,Unspecified,255,,Groundwater,OK,
135,OKwr_S136,,Unspecified,Cimarron,EPSG:4326,,,,11100103.0,36.56338376,-102.7241594,,,POD,Unspecified,158,,Groundwater,OK,
136,OKwr_S137,,Unspecified,Cimarron,EPSG:4326,,,,11100101.0,36.5713525,-102.8485565,,,POD,Unspecified,69,,Groundwater,OK,
137,OKwr_S138,,Unspecified,Pontotoc,EPSG:4326,,,,11140104.0,34.57930113,-96.66868492,,,POD,Unspecified,323,,Groundwater,OK,
138,OKwr_S139,,Unspecified,Pontotoc,EPSG:4326,,,,11140104.0,34.57201788,-96.67081915,,,POD,Unspecified,331,,Groundwater,OK,
139,OKwr_S140,,Unspecified,Pontotoc,EPSG:4326,,,,11140104.0,34.5629108,-96.67082342,,,POD,Unspecified,339,,Groundwater,OK,
140,OKwr_S141,,Unspecified,Cimarron,EPSG:4326,,,,11100103.0,36.5514155,-102.944899,,,POD,Unspecified,4,,Groundwater,OK,
141,OKwr_S142,,Unspecified,Cimarron,EPSG:4326,,,,11100101.0,36.56591676,-102.87538049,,,POD,Unspecified,67,,Groundwater,OK,
142,OKwr_S143,,Unspecified,Cimarron,EPSG:4326,,,,11100103.0,36.55883648,-102.7295891,,,POD,Unspecified,164,,Groundwater,OK,
143,OKwr_S144,,Unspecified,Texas,EPSG:4326,,,,,36.53107746,-101.98646823,,,POD,Unspecified,528,,Groundwater,OK,
144,OKwr_S145,,Unspecified,Cimarron,EPSG:4326,,,,,36.52243001,-102.91132163,,,POD,Unspecified,19,,Groundwater,OK,
145,OKwr_S146,,Unspecified,Cimarron,EPSG:4326,,,,,36.51881210000001,-102.90451592,,,POD,Unspecified,18,,Groundwater,OK,
146,OKwr_S147,,Unspecified,Cimarron,EPSG:4326,,,,,36.54973877,-102.767876,,,POD,Unspecified,170,,Groundwater,OK,
147,OKwr_S148,,Unspecified,Tillman,EPSG:4326,,,,11130203.0,34.53469812,-99.01292919,,,POD,Unspecified,900,,Groundwater,OK,
148,OKwr_S149,,Unspecified,Cimarron,EPSG:4326,,,,11100101.0,36.53667316,-102.13003269,,,POD,Unspecified,456,,Groundwater,OK,
149,OKwr_S150,,Unspecified,Cimarron,EPSG:4326,,,,11100103.0,36.55513117,-102.71401506,,,POD,Unspecified,162,,Groundwater,OK,
150,OKwr_S151,,Unspecified,Texas,EPSG:4326,,,,11100101.0,36.50580557,-101.76593125,,,POD,Unspecified,645,,Groundwater,OK,
151,OKwr_S152,,Unspecified,Texas,EPSG:4326,,,,11100103.0,36.57438919,-101.60194991,,,POD,Unspecified,672,,Groundwater,OK,
152,OKwr_S153,,Unspecified,Cimarron,EPSG:4326,,,,11100103.0,36.56780226,-102.83957659,,,POD,Unspecified,74,,Groundwater,OK,
153,OKwr_S154,,Unspecified,Cimarron,EPSG:4326,,,,11100103.0,36.5732248,-102.8373551,,,POD,Unspecified,73,,Groundwater,OK,
154,OKwr_S155,,Unspecified,Cimarron,EPSG:4326,,,,11100103.0,36.5678025,-102.832856,,,POD,Unspecified,75,,Groundwater,OK,
155,OKwr_S156,,Unspecified,Cimarron,EPSG:4326,,,,11100101.0,36.58014516,-102.17905781,,,POD,Unspecified,384,,Groundwater,OK,
156,OKwr_S157,,Unspecified,Cimarron,EPSG:4326,,,,11100101.0,36.57833075,-102.167766,,,POD,Unspecified,383,,Groundwater,OK,
157,OKwr_S158,,Unspecified,Texas,EPSG:4326,,,,11100104.0,36.54493091,-101.07435998,,,POD,Unspecified,922,,Groundwater,OK,
158,OKwr_S159,,Unspecified,Texas,EPSG:4326,,,,11100104.0,36.54493534,-101.07660955,,,POD,Unspecified,923,,Groundwater,OK,
159,OKwr_S160,,Unspecified,Cimarron,EPSG:4326,,,,,36.51664537,-102.08510499,,,POD,Unspecified,469,,Groundwater,OK,
160,OKwr_S161,,Unspecified,Cimarron,EPSG:4326,,,,,36.51664372,-102.06934382,,,POD,Unspecified,470,,Groundwater,OK,
161,OKwr_S162,,Unspecified,Cimarron,EPSG:4326,,,,,36.5093467,-102.08516238,,,POD,Unspecified,482,,Groundwater,OK,
162,OKwr_S163,,Unspecified,Cimarron,EPSG:4326,,,,,36.50934554,-102.08067038,,,POD,Unspecified,483,,Groundwater,OK,
163,OKwr_S164,,Unspecified,Texas,EPSG:4326,,,,11100104.0,36.55944793,-101.12836605,,,POD,Unspecified,919,,Groundwater,OK,
164,OKwr_S165,,Unspecified,Cimarron,EPSG:4326,,,,11100103.0,36.54055253,-102.91119577,,,POD,Unspecified,13,,Groundwater,OK,
165,OKwr_S166,,Unspecified,Texas,EPSG:4326,,,,11100101.0,36.57283643,-101.8783943,,,POD,Unspecified,570,,Groundwater,OK,
166,OKwr_S167,,Unspecified,Texas,EPSG:4326,,,,11100101.0,36.56199351,-101.84239948,,,POD,Unspecified,571,,Groundwater,OK,
167,OKwr_S168,,Unspecified,Cimarron,EPSG:4326,,,,11100101.0,36.57739122,-102.1175285,,,POD,Unspecified,429,,Groundwater,OK,
168,OKwr_S169,,Unspecified,Cimarron,EPSG:4326,,,,11100101.0,36.5800998,-102.12090602,,,POD,Unspecified,430,,Groundwater,OK,
169,OKwr_S170,,Unspecified,Texas,EPSG:4326,,,,11100101.0,36.58535247,-101.66257488,,,POD,Unspecified,681,,Groundwater,OK,
170,OKwr_S171,,Unspecified,Cimarron,EPSG:4326,,,,11100101.0,36.57693125,-102.81251019,,,POD,Unspecified,60,,Groundwater,OK,
171,OKwr_S172,,Unspecified,Texas,EPSG:4326,,,,11100101.0,36.58010105,-101.9143157,,,POD,Unspecified,565,,Groundwater,OK,
172,OKwr_S173,,Unspecified,Texas,EPSG:4326,,,,11100101.0,36.57468457,-101.90756278,,,POD,Unspecified,566,,Groundwater,OK,
173,OKwr_S174,,Unspecified,Texas,EPSG:4326,,,,11100103.0,36.50559797,-101.6534915,,,POD,Unspecified,722,,Groundwater,OK,
174,OKwr_S175,,Unspecified,Cimarron,EPSG:4326,,,,11100101.0,36.5092865,-102.042334,,,POD,Unspecified,488,,Groundwater,OK,
175,OKwr_S176,,Unspecified,Cimarron,EPSG:4326,,,,11100101.0,36.514774,-102.0423345,,,POD,Unspecified,489,,Groundwater,OK,
