SiteUUID,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,Geometry,GNISCodeCV,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,SiteName,SiteNativeID,SitePoint,SiteTypeCV,StateCV,USGSSiteID
UTSS_S277,,Unspecified,Sevier,EPSG:4326,,,,,38.92438249,-111.9712253,,,White Bally Spring,13530005,,Spring,UT,
UTSS_S278,,Unspecified,Sevier,EPSG:4326,,,,,38.96731044,-111.9487389,,,Denmark Wash Springs (WS002),13530001,,Spring,UT,
UTSS_S279,,Unspecified,Sevier,EPSG:4326,,,,,38.92682889,-111.9485239,,,Standby Well,13530004,,Well,UT,
UTSS_S280,,Unspecified,Summit,EPSG:4326,,,,,40.94730438,-111.348493,,,Sage Hollow Spring,13550001,,Spring,UT,
UTSS_S281,,Unspecified,Summit,EPSG:4326,,,,,40.9195495,-111.380736,,,Wilde Spring,13550002,,Spring,UT,
UTSS_S282,,Unspecified,Daggett,EPSG:4326,,,,,40.9736283,-109.7877545,,,Spring,13570001,,Spring,UT,
UTSS_S283,,Unspecified,Millard,EPSG:4326,,,,,39.28721462,-112.5731219,,,Deseret - Oasis Well (WS002),108541349,,Well,UT,
UTSS_S284,,Unspecified,Salt Lake,EPSG:4326,,,,,40.51306941,-112.0769581,,,Well #1 (Dansie Well) (WS001),13670001,,Well,UT,
UTSS_S285,,Unspecified,Cache,EPSG:4326,,,,,41.9060994,-112.0514274,,,Loosle Spring,13710001,,Spring,UT,
UTSS_S286,,Unspecified,Cache,EPSG:4326,,,,,41.94662059,-112.0833962,,,Little Birch Spring,13710002,,Spring,UT,
UTSS_S287,,Unspecified,Cache,EPSG:4326,,,,,41.88988732,-112.00779509999998,,,Hansen-Jones Spring,13710004,,Spring,UT,
UTSS_S288,,Unspecified,Cache,EPSG:4326,,,,,41.94995364,-112.08794109999998,,,Big Birch Spring,13710006,,Spring,UT,
UTSS_S289,,Unspecified,Carbon,EPSG:4326,,,,,39.69536621,-111.1652131,,,Green Canyon Springs (WS001),13720001,,Spring,UT,
UTSS_S290,,Unspecified,Salt Lake,EPSG:4326,,,,,40.59807892,-111.579092,,,Great Western Mine Tunnel Spring (WS001),13730001,,Tunnel,UT,
UTSS_S291,,Unspecified,Utah,EPSG:4326,,,,,40.35053178,-111.5766576,,,Vivian Park Spring (WS002),13750001,,Spring,UT,
UTSS_S292,,Unspecified,Utah,EPSG:4326,,,,,40.35189975,-111.5693347,,,Vivian Park Well (WS001),13750002,,Well,UT,
