in_SiteNativeID,geometry
POUWaDEOK_S24,"POLYGON ((-99.84170540820868 34.66702293781186, -99.85935841257063 34.66717193692101, -99.85944741429545 34.68164893917647, -99.84182740955707 34.68159693963993, -99.84170540820868 34.66702293781186))"
POUWaDEOK_S25,"POLYGON ((-99.94730343326849 34.6526129295549, -99.92968842894288 34.6525349303967, -99.92960242787933 34.63797692774583, -99.94708043206764 34.63806692748697, -99.94730343326849 34.6526129295549))"
POUWaDEOK_S26,"POLYGON ((-99.96491343801793 34.6526839287403, -99.96470743712297 34.63818592638904, -99.98232344078589 34.63818592576789, -99.98232844195179 34.65271192759654, -99.96491343801793 34.6526839287403))"
POUWaDEOK_S27,"POLYGON ((-99.84173340485098 34.60888192722341, -99.84170140516727 34.623401930035, -99.82405540158004 34.62337993032175, -99.82415040036227 34.6088679283766, -99.84173340485098 34.60888192722341))"
POUWaDEOK_S28,"POLYGON ((-99.84173340485098 34.60888192722341, -99.8593054090114 34.60885892667123, -99.8593184100809 34.62343592927881, -99.84170140516727 34.623401930035, -99.84173340485098 34.60888192722341))"
POUWaDEOK_S29,"POLYGON ((-99.91201642422057 34.63799692876773, -99.89434641968154 34.63795892945166, -99.89436341853384 34.62332492674242, -99.91198842273859 34.62346592667939, -99.91201642422057 34.63799692876773))"
POUWaDEOK_S30,"POLYGON ((-99.85947341186204 34.6526199339692, -99.85941463613203 34.65963294250437, -99.85935841257063 34.66717193692101, -99.84170540820868 34.66702293781186, -99.84175840715901 34.65240393506404, -99.85947341186204 34.6526199339692))"
POUWaDEOK_S31,"POLYGON ((-99.7889033945721 34.65413193758965, -99.78889439467018 34.65231793730572, -99.80666139853599 34.65250293660522, -99.80659173641345 34.66496794055615, -99.8065834002384 34.66706293939105, -99.78896639610913 34.6669499398921, -99.7889033945721 34.65413193758965))"
POUWaDEOK_S32,"POLYGON ((-99.82415339853164 34.57971892288371, -99.80657439371286 34.57965992395178, -99.80653339307081 34.56517492148794, -99.82417639676044 34.56516092096225, -99.82415339853164 34.57971892288371))"
POUWaDEOK_S33,"POLYGON ((-99.8593054090114 34.60885892667123, -99.87678441292367 34.60892192522302, -99.87686041405459 34.62351392821, -99.8593184100809 34.62343592927881, -99.8593054090114 34.60885892667123))"
POUWaDEOK_S34,"POLYGON ((-99.89442142193222 34.6669999351315, -99.91204142613927 34.66696193429215, -99.91216742672063 34.68174093612607, -99.89452842310754 34.68170193694901, -99.89442142193222 34.6669999351315))"
POUWaDEOK_S35,"POLYGON ((-99.80657439371286 34.57965992395178, -99.82415339853164 34.57971892288371, -99.82420039930392 34.59427592564921, -99.80657939451423 34.59427592616954, -99.80657439371286 34.57965992395178))"
