OID_,SensorCode,SensorID,SensorLabel,Comment,Description,isPublished,LocationName,LocationCode,LocationID,SubLocationCode,TimeSeriesType,Parameter,UnitOfMeasure,UtcOffset,ComputationMethod,ComputationPeriod,LastModifiedTime,ExtendedAttributeValues,ParameterLabel
198,Water Temp.water temp@41C 08000,3f8bac95b54d425e8c817efe93c808bb,water temp,,,1,Ruby River at Harrington Bridge,41C 08000,93bb576a8a62477f9c4c8240c3eb882f,,ProcessorBasic,TW,degC,-PT7H,Unknown,Unknown,2/2/2021 6:16:13,[],Water Temp
199,Stage.working@41C 08000,66aad97bcd7a4a6ba797ea2bf4f5dfe9,working,,Real-Time,1,Ruby River at Harrington Bridge,41C 08000,93bb576a8a62477f9c4c8240c3eb882f,,ProcessorDerived,HG,ft,-PT7H,Unknown,Unknown,2/2/2021 6:24:03,[],Stage
200,Discharge.Daily Average@41C 09000,7b5eac3f9e7d4540b9957a0dd40b0e0a,Daily Average,,,1,Ruby River at Wheatley,41C 09000,3ea8f9b8f5894f908e14bc987341daa2,,ProcessorDerived,QR,ft^3/s,-PT7H,Mean,Daily,2/5/2021 19:25:53,[],Discharge
201,Discharge.discharge@41C 09000,cc3445b1eedf4707acfe77f2968c6d03,discharge,,,1,Ruby River at Wheatley,41C 09000,3ea8f9b8f5894f908e14bc987341daa2,,ProcessorDerived,QR,ft^3/s,-PT7H,Unknown,Unknown,2/2/2021 6:24:03,[],Discharge
202,Stage.working@41C 09000,93198d7b8be941b3a97d4e1cdd005209,working,,,1,Ruby River at Wheatley,41C 09000,3ea8f9b8f5894f908e14bc987341daa2,,ProcessorDerived,HG,ft,-PT7H,Unknown,Unknown,2/2/2021 6:24:03,[],Stage
203,Discharge.Daily Average@41D 07790,a41a11ffaf7b43bfafb06c545d22d924,Daily Average,,,1,Smart Creek spring creek nr mouth,41D 07790,29d9b033bb764164afc61a99a28cbf12,,ProcessorDerived,QR,ft^3/s,-PT7H,Mean,Daily,2/4/2021 15:14:05,[],Discharge
204,Discharge.discharge@41D 07790,a96688ee1eff42859ee030242c47c920,discharge,,,1,Smart Creek spring creek nr mouth,41D 07790,29d9b033bb764164afc61a99a28cbf12,,ProcessorDerived,QR,ft^3/s,-PT7H,Unknown,Unknown,2/4/2021 15:14:20,[],Discharge
205,Stage.Daily Average@41D 07850,910be3b6bf744552849e44e4bc583441,Daily Average,,,1,Wise River below Pattengail Creek confluence,41D 07850,d258c9432b7a4f79b7fac1804e0cde10,,ProcessorDerived,HG,ft,-PT7H,Mean,Daily,3/8/2021 21:19:50,[],Stage
206,Discharge.Daily Average@41D 07850,f75942374304447bbcedf53c3f017ce7,Daily Average,,,1,Wise River below Pattengail Creek confluence,41D 07850,d258c9432b7a4f79b7fac1804e0cde10,,ProcessorDerived,QR,ft^3/s,-PT7H,Mean,Daily,3/8/2021 21:15:51,[],Discharge
207,Water Temp.Daily Average@41D 07850,c40176f9f8d342f5b2b61814780ad525,Daily Average,,,1,Wise River below Pattengail Creek confluence,41D 07850,d258c9432b7a4f79b7fac1804e0cde10,,ProcessorDerived,TW,degC,-PT7H,Mean,Daily,3/8/2021 21:20:32,[],Water Temp
208,Discharge.discharge@41D 07850,80694d8cef60401d8476f3b69f8d9a5a,discharge,,,1,Wise River below Pattengail Creek confluence,41D 07850,d258c9432b7a4f79b7fac1804e0cde10,,ProcessorDerived,QR,ft^3/s,-PT7H,Unknown,Unknown,3/8/2021 21:16:05,[],Discharge
209,Water Temp.Temp@41D 07850,c0b53e96ce92443c8da97bb3c03dfd9d,Temp,,,1,Wise River below Pattengail Creek confluence,41D 07850,d258c9432b7a4f79b7fac1804e0cde10,,ProcessorBasic,TW,degC,-PT7H,Unknown,Unknown,3/8/2021 21:16:25,[],Water Temp
210,Discharge.discharge@41D 07870,bb25af0ab59c4d58bbda58051bd7bf98,discharge,,,1,Wise River above Upper PKR Ditch headgate,41D 07870,6aa17c8ac8ac403abcef4fd75345805a,,ProcessorDerived,QR,ft^3/s,-PT7H,Unknown,Unknown,2/4/2021 16:56:01,[],Discharge
211,Stage.Daily Average@41D 07900,18fa503680ba4af7b08ebde6386f3caa,Daily Average,,,1,Wise River nr mouth,41D 07900,a61e9c1d12b44ee2a7abb8e0020e25a0,,ProcessorDerived,HG,ft,-PT7H,Mean,Daily,2/12/2021 21:10:42,[],Stage
