WRNUM,GROUP_IDNUM,USE_IDNUM,POWER_PLANT_NAME,POWER_TYPE,POWER_CAPACITY,POWER_UNITS,USE_BEG_DATE,USE_END_DATE,POWER_COMMENTS
57-8112,1,2,,SG,2000,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
57-60,1,2,,HY,0,,101,1231,Effective head is 27 feet.
57-8571,1,2,,HY,1200,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
57-8571,1,3,,HY,3400,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
51-5402,2,4,Unnamed,HY,1000,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
59-4951,1,2,,HY,4,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
55-6882,1,7,Power Plant,HY,,,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
57-8813,6,7,Unnamed,HY,500,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
55-6881,1,2,Unnamed Power Plant,HY,850,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
55-60,1,4,Unnamed,HY,,,101,1231,Effective head is 665 feet.  Power generated is distributed to Park City.
57-8707,1,2,Unnamed,SG,2000,W,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
57-8627,1,0,,HY,,,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
59-4816,1,2,Unnamed,HY,4000,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
51-5182,1,5,Unnamed,HY,880,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
55-6987,1,2,Unnamed,HY,4,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
51-5442,1,2,Impulse turbine pwr.,HY,730,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
57-8638,1,0,,HY,,,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
51-1006,1,6,Unnamed,HY,880,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
55-6650,1,2,Unnamed Plant,HY,2500,,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
53-895,1,2,Unnamed Plant,HY,373,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
