WRNUM,GROUP_IDNUM,USE_IDNUM,POWER_PLANT_NAME,POWER_TYPE,POWER_CAPACITY,POWER_UNITS,USE_BEG_DATE,USE_END_DATE,POWER_COMMENTS
63-4369,2,3,Barney,HY,400,W,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
66-273,4,5,Unnamed Power Plant,HY,11,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
95-4060,5,6,Unnamed,HY,7,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
95-4060,5,7,Unnamed,HY,6,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
65-2270,16,18,Upper Plant,HY,1120,KW,101,1231,Within the service area of Manti City Power Department.
65-2270,16,17,Manti Lower Plant,HY,1200,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
95-698,1,3,,SG,2000,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
61-809,3,4,Unnamed,HY,2600,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
68-2261,2,3,Intermtn Power Plant,SG,3000,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
61-1180,2,3,Unnamed,HY,100,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
63-2422,5,7,Unnamed Power Plant,HY,14800,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
63-2422,5,8,Unnamed Power Plant,HY,3300,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
63-2422,5,9,Unnamed Power Plant,HY,3400,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
63-2422,5,10,Unnamed Power Plant,HY,1815,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
66-314,5,3,Pigeon Creek Hydro,HY,243,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
95-3909,1,0,,HY,,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
63-2419,7,8,Unnamed Power Plant,HY,1150,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
95-1798,6,7,Unnamed,HY,2700,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
61-812,2,3,Unnamed,HY,2000,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
65-2317,3,4,Unnamed,HY,100,KW,101,1231,"Place of us will be in Sec.1,12, T14S,R2E SLBM and Sec. 6,7 T14S,R3E SLBM"
95-3955,1,5,Unnamed,HY,200,KW,101,1231,Low head generator in piping system.
95-1795,7,9,Unnamed,SG,800,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
63-2786,1,2,Unnamed,HY,2,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
63-2425,9,10,Unnamed Power Plant,HY,925,KW,101,1231,Two horizontal Francis turbines will be used to produce 8.6 GWH of power in addition to the 925 KW.
65-2336,3,4,Unit # 4,HY,1250,KW,101,1231,Within the service area of Mt. Pleasant City Power Department.
68-2173,1,3,Intrmtn. Power Plant,SG,3000,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
63-423,2,3,Unnamed,SG,,,101,1231,"Development of geothermal steam for power purposes and extraction of by-products, if any."
65-2312,3,4,No name,HY,,,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
67-838,1,2,Unnamed,HY,55,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
95-4011,1,2,Unnamed Plant,HY,450,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
95-1794,1,3,Unnamed Power Plant,SG,800,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
63-56,2,3,,HY,158,KW,101,1231,Water used to power needs both within and outside the boundary of the City of Monroe.
61-3,4,5,Unnamed,HY,,,101,1231,Water used to generate power for propelling machinery and for lighting purposesat a concentration plant.
66-275,6,7,Unnamed,HY,2000,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
63-54,2,3,City of Monroe,HY,250,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
61-1481,2,3,Unnamed,HY,450,W,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
65-2337,3,4,,HY,300,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
65-2158,4,5,unnamed,HY,,,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
65-1733,2,4,Unnamed,HY,200,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
67-869,1,2,Unnamed,HY,100,MW,101,1231,Geothermal-electric power plant capable of generating approx. 100 megawatts per 640 acres of land.
65-2613,2,3,Flying T Power Co.,HY,100,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
65-2289,2,3,Big Springs Elec.,HY,,,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
61-46,2,3,Unnamed,HY,,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
95-4018,2,6,Unnamed,HY,,,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
66-323,1,2,Unnamed,HY,10,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
95-3908,2,0,,HY,,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
65-2235,1,2,,HY,3850,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
67-956,3,4,Unnamed,HY,14,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
65-25,1,2,Unnamed,HY,,,1201,320,                                                                                                                                                                                                                                                                                                                                                                                                                
68-2182,1,2,Inrmtn Power Project,SG,3000,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
65-3,1,2,Unnamed,HY,287,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
63-16,2,3,Bully Boy Mill&Mine,HY,,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
65-16,1,2,Unnamed,HY,,,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
95-697,1,2,Unnamed Power Plant,SG,2000,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
66-187,1,2,Unnamed,HY,2000,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
65-26,1,2,Unnamed,HY,,,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
68-2165,1,2,Intermountain Power,SG,3000,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
68-2102,1,2,Unnamed Power Plant,HY,1550,KW,101,1231,Alt. #1-a flow of 500 cfs with 97` of head through 430 feet of 72` diameter penstock; Alt #2 a flow of 500 cfs with 105` of head through 600 feet of 72` diameter penstock.
66-287,1,0,,HY,300,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
65-2160,2,3,Hydro Unit #1,HY,2125,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
95-691,2,3,Unnamed Power Plant,SG,2000,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
95-249,1,2,Not Given,HY,186,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
67-868,1,2,Unknown,HY,100,,101,1231,This geothrmal-electric power plant is capable of generating approx. 100 megawatts per 640 acres of land.
63-2612,1,2,Unnamed,HY,350,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
95-4025,1,2,Unnamed,HY,,,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
63-2016,4,5,Unnamed,SG,200,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
65-1,1,2,Spring City,HY,101,KW,101,1231,Within the service area of Spring City Municipal Power
65-2311,3,4,No name,HY,,,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
95-687,3,5,Unnamed Power Plant,SG,2000000,KW,101,1231,
65-29,1,2,Unnamed,HY,231,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
95-4017,2,3,Unnamed,HY,,,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
65-2236,1,2,,HY,4125,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
63-2837,2,5,Unnamed Plant,HY,250,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
63-2491,1,0,,HY,60,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
65-2295,1,5,Unnamed,HY,,,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
95-4580,2,3,Cubex,HY,730,W,501,1101,
65-2375,2,3,,HY,,,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
63-3856,2,3,Hot Spring Power,SG,,,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
65-2381,2,3,Daves,HY,1500,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
65-2162,2,3,,HY,1000,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
65-2401,2,3,Pleasant Cr. #3,HY,225,KW,101,1231,Place of Use: Within the service area of Mt. Pleasant City Power Department
65-2402,3,4,Unit # 4,HY,1250,KW,101,1231,Within the service area of Mt. Pleasant City Power Department.
66-350,2,3,BDM-Lynndyl,HY,2000,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
65-2412,2,3,Ephraim #3,HY,120,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
61-1427,2,5,,HY,1650,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
95-4708,4,5,Unnamed,HY,55,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
61-1433,3,4,,HY,3300,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
61-1434,4,5,,HY,3300,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
61-1437,4,5,,HY,3300,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
95-4710,2,3,Security Ranches,HY,240,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
61-804,2,7,Piute Dam,HY,5160,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
95-4717,2,3,HK-I,HY,30,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
61-1455,2,3,unnamed,HY,35,KW,1001,501,Water diverted for this use will not interfere with existing irrigation rights from Greenwich Creek.
61-1456,2,3,unnamed,HY,146,KW,101,1231,Water diverted for this use will not interfere with existing irrigation rights from Otter Creek at Daniels Canyon.
95-4720,2,3,Unnamed,HY,730,W,501,1101,                                                                                                                                                                                                                                                                                                                                                                                                                
61-1469,2,3,Antimony,HY,1000,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
95-4727,2,3,Sand Creek,HY,100,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
61-810,2,19,unnamed,HY,1000,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
61-811,7,20,unnamed,HY,1000,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
63-3961,2,11,IPA,HY,3000,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
63-3218,2,3,unnamed,HY,,,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
65-37,1,4,,HY,373,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
65-94,1,4,,HY,,,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
65-2164,2,3,unnamed,HY,,,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
65-2188,2,3,Manti City Corp.,HY,22,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
61-1159,2,6,Unnamed,HY,8500,W,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
95-725,1,7,,HY,1000,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
63-4154,2,3,Unnamed,HY,,,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
61-1847,2,3,Unnamed,HY,15,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
65-1479,2,4,Manti Lower Pwr. Hou,HY,1200,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
66-408,1,2,Unnamed,HY,379,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
May-73,11,12,Unnamed,HY,7309,KW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
91-4200,2,3,,HY,1000,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
93-1153,1,2,Unnamed,SG,1000,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
93-1164,1,3,Unnamed,SG,2000,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
93-1568,1,4,,SG,1600,MW,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
