WRNUM,GROUP_IDNUM,USE_IDNUM,MUNICIPALITY,USE_BEG_DATE,USE_END_DATE,MUNICIPAL_COMMENTS
59-2956,3,4,Magna,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
59-2957,3,4,Magna,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
59-2958,3,4,Magna,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
59-2959,3,4,Magna,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
59-2960,3,4,Magna,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
59-2961,3,4,Magna,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
59-5143,2,5,Taylorsville-Bennion Improvement Dist,101,1231,Water to be used within the service area of Taylorsville-Bennion Improvement
57-2283,4,5,Murray City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
57-2536,2,3,Salt Lake City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
57-2552,2,3,Jordan Valley Water Conservancy District,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
59-1228,1,3,Magna,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
59-1285,2,3,Magna,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
59-1286,1,3,Magna,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
59-1287,1,3,Magna,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
59-1288,1,3,Magna,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
57-4409,2,3,Salt Lake City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
57-4410,2,3,Salt Lake City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
57-4411,2,3,Salt Lake City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
57-4413,2,3,Salt Lake City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
57-4414,2,3,Salt Lake City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
57-4949,1,8,Salt Lake City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
59-1531,1,4,Salt Lake County Water Conservancy Dist.,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
59-1532,2,3,Salt Lake County Water Conservancy Dist.,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
59-1533,4,5,Riverton City,101,1231,Within the service area of Riverton
59-1535,3,4,Salt Lake County Water Conservancy Dist.,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
57-8722,1,2,Salt Lake City,401,1001,                                                                                                                                                                                                                                                                                                                                                                                                                
57-3541,2,3,Salt Lake City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
57-3555,2,3,Salt Lake City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
59-1095,3,4,Magna Water Company,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
59-4002,2,3,Magna,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
57-4412,2,3,Salt Lake City Corporation,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
51-6272,2,4,Payson City & `Old Field` area,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
57-6753,0,2,Sandy City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
55-3287,1,4,Town of Charleston,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
55-8230,2,5,Lemon Grove,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
51-6298,2,3,Spanish Fork City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
55-7052,4,6,Heber City,1101,401,0.05 cfs is diverted during this period of use.
59-1094,2,3,used in the service area of Magna Water,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
59-4193,1,4,Riverton City,101,1231,Place of use is within the service area of Riverton.
51-4885,1,6,Elk Ridge,101,1231,Water is used within the corporate boundaries of Elk Ridge and one domestic
57-2403,1,4,Salt Lake City & County,101,1231,
51-3483,1,3,Spanish Fork City,101,1231,Uses within the service area at Spanish Fork City.
57-2750,1,5,Sandy City,101,1231,Water is to be used within the service area of Sandy City. Water Right 57-2750 is limited to the diversion of 60.75 acre-feet of water annually.
57-8506,1,4,Sandy City,101,1231,Water is to be used within the service area of Sandy City. Water Right 57-8506 is limited to the diversion of 202.5 acre-feet of water annually.
57-2742,1,5,Sandy City,101,1231,Water is to be used within the service area of Sandy City. Water Right 57-2742 is limited to the diversion of 472.5 acre-feet of water annually.
51-1750,1,9,Spanish Fork City,515,1031,Water to be used within the service area of Spanish Fork City.
51-1751,1,6,Spanish Fork City,515,1031,Water to be used within the service area of Spanish Fork City.
57-10000,4,5,Sandy City Corporation,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
51-2374,1,4,Salem City,101,1231,Water to be used within the service area of Salem City.
57-2254,2,3,"Mount Olympus Park, Inc.",101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
57-2328,2,3,Salt Lake City Corporation,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
57-7838,2,3,"Bluffdale branch,Riverton water system",101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
57-10042,1,3,Salt Lake City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
57-10041,1,3,Salt Lake City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
57-10040,1,3,Salt Lake City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
57-10036,1,3,Salt Lake City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
57-10037,1,3,Salt Lake City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
57-10039,1,3,Salt Lake City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
57-10009,1,3,Salt Lake City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
57-10010,1,3,Salt Lake City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
57-10011,1,3,Salt Lake City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
57-10014,1,3,Salt Lake City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
57-10015,1,3,Salt Lake City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
57-10012,1,3,Salt Lake City & it`s service area,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
57-10013,1,3,Salt Lake City and it`s service area,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
57-10035,1,3,Salt Lake City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
57-10034,1,3,Salt Lake City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
57-10033,1,3,Salt Lake City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
57-10032,1,3,Salt Lake City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
57-10031,1,3,Salt Lake City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
57-10030,1,3,Salt Lake City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
57-10029,1,3,Salt Lake City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
57-10028,1,3,Salt Lake City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
57-10027,1,4,Salt Lake City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
57-10026,1,3,Salt Lake City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
57-10025,1,3,Salt Lake City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
57-10024,1,3,Salt Lake City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
57-10023,1,3,Salt Lake City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
57-10022,1,3,Salt Lake City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
57-10021,1,3,Salt Lake City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
57-10020,1,3,Salt Lake City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
57-10019,1,3,Salt Lake City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
57-10018,1,3,Salt Lake City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
57-10017,1,3,Salt Lake City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
57-10016,1,3,Salt Lake City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
59-1141,1,7,Riverton City,101,1231,Within the service area of Riverton
53-79,11,12,Town of Rocky Ridge,101,1231,Within the service area of the Town of Rocky Ridge.
57-8505,4,5,Sandy City Corporation,101,1231,Limited to the uses of 956 families (430.2 acre-feet).  Water to be used within the Sandy City service area.  Water right 57-8505 is the same well as 57-8248.
55-3573,18,19,3500 persons,101,1231,Signed water user claim on file.
57-10086,1,3,Salt Lake City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
54-1046,1,5,Town of Eagle Mountain,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
57-10097,2,3,Salt Lake City Suburban Sanitary Dist. 1,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
55-11082,4,5,Provo City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
55-11092,3,4,Provo City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
55-1129,1,6,Provo City,101,1231,
57-10115,1,2,Salt Lake County Water Conservancy Distr,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
51-6944,2,3,Spanish Fork City,101,1231,Within the service area of Spanish Fork.
57-10117,4,3,Salt Lake County Water Conservancy Dist.,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
57-10123,1,2,Unnamed Metropolitan Area in SL County,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
55-9142,2,4,American Fork City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
55-9144,2,4,American Fork City,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
55-9152,3,5,Jordanelle Special Service District,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
57-10151,2,4,Snowbird,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
57-9010,2,3,Sandy City Corporation,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
57-10211,2,3,Jordan Valley Water Conservancy District,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
57-10210,2,3,Jordan Valley Water Conservancy District,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
57-10209,2,3,Jordan Valley Water Conservancy District,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
57-10208,2,3,Jordan Valley Water Conservancy District,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
57-10207,2,3,Jordan Valley Water Conservancy District,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
57-10206,2,3,Jordan Valley Water Conservancy District,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
57-10205,2,3,Jordan Valley Water Conservancy District,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
57-10198,2,3,Jordan Valley Water Conservancy District,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
57-10197,2,3,Jordan Valley Water Conservancy District,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
57-10196,2,3,Jordan Valley Water Conservancy District,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
57-10134,2,3,Salt Lake County Water Conservancy Dist,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
57-10140,2,5,Alta Town,101,1231,                                                                                                                                                                                                                                                                                                                                                                                                                
55-1676,7,8,Salt Lake City,101,1231,Plugged by court order dated 11/23/1892
