USE TYPE,STATE,COUNTY,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Minerals,Colorado,green river,4600,4630,4670,4700,4730,4800,4800,4800,4900,4900,3990,3080,2160,1250,340,3520,2870,2186,1536,885,840,796,752,707,662,630,597,565,533,500,467,434,401,368,335,302,269,236,212,179,179,179,179,179,179,179,179,179
Minerals,Colorado,upper main stem,11240,11350,11450,11560,11670,11800,11900,12000,12100,12200,9940,7680,5240,3160,900,1224,1212,1201,1189,1178,1580,1961,2352.9999,2745.9999,3147.9999,3147.9999,3147.9999,3147.9999,3147.9999,3147.9999,3147.9999,3147.9999,3147.9999,3147.9999,3147.9999,3147.9999,3147.9999,3147.9999,3147.9999,3147.9999,3147.9999,3147.9999,3147.9999,3147.9999,3147.9999,3147.9999,3147.9999,3147.9999
Minerals,Colorado,san juan-colorado river,2100,2130,2170,2200,2230,2300,2300,2300,2400,2400,1950,1500,1050,600,150,179,179,157,157,157,157,157,157,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156
Minerals,New Mexico,san juan-colorado river,2440,2580,2720,2860,3000,3100,3300,3400,3600,3700,4200,3900,5400,4200,5600,1770.8,1510.2,1535.3,1398.7,1018.1,1100,1600,1800,1800,2200,1243.2,640.977,463.6067,641.9645,783.0528,889.7,890.2,890.5,1151.9,1319.3,953.7,1027.8,938.9,898.8,943.9,1259.596,1115.224,963.055,1091.372,943.861,1259.6,1115.2,1115.2
Minerals,Utah,green river,7240,7280,7320,7360,7400,7400,7500,7500,7600,7600,6790,5980,5170,4360,3550,3564,3576,3588,3598,3609,3430,3239,3060,2870,2691,2559,2420,2281,2140,2001,1862,1723,1584,1445,1306,1167,1028,889,750,645,645,645,645,645,645,645,645,645
Minerals,Utah,upper main stem,1380,1390,1410,1420,1430,1400,1500,1500,1500,1500,1580,1670,1750,1840,1930,1648,1535,1424,1311,1200,1154,1110,1065,1020,975,960,920,880,840,800,760,720,680,640,600,560,520,480,440,400,400,400,400,400,400,400,400,400
Minerals,Utah,san juan-colorado river,1140,1150,1150,1160,1170,1200,1200,1200,1200,1200,1620,2030,2440,2850,3260,1200,930,696,425,168,494,807,1121,1434,1760,1840,1880,1920,1960,1999,2036,2073,2110,2147,2184,2221,2258,2295,2332,2369,2369,2369,2369,2369,2369,2369,2369,2369
Minerals,Wyoming,green river,11080,11960,12840,13720,14600,15500,16400,17200,18100,19000,16440,13870,11300,8700,6200,7107,9327,11545,13767,15996,13451,10906,8374,5829,3284,2779,2273,1767,1262,758,758,758,758,758,758,758,758,758,738,738,738,738,738,738,738,738,738,738
Exports/Imports,Arizona,san juan-colorado river,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Exports/Imports,Colorado,green river,0,0,0,0,1753.83,588.9,240,1807.68,1821.73,1919.43,632.56,3149.93,3340.41,2336.33,3042.94,2942.03,1734.78,4687.38,3110.63,2824.62,3348.08,2575.9,3417.59,3222.71,3301.67,1975.87,2201.55,4485.11,1628.88,1774.16,2076.73,935.7,2645.1,1866.47,2773.17,2790.938,1795.946,2743.09,2994.6886,2878.136,5358.149,1966.5174,2378.0132,2278.3466,2138.629,3288.081,3312.108,374.9
