Water Use by Basin,UseType,Source,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Green River Planning  Basin,Domestic Use,Ground Water,2904.421039,2857.43465,2895.615494,2900.828377,2944.715214,3041.022584,3117.271464,3251.403749,3331.29714,3460.284234,3427.840942,3451.708914,3522.812603,3527.743412,3521.240461,3505.947809,3475.934191,3423.195978,3392.39629
Green River Planning  Basin,Domestic Use,Surface Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Green River Planning  Basin,Industrial Use,Ground Water,1575,1636.134864,1739.105961,1739.389136,1783.319431,1954,2153.138181,2439.537439,2488.299755,2504.423788,2539.312503,2420.761892,2392.977842,2248.585599,2225.508231,2313.574305,2186.042276,2190.495113,2125.130994
Green River Planning  Basin,Industrial Use,Surface Water,66475,66475,63371.78265,62582.02318,64950.60398,56865,56673.59473,56870.98537,57345.14809,54558.15609,55846.19623,52429.2363,53666.20316,57312.34701,53997.54042,52421.19632,46835.58866,47465.66749,42997.78506
Green River Planning  Basin,Municipal  Use,Cross Basin Diversion,14400,14523.87328,14631.0506,14771.08127,14997.55395,15300,15470.68493,15604.93151,15843.56164,16070.68493,16406.57534,16520.27397,6409,18424,8887,5908,6553,6093,6093
Green River Planning  Basin,Municipal  Use,Ground Water,811,802.4203786,828.6108018,847.5762806,876.9276169,884,920.760396,993.4059406,1046.79604,1104.124752,1116.815842,1112.00198,1149.2,1137.821782,1161.015842,1147.449505,1137.821782,1111.564356,1109.813861
Green River Planning  Basin,Municipal  Use,Surface Water,6539,6431.547751,6511.805295,6517.111579,6609.639905,6577.91,6737.428577,7015.085023,7176.713205,7448.36539,7369.985458,7425.971124,7573.643459,7589.059802,7565.691872,7535.995127,7471.408766,7361.384762,7292.092359
Northeast River Planning Basin,Agricultural Consumptive Use,Ground Water,7741.7264,12064.2774,8925.6514,10417.8868,7337.3956,11608.6704,7483.3858,9540.3126,13955.1281,13291.3136,17785.3296,15744.4062,6936.3308,17384.918,19841.4399,19994.7786,12565.6084,12845.178,30733.5499
Northeast River Planning Basin,Agricultural Consumptive Use,Surface Water,32984.116,51400.6185,38028.3035,44386.067,31261.439,49459.476,31883.4395,40647.1065,59456.70775,56628.484,75775.524,67080.0405,29552.677,74069.545,84535.71225,85189.0215,53536.571,54727.695,130942.2373
Northeast River Planning Basin,Domestic Use,Ground Water,1866.299704,1911.756166,1999.638658,2027.001666,2050.175548,2109.7146,2204.014475,2328.796919,2400.368563,2561.783567,2669.185599,2708.84859,2796.731082,2819.815834,2836.126682,2906.628763,2878.017931,2723.822483,2843.524498
Northeast River Planning Basin,Domestic Use,Surface Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northeast River Planning Basin,Industrial Use,Ground Water,33197.44527,40589.73411,35899.53702,33843.17986,29535.55376,23406.80615,23175.03322,16696.91791,14254.36136,10190.15646,7974.330405,5865.574466,4469.445533,3668.101859,3288.751269,3083.415392,2212.9647,2290.674565,2072.579442
Northeast River Planning Basin,Industrial Use,Surface Water,381.383973,815.9023081,826.8608468,820.7048918,817.046785,815.6008043,791.4338731,876.536228,870.8277179,844.966787,831.6532662,730.7022819,818.3006201,797.353284,822.537878,803.1270043,691.9014571,757.8197903,650.1527096
Northeast River Planning Basin,Municipal  Use,Ground Water,2213.1,2239.43734,2320.052504,2346.542525,2372.803525,2424.333105,2515.177844,2653.887837,2728.090431,2878.022422,2972.531487,3004.212635,3078.186209,3103.454788,3118.722811,3186.512835,3164.908582,3013.98417,3151.320041
Northeast River Planning Basin,Municipal  Use,Surface Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Platte River Planning  Basin,Agricultural Consumptive Use,Ground Water,41910.92844,45504.78905,31943.75421,51612.34399,45684.57621,51789.99755,38819.7816,46757.33764,51219.51061,59681.36743,58768.81424,58457.68519,34025.89661,44238.12105,66590.71662,60820.39596,60815.81499,67122.54775,60878.19141
Platte River Planning  Basin,Agricultural Consumptive Use,Surface Water,387664.342,420906.5454,295470.7738,477399.7168,422569.5262,479042.9625,359072.1,432492.2688,473766.1182,552035.9222,543595.061,540717.2044,314730.0074,409190.2214,615945.4658,562571.6168,562529.2442,620864.7547,563106.2086
Platte River Planning  Basin,Domestic Use,Ground Water,11880.30189,11920.87687,11993.99355,12081.81525,12213.88819,12267.80663,12387.28499,12533.79065,12737.55062,12981.20478,13130.50167,13252.83934,13501.25902,11578.11507,11618.18789,11692.9943,11649.07496,11564.16422,11551.82088
Platte River Planning  Basin,Domestic Use,Surface Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Platte River Planning  Basin,Industrial Use,Ground Water,60876,64644.51223,63488.01643,59592.00781,63695.9887,66022.72314,69080.62716,73924.79869,74404.77159,68909.47037,85259.08008,90861.15312,94042.46519,103979.3607,114798.823,125090.5852,115582.5174,139245.2777,156802.1966
Platte River Planning  Basin,Industrial Use,Surface Water,20550,20664.56078,20598.04394,20942.52595,20747.54426,20979.23665,20902.00065,21196.85584,21425.88667,20463.27908,22540.18507,23575.27905,23760.5366,25828.87006,33148.763,35662.63229,34566.69067,37301.68594,38693.09689
Platte River Planning  Basin,Municipal  Use,Ground Water,,,19933.30404,20084.07183,20309.63823,20404.33632,20604.73574,20843.17827,21183.81046,21591.86675,21842.60013,22036.44443,22459.3668,11842.39468,11884.81291,11960.60744,11911.02848,11829.651,15360.62402
Platte River Planning  Basin,Municipal  Use,Surface Water,,,10709.83652,10798.84421,10921.1611,10972.73886,11082.55622,11215.44965,11405.34645,11632.87923,11753.9599,11872.77418,12110.40274,13605.30995,13849.81882,13899.12181,13986.38578,13942.02081,0
Powder-Tongue River Planning Basin,Agricultural Consumptive Use,Ground Water,155.2147161,118.4360696,140.9628609,182.0940901,143.4971448,207.8551865,88.42934923,192.7771946,202.4521729,177.1260954,225.174523,236.0140746,119.852874,206.2539979,224.2973016,188.0191263,202.676467,276.9840675,304.8188866
