index,Basin_Subbasin_Number,Basin_Subbasin_Name,in_RegulatoryStatute,in_OversightAgency
270,5-052,Grays Valley,Very Low,Northern Region Office
271,5-053,Dixie Valley,Very Low,Northern Region Office
272,5-054,Ash Valley,Very Low,Northern Region Office
273,5-056,Yellow Creek Valley,Very Low,Northern Region Office
274,5-057,Last Chance Creek Valley,Very Low,Northern Region Office
275,5-058,Clover Valley,Very Low,Northern Region Office
276,5-059,Grizzly Valley,Very Low,Northern Region Office
277,5-060,Humbug Valley,Very Low,Northern Region Office
278,5-061,Chrome Town Area,Very Low,Northern Region Office
279,5-062,Elk Creek Area,Very Low,Northern Region Office
280,5-063,Stonyford Town Area,Very Low,Northern Region Office
281,5-064,Bear Valley,Very Low,Northern Region Office
282,5-065,Little Indian Valley,Very Low,Northern Region Office
283,5-066,Clear Lake Cache Formation,Very Low,Northern Region Office
284,5-068,Pope Valley,Very Low,North Central Region Office
285,5-069,Yosemite Valley,Very Low,South Central Region Office
286,5-070,Los Banos Creek Valley,Very Low,South Central Region Office
287,5-071,Vallecitos Creek Valley,Very Low,South Central Region Office
288,5-080,Brite Valley,Very Low,South Central Region Office
289,5-082,Cuddy Canyon Valley,Very Low,South Central Region Office
290,5-083,Cuddy Ranch Area,Very Low,Southern Region Office
291,5-084,Cuddy Valley,Very Low,South Central Region Office
292,5-085,Mil Potrero Area,Very Low,South Central Region Office
293,5-086,Joseph Creek,Very Low,Northern Region Office
294,5-087,Middle Fork Feather River,Very Low,Northern Region Office
295,5-088,Stony Gorge Reservoir,Very Low,Northern Region Office
296,5-089,Squaw Flat,Very Low,Northern Region Office
297,5-090,Funks Creek,Very Low,Northern Region Office
298,5-091,Antelope Creek,Very Low,Northern Region Office
299,5-092,Blanchard Valley,Very Low,Northern Region Office
300,5-094,Middle Creek,Very Low,Northern Region Office
301,5-095,Meadow Valley,Very Low,Northern Region Office
302,6-001,Surprise Valley,Very Low,Northern Region Office
303,6-002,Madeline Plains,Very Low,Northern Region Office
304,6-003,Willow Creek Valley,Very Low,Northern Region Office
305,6-004,Honey Lake Valley,Low,Northern Region Office
306,6-005.01,Tahoe Valley - Tahoe South,Medium,North Central Region Office
307,6-005.02,Tahoe Valley - Tahoe West,Very Low,North Central Region Office
308,6-005.03,Tahoe Valley - Tahoe North,Very Low,North Central Region Office
309,6-006,Carson Valley,Very Low,North Central Region Office
310,6-007,Antelope Valley,Very Low,North Central Region Office
311,6-008,Bridgeport Valley,Very Low,North Central Region Office
312,6-009,Mono Valley,Very Low,Southern Region Office
313,6-010,Adobe Lake Valley,Very Low,Southern Region Office
314,6-011,Long Valley,Very Low,Southern Region Office
315,6-012.01,Owens Valley - Owens Valley,Low,Southern Region Office
316,6-012.02,Owens Valley - Fish Slough,Very Low,Southern Region Office
317,6-013,Black Springs Valley,Very Low,Southern Region Office
318,6-014,Fish Lake Valley,Low,Southern Region Office
319,6-015,Deep Springs Valley,Very Low,Southern Region Office
320,6-016,Eureka Valley,Very Low,Southern Region Office
321,6-017,Saline Valley,Very Low,Southern Region Office
