SiteUUID,Longitude,Latitude
CAwr_S10193,-123.64203419,40.98148929
CAwr_S10194,-122.07884973,39.31898563
CAwr_S10195,-120.8986962,39.92190395
CAwr_S10196,-119.64478334,37.46385768
CAwr_S10197,-119.95297407,34.48535672
CAwr_S10198,-121.6307,38.6765
CAwr_S10199,-116.10197547,35.80090009
CAwr_S102,-117.1093207,34.89986071
CAwr_S1020,-122.94714377,38.69626352
CAwr_S10200,-118.78932374,34.40891086
CAwr_S10201,-118.7516672,34.4613596
CAwr_S10202,-119.11869843,34.29530384
CAwr_S10203,-119.11869843,34.29530384
CAwr_S10204,-122.0155,39.2845
CAwr_S10205,-122.05370517,37.25097331
CAwr_S10206,-123.1886037,39.16017677
CAwr_S10207,-123.18674152,39.15429194
CAwr_S10208,-123.19745487,39.1621459
CAwr_S10209,-122.99673849,38.78481973
CAwr_S1021,-116.90904555,34.33731379
CAwr_S10210,-123.39942647,39.0361779
CAwr_S10211,-123.39938866,39.03515407
CAwr_S10212,-121.60341163,39.38478225
CAwr_S10213,-121.59698351,39.39519359
CAwr_S10214,-122.4126095,38.48410712
CAwr_S10215,-122.4213527,38.48572324
CAwr_S10216,-120.25792123,38.47759933
CAwr_S10217,-120.26594376,38.48118486
CAwr_S10218,-122.82813838,38.61726292
CAwr_S10219,-122.85928694,38.60248268
CAwr_S1022,-121.96537209,37.12685692
CAwr_S10220,-122.99625815,38.49978322
CAwr_S10221,-121.7644446,37.35635466
CAwr_S10222,-119.30590537,36.8733851
CAwr_S10223,-121.02966819,38.05900293
CAwr_S10224,-122.94353763,38.43706543
CAwr_S10225,-119.38302813,36.98207262
CAwr_S10226,-122.74081505,38.15133637
CAwr_S10227,-123.44172386,40.83262055
CAwr_S10228,-121.61981094,38.90213376
CAwr_S10229,-121.14503166,35.61816389
CAwr_S1023,-122.85719775,38.54510598
CAwr_S10230,-122.40457482,39.84470851
CAwr_S10231,-122.41844964,39.84246224
CAwr_S10232,-122.42347295,39.8484829
CAwr_S10233,-122.40425159,39.85019989
CAwr_S10234,-121.2968859,35.75758276
CAwr_S10235,-123.11886899,39.12201025
CAwr_S10236,-122.67900496,38.61438567
CAwr_S10237,-122.67200799,38.61470092
CAwr_S10238,-122.79996895,38.11833984
CAwr_S10239,-122.87946675,38.26621903
CAwr_S1024,-122.85803554,38.54207915
CAwr_S10240,-122.88781172,38.26505678
CAwr_S10241,-120.92352718,38.58636539
CAwr_S10242,-120.48986814,38.41359243
CAwr_S10243,-119.02968003,36.91963903
CAwr_S10244,-118.96067934,36.7210424
CAwr_S10245,-121.02782217,39.30233856
CAwr_S10246,-120.86174934,38.75218727
CAwr_S10247,-118.9674107,34.66949769
CAwr_S10248,-121.75048098,36.23208882
CAwr_S10249,-120.88726006,38.75792699
CAwr_S1025,-122.05308069,38.89286384
CAwr_S10250,-122.60575768,38.52032948
CAwr_S10251,-116.86364449,34.22440037
CAwr_S10252,-116.86384255,34.22370147
CAwr_S10253,-116.86444291,34.22309979
CAwr_S10254,-116.86396545,34.22366595
CAwr_S10255,-116.86445308,34.22308245
CAwr_S10256,-124.06881066,41.79521974
CAwr_S10257,-122.21335981,40.64021961
CAwr_S10258,-119.80102245,34.50337426
CAwr_S10259,-120.96713738,39.05358785
CAwr_S1026,-123.18694796,39.27181405
CAwr_S10260,-120.91738286,38.80654288
CAwr_S10261,-120.82115897,38.39780871
CAwr_S10262,-122.2079732,37.18976637
CAwr_S10263,-121.3182744,38.68547395
CAwr_S10264,-120.20030401,37.95929018
CAwr_S10265,-121.63529112,38.96698459
CAwr_S10266,-122.42030493,38.30724364
CAwr_S10267,-121.1832,38.2207
CAwr_S10268,-121.30510062,38.31249532
CAwr_S10269,-121.06991079,38.49536878
CAwr_S1027,-122.90621832,38.8673881
CAwr_S10270,-121.07123683,38.50087147
CAwr_S10271,-124.19706443,41.96636214
CAwr_S10272,-122.49926873,40.61051048
CAwr_S10273,-121.97314897,38.43980185
CAwr_S10274,-120.92031384,38.42898589
CAwr_S10275,-119.8844,37.1108
CAwr_S10276,-120.62731698,39.66956698
CAwr_S10277,-121.07784685,38.96280195
CAwr_S10278,-120.66341383,38.68773315
CAwr_S10279,-120.21552697,38.05956463
CAwr_S1028,-121.45168994,38.78476089
CAwr_S10280,-120.21900022,38.05957299
CAwr_S10281,-121.43020564,38.14688643
CAwr_S10282,-120.95362469,39.13392426
CAwr_S10283,-116.90602245,32.90073868
CAwr_S10284,-116.90698545,32.89880964
CAwr_S10285,-121.09192571,40.01598722
CAwr_S10286,-121.18334106,38.81201426
CAwr_S10287,-119.01167554,37.5987185
CAwr_S10288,-121.59464661,37.83843748
CAwr_S10289,-121.59464661,37.83843748
CAwr_S1029,-121.45659927,38.78505859
CAwr_S10290,-120.95441447,40.0536557
CAwr_S10291,-119.29104172,34.49831782
CAwr_S10292,-122.88720735,38.49792303
CAwr_S10293,-119.09292974,34.75499395
CAwr_S10294,-121.52042238,38.37345343
CAwr_S10295,-120.72178631,38.00917413
CAwr_S10296,-120.71829754,38.00313897
CAwr_S10297,-120.71412636,38.00094959
CAwr_S10298,-120.71760985,38.00533718
CAwr_S10299,-121.38219845,38.08711104
CAwr_S103,-117.34207768,34.20488968
CAwr_S1030,-121.50603037,38.79022241
CAwr_S10300,-121.39956701,38.08670586
CAwr_S10301,-120.66538689,35.32718022
CAwr_S10302,-120.07576892,38.20358997
CAwr_S10303,-120.3891226,38.94789461
CAwr_S10304,-120.54327319,37.23544302
CAwr_S10305,-119.01381782,36.22714879
CAwr_S10306,-118.78765943,36.10910794
CAwr_S10307,-122.91874169,40.75506761
CAwr_S10308,-121.96574118,40.74005975
CAwr_S10309,-121.09115343,40.88005713
CAwr_S1031,-121.45171746,38.78119135
CAwr_S10310,-121.23294021,40.31501959
CAwr_S10311,-119.16783813,36.58496341
CAwr_S10312,-119.19436975,36.57063947
CAwr_S10313,-123.54779551,38.79471741
CAwr_S10314,-120.52673073,40.56180196
CAwr_S10315,-123.62822905,38.86680704
CAwr_S10316,-122.37534649,37.23720061
CAwr_S10317,-118.37901751,35.3919233
CAwr_S10318,-121.68203849,40.5205653
CAwr_S10319,-116.94181008,34.05236072
CAwr_S1032,-120.60773909,40.40576955
CAwr_S10320,-120.73775014,39.06972928
CAwr_S10321,-119.07908131,38.23647522
CAwr_S10322,-120.82393253,35.39811596
CAwr_S10323,-121.98805703,37.16365259
