SiteUUID,RegulatoryOverlayUUIDs,WaterSourceUUIDs,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,Geometry,GNISCodeCV,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,PODorPOUSite,SiteName,SiteNativeID,SitePoint,SiteTypeCV,StateCV,USGSSiteID
CAos_S71,,CAos_WS5,Unspecified,Unspecified,MERCED,4326,,,,,37.001,-121.00200000000001,,,Gage,SAN LUIS RESERVOIR (STATE),LUS,,Reservoir Gage,CA,
CAos_S72,,CAos_WS5,Unspecified,Unspecified,SAN DIEGO,4326,,,,,32.779,-116.792,,,Gage,LOVELAND RESERVOIR,LVD,,Reservoir Gage,CA,
CAos_S73,,CAos_WS5,Unspecified,Unspecified,CONTRA COSTA,4326,,,,,37.838,-121.726,,,Gage,LOS VAQUEROS RESERVOIR,LVQ,,Reservoir Gage,CA,
CAos_S74,,CAos_WS5,Unspecified,Unspecified,PLACER,4326,,,,,39.3,-120.583,,,Gage,LAKE VALLEY RESERVOIR,LVY,,Reservoir Gage,CA,
CAos_S75,,CAos_WS5,Unspecified,Unspecified,AMADOR,4326,,,,,38.538000000000004,-120.257,,,Gage,LOWER BEAR,LWB,,Reservoir Gage,CA,
CAos_S76,,CAos_WS5,Unspecified,Unspecified,TUOLUMNE,4326,,,,,38.094,-120.166,,,Gage,LYONS RESERVOIR,LYS,,Reservoir Gage,CA,
CAos_S77,,CAos_WS5,Unspecified,Unspecified,VENTURA,4326,,,,,34.486,-119.307,,,Gage,MATILIJA DAM,MAT,,Reservoir Gage,CA,
CAos_S78,,CAos_WS5,Unspecified,Unspecified,SHASTA,4326,,,,,41.135,-122.074,,,Gage,LAKE MCCLOUD,MCO,,Reservoir Gage,CA,
CAos_S79,,CAos_WS5,Unspecified,Unspecified,MARIPOSA,4326,,,,,37.52,-120.309,,,Gage,LAKE MC SWAIN,MCS,,Reservoir Gage,CA,
CAos_S80,,CAos_WS5,Unspecified,Unspecified,STANISLAUS,4326,,,,,37.657,-120.675,,,Gage,MODESTO RESERVOIR,MDO,,Reservoir Gage,CA,
CAos_S81,,CAos_WS5,Unspecified,Unspecified,RIVERSIDE,4326,,,,,33.833,-117.46,,,Gage,LAKE MATHEWS,MHW,,Reservoir Gage,CA,
CAos_S82,,CAos_WS2,Unspecified,Unspecified,Unspecified,4326,,,180400000000.0,18040012.0,38.31295895,-120.71898770000001,,,Gage,MOKELUMNE-MOKELUMNE HILL,MKM,,Stream Gage,CA,
CAos_S83,,CAos_WS5,Unspecified,Unspecified,SAN DIEGO,4326,,,,,32.9,-117.1,,,Gage,MIRAMAR,MMR,,Reservoir Gage,CA,
CAos_S84,,CAos_WS5,Unspecified,Unspecified,LASSEN,4326,,,,,40.283,-121.01700000000001,,,Gage,MOUNTAIN MEADOWS,MMW,,Reservoir Gage,CA,
CAos_S85,,CAos_WS5,Unspecified,Unspecified,SAN DIEGO,4326,,,,,32.683,-116.55,,,Gage,MORENA DAM,MOR,,Reservoir Gage,CA,
CAos_S86,,CAos_WS5,Unspecified,Unspecified,FRESNO,4326,,,,,37.329,-119.32799999999999,,,Gage,MAMMOTH POOL,MPL,,Reservoir Gage,CA,
CAos_S87,,CAos_WS5,Unspecified,Unspecified,SAN DIEGO,4326,,,,,32.782,-117.04700000000001,,,Gage,MURRAY RES,MRR,,Reservoir Gage,CA,
CAos_S88,,CAos_WS2,Unspecified,Unspecified,Unspecified,4326,,,180200000000.0,18020004.0,40.95817366,-122.2199044,,,Gage,MCCLOUD RIVER ABOVE SHASTA LAKE,MSS,,Stream Gage,CA,
CAos_S89,,CAos_WS5,Unspecified,Unspecified,MARIN,4326,,,,,38.075,-122.757,,,Gage,NICASIO,NCA,,Reservoir Gage,CA,
CAos_S90,,CAos_WS5,Unspecified,Unspecified,SAN LUIS OBISPO,4326,,,,,35.758,-120.884,,,Gage,NACIMIENTO,NCM,,Reservoir Gage,CA,
CAos_S91,,CAos_WS5,Unspecified,Unspecified,MERCED,4326,,,,,37.067,-121.06700000000001,,,Gage,ONEILL FOREBAY,ONF,,Reservoir Gage,CA,
CAos_S92,,CAos_WS5,Unspecified,Unspecified,BUTTE,4326,,,,,39.54,-121.493,,,Gage,OROVILLE DAM,ORO,,Reservoir Gage,CA,
CAos_S93,,CAos_WS1,Unspecified,Unspecified,Unspecified,4326,,,180901000000.0,18090102.0,37.05799518,-118.2268152,,,Gage,OWENS RIVER BELOW TINEMAHA RESERVOIR,OTR,,Stream Gage,CA,
CAos_S94,,CAos_WS1,Unspecified,Unspecified,Unspecified,4326,,,180901000000.0,18090102.0,37.58780448,-118.70850300000001,,,Gage,OWENS RIVER-LONG VLY,OWL,,Stream Gage,CA,
CAos_S95,,CAos_WS5,Unspecified,Unspecified,CALAVERAS,4326,,,,,38.25,-120.85,,,Gage,PARDEE,PAR,,Reservoir Gage,CA,
CAos_S96,,CAos_WS5,Unspecified,Unspecified,RIVERSIDE,4326,,,,,33.858000000000004,-117.18299999999999,,,Gage,PERRIS,PRR,,Reservoir Gage,CA,
CAos_S97,,CAos_WS5,Unspecified,Unspecified,VENTURA,4326,,,,,34.461,-118.751,,,Gage,LAKE PIRU,PRU,,Reservoir Gage,CA,
CAos_S98,,CAos_WS5,Unspecified,Unspecified,SHASTA,4326,,,,,40.842,-122.001,,,Gage,PIT R PH #6,PT6,,Reservoir Gage,CA,
CAos_S99,,CAos_WS5,Unspecified,Unspecified,SHASTA,4326,,,,,40.843,-122.015,,,Gage,PIT R PH #7,PT7,,Reservoir Gage,CA,
