ID,Station,Elev,Latitude,Longitude,County,Operating Agency
SW3,SWEETWATER RESERVOIR,252,32.692,-117.007,SAN DIEGO,South Bay Irrigation District
SWB,STRAWBERRY,5620,38.2,-119.983,TUOLUMNE,Pacific Gas & Electric
TAB,THERMALITO AFTERBAY,140,39.45,-121.633,BUTTE,CA Dept of Water Resources/Operations and Maintenance
TAE,THOMAS A EDISON,7642,37.37,-118.987,FRESNO,"Southern California Edison Company, Big Creek"
TFR,THERMALITO FOREBAY,230,39.519,-121.629,BUTTE,CA Dept of Water Resources
THD,THERMALITO DIVERS POOL,230,39.528,-121.543,BUTTE,CA Dept of Water Resources
TLC,TURLOCK LAKE,244,37.6,-120.583,STANISLAUS,Turlock Irrigation District
TMT,THERMALITO TOTAL,140,39.458,-121.638,BUTTE,CA Dept of Water Resources
TNM,TINEMAHA RESERVOIR,3882,37.058,-118.225,INYO,City of Los Angeles; Dept of Water and Power
UNV,UNION VALLEY,4870,38.864,-120.438,EL DORADO,Sacramento Municipal Utility District
USL,U SAN LEANDRO,477,37.7644,-122.1016,ALAMEDA,East Bay Municipal Utility District
VIL,VAIL LAKE,1470,33.496,-116.976,RIVERSIDE,Rancho Calif Water District
WHR,WHALE ROCK,233,35.45,-120.883,SAN LUIS OBISPO,San Luis Obispo County
WSN,WISHON,6560,37.005,-118.969,FRESNO,Pacific Gas & Electric
