Station,ID,Elev,Latitude,Longitude,County,Operating Agency
LEROY ANDERSON,LRA,640,37.165,-121.632,SANTA CLARA,Santa Clara Valley Water District
COYOTE RES-STA CLARA,CYC,755,37.118,-121.549,SANTA CLARA,Santa Clara Valley Water District
SANTIAGO CREEK RES (IRVINE LAKE),SGC,810,33.785,-117.723,ORANGE,Serrano Irrigation Dist and Irvine Ranch Water Dist
INDEPENDENCE LAKE,INL,6952,39.45,-120.283,SIERRA,Sierra County
DONNER LAKE (STORAGE),DNL,5938,39.324,-120.233,NEVADA,Sierra County
LOVELAND RESERVOIR,LVD,1366,32.779,-116.792,SAN DIEGO,South Bay Irrigation District
SWEETWATER RESERVOIR,SW3,252,32.692,-117.007,SAN DIEGO,South Bay Irrigation District
LITTLE GRASS VALLEY,LGV,5047,39.724,-121.019,PLUMAS,South Feather Water and Power Agency
SLY CREEK,SLC,3536,39.584,-121.116,BUTTE,South Feather Water and Power Agency
MAMMOTH POOL,MPL,3330,37.329,-119.328,FRESNO,Southern California Edison Company
REDINGER LAKE,RDN,1403,37.145,-119.449,MADERA,Southern California Edison Company
THOMAS A EDISON,TAE,7642,37.37,-118.987,FRESNO,"Southern California Edison Company, Big Creek"
FLORENCE LAKE (SCE),FLR,7325,37.267,-118.967,FRESNO,"Southern California Edison Company, Big Creek"
SADDLEBAG LAKE RESERVOIR,SDB,10090,37.966,-119.272,MONO,"Southern California Edison Company, Big Creek"
GEM LAKE,GLK,9054,37.752,-119.14,MONO,"Southern California Edison Company, Big Creek"
TURLOCK LAKE,TLC,244,37.6,-120.583,STANISLAUS,Turlock Irrigation District
LAKE PIRU,PRU,213,34.461,-118.751,VENTURA,United Water Conservation District
LAKE MENDOCINO,MNC,760,39.199,-123.182,MENDOCINO,US Army Corps of Engineers
WARM SPRINGS (USACE),WRS,440,38.723,-123.01,SONOMA,US Army Corps of Engineers
SANTA MARGARITA LAKE,SLN,1325,35.333,-120.502,SAN LUIS OBISPO,US Army Corps of Engineers
BLACK BUTTE,BLB,426,39.808,-122.329,TEHAMA,US Army Corps of Engineers
ENGLEBRIGHT (USACE),ENG,551,39.239,-121.267,NEVADA,US Army Corps of Engineers
NEW HOGAN LAKE,NHG,554,38.152,-120.812,CALAVERAS,US Army Corps of Engineers
BUCHANAN DAM,BUC,450,37.213,-119.97,MADERA,US Army Corps of Engineers
HIDDEN DAM (HENSLEY),HID,561,37.2,-119.917,MADERA,US Army Corps of Engineers
PINE FLAT DAM,PNF,970,36.833,-119.325,FRESNO,US Army Corps of Engineers
TERMINUS DAM,TRM,752,36.415,-119.002,TULARE,US Army Corps of Engineers
SUCCESS DAM,SCC,692,36.061,-118.922,TULARE,US Army Corps of Engineers
ISABELLA DAM,ISB,2635,35.646,-118.473,KERN,US Army Corps of Engineers
MARTIS CREEK RESERVOIR,MRT,5745,39.327,-120.113,NEVADA,US Army Corps of Engineers
UPPER KLAMATH,KLM,4097,42.25,-121.815,SISKIYOU,US Bureau of Reclamation
GERBER,GBR,9999,42.205,-121.13,SISKIYOU,US Bureau of Reclamation
CLEAR LK - KLAMATH R,CLK,4552,41.927,-121.075,MODOC,US Bureau of Reclamation
DWINNELL,DWN,2792,41.541,-122.376,SISKIYOU,US Bureau of Reclamation
TRINITY LAKE,CLE,2370,40.801,-122.762,TRINITY,US Bureau of Reclamation
LEWISTON,LEW,1870,40.727,-122.793,TRINITY,US Bureau of Reclamation
CACHUMA LAKE,CCH,781,34.583,-119.98,SANTA BARBARA,US Bureau of Reclamation
CASITAS,CSI,335,34.373,-119.332,VENTURA,US Bureau of Reclamation
SHASTA DAM (USBR),SHA,1067,40.718,-122.42,SHASTA,US Bureau of Reclamation
KESWICK RESERVOIR,KES,596,40.612104,-122.445699,SHASTA,US Bureau of Reclamation
WHISKEYTOWN DAM (USBR),WHI,1210,40.598,-122.537,SHASTA,US Bureau of Reclamation
STONY GORGE RESERVOIR,STG,800,39.583,-122.533,GLENN,US Bureau of Reclamation
EAST PARK RESERVOIR,EPK,1205,39.367,-122.517,COLUSA,US Bureau of Reclamation
FOLSOM LAKE,FOL,466,38.683,-121.183,SACRAMENTO,US Bureau of Reclamation
LAKE NATOMA (NIMBUS DAM),NAT,132,38.65,-121.183,SACRAMENTO,US Bureau of Reclamation
BERRYESSA,BER,456,38.513,-122.104,NAPA,US Bureau of Reclamation
DONNELLS,DON,4835,38.329,-119.96,TUOLUMNE,US Bureau of Reclamation
