SiteUUID,RegulatoryOverlayUUIDs,WaterSourceUUIDs,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,Geometry,GNISCodeCV,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,PODorPOUSite,SiteName,SiteNativeID,SitePoint,SiteTypeCV,StateCV,USGSSiteID
NDssdw_S14307017A,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Kidder,4326,,,,,47.20847067,-99.5712712,,,POD,Wade Blank,14307017A,,WaDE Blank,ND,
NDssdw_S14307017B,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Kidder,4326,,,,,47.20853726,-99.5818758,,,POD,Wade Blank,14307017B,,WaDE Blank,ND,
NDssdw_S14307030D,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Kidder,4326,,,,,47.17241493,-99.59249258,,,POD,Wade Blank,14307030D,,WaDE Blank,ND,
NDssdw_S14307033C,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Kidder,4326,,,,,47.15784352,-99.56058851,,,POD,Wade Blank,14307033C,,WaDE Blank,ND,
NDssdw_S14307033D,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Kidder,4326,,,,,47.15787211,-99.55000403,,,POD,Wade Blank,14307033D,,WaDE Blank,ND,
NDssdw_S14307035C,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Kidder,4326,,,,,47.15778401,-99.51817606,,,POD,Wade Blank,14307035C,,WaDE Blank,ND,
NDssdw_S14307118D,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Kidder,4326,,,,,47.20152,-99.71955,,,POD,Wade Blank,14307118D,,WaDE Blank,ND,
NDssdw_S14307120W,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Kidder,4326,,,,,47.19064,-99.70912,,,POD,Wade Blank,14307120W,,WaDE Blank,ND,
NDssdw_S14307129C,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Kidder,4326,,,,,47.17253,-99.70915,,,POD,Wade Blank,14307129C,,WaDE Blank,ND,
NDssdw_S14307132A,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Kidder,4326,,,,,47.16526299,-99.69850528,,,POD,Wade Blank,14307132A,,WaDE Blank,ND,
NDssdw_S14307132C,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Kidder,4326,,,,,47.15802,-99.70912,,,POD,Wade Blank,14307132C,,WaDE Blank,ND,
NDssdw_S14307132D,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Kidder,4326,,,,,47.15804,-99.69852,,,POD,Wade Blank,14307132D,,WaDE Blank,ND,
NDssdw_S14307217B,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Kidder,4326,,,,,47.20898634,-99.83590773,,,POD,Wade Blank,14307217B,,WaDE Blank,ND,
NDssdw_S14307217C,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Kidder,4326,,,,,47.20178653,-99.83590535,,,POD,Wade Blank,14307217C,,WaDE Blank,ND,
NDssdw_S14307229C,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Kidder,4326,,,,,47.17285,-99.83576,,,POD,Wade Blank,14307229C,,WaDE Blank,ND,
NDssdw_S14307232B,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Kidder,4326,,,,,47.16563,-99.83575,,,POD,Wade Blank,14307232B,,WaDE Blank,ND,
NDssdw_S14307232C,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Kidder,4326,,,,,47.1583611,-99.83574921,,,POD,Wade Blank,14307232C,,WaDE Blank,ND,
NDssdw_S14308011DD,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Mclean,4326,,,,,47.21687,-100.77301,,,POD,Wade Blank,14308011DD,,WaDE Blank,ND,
NDssdw_S14308102BCC,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Mclean,4326,,,,,47.23763,-100.91715,,,POD,Wade Blank,14308102BCC,,WaDE Blank,ND,
NDssdw_S14308103AB,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Mclean,4326,,,,,47.2422,-100.92648,,,POD,Wade Blank,14308103AB,,WaDE Blank,ND,
NDssdw_S14308103AD,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Mclean,4326,,,,,47.23855,-100.92114,,,POD,Wade Blank,14308103AD,,WaDE Blank,ND,
NDssdw_S14308104B,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Mclean,4326,,,,,47.2403786,-100.9556576,,,POD,Wade Blank,14308104B,,WaDE Blank,ND,
NDssdw_S14308104BA,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Mclean,4326,,,,,47.2422,-100.95302,,,POD,Wade Blank,14308104BA,,WaDE Blank,ND,
NDssdw_S14308105AW,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Mclean,4326,,,,,47.2404,-100.96886,,,POD,Wade Blank,14308105AW,,WaDE Blank,ND,
NDssdw_S14308105CE,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Mclean,4326,,,,,47.23318002,-100.9740972,,,POD,Wade Blank,14308105CE,,WaDE Blank,ND,
NDssdw_S14308107A,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Oliver,4326,,,,,47.22478398,-100.9871882,,,POD,Wade Blank,14308107A,,WaDE Blank,ND,
