,The name of the water supplier that the Division of Water Resources uses.,The name of the water supplier that the Division of Water Rights uses.,The name of the water supplier that the Division of Drinking Water uses.,The type of water supplier as defined by the EPA and the Division of Drinking Water.,A unique integer ID that the Division of Water Resources uses to join the suppliers to water use databases and to perform other queries,A unique integer ID that the Division of Water Rights uses to track water suppliers.,A unique string ID that the Division of Drinking Water uses to distinquish water suppliers in their databases,,,,,,,,,,,,,,,,,,
OBJECTID,WRENAME,WRNAME,DWNAME,SYSTEMTYPE,WATERRESID,WRID,DWSYSNUM,WRLINK,WHOLESALER,LABEL,STATE,COUNTY,BASIN,SUBAREA,SUBAREANAM,LANUM,LANAME,ENDYEAR,DATASOURCE,SOURCEDATE,EDITOR,EDITDATE,COLOR4,SHAPE_Length,SHAPE_Area
123,Mid Valley Estates,Mid Valley Estates Water Company,Mid Valley Estates,C,515,1242,UTAH11015,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1242, , ,Utah,Iron,Cedar/Beaver,6/2/2002,Cedar,06-02-02a,Cedar,2018,DWRe/DWRi/Supplier,7/25/2019 0:00,ADAMCLARK,10/16/2019 0:00,,0.042515727,8.30E-05
351,Peterson Pipeline Assoc.,Peterson Pipeline Association,Peterson Pipeline Association,C,718,1243,UTAH15010,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1243, , ,Utah,Morgan,Weber River,2/1/2007,Morgan,02-01-07a,Morgan,2018, ,,ADAMCLARK,10/16/2019 0:00,,0.103586035,0.000540818
426,Stansbury Park Improvement District,Stansbury Park Improvement District,Stansbury Park Impr Distr,C,1190,1244,UTAH23003,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1244, , ,Utah,Tooele,West Desert,00-05-02,Tooele Valley,00-05-02a,Tooele Valley,2018,AGRC/DWRe,,ADAMCLARK,10/16/2019 0:00,,0.355273906,0.001842064
406,Richmond City Water System,Richmond City,Richmond City Water System,C,114,1245,UTAH03018,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1245, , ,Utah,Cache,Bear River,1/1/2004,Cache Valley,01-01-04a,Cache Valley UT,2018, ,,ADAMCLARK,10/16/2019 0:00,,0.172150169,0.000973629
266,Goshen Town Water System,Goshen Culinary Water,Goshen Town Water System,C,1304,1246,UTAH25013,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1246, , ,Utah,Utah,Utah Lake,4/1/2010,Utah Valley,04-01-10e,Goshen,2018, ,,ADAMCLARK,10/16/2019 0:00,,0.075942481,0.000207186
245,Price River WID,Price River Water Improvement District,Price River Water Improvement District,C,199,1247,UTAH04020,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1247, , ,Utah,Carbon,West Colorado River,8/1/2003,Price River,08-01-03a,Price A,2018,AGRC/DWRe/Supplier,4/7/2020 0:00,ADAMCLARK,4/7/2020 0:00,,2.311364186,0.050096852
243,Fairview City Water System,Fairview Municipal Water,Fairview City Water System,C,980,1249,UTAH20012,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1249, , ,Utah,Sanpete,Sevier River,5/1/2000,Gunnison,05-01-00a,Gunnison,2018,AGRC/DWRe/Supplier,2/22/2019 0:00,ADAMCLARK,10/16/2019 0:00,,0.260202688,0.000594446
124,Summit Culinary Water,Summit Culinary Water Users Inc,Summit Culinary Water,C,511,1250,UTAH11011,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1250, , ,Utah,Iron,Cedar/Beaver,6/2/2001,Parowan,06-02-01a,Parowan,2018, ,,ADAMCLARK,11/13/2019 0:00,,0.039361544,4.60E-05
142,Koosharem,Koosharem Culinary Water,Koosharem,C,1033,1251,UTAH21010,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1251, , ,Utah,Sevier,Sevier River,5/5/2002,Otter Creek,05-05-02a,Otter Creek,2018,AGRC/DWRe/Supplier,4/29/2019 0:00,ADAMCLARK,10/16/2019 0:00,,0.094138363,0.00035571
193,Manti City,Manti City Corporation Water,Manti City,C,973,1253,UTAH20005,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1253, , ,Utah,Sanpete,Sevier River,5/1/2000,Gunnison,05-01-00a,Gunnison,2018,AGRC/DWRe/Supplier,4/29/2019 0:00,ADAMCLARK,10/16/2019 0:00,,0.282846875,0.000927053
68,Washington City,Washington Municipal Water System,Washington City,C,1541,1254,UTAH27021,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1254,Washington County Water Conservancy District,WCWCD,Utah,Washington,Kanab Creek/Virgin River,10/1/2005,St. George,10-01-05e,St. George,2018,AGRC/DWRe,,ADAMCLARK,10/16/2019 0:00,,0.722810295,0.008512668
256,Spanish Fork City,Spanish Fork City Municipal Water,Spanish Fork City,C,1294,1257,UTAH25003,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1257, , ,Utah,Utah,Utah Lake,4/1/2010,Utah Valley,04-01-10d,Spanish Fork,2018,DWRe/Supplier,4/8/2020 0:00,ADAMCLARK,4/8/2020 0:00,,1.027324639,0.004735102
592,Bryce Canyon National Park,Bryce Canyon National Park System,Bryce Canyon National Park,C,426,1258,UTAH09045,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1258, , ,Utah,Garfield,Sevier River,5/5/2001,East Fork Sevier,05-05-01a,East Fork Sevier,2018,DWRe,11/16/2016 0:00,ADAMCLARK,10/16/2019 0:00,,0.180478349,0.000836493
316,Park City Water System,Park City Culinary Water,Park City Water System,C,1080,1260,UTAH22011,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1260, , ,Utah,Summit,Weber River,2/1/2006,East Canyon,02-01-06a,East Canyon,2018,AGRC,,ADAMCLARK,10/16/2019 0:00,,0.527608521,0.004880726
94,Dixie Deer SSD,Dixie Deer Special Service District,Dixie Deer Ssd,C,1524,1262,UTAH27003,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1262, , ,Utah,Washington,Kanab Creek/Virgin River,10/1/2004,Santa Clara,10-01-04c,Santa Clara C,2018,AGRC,,ADAMCLARK,10/16/2019 0:00,,0.11670937,0.000288918
302,Charleston WCD,Charleston Water Conservancy District,Charleston Wcd,C,1441,1263,UTAH26003,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1263, , ,Utah,Wasatch,Utah Lake,4/1/2007,Provo River Reservoirs,04-01-07a,Provo River Reservoirs,2018,AGRC/DWRe,,ADAMCLARK,10/16/2019 0:00,,0.180905195,0.00083363
308,Bluffdale Water System,Bluffdale Water System,Bluffdale Water System,C,786,1264,UTAH18004,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1264,Jordan Valley Water Conservancy District,JVWCD,Utah,Salt Lake,Jordan River,3/1/2001,Salt Lake Valley,03-01-01a,Salt Lake Valley,2018,DWRe/Supplier,5/9/2019 0:00,ADAMCLARK,10/16/2019 0:00,,0.381646674,0.002782592
297,Lehi City,Lehi City Public Works Dept.,Lehi City,C,1306,1265,UTAH25015,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1265, , ,Utah,Utah,Utah Lake,4/1/2010,Utah Valley,04-01-10a,American Fork,2018,DWRe/Supplier,4/23/2020 0:00,ADAMCLARK,4/23/2020 0:00,,0.527359426,0.006553993
218,North Logan City,North Logan Culinary System,North Logan City,C,111,1267,UTAH03015,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1267, , ,Utah,Cache,Bear River,1/1/2004,Cache Valley,01-01-04a,Cache Valley UT,2018, ,,ADAMCLARK,10/16/2019 0:00,,0.270260742,0.001937355
1169,Santaquin City,Santaquin Municipal Water System,Santaquin City,C,1293,1268,UTAH25002,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1268, , ,Utah,Utah,Utah Lake,4/1/2010,Utah Valley,04-01-10d,Spanish Fork,2018,DWRe/Supplier,2/21/2019 0:00,ADAMCLARK,10/16/2019 0:00,,0.592784839,0.000958108
405,Clarkston Town Culinary Water,Clarkston Municipal Water System,Clarkston Town Culinary Water,C,100,1269,UTAH03004,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1269, , ,Utah,Cache,Bear River,1/1/2004,Cache Valley,01-01-04a,Cache Valley UT,2018, ,,ADAMCLARK,10/16/2019 0:00,,0.123968297,0.000329461
280,Marion Waterworks Co.,Marion Waterworks Company,Marion Waterworks Co,C,1077,1270,UTAH22008,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1270, , ,Utah,Summit,Weber River,2/1/2002,Kamas Valley,02-01-02a,Kamas Valley,2018, ,,ADAMCLARK,10/16/2019 0:00,,0.14331932,0.001119704
404,Bridgerland Village Water Co.,Bridgerland Village,Bridgerland Village Water Co.,C,756,1271,UTAH17001,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1271, , ,Utah,Rich,Bear River,1/1/2001,Bear Lake,01-01-01a,Bear Lake UT,2018,AGRC,,ADAMCLARK,10/16/2019 0:00,,0.175579174,0.000774685
189,Sterling Town Water System,Sterling Municipal Water System,Sterling Town Water System,C,977,1272,UTAH20009,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1272, , ,Utah,Sanpete,Sevier River,5/1/2000,Gunnison,05-01-00a,Gunnison,2018,AGRC/DWRe,,ADAMCLARK,10/16/2019 0:00,,0.083881159,0.000112534
203,Maeser WID,Maeser Water Improvement District,Maeser Improvement Distr,C,1258,1273,UTAH24004,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1273,Central Utah WCD - Ashley Valley,CUWCD - AV,Utah,Uintah,Uintah,7/2/2003,Vernal,07-02-03a,Vernal,2018,AGRC,,ADAMCLARK,10/16/2019 0:00,,0.32562079,0.003374494
294,Neola Water and Sewer District,Neola Water District,Neola Water and Sewer District,C,300,1274,UTAH07005,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1274,Roosevelt City, ,Utah,Duchesne,Uintah,7/3/2013,Roosevelt Duchesne,07-03-13a,Roosevelt Duchesne,2018,AGRC/DWRe,,ADAMCLARK,10/16/2019 0:00,,0.346246985,0.001760942
206,Copperton Improvement District,Copperton Improvement District,Copperton Improvement District,C,787,1275,UTAH18005,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1275,Jordan Valley Water Conservancy District,JVWCD,Utah,Salt Lake,Jordan River,3/1/2001,Salt Lake Valley,03-01-01a,Salt Lake Valley,2018,AGRC/DWRe,,ADAMCLARK,10/16/2019 0:00,,0.271327783,0.001995263
369,Eden Waterworks System,Eden Water Works Company,Eden Waterworks System,C,1640,1276,UTAH29005,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1276, , ,Utah,Weber,Weber River,2/1/2008,Ogden Valley,02-01-08a,Ogden Valley,2018,DWRe/Supplier,8/22/2018 0:00,ADAMCLARK,10/16/2019 0:00,,0.313785034,0.00218163
276,Taylorsville-Bennion Improvement District,Taylorsville-Bennion Improvement District,Taylorsville-Bennion ID,C,802,1277,UTAH18021,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1277,Jordan Valley Water Conservancy District,JVWCD,Utah,Salt Lake,Jordan River,3/1/2001,Salt Lake Valley,03-01-01a,Salt Lake Valley,2018,DWRe,4/13/2018 0:00,ADAMCLARK,10/16/2019 0:00,,0.353786378,0.003281243
168,Hanksville Town Water System,Hanksville Culinary Water Works,Hanksville Town Water System,C,1606,1278,UTAH28003,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1278, , ,Utah,Wayne,West Colorado River,8/3/2007,Torrey,08-03-07a,Torrey,2018,DWRe/DWRi/Supplier,7/25/2019 0:00,ADAMCLARK,10/16/2019 0:00,,0.08850753,0.000258354
1280,Orem City Water System,Orem Municipal Water System,Orem City Water System,C,1311,1280,UTAH25020,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1280, , ,Utah,Utah,Utah Lake,4/1/2010,Utah Valley,04-01-10a,American Fork,2018,DWRe/Supplier,3/25/2020 0:00,KAMAT,3/25/2020 0:00,,0.468187737,0.005014161
105,Rainbow Ranchos,Rainbow Ranchos Water Company,Rainbow Ranchos,C,543,1281,UTAH11048,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1281, , ,Utah,Iron,Cedar/Beaver,6/2/2002,Cedar,06-02-02a,Cedar,2018,DWRe/DWRi/Supplier,7/25/2019 0:00,ADAMCLARK,10/16/2019 0:00,,0.029806,4.91E-05
100,Kanarraville Town Water System,Kanarraville Municipal Water System,Kanarraville Town Water System,C,507,1282,UTAH11006,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1282, , ,Utah,Iron,Kanab Creek/Virgin River,10/1/2003,Laverkin,10-01-03a,Kanarraville,2018, ,,ADAMCLARK,10/16/2019 0:00,,0.073968258,0.000120858
180,Redmond Town Water System,Redmond Municipal Water System,Redmond Town Water System,C,1035,1283,UTAH21012,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1283, , ,Utah,Sevier,Sevier River,5/3/2000,Sevier Bridge,05-03-00a,Sevier Bridge,2018,DWRe/DWRi/Supplier,7/25/2019 0:00,ADAMCLARK,10/16/2019 0:00,,0.166359941,0.000286023
787,Soldier Summit SSD,Soldier Summit S.S.D.,Soldier Summit SSD,NC,1417,1284,UTAH25143,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1284, , ,Utah,Wasatch,West Colorado River,8/1/2002,Colton,08-01-02a,Colton,0,DWRe,5/3/2017 0:00,ADAMCLARK,5/31/2017 0:00,,0.028977329,5.04E-05
782,Taylor - West Weber WID,Taylor-West Weber Water Improvement District,Taylor - West Weber WID,C,1653,1286,UTAH29019,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1286, , ,Utah,Weber,Weber River,2/1/2009,East Shore,02-01-09a,East Shore,2018,DWRe/Supplier,7/31/2019 0:00,ADAMCLARK,10/16/2019 0:00,,0.615053641,0.00434576
127,Parowan City Water System,Parowan Municipal Water System,Parowan City Water System,C,510,1287,UTAH11010,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1287, , ,Utah,Iron,Cedar/Beaver,6/2/2001,Parowan,06-02-01a,Parowan,2018, ,,ADAMCLARK,10/16/2019 0:00,,0.30824107,0.001288595
681,Summit Water Distribution Co.,Summit Water Distribution Company,Summit Water Distribution,C,1117,1288,UTAH22059,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1288, , ,Utah,Summit,Weber River,2/1/2006,East Canyon,02-01-06a,East Canyon,2018,DWRe/Supplier,3/8/2017 0:00,ADAMCLARK,10/16/2019 0:00,,0.739986481,0.004798038
151,Central Valley Town,Central Valley Town,Central Waterworks Co,C,1029,1290,UTAH21006,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1290, , ,Utah,Sevier,Sevier River,5/4/2002,Richfield,05-04-02a,Richfield,2018,DWRe/DWRi/Supplier,4/15/2020 0:00,ADAMCLARK,4/15/2020 0:00,,0.183832423,0.000724572
665,Weber Basin Job Corps,Weber Basin Job Corps,Weber Basin Job Corps,C,268,1291,UTAH06008,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1291, , ,Utah,Davis,Weber River,2/1/2009,East Shore,02-01-09a,East Shore,2018,DWRe,1/10/2017 0:00,ADAMCLARK,10/16/2019 0:00,,0.063199824,0.000174933
237,Sunnyside City Water,Sunnyside City Water,Sunnyside City Water,C,195,1292,UTAH04016,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1292, , ,Utah,Carbon,West Colorado River,8/1/2003,Price River,08-01-03a,Price A,2012,DWRe,,ADAMCLARK,8/20/2018 0:00,,0.247613488,0.001408996
129,Paragonah Town Water System,Paragonah Municipal Water System,Paragonah Town Water System,C,514,1293,UTAH11014,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1293, , ,Utah,Iron,Cedar/Beaver,6/2/2001,Parowan,06-02-01a,Parowan,2018,DWRe/DWRi/Supplier,7/25/2019 0:00,ADAMCLARK,10/16/2019 0:00,,0.075281301,0.000136686
323,Magna Water District,Magna Water Improvement District,Magna Water District,C,795,1294,UTAH18014,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1294,Jordan Valley Water Conservancy District,JVWCD,Utah,Salt Lake,Jordan River,3/1/2001,Salt Lake Valley,03-01-01a,Salt Lake Valley,2018, ,,ADAMCLARK,10/16/2019 0:00,,0.305304988,0.002776165
128,Monticello City,Monticello Municipal Water System,Monticello City,C,914,1295,UTAH19004,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1295, , ,Utah,San Juan,Southeast Colorado River,9/3/2004,Monticello,09-03-04a,Monticello,2018,DWRe/Supplier,4/4/2019 0:00,ADAMCLARK,10/16/2019 0:00,,0.688481426,0.013771814
69,Ivins,Ivins Town Water,Ivins,C,1529,1296,UTAH27008,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1296, , ,Utah,Washington,Kanab Creek/Virgin River,10/1/2005,St. George,10-01-05d,Santa Clara,2018,DWRe,,ADAMCLARK,10/16/2019 0:00,,0.262051483,0.001637017
176,Mantua Town Water System,Mantua Culinary Water Systems,Mantua Town Water System,C,51,1297,UTAH02018,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1297, , ,Utah,Box Elder,Bear River,1/1/2007,Brigham City,01-01-07a,Brigham City,2018,AGRC/DWRe,,ADAMCLARK,10/16/2019 0:00,,0.21645704,0.001600266
285,Pleasant Grove City,Pleasant Grove City,Pleasant Grove City,C,1313,1298,UTAH25022,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1298, , ,Utah,Utah,Utah Lake,4/1/2010,Utah Valley,04-01-10a,American Fork,2018,DWRe/Supplier,5/31/2017 0:00,ADAMCLARK,10/16/2019 0:00,,0.356444515,0.00249854
362,Washington Terrace City Water System,Washington Terrace Municipal Water,Washington Terrace City Water System,C,1656,1299,UTAH29022,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1299, , ,Utah,Weber,Weber River,2/1/2009,East Shore,02-01-09a,East Shore,2018, ,,ADAMCLARK,10/16/2019 0:00,,0.137342799,0.000554283
414,Portage Municipal Water System,Portage Municipal Water System,Town of Portage,C,45,1300,UTAH02012,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1300, , ,Utah,Box Elder,Bear River,1/1/2006,Tremonton,01-01-06a,Tremonton,2018, ,,ADAMCLARK,10/16/2019 0:00,,0.189060509,0.000724747
815,Starvation Reservior State Park,Starvation State Park,Starvation Reservior State Park,NC,328,1301,UTAH07041,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1301, , ,Utah,Duchesne,Uintah,7/3/2004,Starvation Reservoir,07-03-04a,Starvation Reservoir,0,DWRe,6/28/2017 0:00,ADAMCLARK,6/28/2017 0:00,,0.023908976,1.39E-05
1012,Weber Wild Water Co., ,Weber Wild Water Company,NTNC,1142,1302,UTAH22086,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1302, , ,Utah,Summit,Weber River,2/1/2002,Kamas Valley,02-01-02a,Kamas Valley,2000,DWRe,10/5/2017 0:00,ADAMCLARK,10/5/2017 0:00,,0.021824164,2.60E-05
399,Smithfield City,Smithfield Municipal Water System,Smithfield City,C,116,1303,UTAH03020,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1303, , ,Utah,Cache,Bear River,1/1/2004,Cache Valley,01-01-04a,Cache Valley UT,2018, ,,ADAMCLARK,10/16/2019 0:00,,0.22726632,0.001367746
130,Boulder Farmstead Water Co.,Boulder Farmstead Water Company,Boulder Farmstead Water Co.,C,389,1304,UTAH09002,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1304, , ,Utah,Garfield,West Colorado River,8/4/2001,Boulder,08-04-01a,Boulder,2018,AGRC,,ADAMCLARK,10/16/2019 0:00,,0.370753244,0.005559514
202,Riverton City Water System,Riverton Culinary Water,Riverton City Water Sys,C,805,1306,UTAH18025,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1306,Jordan Valley Water Conservancy District,JVWCD,Utah,Salt Lake,Jordan River,3/1/2001,Salt Lake Valley,03-01-01a,Salt Lake Valley,2018, ,,ADAMCLARK,10/16/2019 0:00,,0.337500011,0.003382367
93,Alton Town Water System,"Alton Town Water, Inc.",Alton Town Water System,C,604,1307,UTAH13001,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1307, , ,Utah,Kane,Kanab Creek/Virgin River,10/2/2002,Kanab Creek,10-02-02b,Upper Kanab Creek,2018,AGRC,,ADAMCLARK,10/16/2019 0:00,,0.173801838,0.000612244
82,Bluff Water Works Service District,Bluff Service Area,Bluff Water Works Service District,C,912,1308,UTAH19002,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1308, , ,Utah,San Juan,Southeast Colorado River,9/3/2001,San Juan River,09-03-01a,San Juan River,2018,DWRe/Supplier,4/30/2019 0:00,ADAMCLARK,10/16/2019 0:00,,0.117880225,0.000274149
246,Helper City,Helper Municipal Water System,Helper City,C,185,1309,UTAH04004,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1309, , ,Utah,Carbon,West Colorado River,8/1/2003,Price River,08-01-03a,Price A,2018,AGRC,,ADAMCLARK,10/16/2019 0:00,,0.153513998,0.000489926
1176,Spring Lake,Spring Lake Water Works Company,Spring Lake,C,1295,1310,UTAH25004,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1310, , ,Utah,Utah,Utah Lake,4/1/2010,Utah Valley,04-01-10d,Spanish Fork,2018,DWRe/Supplier,3/4/2020 0:00,ADAMCLARK,3/4/2020 0:00,,0.094199686,0.000158873
211,Elwood Town,Elwood Town,Elwood Town,C,41,1311,UTAH02007,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1311, , ,Utah,Box Elder,Bear River,1/1/2006,Tremonton,01-01-06a,Tremonton,2018, ,,ADAMCLARK,10/16/2019 0:00,,0.405400751,0.002305545
86,Gunlock SSD,Gunlock Water Users Association,Gunlock Special Service District,C,1526,1312,UTAH27005,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1312, , ,Utah,Washington,Kanab Creek/Virgin River,10/1/2005,St. George,10-01-05b,Gunlock,2018,DWRe/DWRi/Supplier,7/25/2019 0:00,ADAMCLARK,10/16/2019 0:00,,0.063590591,0.000182514
409,Cove Waterworks,South Cove Water Supply,Cove Waterworks,C,102,1313,UTAH03006,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1313, , ,Utah,Cache,Bear River,1/1/2004,Cache Valley,01-01-04a,Cache Valley UT,2018, ,,ADAMCLARK,10/16/2019 0:00,,0.053721501,6.62E-05
162,Thompson SSD,Thompson Special Service District,Thompson Special Service District,C,474,1314,UTAH10004,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1314, , ,Utah,Grand,West Colorado River,8/5/2002,Lower Green River,08-05-02a,Lower Green River,2018,DWRe/Supplier,4/29/2019 0:00,ADAMCLARK,10/16/2019 0:00,,0.082631835,0.00015403
432,Tooele Army Depot (North),Tooele Army Depot  (North),Tooele Army Depot,C,1202,1315,UTAH23022,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1315, , ,Utah,Tooele,West Desert,00-05-02,Tooele Valley,00-05-02a,Tooele Valley,2010, ,,ADAMCLARK,5/31/2017 0:00,,0.536980341,0.009480605
307,Hi-Country Number 2,Hi-Country Estates II Homeowners Association,Hi-Country Number 2,C,882,1316,UTAH18131,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1316,Jordan Valley Water Conservancy District,JVWCD,Utah,Salt Lake,Jordan River,3/1/2001,Salt Lake Valley,03-01-01a,Salt Lake Valley,2018, ,,ADAMCLARK,10/16/2019 0:00,,0.15690347,0.000998345
146,Monroe City,Monroe City,Monroe City,C,1034,1317,UTAH21011,https://www.waterrights.utah.gov/asp_apps/viewEditPWS/pwsView.asp?SYSTEM_ID=1317, , ,Utah,Sevier,Sevier River,5/4/2002,Richfield,05-04-02a,Richfield,2018,DWRe/Supplier,4/23/2020 0:00,ADAMCLARK,4/23/2020 0:00,,0.355527911,0.000909932
370,Nordic Mountain Water Co.,Nordic Mountain Water Company,Nordic Mtn Water Company,C,1644,1318,UTAH29009,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1318, , ,Utah,Weber,Weber River,2/1/2008,Ogden Valley,02-01-08a,Ogden Valley,2018, ,,ADAMCLARK,10/16/2019 0:00,,0.274157825,0.001216627
918,Tooele Army Depot - Deseret Chemical,Tooele Army Depot (South),Tooele Army Depot - Deseret Chemical,NTNC,1203,1319,UTAH23023,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1319, , ,Utah,Tooele,West Desert,00-05-01,Rush Valley,00-05-01a,Rush Valley,0,DWRe,8/18/2017 0:00,ADAMCLARK,8/18/2017 0:00,,0.06559786,0.000182071
191,Fayette Town Water,Fayette Town,Fayette,C,970,1320,UTAH20002,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1320, , ,Utah,Sanpete,Sevier River,5/3/2000,Sevier Bridge,05-03-00a,Sevier Bridge,2018, ,,ADAMCLARK,10/16/2019 0:00,,0.04817951,0.000111736
