,The name of the water supplier that the Division of Water Resources uses.,The name of the water supplier that the Division of Water Rights uses.,The name of the water supplier that the Division of Drinking Water uses.,The type of water supplier as defined by the EPA and the Division of Drinking Water.,A unique integer ID that the Division of Water Resources uses to join the suppliers to water use databases and to perform other queries,A unique integer ID that the Division of Water Rights uses to track water suppliers.,A unique string ID that the Division of Drinking Water uses to distinquish water suppliers in their databases,,,,,,,,,,,,,,,,,,
OBJECTID,WRENAME,WRNAME,DWNAME,SYSTEMTYPE,WATERRESID,WRID,DWSYSNUM,WRLINK,WHOLESALER,LABEL,STATE,COUNTY,BASIN,SUBAREA,SUBAREANAM,LANUM,LANAME,ENDYEAR,DATASOURCE,SOURCEDATE,EDITOR,EDITDATE,COLOR4,SHAPE_Length,SHAPE_Area
56,Oljato Community, ,Olijato Community,C,2191,0, ,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Utah,San Juan,Southeast Colorado River,9/3/2001,San Juan River,09-03-01a,San Juan River,2010, ,,ADAMCLARK,1/5/2016 0:00,,0.041383345,9.14E-05
58,Red Mesa Community, ,Red Mesa Community,C,2192,0, ,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Utah,San Juan,Southeast Colorado River,9/3/2001,San Juan River,09-03-01a,San Juan River,2010, ,,ADAMCLARK,1/5/2016 0:00,,0.014333213,1.27E-05
63,Mexican Hat/Halchita Community, ,Mexican Hat Halchita Sys,NP,919,0,UTAH19009,https://waterlink.utah.gov/deqWater/reports.html?systemId=946, , ,Utah,San Juan,Southeast Colorado River,9/3/2001,San Juan River,09-03-01a,San Juan River,2010, ,,ADAMCLARK,5/31/2017 0:00,,0.051879638,0.000173873
70,Todohaidekani Community, ,Todohaidekani Community,C,2193,0, ,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Utah,San Juan,Southeast Colorado River,9/3/2001,San Juan River,09-03-01a,San Juan River,2010, ,,ADAMCLARK,1/5/2016 0:00,,0.224605817,0.001390077
72,Holly Village Community, ,Holly Village Water,C,2190,0, ,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Utah,San Juan,Southeast Colorado River,9/3/2001,San Juan River,09-03-01a,San Juan River,2010, ,,ADAMCLARK,1/5/2016 0:00,,0.071030052,0.000295279
73,Aneth Community, ,Aneth Community,C,942,0,UTAH19039,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Utah,San Juan,Southeast Colorado River,9/3/2005,McElmo,09-03-05a,McElmo,2010, ,,ADAMCLARK,5/31/2017 0:00,,0.038715451,7.30E-05
97,White Mesa (Ute Mtn. Ute Tribe), ,White Mesa,C,2194,0, ,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Utah,San Juan,Southeast Colorado River,9/3/2003,Blanding,09-03-03a,Blanding,2010, ,,ADAMCLARK,1/5/2016 0:00,,0.424092189,0.002774225
156,Kanosh-Paiute Indian Reservation, ,Kanosh Band Of Paiute Ind,C,687,0,UTAH14038,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Utah,Millard,Sevier River,5/7/2000,Fillmore,05-07-00a,Fillmore,2010, ,,ADAMCLARK,5/31/2017 0:00,,0.018113533,1.89E-05
421,Goshute Indian Reservation, ,Goshute Reservation,C,2195,0, ,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Utah,Juab,West Desert,00-02-03,Deep Creek,00-02-03a,Deep Creek,2010, ,,ADAMCLARK,1/5/2016 0:00,,0.081881061,0.00026988
449,Montezuma Creek Community, ,Montezuma Creek Ashcroft,C,929,0,UTAH19022,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe, , ,Utah,San Juan,Southeast Colorado River,9/3/2001,San Juan River,09-03-01a,San Juan River,2010, ,,ADAMCLARK,5/31/2017 0:00,,0.184132596,0.000501242
