ORGANIZATION_ID,REPORT_ID,REPORTING_UNIT_ID,REPORTING_UNIT_NAME,REPORTING_UNIT_TYPE,STATE,COUNTY_FIPS,HUC
TWDB,2000,48541,KINNEY,County,55,48541,
TWDB,2000,48545,KLEBERG,County,55,48545,
TWDB,2000,48549,KNOX,County,55,48549,
TWDB,2000,48565,LA SALLE,County,55,48565,
TWDB,2000,48553,LAMAR,County,55,48553,
TWDB,2000,48557,LAMB,County,55,48557,
TWDB,2000,48561,LAMPASAS,County,55,48561,
TWDB,2000,48569,LAVACA,County,55,48569,
TWDB,2000,48573,LEE,County,55,48573,
TWDB,2000,48577,LEON,County,55,48577,
TWDB,2000,48581,LIBERTY,County,55,48581,
TWDB,2000,48585,LIMESTONE,County,55,48585,
TWDB,2000,48589,LIPSCOMB,County,55,48589,
TWDB,2000,48593,LIVE OAK,County,55,48593,
TWDB,2000,48597,LLANO,County,55,48597,
TWDB,2000,48601,LOVING,County,55,48601,
TWDB,2000,48605,LUBBOCK,County,55,48605,
TWDB,2000,48609,LYNN,County,55,48609,
TWDB,2000,48625,MADISON,County,55,48625,
TWDB,2000,48629,MARION,County,55,48629,
TWDB,2000,48633,MARTIN,County,55,48633,
TWDB,2000,48637,MASON,County,55,48637,
TWDB,2000,48641,MATAGORDA,County,55,48641,
TWDB,2000,48645,MAVERICK,County,55,48645,
TWDB,2000,48613,MCCULLOCH,County,55,48613,
TWDB,2000,48617,MCLENNAN,County,55,48617,
TWDB,2000,48621,MCMULLEN,County,55,48621,
TWDB,2000,48649,MEDINA,County,55,48649,
TWDB,2000,48653,MENARD,County,55,48653,
TWDB,2000,48657,MIDLAND,County,55,48657,
TWDB,2000,48661,MILAM,County,55,48661,
TWDB,2000,48665,MILLS,County,55,48665,
TWDB,2000,48669,MITCHELL,County,55,48669,
TWDB,2000,48673,MONTAGUE,County,55,48673,
TWDB,2000,48677,MONTGOMERY,County,55,48677,
TWDB,2000,48681,MOORE,County,55,48681,
TWDB,2000,48685,MORRIS,County,55,48685,
TWDB,2000,48689,MOTLEY,County,55,48689,
TWDB,2000,48693,NACOGDOCHES,County,55,48693,
TWDB,2000,48697,NAVARRO,County,55,48697,
TWDB,2000,48701,NEWTON,County,55,48701,
TWDB,2000,48705,NOLAN,County,55,48705,
TWDB,2000,48709,NUECES,County,55,48709,
TWDB,2000,48713,OCHILTREE,County,55,48713,
TWDB,2000,48717,OLDHAM,County,55,48717,
TWDB,2000,48721,ORANGE,County,55,48721,
TWDB,2000,48725,PALO PINTO,County,55,48725,
TWDB,2000,48729,PANOLA,County,55,48729,
TWDB,2000,48733,PARKER,County,55,48733,
TWDB,2000,48737,PARMER,County,55,48737,
TWDB,2000,48741,PECOS,County,55,48741,
TWDB,2000,48745,POLK,County,55,48745,
TWDB,2000,48749,POTTER,County,55,48749,
TWDB,2000,48753,PRESIDIO,County,55,48753,
TWDB,2000,48757,RAINS,County,55,48757,
TWDB,2000,48761,RANDALL,County,55,48761,
TWDB,2000,48765,REAGAN,County,55,48765,
TWDB,2000,48769,REAL,County,55,48769,
TWDB,2000,48773,RED RIVER,County,55,48773,
TWDB,2000,48777,REEVES,County,55,48777,
TWDB,2000,48781,REFUGIO,County,55,48781,
TWDB,2000,48785,ROBERTS,County,55,48785,
TWDB,2000,48789,ROBERTSON,County,55,48789,
TWDB,2000,48793,ROCKWALL,County,55,48793,
TWDB,2000,48797,RUNNELS,County,55,48797,
TWDB,2000,48801,RUSK,County,55,48801,
TWDB,2000,48805,SABINE,County,55,48805,
TWDB,2000,48809,SAN AUGUSTINE,County,55,48809,
TWDB,2000,48813,SAN JACINTO,County,55,48813,
TWDB,2000,48817,SAN PATRICIO,County,55,48817,
TWDB,2000,48821,SAN SABA,County,55,48821,
TWDB,2000,48825,SCHLEICHER,County,55,48825,
TWDB,2000,48829,SCURRY,County,55,48829,
TWDB,2000,48833,SHACKELFORD,County,55,48833,
TWDB,2000,48837,SHELBY,County,55,48837,
TWDB,2000,48841,SHERMAN,County,55,48841,
TWDB,2000,48845,SMITH,County,55,48845,
TWDB,2000,48849,SOMERVELL,County,55,48849,
TWDB,2000,48853,STARR,County,55,48853,
TWDB,2000,48857,STEPHENS,County,55,48857,
TWDB,2000,48861,STERLING,County,55,48861,
TWDB,2000,48865,STONEWALL,County,55,48865,
TWDB,2000,48869,SUTTON,County,55,48869,
TWDB,2000,48873,SWISHER,County,55,48873,
TWDB,2000,48877,TARRANT,County,55,48877,
TWDB,2000,48881,TAYLOR,County,55,48881,
TWDB,2000,48885,TERRELL,County,55,48885,
TWDB,2000,48889,TERRY,County,55,48889,
TWDB,2000,48893,THROCKMORTON,County,55,48893,
TWDB,2000,48897,TITUS,County,55,48897,
TWDB,2000,48901,TOM GREEN,County,55,48901,
TWDB,2000,48905,TRAVIS,County,55,48905,
TWDB,2000,48909,TRINITY,County,55,48909,
TWDB,2000,48913,TYLER,County,55,48913,
TWDB,2000,48917,UPSHUR,County,55,48917,
TWDB,2000,48921,UPTON,County,55,48921,
TWDB,2000,48925,UVALDE,County,55,48925,
TWDB,2000,48929,VAL VERDE,County,55,48929,
TWDB,2000,48933,VAN ZANDT,County,55,48933,
TWDB,2000,48937,VICTORIA,County,55,48937,
TWDB,2000,48941,WALKER,County,55,48941,
TWDB,2000,48945,WALLER,County,55,48945,
TWDB,2000,48949,WARD,County,55,48949,
TWDB,2000,48953,WASHINGTON,County,55,48953,
TWDB,2000,48957,WEBB,County,55,48957,
TWDB,2000,48961,WHARTON,County,55,48961,
TWDB,2000,48965,WHEELER,County,55,48965,
TWDB,2000,48969,WICHITA,County,55,48969,
TWDB,2000,48973,WILBARGER,County,55,48973,
TWDB,2000,48977,WILLACY,County,55,48977,
TWDB,2000,48981,WILLIAMSON,County,55,48981,
TWDB,2000,48985,WILSON,County,55,48985,
TWDB,2000,48989,WINKLER,County,55,48989,
TWDB,2000,48993,WISE,County,55,48993,
TWDB,2000,48997,WOOD,County,55,48997,
TWDB,2000,49001,YOAKUM,County,55,49001,
TWDB,2000,49005,YOUNG,County,55,49005,
TWDB,2000,49009,ZAPATA,County,55,49009,
TWDB,2000,49013,ZAVALA,County,55,49013,
TWDB,2001,12,BRAZOS,Basin,55,,
TWDB,2001,13,BRAZOS-COLORADO,Basin,55,,
TWDB,2001,1,CANADIAN,Basin,55,,
TWDB,2001,14,COLORADO,Basin,55,,
TWDB,2001,15,COLORADO-LAVACA,Basin,55,,
TWDB,2001,4,CYPRESS,Basin,55,,
TWDB,2001,18,GUADALUPE,Basin,55,,
TWDB,2001,16,LAVACA,Basin,55,,
TWDB,2001,17,LAVACA-GUADALUPE,Basin,55,,
TWDB,2001,6,NECHES,Basin,55,,
TWDB,2001,7,NECHES-TRINITY,Basin,55,,
TWDB,2001,21,NUECES,Basin,55,,
TWDB,2001,22,NUECES-RIO GRANDE,Basin,55,,
TWDB,2001,2,RED,Basin,55,,
TWDB,2001,23,RIO GRANDE,Basin,55,,
TWDB,2001,5,SABINE,Basin,55,,
TWDB,2001,19,SAN ANTONIO,Basin,55,,
TWDB,2001,20,SAN ANTONIO-NUECES,Basin,55,,
TWDB,2001,10,SAN JACINTO,Basin,55,,
TWDB,2001,11,SAN JACINTO-BRAZOS,Basin,55,,
TWDB,2001,3,SULPHUR,Basin,55,,
TWDB,2001,8,TRINITY,Basin,55,,
TWDB,2001,9,TRINITY-SAN JACINTO,Basin,55,,
TWDB,2001,48001,ANDERSON,County,55,48001,
TWDB,2001,48005,ANDREWS,County,55,48005,
TWDB,2001,48009,ANGELINA,County,55,48009,
TWDB,2001,48013,ARANSAS,County,55,48013,
TWDB,2001,48017,ARCHER,County,55,48017,
TWDB,2001,48021,ARMSTRONG,County,55,48021,
TWDB,2001,48025,ATASCOSA,County,55,48025,
TWDB,2001,48029,AUSTIN,County,55,48029,
TWDB,2001,48033,BAILEY,County,55,48033,
TWDB,2001,48037,BANDERA,County,55,48037,
TWDB,2001,48041,BASTROP,County,55,48041,
TWDB,2001,48045,BAYLOR,County,55,48045,
TWDB,2001,48049,BEE,County,55,48049,
TWDB,2001,48053,BELL,County,55,48053,
TWDB,2001,48057,BEXAR,County,55,48057,
TWDB,2001,48061,BLANCO,County,55,48061,
TWDB,2001,48065,BORDEN,County,55,48065,
TWDB,2001,48069,BOSQUE,County,55,48069,
TWDB,2001,48073,BOWIE,County,55,48073,
TWDB,2001,48077,BRAZORIA,County,55,48077,
TWDB,2001,48081,BRAZOS,County,55,48081,
TWDB,2001,48085,BREWSTER,County,55,48085,
TWDB,2001,48089,BRISCOE,County,55,48089,
TWDB,2001,48093,BROOKS,County,55,48093,
TWDB,2001,48097,BROWN,County,55,48097,
TWDB,2001,48101,BURLESON,County,55,48101,
TWDB,2001,48105,BURNET,County,55,48105,
TWDB,2001,48109,CALDWELL,County,55,48109,
TWDB,2001,48113,CALHOUN,County,55,48113,
TWDB,2001,48117,CALLAHAN,County,55,48117,
TWDB,2001,48121,CAMERON,County,55,48121,
TWDB,2001,48125,CAMP,County,55,48125,
TWDB,2001,48129,CARSON,County,55,48129,
TWDB,2001,48133,CASS,County,55,48133,
TWDB,2001,48137,CASTRO,County,55,48137,
TWDB,2001,48141,CHAMBERS,County,55,48141,
TWDB,2001,48145,CHEROKEE,County,55,48145,
TWDB,2001,48149,CHILDRESS,County,55,48149,
TWDB,2001,48153,CLAY,County,55,48153,
TWDB,2001,48157,COCHRAN,County,55,48157,
TWDB,2001,48161,COKE,County,55,48161,
TWDB,2001,48165,COLEMAN,County,55,48165,
TWDB,2001,48169,COLLIN,County,55,48169,
TWDB,2001,48173,COLLINGSWORTH,County,55,48173,
TWDB,2001,48177,COLORADO,County,55,48177,
TWDB,2001,48181,COMAL,County,55,48181,
TWDB,2001,48185,COMANCHE,County,55,48185,
TWDB,2001,48189,CONCHO,County,55,48189,
TWDB,2001,48193,COOKE,County,55,48193,
TWDB,2001,48197,CORYELL,County,55,48197,
TWDB,2001,48201,COTTLE,County,55,48201,
TWDB,2001,48205,CRANE,County,55,48205,
TWDB,2001,48209,CROCKETT,County,55,48209,
TWDB,2001,48213,CROSBY,County,55,48213,
TWDB,2001,48217,CULBERSON,County,55,48217,
TWDB,2001,48221,DALLAM,County,55,48221,
TWDB,2001,48225,DALLAS,County,55,48225,
TWDB,2001,48229,DAWSON,County,55,48229,
TWDB,2001,48233,DEAF SMITH,County,55,48233,
TWDB,2001,48237,DELTA,County,55,48237,
TWDB,2001,48241,DENTON,County,55,48241,
TWDB,2001,48245,DEWITT,County,55,48245,
TWDB,2001,48249,DICKENS,County,55,48249,
TWDB,2001,48253,DIMMIT,County,55,48253,
TWDB,2001,48257,DONLEY,County,55,48257,
TWDB,2001,48261,DUVAL,County,55,48261,
TWDB,2001,48265,EASTLAND,County,55,48265,
TWDB,2001,48269,ECTOR,County,55,48269,
TWDB,2001,48273,EDWARDS,County,55,48273,
TWDB,2001,48281,EL PASO,County,55,48281,
TWDB,2001,48277,ELLIS,County,55,48277,
TWDB,2001,48285,ERATH,County,55,48285,
TWDB,2001,48289,FALLS,County,55,48289,
TWDB,2001,48293,FANNIN,County,55,48293,
TWDB,2001,48297,FAYETTE,County,55,48297,
TWDB,2001,48301,FISHER,County,55,48301,
TWDB,2001,48305,FLOYD,County,55,48305,
TWDB,2001,48309,FOARD,County,55,48309,
TWDB,2001,48313,FORT BEND,County,55,48313,
