ORGANIZATION_ID,REPORT_ID,REPORTING_UNIT_ID,SUMMARY_SEQ,BENEFICIAL_USE_ID,FRESH_SALINE_IND,SOURCE_TYPE,POWER_GENERATED,POPULATION_SERVED,WFS_FEATURE_REF
TWDB,2000,48973,1,16,1,1,,14676,
TWDB,2000,48977,1,16,1,1,,20082,
TWDB,2000,48981,1,16,1,1,,249967,
TWDB,2000,48985,1,16,1,1,,32408,
TWDB,2000,48989,1,16,1,1,,7173,
TWDB,2000,48993,1,16,1,1,,48793,
TWDB,2000,48997,1,16,1,1,,36752,
TWDB,2000,49001,1,16,1,1,,7322,
TWDB,2000,49005,1,16,1,1,,17943,
TWDB,2000,49009,1,16,1,1,,12182,
TWDB,2000,49013,1,16,1,1,,11600,
TWDB,2000,48001,1,17,1,1,,55109,
TWDB,2000,48005,1,17,1,1,,13004,
TWDB,2000,48009,1,17,1,1,,80130,
TWDB,2000,48013,1,17,1,1,,22497,
TWDB,2000,48017,1,17,1,1,,8855,
TWDB,2000,48021,1,17,1,1,,2148,
TWDB,2000,48025,1,17,1,1,,38628,
TWDB,2000,48029,1,17,1,1,,23590,
TWDB,2000,48033,1,17,1,1,,6594,
TWDB,2000,48037,1,17,1,1,,17645,
TWDB,2000,48041,1,17,1,1,,57733,
TWDB,2000,48045,1,17,1,1,,4093,
TWDB,2000,48049,1,17,1,1,,32359,
TWDB,2000,48053,1,17,1,1,,237974,
TWDB,2000,48057,1,17,1,1,,1392931,
TWDB,2000,48061,1,17,1,1,,8418,
TWDB,2000,48065,1,17,1,1,,729,
TWDB,2000,48069,1,17,1,1,,17204,
TWDB,2000,48073,1,17,1,1,,89306,
TWDB,2000,48077,1,17,1,1,,241767,
TWDB,2000,48081,1,17,1,1,,152415,
TWDB,2000,48085,1,17,1,1,,8866,
TWDB,2000,48089,1,17,1,1,,1790,
TWDB,2000,48093,1,17,1,1,,7976,
TWDB,2000,48097,1,17,1,1,,37674,
TWDB,2000,48101,1,17,1,1,,16470,
TWDB,2000,48105,1,17,1,1,,34147,
TWDB,2000,48109,1,17,1,1,,32194,
TWDB,2000,48113,1,17,1,1,,20647,
TWDB,2000,48117,1,17,1,1,,12905,
TWDB,2000,48121,1,17,1,1,,335227,
TWDB,2000,48125,1,17,1,1,,11549,
TWDB,2000,48129,1,17,1,1,,6516,
TWDB,2000,48133,1,17,1,1,,30438,
TWDB,2000,48137,1,17,1,1,,8285,
TWDB,2000,48141,1,17,1,1,,26030,
TWDB,2000,48145,1,17,1,1,,46659,
TWDB,2000,48149,1,17,1,1,,7688,
TWDB,2000,48153,1,17,1,1,,11006,
TWDB,2000,48157,1,17,1,1,,3730,
TWDB,2000,48161,1,17,1,1,,3864,
TWDB,2000,48165,1,17,1,1,,9235,
TWDB,2000,48169,1,17,1,1,,491675,
TWDB,2000,48173,1,17,1,1,,3206,
TWDB,2000,48177,1,17,1,1,,20390,
TWDB,2000,48181,1,17,1,1,,78021,
TWDB,2000,48185,1,17,1,1,,14026,
TWDB,2000,48189,1,17,1,1,,3966,
TWDB,2000,48193,1,17,1,1,,36363,
TWDB,2000,48197,1,17,1,1,,74978,
TWDB,2000,48201,1,17,1,1,,1904,
TWDB,2000,48205,1,17,1,1,,3996,
TWDB,2000,48209,1,17,1,1,,4099,
TWDB,2000,48213,1,17,1,1,,7072,
TWDB,2000,48217,1,17,1,1,,2975,
TWDB,2000,48221,1,17,1,1,,6222,
TWDB,2000,48225,1,17,1,1,,2218899,
TWDB,2000,48229,1,17,1,1,,14985,
TWDB,2000,48233,1,17,1,1,,18561,
TWDB,2000,48237,1,17,1,1,,5327,
TWDB,2000,48241,1,17,1,1,,432976,
TWDB,2000,48245,1,17,1,1,,20014,
TWDB,2000,48249,1,17,1,1,,2762,
TWDB,2000,48253,1,17,1,1,,10248,
TWDB,2000,48257,1,17,1,1,,3828,
TWDB,2000,48261,1,17,1,1,,13120,
TWDB,2000,48265,1,17,1,1,,18297,
TWDB,2000,48269,1,17,1,1,,121123,
