MethodUUID,OrganizationUUID,SiteUUID,VariableSpecificUUID,WaterSourceUUID,Amount,AllocationCropDutyAmount,AssociatedNativeAllocationIDs,BeneficialUseCategory,CommunityWaterSupplySystem,CropTypeCV,CustomerTypeCV,DataPublicationDate,DataPublicationDOI,Geometry,IrrigatedAcreage,IrrigationMethodCV,PopulationServed,PowerGeneratedGWh,PowerType,PrimaryUseCategory,ReportYearCV,SDWISIdentifier,TimeframeEnd,TimeframeStart,ReasonRemoved,index
CO_Water Use Data,CODWR,,CO_Reservoirs and Gages,COss_WS61,751.8,,,Municipal,,,,03/09/2021,,,,,,,,Unspecified,1988,,12/31/1988,01/01/1988,Bad SiteUUID,9555.0
CO_Water Use Data,CODWR,,CO_Reservoirs and Gages,COss_WS61,227.5,,,Municipal,,,,03/09/2021,,,,,,,,Unspecified,1993,,12/31/1993,01/01/1993,Bad SiteUUID,9556.0
CO_Water Use Data,CODWR,,CO_Reservoirs and Gages,COss_WS61,1153.31,,,Municipal,,,,03/09/2021,,,,,,,,Unspecified,1996,,12/31/1996,01/01/1996,Bad SiteUUID,9557.0
CO_Water Use Data,CODWR,,CO_Reservoirs and Gages,COss_WS61,1062.47,,,Municipal,,,,03/09/2021,,,,,,,,Unspecified,1997,,12/31/1997,01/01/1997,Bad SiteUUID,9558.0
CO_Water Use Data,CODWR,,CO_Reservoirs and Gages,COss_WS61,1206.89,,,Municipal,,,,03/09/2021,,,,,,,,Unspecified,1998,,12/31/1998,01/01/1998,Bad SiteUUID,9559.0
CO_Water Use Data,CODWR,,CO_Reservoirs and Gages,COss_WS61,1159.44,,,Municipal,,,,03/09/2021,,,,,,,,Unspecified,1999,,12/31/1999,01/01/1999,Bad SiteUUID,9560.0
CO_Water Use Data,CODWR,,CO_Reservoirs and Gages,COss_WS61,1454.13,,,Municipal,,,,03/09/2021,,,,,,,,Unspecified,2000,,12/31/2000,01/01/2000,Bad SiteUUID,9561.0
CO_Water Use Data,CODWR,,CO_Reservoirs and Gages,COss_WS61,1249.24,,,Municipal,,,,03/09/2021,,,,,,,,Unspecified,2001,,12/31/2001,01/01/2001,Bad SiteUUID,9562.0
CO_Water Use Data,CODWR,,CO_Reservoirs and Gages,COss_WS61,1073.5,,,Municipal,,,,03/09/2021,,,,,,,,Unspecified,2002,,12/31/2002,01/01/2002,Bad SiteUUID,9563.0
CO_Water Use Data,CODWR,,CO_Reservoirs and Gages,COss_WS61,866.0,,,Municipal,,,,03/09/2021,,,,,,,,Unspecified,2003,,12/31/2003,01/01/2003,Bad SiteUUID,9564.0
CO_Water Use Data,CODWR,,CO_Reservoirs and Gages,COss_WS61,908.55,,,Municipal,,,,03/09/2021,,,,,,,,Unspecified,2004,,12/31/2004,01/01/2004,Bad SiteUUID,9565.0
CO_Water Use Data,CODWR,,CO_Reservoirs and Gages,COss_WS61,977.82,,,Municipal,,,,03/09/2021,,,,,,,,Unspecified,2005,,12/31/2005,01/01/2005,Bad SiteUUID,9566.0
CO_Water Use Data,CODWR,,CO_Reservoirs and Gages,COss_WS61,4858.17,,,Municipal,,,,03/09/2021,,,,,,,,Unspecified,2006,,12/31/2006,01/01/2006,Bad SiteUUID,9567.0
CO_Water Use Data,CODWR,,CO_Reservoirs and Gages,COss_WS61,952.3,,,Municipal,,,,03/09/2021,,,,,,,,Unspecified,2007,,12/31/2007,01/01/2007,Bad SiteUUID,9568.0
CO_Water Use Data,CODWR,,CO_Reservoirs and Gages,COss_WS61,1376.0,,,Municipal,,,,03/09/2021,,,,,,,,Unspecified,2009,,12/31/2009,01/01/2009,Bad SiteUUID,9569.0
CO_Water Use Data,CODWR,,CO_Reservoirs and Gages,COss_WS61,1265.62,,,Municipal,,,,03/09/2021,,,,,,,,Unspecified,2014,,12/31/2014,01/01/2014,Bad SiteUUID,9570.0
CO_Water Use Data,CODWR,,CO_Reservoirs and Gages,COss_WS61,2562.0,,,Municipal,,,,03/09/2021,,,,,,,,Unspecified,2009,,12/31/2009,01/01/2009,Bad SiteUUID,9571.0
CO_Water Use Data,CODWR,,CO_Reservoirs and Gages,COss_WS61,1202.5,,,Municipal,,,,03/09/2021,,,,,,,,Unspecified,2014,,12/31/2014,01/01/2014,Bad SiteUUID,9572.0
CO_Water Use Data,CODWR,,CO_Reservoirs and Gages,COss_WS61,2130.4178,,,Municipal,,,,03/09/2021,,,,,,,,Unspecified,2016,,12/31/2016,01/01/2016,Bad SiteUUID,9573.0
CO_Water Use Data,CODWR,,CO_Reservoirs and Gages,COss_WS61,1842.3145,,,Municipal,,,,03/09/2021,,,,,,,,Unspecified,2017,,12/31/2017,01/01/2017,Bad SiteUUID,9574.0
CO_Water Use Data,CODWR,,CO_Reservoirs and Gages,COss_WS61,1881.1117,,,Municipal,,,,03/09/2021,,,,,,,,Unspecified,2018,,12/31/2018,01/01/2018,Bad SiteUUID,9575.0
CO_Water Use Data,CODWR,,CO_Reservoirs and Gages,COss_WS61,1772.3366,,,Municipal,,,,03/09/2021,,,,,,,,Unspecified,2019,,12/31/2019,01/01/2019,Bad SiteUUID,9576.0
CO_Water Use Data,CODWR,,CO_Reservoirs and Gages,COss_WS61,6.9423,,,Municipal,,,,03/09/2021,,,,,,,,Unspecified,2016,,12/31/2016,01/01/2016,Bad SiteUUID,9577.0
CO_Water Use Data,CODWR,,CO_Reservoirs and Gages,COss_WS61,36.0,,,Municipal,,,,03/09/2021,,,,,,,,Unspecified,2004,,12/31/2004,01/01/2004,Bad SiteUUID,9578.0
CO_Water Use Data,CODWR,,CO_Reservoirs and Gages,COss_WS61,2776.38,,,Municipal,,,,03/09/2021,,,,,,,,Unspecified,1996,,12/31/1996,01/01/1996,Bad SiteUUID,9579.0
CO_Water Use Data,CODWR,,CO_Reservoirs and Gages,COss_WS61,2581.78,,,Municipal,,,,03/09/2021,,,,,,,,Unspecified,1997,,12/31/1997,01/01/1997,Bad SiteUUID,9580.0
CO_Water Use Data,CODWR,,CO_Reservoirs and Gages,COss_WS61,3008.88,,,Municipal,,,,03/09/2021,,,,,,,,Unspecified,1998,,12/31/1998,01/01/1998,Bad SiteUUID,9581.0
CO_Water Use Data,CODWR,,CO_Reservoirs and Gages,COss_WS61,2782.26,,,Municipal,,,,03/09/2021,,,,,,,,Unspecified,1999,,12/31/1999,01/01/1999,Bad SiteUUID,9582.0
CO_Water Use Data,CODWR,,CO_Reservoirs and Gages,COss_WS61,3470.03,,,Municipal,,,,03/09/2021,,,,,,,,Unspecified,2000,,12/31/2000,01/01/2000,Bad SiteUUID,9583.0
CO_Water Use Data,CODWR,,CO_Reservoirs and Gages,COss_WS61,3233.46,,,Municipal,,,,03/09/2021,,,,,,,,Unspecified,2001,,12/31/2001,01/01/2001,Bad SiteUUID,9584.0
