SiteUUID,RegulatoryOverlayUUIDs,WaterSourceUUIDs,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,Geometry,GNISCodeCV,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,PODorPOUSite,SiteName,SiteNativeID,SitePoint,SiteTypeCV,StateCV,USGSSiteID
COss_S1427,,COss_WS187,,Unspecified,ALAMOSA,4326,,,,,37.644249,-105.97473400000001,,,POD,W0102 WELL NO 24,WaDECO_S2304,,WELL,CO,
COss_S1428,,COss_WS187,,Unspecified,ALAMOSA,4326,,,,,37.643268,-105.970188,,,POD,W0102 WELL NO 25,WaDECO_S2305,,WELL,CO,
COss_S1429,,COss_WS187,,Unspecified,ALAMOSA,4326,,,,,37.643147,-105.979446,,,POD,W0102 WELL NO 26,WaDECO_S2306,,WELL,CO,
COss_S1430,,COss_WS187,,Unspecified,ALAMOSA,4326,,,,,37.683525,-105.98265400000001,,,POD,W0103 WELL NO 03,WaDECO_S2307,,WELL,CO,
COss_S1431,,COss_WS187,,Unspecified,ALAMOSA,4326,,,,,37.687062,-105.98763400000001,,,POD,W0103 WELL NO 05,WaDECO_S2308,,WELL,CO,
COss_S1432,,COss_WS186,,Unspecified,ALAMOSA,4326,,,,,37.688224,-106.00158799999998,,,POD,W0103 WELL NO 07,WaDECO_S2309,,WELL,CO,
COss_S1433,,COss_WS56,,Unspecified,JEFFERSON,4326,,181118.0,,,39.90351,-105.254117,,,POD,HOGAN DITCH 2,WaDECO_S231,,DITCH,CO,
COss_S1434,,COss_WS187,,Unspecified,ALAMOSA,4326,,,,,37.686978,-105.978276,,,POD,W0103 WELL NO 10,WaDECO_S2310,,WELL,CO,
COss_S1435,,COss_WS187,,Unspecified,RIO GRANDE,4326,,,,,37.666495,-106.11211599999999,,,POD,W0103 WELL NO 11,WaDECO_S2311,,WELL,CO,
COss_S1436,,COss_WS187,,Unspecified,ALAMOSA,4326,,,,,37.683884,-105.992593,,,POD,W0103 WELL NO 12,WaDECO_S2312,,WELL,CO,
COss_S1437,,COss_WS187,,Unspecified,ALAMOSA,4326,,,,,37.686407,-105.992604,,,POD,W0103 WELL NO 13,WaDECO_S2313,,WELL,CO,
COss_S1438,,COss_WS187,,Unspecified,ALAMOSA,4326,,,,,37.686422,-106.001598,,,POD,W0103 WELL NO 14,WaDECO_S2314,,WELL,CO,
COss_S1439,,COss_WS187,,Unspecified,RIO GRANDE,4326,,,,,37.631941999999995,-106.09351299999999,,,POD,W0106 WELL NO 01,WaDECO_S2315,,WELL,CO,
COss_S1440,,COss_WS187,,Unspecified,RIO GRANDE,4326,,,,,37.629560999999995,-106.09366000000001,,,POD,W0106 WELL NO 04,WaDECO_S2316,,WELL,CO,
COss_S1441,,COss_WS186,,Unspecified,CONEJOS,4326,,,,,37.37413,-106.06648200000001,,,POD,W0107 WELL NO 01,WaDECO_S2317,,WELL,CO,
