MethodUUID,OrganizationUUID,SiteUUID,VariableSpecificUUID,WaterSourceUUID,Amount,AllocationCropDutyAmount,AssociatedNativeAllocationIDs,BeneficialUseCategory,CommunityWaterSupplySystem,CropTypeCV,CustomerTypeCV,DataPublicationDate,DataPublicationDOI,Geometry,IrrigatedAcreage,IrrigationMethodCV,PopulationServed,PowerGeneratedGWh,PowerType,PrimaryUseCategory,ReportYearCV,SDWISIdentifier,TimeframeEnd,TimeframeStart,ReasonRemoved,index
MDNRC_Streamgage,MDNRC,,MDNRC_Reservoirs and Gages,MTss_WS1,6.15841223,,,Unspecified,,,,09/16/2021,,,,,,,,Unspecified,2018,,2018-10-20,2018-10-20,Bad SiteUUID,271755.0
MDNRC_Streamgage,MDNRC,,MDNRC_Reservoirs and Gages,MTss_WS1,6.10426454,,,Unspecified,,,,09/16/2021,,,,,,,,Unspecified,2018,,2018-10-21,2018-10-21,Bad SiteUUID,271756.0
MDNRC_Streamgage,MDNRC,,MDNRC_Reservoirs and Gages,MTss_WS1,5.98079436,,,Unspecified,,,,09/16/2021,,,,,,,,Unspecified,2018,,2018-10-22,2018-10-22,Bad SiteUUID,271757.0
MDNRC_Streamgage,MDNRC,,MDNRC_Reservoirs and Gages,MTss_WS1,5.87445395,,,Unspecified,,,,09/16/2021,,,,,,,,Unspecified,2018,,2018-10-23,2018-10-23,Bad SiteUUID,271758.0
MDNRC_Streamgage,MDNRC,,MDNRC_Reservoirs and Gages,MTss_WS1,5.76156645,,,Unspecified,,,,09/16/2021,,,,,,,,Unspecified,2018,,2018-10-24,2018-10-24,Bad SiteUUID,271759.0
MDNRC_Streamgage,MDNRC,,MDNRC_Reservoirs and Gages,MTss_WS1,5.60702853,,,Unspecified,,,,09/16/2021,,,,,,,,Unspecified,2018,,2018-10-25,2018-10-25,Bad SiteUUID,271760.0
MDNRC_Streamgage,MDNRC,,MDNRC_Reservoirs and Gages,MTss_WS1,5.48865615,,,Unspecified,,,,09/16/2021,,,,,,,,Unspecified,2018,,2018-10-26,2018-10-26,Bad SiteUUID,271761.0
MDNRC_Streamgage,MDNRC,,MDNRC_Reservoirs and Gages,MTss_WS1,5.41784128,,,Unspecified,,,,09/16/2021,,,,,,,,Unspecified,2018,,2018-10-27,2018-10-27,Bad SiteUUID,271762.0
MDNRC_Streamgage,MDNRC,,MDNRC_Reservoirs and Gages,MTss_WS1,5.46936011,,,Unspecified,,,,09/16/2021,,,,,,,,Unspecified,2018,,2018-10-28,2018-10-28,Bad SiteUUID,271763.0
MDNRC_Streamgage,MDNRC,,MDNRC_Reservoirs and Gages,MTss_WS1,5.40645257,,,Unspecified,,,,09/16/2021,,,,,,,,Unspecified,2018,,2018-10-29,2018-10-29,Bad SiteUUID,271764.0
