USE TYPE,STATE,COUNTY,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Stockpond,Colorado,upper main stem,4632.9196,5008.5617,5217.2518,5384.2039,4465.9675,1564.0000,2052.0000,2627.0000,2229.0000,2694.0000,3365.0100,3365.0100,3365.0100,3365.0100,3365.0100,2404.0000,3895.0000,3727.0000,3895.0000,3601.0000,3650.0000,3196.0000,2606.0000,3895.0000,2402.0000,3477.0000,3273.0000,3854.0000,3764.0000,3895.0000,3708.0000,3895.0000,3775.0000,3585.0000,2812.0000,3895.0000,3681.0000,3835.0000,3895.0000,3489.0000,3745.0000,3895.0000,3697.0000,3646.0000,3373.0000,3795.0000,3895.0000,3895.0000,0.0000,0.0000
Stockpond,Colorado,san juan-colorado river,3893.4858,4113.8718,2718.0938,3599.6378,2791.5558,2537.0000,2626.0000,3155.0000,2638.0000,3644.0000,3781.7200,3781.7200,3781.7200,3781.7200,3781.7200,2817.0000,3767.0000,3948.0000,5062.0000,3395.0000,3991.0000,4056.0000,4033.0000,4323.0000,4407.0000,4180.0000,3503.0000,4083.0000,4228.0000,4429.0000,4427.0000,5022.0000,4658.0000,3741.0000,3685.0000,4008.0000,4142.0000,4267.0000,4945.0000,4294.0000,4556.0000,5062.0000,4355.0000,4357.0000,3660.0000,4582.0000,4627.0000,5062.0000,0.0000,0.0000
Stockpond,New Mexico,san juan-colorado river,2292.8161,2374.7024,1883.3847,2456.5887,1965.2710,717.0000,732.0000,872.0000,718.0000,964.0000,2293.5653,2375.4516,2375.4516,2375.4516,2375.4516,3680.0000,3680.0000,3680.0000,3680.0000,3680.0000,3680.0000,3680.0000,3680.0000,3680.0000,3680.0000,3680.0000,3680.0000,3680.0000,3680.0000,3680.0000,3680.0000,3680.0000,3680.0000,3680.0000,3680.0000,3680.0000,3680.0000,3680.0000,3680.0000,3680.0000,3680.0000,3680.0000,3680.0000,3680.0000,3680.0000,3680.0000,3680.0000,3680.0000,0.0000,0.0000
Stockpond,Utah,green river,2545.7188,2606.3311,2182.0446,2909.3929,2727.5558,1644.0000,1805.0000,1944.0000,1954.0000,1787.0000,3225.1000,2873.4800,2929.3600,2952.4800,3009.3100,2602.0000,2602.0000,2602.0000,2602.0000,2602.0000,2602.0000,2602.0000,2602.0000,2602.0000,2602.0000,2602.0000,2430.0000,2602.0000,2602.0000,2602.0000,2602.0000,2602.0000,2602.0000,2602.0000,2602.0000,2602.0000,2602.0000,2602.0000,2602.0000,2602.0000,2602.0000,2602.0000,2602.0000,2602.0000,2602.0000,2602.0000,2602.0000,2602.0000,0.0000,0.0000
Stockpond,Utah,upper main stem,213.5615,170.8492,170.8492,213.5615,170.8492,37.0000,44.0000,46.0000,37.0000,44.0000,69.8500,66.4700,60.5800,65.2800,61.0700,89.0000,87.0000,89.0000,89.0000,89.0000,89.0000,89.0000,89.0000,89.0000,89.0000,89.0000,89.0000,89.0000,89.0000,89.0000,89.0000,89.0000,89.0000,89.0000,89.0000,89.0000,89.0000,89.0000,89.0000,89.0000,89.0000,89.0000,89.0000,89.0000,89.0000,89.0000,89.0000,89.0000,0.0000,0.0000
Stockpond,Utah,san juan-colorado river,1524.1200,1604.3369,1283.4695,1604.3369,1363.6863,2072.0000,1904.0000,2228.0000,2102.0000,2043.0000,3091.8200,2935.3700,2948.4100,3106.6000,2979.7000,3115.0000,3115.0000,3115.0000,3115.0000,3115.0000,3115.0000,3115.0000,3115.0000,3115.0000,3115.0000,3115.0000,2962.0000,3115.0000,3115.0000,3115.0000,3115.0000,3115.0000,3115.0000,3115.0000,3115.0000,3115.0000,3115.0000,3115.0000,3115.0000,3115.0000,3115.0000,3115.0000,3115.0000,3115.0000,2706.0000,3115.0000,3115.0000,3115.0000,0.0000,0.0000
Stockpond,Wyoming,green river,2574.6603,2523.1670,2420.1806,2677.6467,2523.1670,1420.0000,1753.0000,1742.0000,1860.0000,1765.0000,2499.1700,2131.9700,2076.1700,2158.0700,2572.0700,2754.0000,2754.0000,2754.0000,2754.0000,2754.0000,2754.0000,2754.0000,2754.0000,2754.0000,2754.0000,2754.0000,2754.0000,2754.0000,2754.0000,2754.0000,2754.0000,2754.0000,2754.0000,2754.0000,2754.0000,2754.0000,2754.0000,2754.0000,2754.0000,2754.0000,2754.0000,2754.0000,2754.0000,2754.0000,2754.0000,2754.0000,2754.0000,2754.0000,0.0000,0.0000
Major and Minor Reservoirs,Arizona,san juan-colorado river,4600.0000,4600.0000,3300.0000,4742.0000,3900.0000,3966.0000,4150.0000,4330.0000,3650.0000,3664.0000,5615.0000,4300.0000,4000.0000,4900.0000,4900.0000,5305.9000,5582.0000,5131.0000,2765.0000,2440.0000,2590.0000,4700.0000,3850.0000,3825.0000,3760.0000,5806.2678,5686.9490,5234.2348,4927.2019,4469.8314,4359.2346,3605.9341,3783.7184,3620.0585,3523.1888,3654.8979,3522.4748,3467.5964,3750.5942,3303.3632,3563.4303,3947.6167,3599.5851,3623.9979,2860.4594,3502.8985,3754.1650,3814.9494,0.0000,0.0000
Major and Minor Reservoirs,Colorado,green river,5800.0000,4400.0000,4100.0000,4800.0000,4400.0000,3856.0000,5102.0000,5401.0000,5443.0000,6085.0000,6489.3500,6470.3500,6472.0000,6472.1200,6479.8000,7000.5008,8169.4223,8133.7357,8252.2691,8057.9477,7466.8927,7871.1245,7394.3744,8370.5691,6770.0048,5619.6158,4258.6787,7055.4815,7766.5131,7735.3301,8373.2691,8373.2691,8373.2691,8373.2691,6534.0696,8373.2691,7522.2714,8363.8505,8075.4252,7554.1786,7204.5679,8373.2691,8373.2691,6835.7505,7381.7902,8183.2990,8192.1681,8373.2691,0.0000,0.0000
Major and Minor Reservoirs,Colorado,upper main stem,46761.0000,45447.0000,43963.0000,48494.0000,44577.0000,29073.0000,36635.0000,44104.0000,41884.0000,54756.0000,67483.5824,63269.5100,67246.2200,69052.2894,71397.9652,56008.7980,61397.0687,61055.0558,61429.5088,56668.4480,62653.2894,63397.8148,59368.2453,66679.9217,52385.4910,64865.5574,65765.9873,73124.6490,72960.5246,73762.7089,70697.6438,61869.4154,64608.7884,67528.6623,67126.1967,71923.1849,72938.7913,71960.6551,72011.2443,71438.8238,68499.2908,69847.4226,61949.0236,63601.9190,67138.2474,76526.9849,72646.3314,67059.0691,0.0000,0.0000
