WaDESiteUUID,SiteNativeID,SiteName,USGSSiteID,SiteTypeCV,Longitude,Latitude,Geometry,CoordinateMethodCV,CoordinateAccuracy,GNISCodeCV,EPSGCodeCV,NHDMetadataID
100695,100695,D T LIVESTOCK CO SEEP 1,,,-103.964612,40.327918,,5107,Digitized,0.01,0.01,
100696,100696,D T LIVESTOCK CO SEEP 2,,,-104.003694,40.348726,,5107,Digitized,0.01,0.01,
100697,100697,SMYLIE DRAIN DITCH,,,-104.274601,40.307784,,5107,Spotted from quarters,0.01,0.01,
100698,100698,RIVERSIDE EMBANKMENT DR,,,-104.210554,40.339326,,5107,Spotted from quarters,0.01,0.01,
100701,100701,WOODWARD RES D SYS,,,-104.497517,40.050677,,5107,Digitized,0.01,0.01,
100702,100702,WADLIN DITCH 2 ALT PT,,,-104.506058,40.462478,,5107,GPS,0.01,0.01,
100704,100704,EHRLICH LONE TREE DIVR,,,-104.598378,40.44862,,5107,Spotted from quarters,0.01,0.01,
100706,100706,IRELAND DITCH ALT PT,,,-104.5969,40.064753,,5107,Digitized,0.01,0.01,
100709,100709,GOLD CREEK PL,,,-104.618134,39.356342,,5107,Digitized,0.01,0.01,
100710,100710,RIVERSIDE DITCH,,,-104.468461,40.37941,,5107,GPS,0.01,0.01,
100714,100714,FIRESTACK DITCH,,,-104.147325,40.283136,,5107,Digitized,0.01,0.01,
100715,100715,ZIMBLELMAN DIVR PT 1,,,-104.413852,40.123903,,5107,Digitized,0.01,0.01,
100716,100716,ZIMBLELMAN DIVR PT 2,,,-104.395614,40.123858,,5107,Digitized,0.01,0.01,
100717,100717,ZIMBLELMAN DIVR PT 3,,,-104.433057,40.133242,,5107,Digitized,0.01,0.01,
100718,100718,B BEAVER R OUTLET D 1 2,,,-103.572493,39.89949,,5107,Spotted from quarters,0.01,0.01,
100720,100720,BENNETT WW EFFLUENT PUMP,,,-104.429661,39.76991,,5107,Spotted from quarters,0.01,0.01,
100721,100721,ZIMBLELMAN DITCH,,,-104.423498,40.131235,,5107,Digitized,0.01,0.01,
100722,100722,KEENE DIVR PT 1,,,-104.394266,40.088025,,5107,Digitized,0.01,0.01,
100723,100723,BIJOU VALLEY D SYS R D,,,-104.04216,40.048176,,5107,Spotted from quarters,0.01,0.01,
100724,100724,BIJOU VALLEY D SYS D,,,-104.073782,39.97682,,5107,Spotted from quarters,0.01,0.01,
100726,100726,BREWERS LAKE 2 DITCH,,,-104.487365,40.52264,,5107,GPS,0.01,0.01,
100727,100727,BUNKER-MUNGER PUMP PLANT,,,-104.824575,40.831455,,5107,GPS,0.01,0.01,
100728,100728,C A MELBORN DITCH 1,,,-104.588307,39.160789,,5107,Digitized,0.01,0.01,
100729,100729,C A MELBORN DITCH 2,,,-104.589415,39.160062,,5107,Digitized,0.01,0.01,
100730,100730,HERFORD IRR SYS DITCH,,,-104.368037,40.991502,,5107,GPS,0.01,0.01,
100731,100731,CANTON SLOUGH,,,-104.357871,40.316004,,5107,Digitized,0.01,0.01,
100732,100732,CAUGHLAN PUMPING PLANT,,,-103.676567,40.32024,,5107,Digitized,0.01,0.01,
100733,100733,THORNTON PUMP STATION 3,,,-104.598322,40.421745,,5107,Spotted from quarters,0.01,0.01,
100734,100734,CH RUSSEL SEEPAGE DITCH,,,-104.521449,40.500419,,5107,Digitized,0.01,0.01,
100738,100738,D T DITCH 2,,,-104.000999,40.072828,,5107,Digitized,0.01,0.01,
100740,100740,DAVISSON SUMP PUMP 1,,,-104.56325,40.319076,,5107,Spotted from section lines,0.01,0.01,
100741,100741,DAY DITCH EAST DIVR PT,,,-104.263063,40.311724,,5107,Digitized,0.01,0.01,
100742,100742,DAY DITCH MIDDLE DIVR PT,,,-104.25695,40.311171,,5107,Digitized,0.01,0.01,
100743,100743,DAY DITCH WEST DIVR PT,,,-104.247512,40.311128,,5107,Digitized,0.01,0.01,
