OrganizationName,RegulatoryOverlayName,ReportingUnitName,DataPublicationDateID
CODWR,COLORADO RIVER COMPACT,Piute,10/1/2013
CODWR,ASPINALL UNIT OPERATIONS,Snake Valley,10/1/2013
CODWR,UPPER COLORADO RIVER COMPACT,Boulder,10/1/2013
CODWR,UCR ENDANGERED FISH RECOVERY PROGRAM,Escalante River,10/1/2013
CODWR,"RIO GRANDE, COLORADO, TIJUANA TREATY",Escalante Desert,10/1/2013
CODWR,COLORADO RIVER COMPACT,Navajo Lake,10/1/2013
CODWR,ASPINALL UNIT OPERATIONS,Lake Powell,10/1/2013
CODWR,UPPER COLORADO RIVER COMPACT,Paria River,10/1/2013
CODWR,UCR ENDANGERED FISH RECOVERY PROGRAM,Kanab Creek,10/1/2013
CODWR,"RIO GRANDE, COLORADO, TIJUANA TREATY",Long Valley,10/1/2013
CODWR,COLORADO RIVER COMPACT,McElmo,10/1/2013
CODWR,ASPINALL UNIT OPERATIONS,Johnson Wash,10/1/2013
CODWR,UPPER COLORADO RIVER COMPACT,Beaver,10/1/2013
CODWR,UCR ENDANGERED FISH RECOVERY PROGRAM,Cedar,10/1/2013
CODWR,"RIO GRANDE, COLORADO, TIJUANA TREATY",Lower Beaver River,10/1/2013
CODWR,COLORADO RIVER COMPACT,Great Salt Lake,10/1/2013
CODWR,UPPER COLORADO RIVER COMPACT and YAMPA PORTION,East Shore,10/1/2013
CODWR,UCR ENDANGERED FISH RECOVERY PROGRAM,North Fork Virgin,10/1/2013
CODWR,"RIO GRANDE, COLORADO, TIJUANA TREATY",Laverkin,10/1/2013
CODWR,COLORADO RIVER COMPACT,Beaver Dam Wash,10/1/2013
CODWR,UPPER COLORADO RIVER COMPACT and YAMPA PORTION,Santa Clara,10/1/2013
CODWR,UCR ENDANGERED FISH RECOVERY PROGRAM,St. George,10/1/2013
CODWR,"RIO GRANDE, COLORADO, TIJUANA TREATY",Wahweep Creek,10/1/2013
CODWR,COLORADO RIVER COMPACT,San Juan River,10/1/2013
CODWR,UPPER COLORADO RIVER COMPACT,Bear Lake,10/1/2013
CODWR,UCR ENDANGERED FISH RECOVERY PROGRAM,Tremonton,10/1/2013
CODWR,"RIO GRANDE, COLORADO, TIJUANA TREATY",Brigham City,10/1/2013
CODWR,COLORADO RIVER COMPACT,Cache Valley,10/1/2013
CODWR,LA PLATA RIVER COMPACT,Randolph,10/1/2013
CODWR,UPPER COLORADO RIVER COMPACT,Evanston,10/1/2013
CODWR,ANIMAS-LA PLATA PROJECT COMPACT,Cedar Valley,10/1/2013
CODWR,SAN-JUAN RIVER BASIN RIP,Colorado Headwaters-Plateau,10/1/2013
CODWR,"RIO GRANDE, COLORADO, TIJUANA TREATY",Westwater Canyon,10/1/2013
CODWR,NEBRASKA VS. WYOMING,Upper Dolores,10/1/2013
CODWR,WYOMING VS. COLORADO,Lower Dolores,10/1/2013
CODWR,PLATTE RIVER RECOVERY IMPLEMENTATION PROGRAM,Upper Colorado-Kane Springs,10/1/2013
CODWR,COLORADO RIVER COMPACT,Upper Green-Flaming Gorge Reservoir,10/1/2013
