SiteUUID,SiteNativeID,SiteName,USGSSiteID,SiteTypeCV,Longitude,Latitude,SitePoint,SiteNativeURL,Geometry,CoordinateMethodCV,CoordinateAccuracy,GNISCodeCV,EPSGCodeCV,NHDNetworkStatusCV,NHDProductCV,NHDUpdateDate,NHDReachCode,NHDMeasureNumber,StateCV,HUC8,HUC12,County
AZ_335536112510501,335536112510501,Unspecified,,GWSI,-112.85137749739637,33.92756459079428,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_335959112515301,335959112515301,Unspecified,,GWSI,-112.86444998873554,34.000045645485194,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_335727113052201,335727113052201,Unspecified,,GWSI,-113.09070749346739,33.95646324935965,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_335451113062401,335451113062401,Unspecified,,GWSI,-113.10814074476227,33.91471603084893,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_335517113072901,335517113072901,Unspecified,,GWSI,-113.12554981833428,33.92203578726653,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_335428113062701,335428113062701,Unspecified,,GWSI,-113.10816936015516,33.907448057846196,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_335427113055701,335427113055701,Unspecified,,GWSI,-113.09947640169013,33.907425274791116,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_335906113122901,335906113122901,Unspecified,,GWSI,-113.21018696138279,33.985580872106006,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_335840113123201,335840113123201,Unspecified,,GWSI,-113.21022689753083,33.978303911816816,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_325242113235301,325242113235301,Unspecified,,GWSI,-113.4008752785798,32.87943608998478,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_335710113124001,335710113124001,Unspecified,,GWSI,-113.21248901477439,33.952954136715555,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_335605113131501,335605113131501,Unspecified,,GWSI,-113.22109276166609,33.93480232633663,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_335711113151901,335711113151901,Unspecified,,GWSI,-113.25586679240963,33.952833686190516,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_335725113425801,335725113425801,Unspecified,,GWSI,-113.71567473779785,33.956516408546726,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_335838113475201,335838113475201,Unspecified,,GWSI,-113.79963682142709,33.9766664151958,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_335823113471501,335823113471501,Unspecified,,INDEX,-113.78667095781643,33.973075508899136,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_335729113490601,335729113490601,Unspecified,,INDEX,-113.81936856385184,33.95851944997199,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_335810113480201,335810113480201,Unspecified,,INDEX,-113.80186450435657,33.96759177736775,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_335733113470301,335733113470301,Unspecified,,INDEX,-113.78453723895386,33.95854668619066,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_335729113471601,335729113471601,Unspecified,,GWSI,-113.78887520058387,33.95853854984599,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_335807113455101,335807113455101,Unspecified,,INDEX,-113.76703423708972,33.96940810423437,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_335744113460201,335744113460201,Unspecified,,GWSI,-113.76707108896127,33.960329179041985,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_335717113462501,335717113462501,Unspecified,,GWSI,-113.77364073808364,33.95488039232304,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_335648113462101,335648113462101,Unspecified,,INDEX,-113.77364526626187,33.9476232253158,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_334647113572601,334647113572601,Unspecified,,GWSI,-113.79106726278583,33.94583185555673,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_335718113480301,335718113480301,Unspecified,,GWSI,-113.8019380674911,33.95489713017148,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_335452114120901,335452114120901,Unspecified,,GWSI,-114.20344421111703,33.914232147080725,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_340242112541401,340242112541401,Unspecified,,GWSI,-112.90575836658148,34.045435236772114,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_340110112492601,340110112492601,Unspecified,,GWSI,-112.825383944224,34.01999159848968,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_335952112592801,335952112592801,Unspecified,,INDEX,-112.9863319762068,33.99285348987151,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_340003113124201,340003113124201,Unspecified,,GWSI,-113.21239071839611,34.000192883419906,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_340003113131301,340003113131301,Unspecified,,GWSI,-113.22111989754454,34.000170755574025,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_340003113164701,340003113164701,Unspecified,,GWSI,-113.27967922824025,34.00012684081026,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_340003113154501,340003113154501,Unspecified,,INDEX,-113.26220139866832,34.000161128768795,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_335959113215401,335959113215401,Unspecified,,GWSI,-113.36619737807213,34.00006106601135,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_340339113405001,340339113405001,Unspecified,,GWSI,-113.68308560535812,34.06147409543504,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_324641111284801,324641111284801,Unspecified,,GWSI,-111.4800701687188,32.77888932783856,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_340334113353401,340334113353401,Unspecified,,GWSI,-113.59380372910111,34.05983090164097,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_340340113364201,340340113364201,Unspecified,,GWSI,-113.61120460920367,34.059840867937076,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_340333113363701,340333113363701,Unspecified,,INDEX,-113.61120460920367,34.059840867937076,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_340058113404701,340058113404701,Unspecified,,INDEX,-113.68089440621296,34.01662649624674,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
AZ_340127113404901,340127113404901,Unspecified,,GWSI,-113.68088868008029,34.02205375496271,,,,Unspecified,,,EPSG:4326,,,,,,AZ,,,
