in_SiteNativeID,geometry
POU1345,"POLYGON ((-110.8362399380459 39.62339585320956, -110.8376773532899 39.62205532319402, -110.8381817202153 39.62211008913503, -110.8431834770395 39.62266297777576, -110.8439071712624 39.62363256875146, -110.8451720595749 39.62488219945661, -110.846585319354 39.6259743305255, -110.8469965515996 39.62653802162432, -110.8478271030396 39.6271743442764, -110.8495182896739 39.62802802801836, -110.8505050799656 39.628637502538, -110.8515783068161 39.62861184756061, -110.8521469539439 39.62860356231713, -110.8527078647242 39.62839703618619, -110.8526603207564 39.63542957103228, -110.8523479054479 39.63547873136496, -110.8516402575138 39.63561298522971, -110.8499673055929 39.63593070452769, -110.8476433530656 39.63604481448676, -110.8453760537086 39.63635718138814, -110.8446578989653 39.63596877756322, -110.8443469154903 39.63485558112046, -110.8439349572014 39.6346027381237, -110.8419173079573 39.63429816262892, -110.8394228456546 39.63408750281267, -110.8380365127259 39.63391888638695, -110.8357857004181 39.62381870003193, -110.8362399380459 39.62339585320956))"
POU1372,"POLYGON ((-111.1613042781712 39.72240833318897, -111.1617042021958 39.72143539278842, -111.1621197910427 39.72152653738384, -111.1618250422268 39.72241715935524, -111.1633450947158 39.72244269214769, -111.1633604553883 39.72321646900799, -111.1639437616818 39.72317374924481, -111.1652287481351 39.72282061883503, -111.1668696807961 39.72240578369102, -111.1680172203833 39.72244999077528, -111.1691445524861 39.72234140246945, -111.169875134121 39.72179035139998, -111.1702468994621 39.72014003349391, -111.1706011121022 39.71937562598895, -111.1712939505857 39.71957328153644, -111.1710384216038 39.72023050423055, -111.1706426601657 39.72018522448649, -111.1701720734 39.72188164069826, -111.1695004296457 39.72229502139612, -111.1688482412581 39.7225557366142, -111.1681757721603 39.72258725731658, -111.1669096403321 39.72257376702834, -111.1656640025531 39.72283522588273, -111.164181308411 39.72326513769553, -111.1633632452279 39.72336035842935, -111.1635093350298 39.730722856098, -111.1539688612489 39.73092061025368, -111.1539484867233 39.72228433760866, -111.158384478785 39.72235919266017, -111.1588836410217 39.7213953169583, -111.1591623313364 39.72147314405616, -111.1586983601528 39.72236444049226, -111.1613042781712 39.72240833318897))"
POU0,"POLYGON ((-110.0485064311426 40.31143726671012, -110.0484651425151 40.3087612200044, -110.0497405879502 40.3087762087227, -110.0496030030769 40.31145529023579, -110.0485064311426 40.31143726671012))"
POU1398,"POLYGON ((-111.5972900660621 40.7507785600226, -111.596709250363 40.75007439260401, -111.5955695913786 40.75032801455647, -111.595670546349 40.74243265788969, -111.596028717771 40.7424326105406, -111.5960285649834 40.74241549504561, -111.6004721466187 40.74238408461515, -111.6072608592269 40.74233595426791, -111.6077985558494 40.74233222313108, -111.6078234404556 40.74935877068636, -111.6071881979844 40.7493233776128, -111.6048321378965 40.749194314298, -111.6034175666138 40.74917018876598, -111.6009893766417 40.74944861091773, -111.5994904648056 40.74979422730766, -111.5992049221926 40.74991912738236, -111.5981701284434 40.75037312135539, -111.5972900660621 40.7507785600226))"
POU0,"POLYGON ((-111.7172853830332 41.0397301180053, -111.7176946375987 41.03950957462226, -111.7178156510454 41.0392592971583, -111.7179353030851 41.03888381572572, -111.71813805703 41.03860150039016, -111.7202558021364 41.04002417257151, -111.7227502808861 41.04194349062524, -111.7239558483177 41.04284123513953, -111.7241637128801 41.04302639627667, -111.7237141900159 41.04337242758217, -111.7230175435114 41.04375153602149, -111.7220648969433 41.04335214548617, -111.7211521909838 41.04279575662958, -111.7206057649306 41.04189476395416, -111.719361164262 41.04112153922114, -111.718569534107 41.04031575083853, -111.718071233939 41.04000627635748, -111.7172853830332 41.0397301180053))"
POU0,"POLYGON ((-111.7558726076888 41.11167272086825, -111.7558407535294 41.11429523571536, -111.7522302279621 41.11426481910572, -111.7516609636887 41.11437572930472, -111.7516583770705 41.11446222254172, -111.7508630053182 41.11438183357696, -111.7499544907184 41.11430217568937, -111.7488131242494 41.11375110666392, -111.7438575258906 41.10978277476259, -111.7467587183856 41.1076723571359, -111.7473729701726 41.107226983763, -111.7494633415253 41.1093428873041, -111.7508058978445 41.11016413944478, -111.7532353287039 41.11097764432127, -111.7558726076888 41.11167272086825))"
POU0,"POLYGON ((-111.2403278316348 40.96086667482285, -111.2403646553644 40.97101604953381, -111.2270474123073 40.97104304466322, -111.2270126287495 40.96089366035785, -111.2403278316348 40.96086667482285))"
POU0,"POLYGON ((-111.8714257113748 41.35952012788701, -111.8713728633975 41.35822911665911, -111.8660870594954 41.35816137923034, -111.8649643359266 41.35426856397686, -111.8638065486297 41.35312033017894, -111.8643681759541 41.35238965393197, -111.8657012111818 41.3532943509511, -111.8679997434306 41.3542994843457, -111.8716417806832 41.35429888898568, -111.8716335260686 41.35368013280959, -111.8734543466746 41.35366632728284, -111.8770412482889 41.35754030525518, -111.8754814529711 41.35838628074473, -111.8727682555569 41.35843373248427, -111.8727829926759 41.35953677440452, -111.8714257113748 41.35952012788701))"
POU1904,"POLYGON ((-111.3326302778677 40.91790963801148, -111.3311207850869 40.917651839197, -111.3314321517632 40.91707891465234, -111.3322174652167 40.91702891074627, -111.3328157523017 40.91728941866095, -111.3326302778677 40.91790963801148))"
POU11014,"POLYGON ((-113.1323262811855 37.10231403076085, -113.1296033586649 37.10577883762067, -113.1299558723268 37.11236086141674, -113.1196714145884 37.11205631810196, -113.118796372447 37.10492256064109, -113.1184897238545 37.09411717434171, -113.1323262811855 37.10231403076085))"
POU1450,"POLYGON ((-112.3845287551327 37.03628350580207, -112.4003843432019 37.03637682416976, -112.4007722403979 37.02600854555891, -112.3930263418269 37.02596453894756, -112.3932037245597 37.02243703553298, -112.394177496793 37.02221810298031, -112.3959286983642 37.02172817182026, -112.3966447954491 37.02161311320555, -112.4004642565051 37.0207940903157, -112.4068175297234 37.01933858155874, -112.4076402936674 37.01924346430754, -112.4081162955123 37.01908855032393, -112.4092534970038 37.01873370239085, -112.4107344071796 37.0182682163281, -112.4117981238497 37.01813496197195, -112.4157610132731 37.01732221517233, -112.4181246647445 37.01660165156324, -112.4206811931173 37.01599780214327, -112.4222612316089 37.01591226293385, -112.4242574164804 37.01595492984135, -112.4319452671999 37.01636860689271, -112.4395248153482 37.01661436384482, -112.4467443837496 37.01657613100069, -112.4485015303938 37.01666132424108, -112.4518497634378 37.01649240955307, -112.45344692781 37.01655812467098, -112.4550142092554 37.01645364741243, -112.4565050648116 37.01652062489903, -112.4612900406389 37.01637652335958, -112.4617668889986 37.0361456269738, -112.4606341438045 37.03616408595691, -112.4592679385778 37.03617413915492, -112.4581086655306 37.03616360623762, -112.4561381081055 37.03619006354763, -112.4546853731601 37.03612000388472, -112.4530739934056 37.0354479602664, -112.4522019769996 37.03441522649307, -112.4512329082937 37.03319673154852, -112.4501849302959 37.03168174454386, -112.4472476597269 37.02813236776406, -112.446466643699 37.02766867886776, -112.4455874171232 37.02748560278411, -112.4440324468356 37.02740989629957, -112.4423657119578 37.02738059618291, -112.4403877853923 37.02743392007682, -112.439368830683 37.02753642242187, -112.4383501700949 37.02783946508969, -112.4370188444538 37.02846401602047, -112.4362395649939 37.02920580747546, -112.4356332705699 37.03010774554147, -112.4347386112041 37.03164421029194, -112.4340236408064 37.03252041355647, -112.4325252292927 37.03341959558518, -112.4314232713202 37.03354331322507, -112.4288326314918 37.03384720438744, -112.4274359928969 37.03416371950247, -112.4256127612078 37.03471978919436, -112.423924857133 37.03554001805639, -112.4213533188546 37.03691613656804, -112.4199692477613 37.03726621482533, -112.419066351972 37.03717336217952, -112.417126701548 37.03709289181639, -112.4137207276287 37.03674819726701, -112.40555622345 37.03666493878728, -112.4048592279783 37.03760385137237, -112.4042182093113 37.03850613294268, -112.4036149186896 37.0393087246887, -112.4026415631019 37.04050778206442, -112.4018050640665 37.04129960141834, -112.4007640611954 37.04205110536006, -112.3995585964692 37.04279994376197, -112.3980030192847 37.04354613643285, -112.3964058219324 37.04409675253298, -112.3945936085851 37.04451241752798, -112.3932866789804 37.04480945094667, -112.3923796703675 37.04503642771902, -112.3910792253688 37.04534471799029, -112.3895392266911 37.04581795559726, -112.3882287749393 37.04621412474501, -112.3863481368714 37.04681749798081, -112.385272677334 37.04736862657979, -112.3841724729963 37.04824227153286, -112.3833328899407 37.04972813761246, -112.3831777503332 37.05087693090195, -112.3749848483205 37.05078064465743, -112.3749043316048 37.04341274608723, -112.3795900696807 37.04347777534036, -112.3796814749628 37.03974948036099, -112.3844804452255 37.03990764461444, -112.3845287551327 37.03628350580207))"
POU10869,"POLYGON ((-112.3845287551327 37.03628350580207, -112.3749412404776 37.03622600435713, -112.3748510345844 37.03340568445, -112.3836025051212 37.03315972525359, -112.384311424736 37.0214807492063, -112.3932526551313 37.02146623084141, -112.3932435429916 37.02164435759392, -112.3932037245597 37.02243703553298, -112.3930263418269 37.02596453894756, -112.4007722403979 37.02600854555891, -112.4003843432019 37.03637682416976, -112.3845287551327 37.03628350580207))"
POU0,"POLYGON ((-111.5722420181454 40.71146575747063, -111.5711144177645 40.71147134166699, -111.5711054572379 40.71042260183706, -111.5722330399295 40.71041701784608, -111.5722420181454 40.71146575747063))"
POU1050,"MULTIPOLYGON (((-112.0572173755152 40.50071062362181, -112.0186976137912 40.50059509677188, -112.0140011330342 40.50063640323879, -112.0139817981072 40.49935236854633, -112.014025927605 40.49935189122932, -112.013987106552 40.49677364239361, -112.0187803075404 40.49673148471079, -112.018726064215 40.49314537748558, -112.0043482869197 40.49334438050116, -112.0040796669434 40.46271333559376, -112.0042116475636 40.46271308986174, -112.0042352936444 40.45648379486931, -112.0137434113133 40.45655421575428, -112.0137979900295 40.46018493927411, -112.0325788615946 40.46019768859052, -112.0325377175634 40.46188577412251, -112.0328842729582 40.46264987117314, -112.0336331822239 40.4634614496705, -112.0347098641511 40.46380982740434, -112.0354518588243 40.46416119391634, -112.0364592157962 40.46435675568629, -112.0377304732366 40.46429417847694, -112.0389268617999 40.463720828296, -112.039321450134 40.46325701893758, -112.0399081957465 40.46222887714607, -112.0400979891502 40.46151114634428, -112.0404886108484 40.46079160743883, -112.0411486154471 40.46017189132387, -112.0418787519486 40.45975622028199, -112.0430127880604 40.45949023114964, -112.0430169930483 40.46409317203702, -112.0618973211361 40.46397232935039, -112.0618510489611 40.48015971206098, -112.0595725452198 40.48007828447528, -112.0595653092727 40.47961809075164, -112.057220862611 40.47958839131267, -112.0572746205066 40.4915554619245, -112.0595509800494 40.49148353327902, -112.059960871567 40.49199120345888, -112.0580314970033 40.49282715254831, -112.0575682494823 40.49318940225319, -112.0569775026947 40.4939619054676, -112.056181801412 40.49448060959023, -112.0549172044001 40.49500358961208, -112.0548221581747 40.49321450076156, -112.0523440069062 40.49323709434705, -112.0521635695438 40.48597638498374, -112.0510251385911 40.4859867441842, -112.0509964204595 40.48414578573006, -112.0522688329482 40.48413420705329, -112.0521730796403 40.48229394887066, -112.0474845606048 40.48228536970765, -112.0474792799999 40.48410105308898, -112.0450684645508 40.4841228791684, -112.0452374547304 40.49501488330682, -112.0429601637084 40.49503545888427, -112.0430211433613 40.49897292128258, -112.052358837318 40.49633111831061, -112.0523931975861 40.49852994014653, -112.0604980769891 40.49845584411767, -112.0601986342396 40.50070889472737, -112.0572173755152 40.50071062362181)), ((-111.9982869990929 40.52318411596445, -111.9978845035018 40.52244058542919, -112.0100232633892 40.52248456807357, -112.040483940073 40.52244913931109, -112.0428654421363 40.52242766896421, -112.0428948883606 40.52432743887683, -112.0430806024282 40.52432819481265, -112.0428205324011 40.52953066066703, -112.042933863419 40.52952990797874, -112.042899436529 40.53693458908671, -111.999367438788 40.53696475547419, -111.9990069702483 40.52979609291717, -111.9985621358429 40.52979867707219, -111.9982869990929 40.52318411596445)))"
POU0,"POLYGON ((-111.8858839872194 40.59925732211116, -111.8842671380655 40.59925529816078, -111.8842707940479 40.59953273816611, -111.8841360718718 40.59953376953089, -111.8841334386667 40.59978242983009, -111.8820494542842 40.59975962629818, -111.8822332163409 40.59917355804076, -111.882230397804 40.59895917245211, -111.8858536242345 40.59892693566476, -111.8858839872194 40.59925732211116))"
POU10999,"POLYGON ((-111.7529512004436 40.77179919060341, -111.7528772623959 40.77030876909624, -111.7548843387888 40.76976956184399, -111.7557184785147 40.77119906356877, -111.7557309426531 40.77229909763191, -111.7551697324106 40.77284192908547, -111.7532178979083 40.77297134527412, -111.7529569787966 40.77179672061073, -111.7529512004436 40.77179919060341))"
POU11124,"POLYGON ((-112.1025163147905 38.67817526142653, -112.1023055100841 38.67919662796826, -112.1021662009514 38.67973790920203, -112.1015124735434 38.68055230867492, -112.1008513005226 38.68146698224619, -112.1002304863863 38.68264584943638, -112.0999272078556 38.68342729441801, -112.0987214228244 38.68346566413432, -112.0989662721603 38.68250129753603, -112.0977371895254 38.68238334649257, -112.0972106119336 38.68190734540371, -112.0928217915594 38.68198538845937, -112.0928992141425 38.67932059821882, -112.0930087533538 38.67721061472112, -112.0951876199875 38.67306458685792, -112.0956365507848 38.67309741919702, -112.0955476696586 38.67500382315949, -112.0966867458227 38.67599684724019, -112.0970835280875 38.67615920751464, -112.0977455694756 38.67588832743884, -112.0979985531111 38.67632228898113, -112.0975096221984 38.67657721774732, -112.0979653773054 38.67713796027162, -112.0981806127632 38.67749360538485, -112.0982471444701 38.67766464949631, -112.0985198414389 38.67759774620966, -112.0986069562102 38.67673137415057, -112.0992817972714 38.67670358531714, -112.0992454714417 38.67611745888455, -112.0987253681975 38.67611513726239, -112.0985175695344 38.67565930551703, -112.0986854382755 38.67529294329999, -112.1009028325808 38.67530074709916, -112.1019420810657 38.67642820949796, -112.1024675620647 38.67678092292075, -112.102642458167 38.67747306851556, -112.1025163147905 38.67817526142653))"
POU0,"POLYGON ((-111.7137495150702 41.23844711333831, -111.7137701401795 41.24111058337733, -111.7085124985194 41.2411493614644, -111.708488364087 41.23891468173683, -111.7130225198398 41.2386434831496, -111.7130208556634 41.23849036131246, -111.7137495150702 41.23844711333831))"
