MethodUUID,OrganizationUUID,SiteUUID,VariableSpecificUUID,WaterSourceUUID,Amount,AllocationCropDutyAmount,AssociatedNativeAllocationIDs,BeneficialUseCategory,CommunityWaterSupplySystem,CropTypeCV,CustomerTypeCV,DataPublicationDate,DataPublicationDOI,Geometry,IrrigatedAcreage,IrrigationMethodCV,PopulationServed,PowerGeneratedGWh,PowerType,PrimaryUseCategory,ReportYearCV,SDWISIdentifier,TimeframeEnd,TimeframeStart
UDWR_Water Use Data,UDWR,UTSS_S5,UDWR_Site Specific Withdrawal,UTSS_WS5,28.72,,,Irrigation,,,,09/08/2020,,,,,,,,Irrigation,1981,,1981-12-31,1981-01-01
UDWR_Water Use Data,UDWR,UTSS_S4,UDWR_Site Specific Withdrawal,UTSS_WS4,788.83005,,,Irrigation,,,,09/08/2020,,,,,,,,Irrigation,1982,,1982-12-31,1982-01-01
UDWR_Water Use Data,UDWR,UTSS_S5,UDWR_Site Specific Withdrawal,UTSS_WS5,83.57,,,Irrigation,,,,09/08/2020,,,,,,,,Irrigation,1982,,1982-12-31,1982-01-01
UDWR_Water Use Data,UDWR,UTSS_S4,UDWR_Site Specific Withdrawal,UTSS_WS4,612.73999,,,Irrigation,,,,09/08/2020,,,,,,,,Irrigation,1983,,1983-12-31,1983-01-01
UDWR_Water Use Data,UDWR,UTSS_S4,UDWR_Site Specific Withdrawal,UTSS_WS4,701.1700400000002,,,Irrigation,,,,09/08/2020,,,,,,,,Irrigation,1984,,1984-12-31,1984-01-01
UDWR_Water Use Data,UDWR,UTSS_S4,UDWR_Site Specific Withdrawal,UTSS_WS4,891.51001,,,Irrigation,,,,09/08/2020,,,,,,,,Irrigation,1985,,1985-12-31,1985-01-01
UDWR_Water Use Data,UDWR,UTSS_S5,UDWR_Site Specific Withdrawal,UTSS_WS5,104.95,,,Irrigation,,,,09/08/2020,,,,,,,,Irrigation,1985,,1985-12-31,1985-01-01
UDWR_Water Use Data,UDWR,UTSS_S4,UDWR_Site Specific Withdrawal,UTSS_WS4,946.44005,,,Irrigation,,,,09/08/2020,,,,,,,,Irrigation,1986,,1986-12-31,1986-01-01
UDWR_Water Use Data,UDWR,UTSS_S5,UDWR_Site Specific Withdrawal,UTSS_WS5,54.31,,,Irrigation,,,,09/08/2020,,,,,,,,Irrigation,1986,,1986-12-31,1986-01-01
UDWR_Water Use Data,UDWR,UTSS_S4,UDWR_Site Specific Withdrawal,UTSS_WS4,1021.06004,,,Irrigation,,,,09/08/2020,,,,,,,,Irrigation,1987,,1987-12-31,1987-01-01
UDWR_Water Use Data,UDWR,UTSS_S4,UDWR_Site Specific Withdrawal,UTSS_WS4,1108.26005,,,Irrigation,,,,09/08/2020,,,,,,,,Irrigation,1988,,1988-12-31,1988-01-01
UDWR_Water Use Data,UDWR,UTSS_S4,UDWR_Site Specific Withdrawal,UTSS_WS4,871.6800300000001,,,Irrigation,,,,09/08/2020,,,,,,,,Irrigation,1989,,1989-12-31,1989-01-01
UDWR_Water Use Data,UDWR,UTSS_S4,UDWR_Site Specific Withdrawal,UTSS_WS4,1010.47005,,,Irrigation,,,,09/08/2020,,,,,,,,Irrigation,1990,,1990-12-31,1990-01-01
UDWR_Water Use Data,UDWR,UTSS_S4,UDWR_Site Specific Withdrawal,UTSS_WS4,989.24006,,,Irrigation,,,,09/08/2020,,,,,,,,Irrigation,1991,,1991-12-31,1991-01-01
UDWR_Water Use Data,UDWR,UTSS_S6,UDWR_Site Specific Withdrawal,UTSS_WS6,42.14,,,Irrigation,,,,09/08/2020,,,,,,,,Irrigation,1991,,1991-12-31,1991-01-01
UDWR_Water Use Data,UDWR,UTSS_S4,UDWR_Site Specific Withdrawal,UTSS_WS4,736.91002,,,Irrigation,,,,09/08/2020,,,,,,,,Irrigation,1992,,1992-12-31,1992-01-01
UDWR_Water Use Data,UDWR,UTSS_S6,UDWR_Site Specific Withdrawal,UTSS_WS6,304.38002,,,Irrigation,,,,09/08/2020,,,,,,,,Irrigation,1992,,1992-12-31,1992-01-01
UDWR_Water Use Data,UDWR,UTSS_S4,UDWR_Site Specific Withdrawal,UTSS_WS4,531.6800400000002,,,Irrigation,,,,09/08/2020,,,,,,,,Irrigation,1993,,1993-12-31,1993-01-01
UDWR_Water Use Data,UDWR,UTSS_S4,UDWR_Site Specific Withdrawal,UTSS_WS4,1315.56008,,,Irrigation,,,,09/08/2020,,,,,,,,Irrigation,1994,,1994-12-31,1994-01-01
UDWR_Water Use Data,UDWR,UTSS_S4,UDWR_Site Specific Withdrawal,UTSS_WS4,1135.59006,,,Irrigation,,,,09/08/2020,,,,,,,,Irrigation,1995,,1995-12-31,1995-01-01
UDWR_Water Use Data,UDWR,UTSS_S4,UDWR_Site Specific Withdrawal,UTSS_WS4,1333.09009,,,Irrigation,,,,09/08/2020,,,,,,,,Irrigation,1996,,1996-12-31,1996-01-01
UDWR_Water Use Data,UDWR,UTSS_S4,UDWR_Site Specific Withdrawal,UTSS_WS4,1211.68007,,,Irrigation,,,,09/08/2020,,,,,,,,Irrigation,1997,,1997-12-31,1997-01-01
UDWR_Water Use Data,UDWR,UTSS_S6,UDWR_Site Specific Withdrawal,UTSS_WS6,0.0,,,Irrigation,,,,09/08/2020,,,,,,,,Irrigation,1997,,1997-12-31,1997-01-01
