SiteUUID,RegulatoryOverlayUUIDs,WaterSourceUUID,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,Geometry,GNISCodeCV,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,PODorPOUSite,SiteName,SiteNativeID,SitePoint,SiteTypeCV,StateCV,USGSSiteID
NEwr_S11285,NEre_RO4,NEwr_WS191,,Unspecified,Gage,4326,,,1.02702E+11,,40.28370715,-96.70682045,,,POD,Unspecified,8097,,Unspecified,NE,
NEwr_S11286,NEre_RO4,NEwr_WS191,,Unspecified,Gage,4326,,,1.02702E+11,,40.28370715,-96.70682045,,,POD,Unspecified,8098,,Unspecified,NE,
NEwr_S11287,NEre_RO6,NEwr_WS64,,Unspecified,Howard,4326,,,1.021E+11,,41.32067945,-98.56643381,,,POD,Unspecified,5537,,Unspecified,NE,
NEwr_S11288,NEre_RO4,NEwr_WS132,,Unspecified,Saline,4326,,,1.02702E+11,,40.53011544,-96.95108571,,,POD,Unspecified,7887,,Unspecified,NE,
NEwr_S11289,NEre_RO4,NEwr_WS132,,Unspecified,Saline,4326,,,1.02702E+11,,40.53011082,-96.95107636,,,POD,Unspecified,7889,,Unspecified,NE,
NEwr_S11290,NEre_RO3,NEwr_WS25,,Unspecified,Jefferson,4326,,,1.02702E+11,,40.21253815,-97.35734649,,,POD,Unspecified,579,,Unspecified,NE,
NEwr_S11291,NEre_RO3,NEwr_WS25,,Unspecified,Jefferson,4326,,,1.02702E+11,,40.21253815,-97.35734649,,,POD,Unspecified,590,,Unspecified,NE,
NEwr_S11292,NEre_RO4,NEwr_WS448,,Unspecified,Gage,4326,,,1.02702E+11,,40.33650606,-96.85557701,,,POD,Unspecified,12314,,Unspecified,NE,
NEwr_S11293,NEre_RO4,NEwr_WS448,,Unspecified,Gage,4326,,,1.02702E+11,,40.33650606,-96.85557701,,,POD,Unspecified,863,,Unspecified,NE,
NEwr_S11294,NEre_RO1,NEwr_WS1198,,Unspecified,Hall,4326,,,1.02702E+11,,40.72057888,-98.3237285,,,POD,Unspecified,3593,,Unspecified,NE,
