SiteUUID,RegulatoryOverlayUUIDs,WaterSourceUUID,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,Geometry,GNISCodeCV,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,PODorPOUSite,SiteName,SiteNativeID,SitePoint,SiteTypeCV,StateCV,USGSSiteID,ReasonRemoved,index
CAss_S495,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,COBB AREA CWD - MT. HANNAH,,,,CA,,Bad Latitude,494.0
CAss_S497,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,COBB AREA CWD - STARVIEW,,,,CA,,Bad Latitude,496.0
CAss_S502,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,USFS-MIDDLE CREEK CG,,,,CA,,Bad Latitude,501.0
CAss_S522,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,JOHNSTONVILLE WATER SYSTEM,,,,CA,,Bad Latitude,521.0
CAss_S542,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,HENNINGER FLATS,,,,CA,,Bad Latitude,541.0
CAss_S552,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,ACTON CONSERVATION CAMP #11,,,,CA,,Bad Latitude,551.0
CAss_S555,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,GENERAL ATOMICS AERONAUTICAL - GRAY BUTT,,,,CA,,Bad Latitude,554.0
CAss_S559,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,ANTELOPE VALLEY AIRPORT EXPRESS,,,,CA,,Bad Latitude,558.0
CAss_S624,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,METROPOLITAN WATER DIST. OF SO. CAL.,,,,CA,,Bad Latitude,623.0
CAss_S642,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,COVINA IRRIGATING CO.,,,,CA,,Bad Latitude,641.0
CAss_S704,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,FAIRMEAD LANDFILL,,,,CA,,Bad Latitude,703.0
CAss_S705,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,WARNOCK FOOD PRODUCTS #2,,,,CA,,Bad Latitude,704.0
CAss_S715,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,MADERA CO SA02-WISHON COVE,,,,CA,,Bad Latitude,714.0
CAss_S723,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,ALMADEN - MADERA,,,,CA,,Bad Latitude,722.0
CAss_S725,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,BALTIMORE AIRCOIIL COMPANY,,,,CA,,Bad Latitude,724.0
CAss_S726,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,CERTAINTEED,,,,CA,,Bad Latitude,725.0
CAss_S734,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,PG&E OAKHURST SERVICE CENTER,,,,CA,,Bad Latitude,733.0
CAss_S739,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,BLACKHAWK CENTER WATER SYSTEM,,,,CA,,Bad Latitude,738.0
CAss_S783,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,GREEN MEADOWS OUTDOOR SCHOOL,,,,CA,,Bad Latitude,782.0
CAss_S788,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,NORTH WAWONA PARK MUTUAL (A SYSTEM),,,,CA,,Bad Latitude,787.0
CAss_S789,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,NORTH WAWONA ESTATES (B SYSTEM),,,,CA,,Bad Latitude,788.0
CAss_S790,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,REDWOODS MAIN WATER SYSTEM,,,,CA,,Bad Latitude,789.0
CAss_S791,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,WAMPUM HILL TRAILER VILLAGE,,,,CA,,Bad Latitude,790.0
CAss_S792,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,YOSEMITE ALPINE CSD,,,,CA,,Bad Latitude,791.0
CAss_S795,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,REDWOODS 70'S WATER SYSTEM,,,,CA,,Bad Latitude,794.0
CAss_S798,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,ORR SPRINGS RESORT,,,,CA,,Bad Latitude,797.0
CAss_S800,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,COAST INN AND SPA,,,,CA,,Bad Latitude,799.0
CAss_S806,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,CLEONE CAMPGROUND AND GROCERY,,,,CA,,Bad Latitude,805.0
CAss_S812,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,U.S. ARMY CORPS-LAKE MENDO (BUSHAY SITE),,,,CA,,Bad Latitude,811.0
CAss_S813,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,U.S. ARMY CORPS-LAKE MENDO (KYEN CMPGRD),,,,CA,,Bad Latitude,812.0
CAss_S814,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,U.S. ARMY CORPS-LAKE MENDO(MARINA SITE),,,,CA,,Bad Latitude,813.0
CAss_S815,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,U.S. ARMY CORPS-LAKE MENDO(POMO SITE),,,,CA,,Bad Latitude,814.0
CAss_S831,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,CSP-WESTPORT STATE BEACH,,,,CA,,Bad Latitude,830.0
CAss_S832,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,CSP-PT. CABRILLO LIGHT STATION SHP,,,,CA,,Bad Latitude,831.0
CAss_S833,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,"TURLOCK AUCTION YARD, INC.",,,,CA,,Bad Latitude,832.0
CAss_S834,,CAss_WS1,Unspecified,Centroid of Area,,4326,,,,,,,,,POU,LIBERTY PACKING COMPANY LLC,,,,CA,,Bad Latitude,833.0
