,WaDESiteUUID,SiteNativeID,SiteName,USGSSiteID,SiteTypeCV,Longitude,Latitude,SitePoint,SiteNativeURL,Geometry,CoordinateMethodCV,CoordinateAccuracy,GNISCodeCV,EPSGCodeCV,NHDNetworkStatusCV,NHDProductCV,NHDUpdateDate,NHDReachCode,NHDMeasureNumber,StateCV
0,MT_1,1,Not Provided,,WELL,,,,,,,,,EPSG:4326,,,,,,
1,MT_2,1,Not Provided,,PUMP,,,,,,,,,EPSG:4326,,,,,,
2,MT_3,1,Not Provided,,DAM,,,,,,,,,EPSG:4326,,,,,,
3,MT_4,1,Not Provided,,FLOWING,,,,,,,,,EPSG:4326,,,,,,
4,MT_5,1,Not Provided,,OTHER DIVERSION,,,,,,,,,EPSG:4326,,,,,,
5,MT_6,1,Not Provided,,DEVELOPED SPRING,,,,,,,,,EPSG:4326,,,,,,
6,MT_7,1,Not Provided,,HAND PUMP,,,,,,,,,EPSG:4326,,,,,,
7,MT_8,1,Not Provided,,DITCH/GRAVITY FLOW,,,,,,,,,EPSG:4326,,,,,,
8,MT_9,2,Not Provided,,WELL,,,,,,,,,EPSG:4326,,,,,,
9,MT_10,1,Not Provided,,WINDMILL,,,,,,,,,EPSG:4326,,,,,,
10,MT_11,1,Not Provided,,PIPELINE,,,,,,,,,EPSG:4326,,,,,,
11,MT_12,1,Not Provided,,SPRING BOX,,,,,,,,,EPSG:4326,,,,,,
12,MT_13,2,Not Provided,,SPRING BOX,,,,,,,,,EPSG:4326,,,,,,
13,MT_14,3,Not Provided,,SPRING BOX,,,,,,,,,EPSG:4326,,,,,,
14,MT_15,1,Not Provided,,BUCKET,,,,,,,,,EPSG:4326,,,,,,
15,MT_16,2,Not Provided,,DEVELOPED SPRING,,,,,,,,,EPSG:4326,,,,,,
16,MT_17,3,Not Provided,,WELL,,,,,,,,,EPSG:4326,,,,,,
17,MT_18,1,Not Provided,,UNDEVELOPED SPRING,,,,,,,,,EPSG:4326,,,,,,
18,MT_19,1,Not Provided,,DIVERSION DAM,,,,,,,,,EPSG:4326,,,,,,
19,MT_20,2,Not Provided,,PUMP,,,,,,,,,EPSG:4326,,,,,,
20,MT_21,3,Not Provided,,PUMP,,,,,,,,,EPSG:4326,,,,,,
21,MT_22,4,Not Provided,,PUMP,,,,,,,,,EPSG:4326,,,,,,
22,MT_23,4,Not Provided,,WELL,,,,,,,,,EPSG:4326,,,,,,
23,MT_24,5,Not Provided,,WELL,,,,,,,,,EPSG:4326,,,,,,
24,MT_25,2,Not Provided,,BUCKET,,,,,,,,,EPSG:4326,,,,,,
25,MT_26,1,RODY DITCH,,DITCH,,,,,,,,,EPSG:4326,,,,,,
26,MT_27,1,Not Provided,,HEADGATE,,,,,,,,,EPSG:4326,,,,,,
27,MT_28,1,Not Provided,,DITCH,,,,,,,,,EPSG:4326,,,,,,
28,MT_29,1,UPPER BLOODY DICK DITCH,,HEADGATE,,,,,,,,,EPSG:4326,,,,,,
29,MT_30,1,SELWAY SLOUGH,,HEADGATE,,,,,,,,,EPSG:4326,,,,,,
30,MT_31,2,Not Provided,,PIPELINE,,,,,,,,,EPSG:4326,,,,,,
31,MT_32,1,Not Provided,,DAM/PIT,,,,,,,,,EPSG:4326,,,,,,
32,MT_33,1,Not Provided,,LIVESTOCK DIRECT FROM SOURCE,,,,,,,,,EPSG:4326,,,,,,
33,MT_34,2,Not Provided,,LIVESTOCK DIRECT FROM SOURCE,,,,,,,,,EPSG:4326,,,,,,
34,MT_35,3,Not Provided,,LIVESTOCK DIRECT FROM SOURCE,,,,,,,,,EPSG:4326,,,,,,
35,MT_36,1,Not Provided,,INSTREAM,,,,,,,,,EPSG:4326,,,,,,
36,MT_37,2,Not Provided,,INSTREAM,,,,,,,,,EPSG:4326,,,,,,
37,MT_38,3,Not Provided,,INSTREAM,,,,,,,,,EPSG:4326,,,,,,
38,MT_39,1,Not Provided,,GRAVITY FLOW/DIRECT,,,,,,,,,EPSG:4326,,,,,,
39,MT_40,1,Not Provided,,OTHER,,,,,,,,,EPSG:4326,,,,,,
40,MT_41,1,Not Provided,,PUMP/GRAVITY FLOW,,,,,,,,,EPSG:4326,,,,,,
41,MT_42,1,Not Provided,,MULTIPLE,,,,,,,,,EPSG:4326,,,,,,
42,MT_43,1,Not Provided,,UNKNOWN,,,,,,,,,EPSG:4326,,,,,,
43,MT_44,1,BEAR CREEK DITCH,,HEADGATE,,,,,,,,,EPSG:4326,,,,,,
44,MT_45,1,Not Provided,,INFILTRATION GALLERY,,,,,,,,,EPSG:4326,,,,,,
