WaDESiteUUID,SiteNativeID,SiteName,USGSSiteID,SiteTypeCV,Longitude,Latitude,SitePoint,SiteNativeURL,Geometry,CoordinateMethodCV,CoordinateAccuracy,GNISCodeCV,EPSGCodeCV,NHDNetworkStatusCV,NHDProductCV,NHDUpdateDate,NHDReachCode,NHDMeasureNumber,StateCV
MT_51,1,EEKHOUT CABIN DIVERSION,,BUCKET,,,,,,,,,EPSG:4326,,,,,,
MT_52,1,ROARING BROOK DITCH,,HEADGATE,,,,,,,,,EPSG:4326,,,,,,
MT_53,1,TWIN LAKES,,DEVELOPED SPRING,,,,,,,,,EPSG:4326,,,,,,
MT_54,1,GUIDONI DAM,,PIPELINE,,,,,,,,,EPSG:4326,,,,,,
MT_55,1,DAVIS DITCH,,HEADGATE,,,,,,,,,EPSG:4326,,,,,,
MT_56,2,Not Provided,,PUMP/HEADGATE W/DITCH OR PIPELINE,,,,,,,,,EPSG:4326,,,,,,
MT_57,3,Not Provided,,PUMP/HEADGATE W/DITCH OR PIPELINE,,,,,,,,,EPSG:4326,,,,,,
MT_58,4,Not Provided,,PUMP/HEADGATE W/DITCH OR PIPELINE,,,,,,,,,EPSG:4326,,,,,,
MT_59,2,Not Provided,,PUMP/GRAVITY FLOW,,,,,,,,,EPSG:4326,,,,,,
MT_60,1,FLANDERS MILLPOND DITCH,,HEADGATE,,,,,,,,,EPSG:4326,,,,,,
MT_61,1,68 DITCH,,HEADGATE,,,,,,,,,EPSG:4326,,,,,,
MT_62,1,RYEN DITCH,,PIPELINE,,,,,,,,,EPSG:4326,,,,,,
MT_63,1,STIMPSON DITCH,,DITCH,,,,,,,,,EPSG:4326,,,,,,
MT_64,1,ANCENEY DITCH,,HEADGATE,,,,,,,,,EPSG:4326,,,,,,
MT_65,2,Not Provided,,HEADGATE,,,,,,,,,EPSG:4326,,,,,,
MT_66,1,CORBLY DITCH,,HEADGATE,,,,,,,,,EPSG:4326,,,,,,
MT_67,1,DIER DITCH,,HEADGATE,,,,,,,,,EPSG:4326,,,,,,
MT_68,1,FLANDERS MILLPOND DITCH,,DITCH,,,,,,,,,EPSG:4326,,,,,,
MT_69,2,Not Provided,,DAM,,,,,,,,,EPSG:4326,,,,,,
MT_70,1,RIMINI ROAD DITCH#1,,HEADGATE,,,,,,,,,EPSG:4326,,,,,,
MT_71,1,GLASSER DITCH,,HEADGATE,,,,,,,,,EPSG:4326,,,,,,
MT_72,1,Not Provided,,PIT,,,,,,,,,EPSG:4326,,,,,,
MT_73,2,Not Provided,,FLOWING,,,,,,,,,EPSG:4326,,,,,,
MT_74,1,Not Provided,,ELECTRIC PUMP,,,,,,,,,EPSG:4326,,,,,,
MT_75,2,Not Provided,,GRAVITY FLOW/DIRECT,,,,,,,,,EPSG:4326,,,,,,
MT_76,1,MIDDLE DITCH,,DITCH,,,,,,,,,EPSG:4326,,,,,,
MT_77,2,UPPER DITCH,,DITCH,,,,,,,,,EPSG:4326,,,,,,
MT_78,1,MUTUAL DITCH,,HEADGATE,,,,,,,,,EPSG:4326,,,,,,
MT_79,2,Not Provided,,DITCH,,,,,,,,,EPSG:4326,,,,,,
MT_80,1,ARMSTRONG DITCH,,DITCH,,,,,,,,,EPSG:4326,,,,,,
MT_81,1,COUNTS DITCHES,,PUMP,,,,,,,,,EPSG:4326,,,,,,
MT_82,2,SMITH-WIGGINS DITCH,,PIPELINE,,,,,,,,,EPSG:4326,,,,,,
MT_83,1,CARTERS DITCH,,DITCH,,,,,,,,,EPSG:4326,,,,,,
MT_84,1,COUNTS DITCH,,DITCH,,,,,,,,,EPSG:4326,,,,,,
MT_85,1,ALLEN-DURGAN-CHASE-ADAMS DITCH,,PIPELINE,,,,,,,,,EPSG:4326,,,,,,
MT_86,1,KEM-MULHERIN DITCH,,DITCH,,,,,,,,,EPSG:4326,,,,,,
MT_87,1,RUNNE-BEASLEY-SYLVESTER DITCH,,PUMP/GRAVITY FLOW,,,,,,,,,EPSG:4326,,,,,,
MT_88,1,FISHTAIL TOWN DITCH,,PUMP/GRAVITY FLOW,,,,,,,,,EPSG:4326,,,,,,
MT_89,1,FRANNIE CANAL,,DIVERSION DAM,,,,,,,,,EPSG:4326,,,,,,
MT_90,1,Not Provided,,ANY MEANS,,,,,,,,,EPSG:4326,,,,,,
MT_91,1,TWO LEGGINS CANAL,,DAM,,,,,,,,,EPSG:4326,,,,,,
MT_92,1,TWO LEGGINS CANAL,,DIVERSION DAM,,,,,,,,,EPSG:4326,,,,,,
MT_93,3,Not Provided,,PIPELINE,,,,,,,,,EPSG:4326,,,,,,
MT_94,1,SECTION 30 DITCH NO. 2,,FLOWING,,,,,,,,,EPSG:4326,,,,,,
MT_95,1,QUIRK DITCH NO. 1,,FLOWING,,,,,,,,,EPSG:4326,,,,,,
MT_96,2,SECTION 20 DITCH NO. 3,,PUMP/HEADGATE W/DITCH OR PIPELINE/FLOOD AND DIKE,,,,,,,,,EPSG:4326,,,,,,
MT_97,3,Not Provided,,FLOWING,,,,,,,,,EPSG:4326,,,,,,
MT_98,1,MILLER-NORTON-WEST DITCH,,HEADGATE,,,,,,,,,EPSG:4326,,,,,,
MT_99,1,RODDA DITCH,,HEADGATE,,,,,,,,,EPSG:4326,,,,,,
MT_100,1,WALLIBILLIG DITCH,,HEADGATE,,,,,,,,,EPSG:4326,,,,,,
MT_101,1,JONES DITCH,,DITCH,,,,,,,,,EPSG:4326,,,,,,
MT_102,1,Not Provided,,HEADGATE W/DITCH OR PIPELINE/FLOOD AND DIKE,,,,,,,,,EPSG:4326,,,,,,
MT_103,1,Not Provided,,SUMP,,,,,,,,,EPSG:4326,,,,,,
MT_104,2,Not Provided,,MULTIPLE,,,,,,,,,EPSG:4326,,,,,,
MT_105,1,ORR DITCH,,HEADGATE,,,,,,,,,EPSG:4326,,,,,,
MT_106,1,ROSS DITCH B,,HEADGATE,,,,,,,,,EPSG:4326,,,,,,
MT_107,1,ROSS DITCH C,,HEADGATE,,,,,,,,,EPSG:4326,,,,,,
MT_108,1,HICKEY DITCH B,,HEADGATE,,,,,,,,,EPSG:4326,,,,,,
MT_109,2,HICKEY DITCH C,,HEADGATE,,,,,,,,,EPSG:4326,,,,,,
MT_110,1,BURNT FORK RANCH DITCH (HEADGATE 2),,HEADGATE,,,,,,,,,EPSG:4326,,,,,,
MT_111,1,SHOOK DITCH C,,HEADGATE,,,,,,,,,EPSG:4326,,,,,,
MT_112,1,ROSS DITCH A,,HEADGATE,,,,,,,,,EPSG:4326,,,,,,
MT_113,1,REPUBLICAN DITCH,,HEADGATE,,,,,,,,,EPSG:4326,,,,,,
MT_114,1,SMITH DITCH,,HEADGATE,,,,,,,,,EPSG:4326,,,,,,
MT_115,1,MAIN DITCH,,HEADGATE,,,,,,,,,EPSG:4326,,,,,,
MT_116,1,LEONARD DITCH,,DIVERSION DAM,,,,,,,,,EPSG:4326,,,,,,
MT_117,1,IDDINGS DITCH,,HEADGATE,,,,,,,,,EPSG:4326,,,,,,
MT_118,2,Not Provided,,UNKNOWN,,,,,,,,,EPSG:4326,,,,,,
MT_119,3,Not Provided,,UNKNOWN,,,,,,,,,EPSG:4326,,,,,,
MT_120,4,Not Provided,,UNKNOWN,,,,,,,,,EPSG:4326,,,,,,
MT_121,5,Not Provided,,UNKNOWN,,,,,,,,,EPSG:4326,,,,,,
MT_122,6,Not Provided,,UNKNOWN,,,,,,,,,EPSG:4326,,,,,,
MT_123,7,Not Provided,,UNKNOWN,,,,,,,,,EPSG:4326,,,,,,
MT_124,8,Not Provided,,UNKNOWN,,,,,,,,,EPSG:4326,,,,,,
MT_125,9,Not Provided,,UNKNOWN,,,,,,,,,EPSG:4326,,,,,,
MT_126,10,Not Provided,,UNKNOWN,,,,,,,,,EPSG:4326,,,,,,
MT_127,11,Not Provided,,UNKNOWN,,,,,,,,,EPSG:4326,,,,,,
MT_128,12,Not Provided,,UNKNOWN,,,,,,,,,EPSG:4326,,,,,,
MT_129,13,Not Provided,,UNKNOWN,,,,,,,,,EPSG:4326,,,,,,
MT_130,1,Not Provided,,PIT/DAM,,,,,,,,,EPSG:4326,,,,,,
MT_131,4,Not Provided,,FLOWING,,,,,,,,,EPSG:4326,,,,,,
MT_132,1,MCDONALD DITCH,,HEADGATE,,,,,,,,,EPSG:4326,,,,,,
MT_133,1,Not Provided,,DIKE,,,,,,,,,EPSG:4326,,,,,,
MT_134,1,ALLEN DITCH,,HEADGATE,,,,,,,,,EPSG:4326,,,,,,
MT_135,3,Not Provided,,DEVELOPED SPRING,,,,,,,,,EPSG:4326,,,,,,
