SiteUUID,RegulatoryOverlayUUIDs,WaterSourceUUID,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,Geometry,GNISCodeCV,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,PODorPOUSite,SiteName,SiteNativeID,SitePoint,SiteTypeCV,StateCV,USGSSiteID,ReasonRemoved,index
AZwr_S222024,,AZwr_WS1644,Unspecified,Unspecified,,4326,,,,,0.0,-115.4887438843872,,,POD,Unspecified,B18013027B0C,,Unspecified,AZ,,Bad Latitude,222023.0
AZwr_S222025,,AZwr_WS1644,Unspecified,Unspecified,,4326,,,,,0.0,-115.4887438843872,,,POD,Unspecified,B16513027C0B,,Unspecified,AZ,,Bad Latitude,222024.0
AZwr_S222349,,AZwr_WS1745,Unspecified,Unspecified,,4326,,,,,0.0,-115.4887438843872,,,POD,Unspecified,D17032025CA0,,Unspecified,AZ,,Bad Latitude,222348.0
AZwr_S222416,,AZwr_WS1775,Unspecified,Unspecified,,4326,,,,,0.0,-115.4887438843872,,,POD,Unspecified,A03027001A00,,Unspecified,AZ,,Bad Latitude,222415.0
AZwr_S222543,,AZwr_WS1803,Unspecified,Unspecified,YAVAPAI,4326,,,,,0.0,-115.4887438843872,,,POD,Unspecified,A09002000000,,Unspecified,AZ,,Bad Latitude,222542.0
AZwr_S222875,,AZwr_WS1962,Unspecified,Unspecified,,4326,,,,,0.0,-115.4887438843872,,,POD,Unspecified,A01030000000,,Unspecified,AZ,,Bad Latitude,222874.0
AZwr_S222877,,AZwr_WS1962,Unspecified,Unspecified,,4326,,,,,0.0,-115.4887438843872,,,POD,Unspecified,A02030000000,,Unspecified,AZ,,Bad Latitude,222876.0
AZwr_S222881,,AZwr_WS1962,Unspecified,Unspecified,,4326,,,,,0.0,-115.4887438843872,,,POD,Unspecified,A03031000000,,Unspecified,AZ,,Bad Latitude,222880.0
AZwr_S222884,,AZwr_WS1962,Unspecified,Unspecified,,4326,,,,,0.0,-115.4887438843872,,,POD,Unspecified,A03030000000,,Unspecified,AZ,,Bad Latitude,222883.0
AZwr_S222899,,AZwr_WS1962,Unspecified,Unspecified,,4326,,,,,0.0,-115.4887438843872,,,POD,Unspecified,D01031000000,,Unspecified,AZ,,Bad Latitude,222898.0
AZwr_S222926,,AZwr_WS1962,Unspecified,Unspecified,,4326,,,,,0.0,-115.4887438843872,,,POD,Unspecified,D02031000000,,Unspecified,AZ,,Bad Latitude,222925.0
