,SiteUUID,SiteNativeID,SiteName,USGSSiteID,SiteTypeCV,Longitude,Latitude,SitePoint,SiteNativeURL,Geometry,CoordinateMethodCV,CoordinateAccuracy,GNISCodeCV,EPSGCodeCV,NHDNetworkStatusCV,NHDProductCV,NHDUpdateDate,NHDReachCode,NHDMeasureNumber,StateCV,HUC8,HUC12,County
23131,,36240.0,,,,,,,,,,,,,,,,,,,,,
23134,,3826.0,,,,,,,,,,,,,,,,,,,,,
23140,,32472.0,,,,,,,,,,,,,,,,,,,,,
23146,,32474.0,,,,,,,,,,,,,,,,,,,,,
23147,,32475.0,,,,,,,,,,,,,,,,,,,,,
23172,,1717.0,,,,,,,,,,,,,,,,,,,,,
23198,,30332.0,,,,,,,,,,,,,,,,,,,,,
23199,,18825.0,,,,,,,,,,,,,,,,,,,,,
23200,,41978.0,,,,,,,,,,,,,,,,,,,,,
23207,,30333.0,,,,,,,,,,,,,,,,,,,,,
23216,,3828.0,,,,,,,,,,,,,,,,,,,,,
23219,,27428.0,,,,,,,,,,,,,,,,,,,,,
23223,,32479.0,,,,,,,,,,,,,,,,,,,,,
23233,,38290.0,,,,,,,,,,,,,,,,,,,,,
23244,,30337.0,,,,,,,,,,,,,,,,,,,,,
23250,,38291.0,,,,,,,,,,,,,,,,,,,,,
23254,,32481.0,,,,,,,,,,,,,,,,,,,,,
23274,,20939.0,,,,,,,,,,,,,,,,,,,,,
23352,,26636.0,,,,,,,,,,,,,,,,,,,,,
23357,,38332.0,,,,,,,,,,,,,,,,,,,,,
23360,,44169.0,,,,,,,,,,,,,,,,,,,,,
23381,,27648.0,,,,,,,,,,,,,,,,,,,,,
23386,,10738.0,,,,,,,,,,,,,,,,,,,,,
23394,,10800.0,,,,,,,,,,,,,,,,,,,,,
23427,,,,,,,,,,,,,,,,,,,,,,,
23428,,,,,,,,,,,,,,,,,,,,,,,
23452,,28363.0,,,,,,,,,,,,,,,,,,,,,
23453,,5578.0,,,,,,,,,,,,,,,,,,,,,
23458,,22159.0,,,,,,,,,,,,,,,,,,,,,
23528,,39841.0,,,,,,,,,,,,,,,,,,,,,
23542,,46157.0,,,,,,,,,,,,,,,,,,,,,
23564,,24521.0,,,,,,,,,,,,,,,,,,,,,
23565,,9647.0,,,,,,,,,,,,,,,,,,,,,
23573,,32520.0,,,,,,,,,,,,,,,,,,,,,
23577,,,,,,,,,,,,,,,,,,,,,,,
23578,,20991.0,,,,,,,,,,,,,,,,,,,,,
23579,,10458.0,,,,,,,,,,,,,,,,,,,,,
23580,,44171.0,,,,,,,,,,,,,,,,,,,,,
23586,,24524.0,,,,,,,,,,,,,,,,,,,,,
23588,,18865.0,,,,,,,,,,,,,,,,,,,,,
23589,,18866.0,,,,,,,,,,,,,,,,,,,,,
23596,,15303.0,,,,,,,,,,,,,,,,,,,,,
23597,,13324.0,,,,,,,,,,,,,,,,,,,,,
23598,,44172.0,,,,,,,,,,,,,,,,,,,,,
23607,,42024.0,,,,,,,,,,,,,,,,,,,,,
23609,,10459.0,,,,,,,,,,,,,,,,,,,,,
23610,,38335.0,,,,,,,,,,,,,,,,,,,,,
23613,,9651.0,,,,,,,,,,,,,,,,,,,,,
23616,,3881.0,,,,,,,,,,,,,,,,,,,,,
23627,,20994.0,,,,,,,,,,,,,,,,,,,,,
23628,,38336.0,,,,,,,,,,,,,,,,,,,,,
23639,,32522.0,,,,,,,,,,,,,,,,,,,,,
23648,,7573.0,,,,,,,,,,,,,,,,,,,,,
23649,,38338.0,,,,,,,,,,,,,,,,,,,,,
23650,,3885.0,,,,,,,,,,,,,,,,,,,,,
23651,,7574.0,,,,,,,,,,,,,,,,,,,,,
23652,,15305.0,,,,,,,,,,,,,,,,,,,,,
23662,,26639.0,,,,,,,,,,,,,,,,,,,,,
23664,,44177.0,,,,,,,,,,,,,,,,,,,,,
23665,,7576.0,,,,,,,,,,,,,,,,,,,,,
23666,,44178.0,,,,,,,,,,,,,,,,,,,,,
23667,,36292.0,,,,,,,,,,,,,,,,,,,,,
23673,,15343.0,,,,,,,,,,,,,,,,,,,,,
23678,,32566.0,,,,,,,,,,,,,,,,,,,,,
23679,,21037.0,,,,,,,,,,,,,,,,,,,,,
23680,,18873.0,,,,,,,,,,,,,,,,,,,,,
23684,,18874.0,,,,,,,,,,,,,,,,,,,,,
23685,,18875.0,,,,,,,,,,,,,,,,,,,,,
23686,,13327.0,,,,,,,,,,,,,,,,,,,,,
23687,,24528.0,,,,,,,,,,,,,,,,,,,,,
23688,,1768.0,,,,,,,,,,,,,,,,,,,,,
23689,,42028.0,,,,,,,,,,,,,,,,,,,,,
23701,,3921.0,,,,,,,,,,,,,,,,,,,,,
23702,,21038.0,,,,,,,,,,,,,,,,,,,,,
23704,,21039.0,,,,,,,,,,,,,,,,,,,,,
23705,,1770.0,,,,,,,,,,,,,,,,,,,,,
23706,,9685.0,,,,,,,,,,,,,,,,,,,,,
23713,,9687.0,,,,,,,,,,,,,,,,,,,,,
23715,,30381.0,,,,,,,,,,,,,,,,,,,,,
23716,,44205.0,,,,,,,,,,,,,,,,,,,,,
23717,,36293.0,,,,,,,,,,,,,,,,,,,,,
23720,,18878.0,,,,,,,,,,,,,,,,,,,,,
23736,,40169.0,,,,,,,,,,,,,,,,,,,,,
23738,,9690.0,,,,,,,,,,,,,,,,,,,,,
23739,,13357.0,,,,,,,,,,,,,,,,,,,,,
23740,,26685.0,,,,,,,,,,,,,,,,,,,,,
23741,,18914.0,,,,,,,,,,,,,,,,,,,,,
23742,,3924.0,,,,,,,,,,,,,,,,,,,,,
23746,,36325.0,,,,,,,,,,,,,,,,,,,,,
23749,,15346.0,,,,,,,,,,,,,,,,,,,,,
23750,,3925.0,,,,,,,,,,,,,,,,,,,,,
23759,,9692.0,,,,,,,,,,,,,,,,,,,,,
23760,,24563.0,,,,,,,,,,,,,,,,,,,,,
23770,,7611.0,,,,,,,,,,,,,,,,,,,,,
23771,,21047.0,,,,,,,,,,,,,,,,,,,,,
23773,,32575.0,,,,,,,,,,,,,,,,,,,,,
23774,,3927.0,,,,,,,,,,,,,,,,,,,,,
23784,,26687.0,,,,,,,,,,,,,,,,,,,,,
23785,,36328.0,,,,,,,,,,,,,,,,,,,,,
23786,,9693.0,,,,,,,,,,,,,,,,,,,,,
23787,,45010.0,,,,,,,,,,,,,,,,,,,,,
23788,,44210.0,,,,,,,,,,,,,,,,,,,,,
23789,,30419.0,,,,,,,,,,,,,,,,,,,,,
23795,,36330.0,,,,,,,,,,,,,,,,,,,,,
23802,,21048.0,,,,,,,,,,,,,,,,,,,,,
23813,,36332.0,,,,,,,,,,,,,,,,,,,,,
23814,,21049.0,,,,,,,,,,,,,,,,,,,,,
23817,,27456.0,,,,,,,,,,,,,,,,,,,,,
23818,,21051.0,,,,,,,,,,,,,,,,,,,,,
23826,,21052.0,,,,,,,,,,,,,,,,,,,,,
23827,,1817.0,,,,,,,,,,,,,,,,,,,,,
23841,,38389.0,,,,,,,,,,,,,,,,,,,,,
23842,,1820.0,,,,,,,,,,,,,,,,,,,,,
23843,,15352.0,,,,,,,,,,,,,,,,,,,,,
23847,,3928.0,,,,,,,,,,,,,,,,,,,,,
23848,,9695.0,,,,,,,,,,,,,,,,,,,,,
23849,,7615.0,,,,,,,,,,,,,,,,,,,,,
23851,,24568.0,,,,,,,,,,,,,,,,,,,,,
23853,,44214.0,,,,,,,,,,,,,,,,,,,,,
23855,,9696.0,,,,,,,,,,,,,,,,,,,,,
23856,,30424.0,,,,,,,,,,,,,,,,,,,,,
23857,,9697.0,,,,,,,,,,,,,,,,,,,,,
23860,,15385.0,,,,,,,,,,,,,,,,,,,,,
23867,,32613.0,,,,,,,,,,,,,,,,,,,,,
23876,,44269.0,,,,,,,,,,,,,,,,,,,,,
23877,,38431.0,,,,,,,,,,,,,,,,,,,,,
23879,,9729.0,,,,,,,,,,,,,,,,,,,,,
23882,,9730.0,,,,,,,,,,,,,,,,,,,,,
23892,,42079.0,,,,,,,,,,,,,,,,,,,,,
23893,,36333.0,,,,,,,,,,,,,,,,,,,,,
23896,,30427.0,,,,,,,,,,,,,,,,,,,,,
23898,,7619.0,,,,,,,,,,,,,,,,,,,,,
23903,,21082.0,,,,,,,,,,,,,,,,,,,,,
23904,,7621.0,,,,,,,,,,,,,,,,,,,,,
23906,,1825.0,,,,,,,,,,,,,,,,,,,,,
23908,,7622.0,,,,,,,,,,,,,,,,,,,,,
23909,,3965.0,,,,,,,,,,,,,,,,,,,,,
23910,,21083.0,,,,,,,,,,,,,,,,,,,,,
23911,,30428.0,,,,,,,,,,,,,,,,,,,,,
23912,,26744.0,,,,,,,,,,,,,,,,,,,,,
23922,,9731.0,,,,,,,,,,,,,,,,,,,,,
23925,,30430.0,,,,,,,,,,,,,,,,,,,,,
23926,,32614.0,,,,,,,,,,,,,,,,,,,,,
23934,,44273.0,,,,,,,,,,,,,,,,,,,,,
23937,,30433.0,,,,,,,,,,,,,,,,,,,,,
23938,,44274.0,,,,,,,,,,,,,,,,,,,,,
23939,,15387.0,,,,,,,,,,,,,,,,,,,,,
23940,,13362.0,,,,,,,,,,,,,,,,,,,,,
23949,,18926.0,,,,,,,,,,,,,,,,,,,,,
23955,,44276.0,,,,,,,,,,,,,,,,,,,,,
23962,,36365.0,,,,,,,,,,,,,,,,,,,,,
23964,,18958.0,,,,,,,,,,,,,,,,,,,,,
23966,,18959.0,,,,,,,,,,,,,,,,,,,,,
23968,,38436.0,,,,,,,,,,,,,,,,,,,,,
23981,,36366.0,,,,,,,,,,,,,,,,,,,,,
23982,,3972.0,,,,,,,,,,,,,,,,,,,,,
23996,,13391.0,,,,,,,,,,,,,,,,,,,,,
23997,,24605.0,,,,,,,,,,,,,,,,,,,,,
24004,,7656.0,,,,,,,,,,,,,,,,,,,,,
24013,,26749.0,,,,,,,,,,,,,,,,,,,,,
24014,,24608.0,,,,,,,,,,,,,,,,,,,,,
24015,,15391.0,,,,,,,,,,,,,,,,,,,,,
24016,,24609.0,,,,,,,,,,,,,,,,,,,,,
24017,,44280.0,,,,,,,,,,,,,,,,,,,,,
24018,,21091.0,,,,,,,,,,,,,,,,,,,,,
24020,,26750.0,,,,,,,,,,,,,,,,,,,,,
24021,,30464.0,,,,,,,,,,,,,,,,,,,,,
24022,,38440.0,,,,,,,,,,,,,,,,,,,,,
24023,,45012.0,,,,,,,,,,,,,,,,,,,,,
24031,,36369.0,,,,,,,,,,,,,,,,,,,,,
24036,,42109.0,,,,,,,,,,,,,,,,,,,,,
24037,,44282.0,,,,,,,,,,,,,,,,,,,,,
24049,,32621.0,,,,,,,,,,,,,,,,,,,,,
24050,,13396.0,,,,,,,,,,,,,,,,,,,,,
24062,,13397.0,,,,,,,,,,,,,,,,,,,,,
24083,,38484.0,,,,,,,,,,,,,,,,,,,,,
24084,,24612.0,,,,,,,,,,,,,,,,,,,,,
24085,,32654.0,,,,,,,,,,,,,,,,,,,,,
24093,,38485.0,,,,,,,,,,,,,,,,,,,,,
24094,,24614.0,,,,,,,,,,,,,,,,,,,,,
24105,,1878.0,,,,,,,,,,,,,,,,,,,,,
24112,,36373.0,,,,,,,,,,,,,,,,,,,,,
24129,,13399.0,,,,,,,,,,,,,,,,,,,,,
24130,,44338.0,,,,,,,,,,,,,,,,,,,,,
24135,,32657.0,,,,,,,,,,,,,,,,,,,,,
24136,,18971.0,,,,,,,,,,,,,,,,,,,,,
24141,,42115.0,,,,,,,,,,,,,,,,,,,,,
24144,,21138.0,,,,,,,,,,,,,,,,,,,,,
24153,,42117.0,,,,,,,,,,,,,,,,,,,,,
24154,,15425.0,,,,,,,,,,,,,,,,,,,,,
24155,,36379.0,,,,,,,,,,,,,,,,,,,,,
24157,,9782.0,,,,,,,,,,,,,,,,,,,,,
24168,,7661.0,,,,,,,,,,,,,,,,,,,,,
24182,,42147.0,,,,,,,,,,,,,,,,,,,,,
24188,,4022.0,,,,,,,,,,,,,,,,,,,,,
24198,,26797.0,,,,,,,,,,,,,,,,,,,,,
24206,,19003.0,,,,,,,,,,,,,,,,,,,,,
24229,,10503.0,,,,,,,,,,,,,,,,,,,,,
24230,,21142.0,,,,,,,,,,,,,,,,,,,,,
24232,,42153.0,,,,,,,,,,,,,,,,,,,,,
24247,,15458.0,,,,,,,,,,,,,,,,,,,,,
24248,,9833.0,,,,,,,,,,,,,,,,,,,,,
24249,,7698.0,,,,,,,,,,,,,,,,,,,,,
24250,,21176.0,,,,,,,,,,,,,,,,,,,,,
24251,,19008.0,,,,,,,,,,,,,,,,,,,,,
24252,,32702.0,,,,,,,,,,,,,,,,,,,,,
24253,,21177.0,,,,,,,,,,,,,,,,,,,,,
24254,,7699.0,,,,,,,,,,,,,,,,,,,,,
24255,,26828.0,,,,,,,,,,,,,,,,,,,,,
24256,,13441.0,,,,,,,,,,,,,,,,,,,,,
24257,,15459.0,,,,,,,,,,,,,,,,,,,,,
24258,,13442.0,,,,,,,,,,,,,,,,,,,,,
24259,,15460.0,,,,,,,,,,,,,,,,,,,,,
24260,,15461.0,,,,,,,,,,,,,,,,,,,,,
24270,,38533.0,,,,,,,,,,,,,,,,,,,,,
24271,,19009.0,,,,,,,,,,,,,,,,,,,,,
24272,,15463.0,,,,,,,,,,,,,,,,,,,,,
24286,,9835.0,,,,,,,,,,,,,,,,,,,,,
24292,,7701.0,,,,,,,,,,,,,,,,,,,,,
24298,,15464.0,,,,,,,,,,,,,,,,,,,,,
24311,,36415.0,,,,,,,,,,,,,,,,,,,,,
24322,,44377.0,,,,,,,,,,,,,,,,,,,,,
24342,,19012.0,,,,,,,,,,,,,,,,,,,,,
24352,,36419.0,,,,,,,,,,,,,,,,,,,,,
24353,,44379.0,,,,,,,,,,,,,,,,,,,,,
24354,,19013.0,,,,,,,,,,,,,,,,,,,,,
24355,,26835.0,,,,,,,,,,,,,,,,,,,,,
24356,,38535.0,,,,,,,,,,,,,,,,,,,,,
24357,,1921.0,,,,,,,,,,,,,,,,,,,,,
24358,,9839.0,,,,,,,,,,,,,,,,,,,,,
24359,,30517.0,,,,,,,,,,,,,,,,,,,,,
24360,,15467.0,,,,,,,,,,,,,,,,,,,,,
24361,,7707.0,,,,,,,,,,,,,,,,,,,,,
24362,,32711.0,,,,,,,,,,,,,,,,,,,,,
24363,,38536.0,,,,,,,,,,,,,,,,,,,,,
24364,,1922.0,,,,,,,,,,,,,,,,,,,,,
24366,,19014.0,,,,,,,,,,,,,,,,,,,,,
24367,,32713.0,,,,,,,,,,,,,,,,,,,,,
24368,,21182.0,,,,,,,,,,,,,,,,,,,,,
24369,,36420.0,,,,,,,,,,,,,,,,,,,,,
24370,,44380.0,,,,,,,,,,,,,,,,,,,,,
24371,,19015.0,,,,,,,,,,,,,,,,,,,,,
24372,,21183.0,,,,,,,,,,,,,,,,,,,,,
24373,,32714.0,,,,,,,,,,,,,,,,,,,,,
24375,,21184.0,,,,,,,,,,,,,,,,,,,,,
24376,,36422.0,,,,,,,,,,,,,,,,,,,,,
24377,,15468.0,,,,,,,,,,,,,,,,,,,,,
24378,,1923.0,,,,,,,,,,,,,,,,,,,,,
24395,,19016.0,,,,,,,,,,,,,,,,,,,,,
24401,,44384.0,,,,,,,,,,,,,,,,,,,,,
