SiteUUID,RegulatoryOverlayUUIDs,WaterSourceUUID,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,Geometry,GNISCodeCV,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,PODorPOUSite,SiteName,SiteNativeID,SitePoint,SiteTypeCV,StateCV,USGSSiteID,ReasonRemoved,index
CAwr_S13882,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,39115.0,,Unspecified,CA,,Bad CoordinateMethodCV,13881.0
CAwr_S13912,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,29713.0,,Unspecified,CA,,Bad CoordinateMethodCV,13911.0
CAwr_S13930,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,47525.0,,Unspecified,CA,,Bad CoordinateMethodCV,13929.0
CAwr_S14002,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,38878.0,,Unspecified,CA,,Bad CoordinateMethodCV,14001.0
CAwr_S14014,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,52395.0,,Unspecified,CA,,Bad CoordinateMethodCV,14013.0
CAwr_S14015,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,21511.0,,Unspecified,CA,,Bad CoordinateMethodCV,14014.0
CAwr_S14082,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,71682.0,,Unspecified,CA,,Bad CoordinateMethodCV,14081.0
CAwr_S14110,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,44945.0,,Unspecified,CA,,Bad CoordinateMethodCV,14109.0
CAwr_S14111,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,10254.0,,Unspecified,CA,,Bad CoordinateMethodCV,14110.0
CAwr_S14112,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,33112.0,,Unspecified,CA,,Bad CoordinateMethodCV,14111.0
CAwr_S14191,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,47244.0,,Unspecified,CA,,Bad CoordinateMethodCV,14190.0
CAwr_S14238,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,40203.0,,Unspecified,CA,,Bad CoordinateMethodCV,14237.0
CAwr_S14278,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,46866.0,,Unspecified,CA,,Bad CoordinateMethodCV,14277.0
CAwr_S14292,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,39465.0,,Unspecified,CA,,Bad CoordinateMethodCV,14291.0
CAwr_S14379,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,11109.0,,Unspecified,CA,,Bad CoordinateMethodCV,14378.0
CAwr_S14412,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,39876.0,,Unspecified,CA,,Bad CoordinateMethodCV,14411.0
CAwr_S14431,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,11259.0,,Unspecified,CA,,Bad CoordinateMethodCV,14430.0
CAwr_S14448,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,16941.0,,Unspecified,CA,,Bad CoordinateMethodCV,14447.0
CAwr_S14453,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,45849.0,,Unspecified,CA,,Bad CoordinateMethodCV,14452.0
CAwr_S14472,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,28442.0,,Unspecified,CA,,Bad CoordinateMethodCV,14471.0
CAwr_S14480,,CAwr_WS1,Unspecified,,,4326,,,,,,,,,POD,Unspecified,52888.0,,Unspecified,CA,,Bad CoordinateMethodCV,14479.0
