Year,Basin,Population,Irrig ation Reuse,Irrigation,Irrigation Ground Water,Irrigation Surface Water,Livestock,Livestock Ground Water,Livestock Reuse,Livestock Surface Water,Manu-facturing,Mfg Ground Water,Mfg Reuse,Mfg Surface Water,Mining,Mining Ground Water,Mining Reuse,Mining Surface Water,Municipal,Municipal Ground  Water,Municipal Reuse,Municipal Surface Water,Power Ground Water,Power Reuse,Power Surface Water,Steam Electric (Power)
2014,LAVACA,50491,,171403,134082,37321,3845,2511,,1334,1487,1487,,0,2553,2298,,255,6344,6344,,0,0,,0,0
2014,LAVACA-GUADALUPE,52225,,32496,17771,14725,871,546,,325,17796,12,,17784,3,3,,0,6478,1409,,5069,0,,0,0
2014,NECHES,677850,,12288,2306,9982,21475,3078,,18397,110284,41237,,69047,1217,616,,600,108294,68307,,39986,321,,183,504
2014,NECHES-TRINITY,214600,,189191,403,188788,1098,278,,820,48398,84,,48314,177,79,,98,41898,7962,,33936,0,,0,0
2014,NUECES,233893,,255904,254049,1855,9285,6322,,2963,10214,1735,,8479,42051,37921,,4130,37210,31673,,5538,5838,,0,5838
2014,NUECES-RIO GRANDE,1679533,,722855,5129,717726,4789,3324,,1465,38042,4357,,33685,1421,1399,,22,238168,33257,,204909,0,,398,398
2014,RED,597957,,916873,897250,19623,39336,27652,,11684,12810,11149,,1659,4927,1448,,3479,86259,55020,,31241,0,,6489,6489
2014,RIO GRANDE,1389868,,563992,388473,175519,7033,5822,,1211,8474,6937,,1538,12591,11981,,610,220203,139283,,80919,4306,,236,4542
2014,SABINE,573586,,4189,2721,1468,21631,3517,,18114,62710,6045,,56666,4555,2902,,1652,85771,39775,,45998,1376,,35323,36699
2014,SAN ANTONIO,2054446,,28993,27067,1926,3514,1993,,1521,5359,4286,,1073,20008,18701,,1307,288922,272048,,16873,1092,,35992,37084
2014,SAN ANTONIO-NUECES,122448,,10404,10260,144,1431,1120,,311,4008,25,,3983,16,13,,3,19111,6275,,12838,0,,0,0
2014,SAN JACINTO,4811222,,19164,11615,7549,3004,1417,,1587,139563,31686,,107874,72,59,,13,651633,281878,,369755,1517,,7905,9421
2014,SAN JACINTO-BRAZOS,1216627,,24319,3258,21061,1343,964,,379,121514,3152,,118361,153,153,,0,162329,51078,,111249,4,,3,7
2014,SULPHUR,184777,,26491,7848,18643,12878,3586,,9292,37185,242,,36943,0,0,,0,29350,5125,,24226,0,,0,0
