Year,TWDB_Survey_No,Organization,Population_Served,Water_Type,Purchasd___Self_Supplied,Region_Used,County_Used,Basin_Used,Source_County,Source_Basin,Aquifer_Source,Surface_Water_Source,Seller_Name,Active_Wells,Brackish___Saline,TWDB_Estimated_Volume,Percent_Treated_Prior_to_Intake,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total_Intake__Gallons_
2012,0817650,SPADE WSC,96,Ground Water,SS,O,LAMB,BRAZOS,LAMB,BRAZOS,OGALLALA AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,N,Y,0.00,"408,000","150,000","148,230","290,300","274,180","340,720","438,630","279,140","468,580","285,090","307,970","225,070","3,615,910"
2012,0820160,CITY OF SPRINGLAKE,102,Ground Water,SS,O,LAMB,BRAZOS,LAMB,BRAZOS,OGALLALA AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,N,N,0.00,"560,000","640,000","900,000","1,826,000","2,501,000","2,177,000","3,685,000","2,902,000","1,228,000","1,206,000","1,076,000","691,000","19,392,000"
2012,0954400,CITY OF WOLFFORTH,"3,600",Ground Water,SS,O,LUBBOCK,BRAZOS,LUBBOCK,BRAZOS,OGALLALA AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,N,Y,0.00,0,0,0,0,0,"1,406,000","1,945,000","2,893,000","2,672,000","4,719,000","1,176,000","13,000","14,824,000"
2012,0954400,CITY OF WOLFFORTH,"3,600",Ground Water,SS,O,LUBBOCK,BRAZOS,LUBBOCK,BRAZOS,OGALLALA AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,N,Y,0.00,"2,470,000","2,578,000","3,489,000","3,768,000","1,442,000","3,310,000","3,287,000","3,876,000","1,556,000",0,"625,000","1,326,000","27,727,000"
2012,0223600,CITY OF DENVER CITY,"5,500",Ground Water,SS,O,YOAKUM,COLORADO,YOAKUM,COLORADO,OGALLALA AQUIFER,,N/A                                                                                                                                                                                                                                                            ,15,N,N,0.00,"17,419,000","17,693,000","23,215,000","33,306,000","35,895,000","42,479,000","45,988,000","41,078,000","30,106,000","24,001,000","21,002,000","20,575,000","352,757,000"
2012,0481354,TOWN OF RANSOM CANYON,"1,100",Surface Water,Pur,O,LUBBOCK,BRAZOS,LUBBOCK,BRAZOS,,RANSON CANYON LAKE/RESERVOIR,WATER TREATMENT PLANT                                                                                                                                                                                                                                          ,0,N,N,100.00,"4,584,000","3,825,000","5,945,000","7,286,000","8,557,000","8,430,000","11,707,000","10,664,000","8,352,000","7,227,000","5,375,000","4,612,000","86,564,000"
2012,0483600,CITY OF LAMESA,"9,422",Reuse,Ss,O,DAWSON,COLORADO,DAWSON,COLORADO,,UNKNOWN,N/A                                                                                                                                                                                                                                                            ,0,,N,100.00,0,0,0,0,0,0,0,0,0,0,0,0,"411,584,000"
2012,0503600,CITY OF LITTLEFIELD,"6,372",Ground Water,SS,O,LAMB,BRAZOS,LAMB,BRAZOS,OGALLALA AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,N,N,0.00,"65,000","80,000","392,000","3,072,000","3,236,000","5,018,000","5,864,000","4,058,000","4,098,000","3,493,000","2,113,000","3,334,000","34,823,000"
2012,0503600,CITY OF LITTLEFIELD,"6,372",Ground Water,SS,O,LAMB,BRAZOS,LAMB,BRAZOS,OGALLALA AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,N,N,0.00,"3,705,000","3,951,000","7,075,000","8,167,000","7,179,000","9,743,000","9,108,000","7,857,000","6,582,000","5,487,000","4,427,000","5,250,000","78,531,000"
2012,0512100,LOOP WSC,315,Ground Water,SS,O,GAINES,COLORADO,GAINES,COLORADO,OGALLALA AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,N,N,0.00,"680,000","686,000","691,000","849,000","823,000","931,000","998,000","1,100,000","674,000","619,000","510,000","781,000","9,342,000"
2012,0519000,LUBBOCK COUNTY WCID 1,453,Ground Water,Pur,O,LUBBOCK,BRAZOS,LUBBOCK,BRAZOS,OGALLALA AQUIFER,,WATER TREATMENT PLANT                                                                                                                                                                                                                                          ,0,N,N,0.00,"2,491,000","1,816,000","1,648,000","2,140,000","2,142,000","2,952,000","3,191,000","2,708,000","2,476,000","2,102,000","2,033,000","1,501,000","27,200,000"
2012,0535950,MAPLE WSC,68,Ground Water,SS,O,BAILEY,BRAZOS,BAILEY,BRAZOS,EDWARDS-TRINITY-HIGH PLAINS AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,N,N,0.00,"229,700","228,400","560,900","416,900","182,900","12,300","218,300","688,700","347,900",0,0,0,"2,886,000"
2012,0552600,CITY OF MEADOW,598,Ground Water,SS,O,TERRY,COLORADO,TERRY,COLORADO,OGALLALA AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,N,N,0.00,0,0,800,0,0,"449,600","1,071,100","48,200",0,100,"129,300","552,400","2,251,500"
2012,0602000,CITY OF NEW DEAL,794,Surface Water,Pur,O,LUBBOCK,BRAZOS,LUBBOCK,BRAZOS,,BRAZOS RUN OF RIVER,CITY OF SLATON                                                                                                                                                                                                                                                 ,0,N,N,100.00,"1,458,000","1,364,000","1,662,000","1,983,000","2,367,000","2,290,000","2,925,000","2,860,000","2,649,000","2,188,000","1,433,000","1,471,000","24,650,000"
2012,0658200,CITY OF PETERSBURG,"1,150",Ground Water,SS,O,HALE,BRAZOS,HALE,BRAZOS,OGALLALA AQUIFER,,N/A                                                                                                                                                                                                                                                            ,3,N,N,0.00,"5,311,100","4,111,736","5,027,685","7,523,942","8,456,812","6,792,193","10,652,060","9,689,471","6,553,917","4,605,645","4,013,085","3,678,548","76,416,194"
2012,0741800,CITY OF ROPESVILLE,517,Ground Water,SS,O,HOCKLEY,BRAZOS,HOCKLEY,BRAZOS,OGALLALA AQUIFER,,N/A                                                                                                                                                                                                                                                            ,0,N,N,0.00,"1,171,570","1,865,302","1,568,430","2,339,580","2,371,092","2,466,830","1,136,753","2,714,543","2,377,070","1,676,087","5,928,100","1,628,380","27,243,737"
2012,0768925,DEAF SMITH COUNTY FWSD 1,350,Ground Water,SS,O,DEAF SMITH,RED,DEAF SMITH,RED,OGALLALA AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,N,N,0.00,"686,000","610,000","734,000","735,000","833,000","899,000","983,000","983,000","532,000","630,000","592,000","605,000","8,822,000"
2012,0781000,CITY OF SEAGRAVES,"2,369",Ground Water,SS,O,GAINES,COLORADO,GAINES,COLORADO,OGALLALA AQUIFER,,N/A                                                                                                                                                                                                                                                            ,13,N,N,100.00,"8,138,000","10,293,000","12,000,000","17,889,000","19,568,000","20,519,000","23,570,000","20,597,000","10,435,000","15,513,000","13,453,000","8,661,000","180,636,000"
2012,0783400,CITY OF SEMINOLE,"6,450",Ground Water,SS,O,GAINES,COLORADO,GAINES,COLORADO,OGALLALA AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,N,N,0.00,"28,253,000","29,420,000","43,513,000","65,768,000","65,880,000","72,666,000","82,620,000","80,673,000","50,468,000","46,535,000","37,778,000","31,218,000","634,792,000"
2012,0801800,CITY OF SLATON,"6,121",Surface Water,Pur,O,LUBBOCK,BRAZOS,LUBBOCK,CANADIAN,,MEREDITH LAKE/RESERVOIR,CANADIAN RIVER MWA                                                                                                                                                                                                                                             ,0,N,N,0.00,"14,725,000","16,281,000","20,103,000","24,457,000","25,195,000","25,724,000","27,847,000","28,194,000","25,660,000","20,072,000","22,454,000","20,552,000","271,264,000"
2012,0877200,CITY OF TULIA,"4,967",Ground Water,SS,O,SWISHER,RED,SWISHER,RED,DOCKUM AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,N,N,100.00,"2,308,000","2,525,000","3,503,000","6,280,000","5,946,000","4,594,000","5,971,000","4,401,000","3,213,000","2,884,000","1,241,000","2,077,000","44,943,000"
2012,0954400,CITY OF WOLFFORTH,"3,600",Ground Water,SS,O,LUBBOCK,BRAZOS,LUBBOCK,BRAZOS,OGALLALA AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,N,Y,0.00,0,0,0,"59,000","1,329,000","227,000","3,099,000","1,344,000",0,0,0,0,"6,058,000"
2012,0954400,CITY OF WOLFFORTH,"3,600",Ground Water,SS,O,LUBBOCK,BRAZOS,LUBBOCK,BRAZOS,OGALLALA AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,N,Y,0.00,"1,405,000","1,613,000","1,775,000","1,433,000","53,000","849,000","1,880,000","1,801,000","1,311,000","1,163,000","1,248,000","1,062,000","15,593,000"
2012,0078900,BLEDSOE WSC,75,Ground Water,SS,O,COCHRAN,COLORADO,COCHRAN,COLORADO,OGALLALA AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,N,N,0.00,"210,065","231,261","273,428","343,670","504,244","446,387","739,184","682,565","633,712","565,837","174,543","168,433","4,973,329"
2012,0177960,SMITH MANAGEMENT SERVICES-PLOTT ACRES,183,Ground Water,SS,O,LUBBOCK,BRAZOS,LUBBOCK,BRAZOS,OGALLALA AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,N,N,0.00,"664,000","428,000","367,000","540,000","777,000","835,000","762,000","1,048,000","828,000","486,000","548,000","377,000","7,660,000"
2012,0223600,CITY OF DENVER CITY,"5,500",Reuse,Ss,O,YOAKUM,COLORADO,YOAKUM,COLORADO,,UNKNOWN,N/A                                                                                                                                                                                                                                                            ,0,,N,100.00,0,0,0,0,0,0,0,0,0,0,0,0,"63,518,000"
2012,0247800,CITY OF EARTH,"1,065",Ground Water,SS,O,LAMB,BRAZOS,LAMB,BRAZOS,OGALLALA AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,N,N,0.00,"3,308,000","3,628,000","3,911,000","3,186,000","5,418,000","3,441,000","9,113,000","11,148,000","2,992,000","3,801,000","2,960,000","2,980,000","55,886,000"
2012,0288400,FLOMOT WSC,60,Ground Water,SS,O,MOTLEY,RED,MOTLEY,RED,SEYMOUR AQUIFER,,N/A                                                                                                                                                                                                                                                            ,0,N,Y,100.00,0,0,0,0,0,0,0,0,0,0,0,"11,078,800","11,078,800"
