HUC8,HUC8 Name,Report Year,Component Type,Component ID,Component Name,Component Volume,TimeframeStart,TimeframeEnd
10190001,South Platte Headwater,2016,ReservoirStorage,06016010,ANTERO RESERVOIR,12700.0,2016-08-01,2016-08-28
10190001,South Platte Headwater,2016,ReservoirStorage,06016010,ANTERO RESERVOIR,13500.0,2016-09-01,2016-09-28
10190001,South Platte Headwater,2016,ReservoirStorage,06016010,ANTERO RESERVOIR,13500.0,2016-10-01,2016-10-28
10190001,South Platte Headwater,2016,ReservoirStorage,06016010,ANTERO RESERVOIR,13700.0,2016-11-01,2016-11-28
10190001,South Platte Headwater,2016,ReservoirStorage,06016010,ANTERO RESERVOIR,13900.0,2016-12-01,2016-12-28
10190001,South Platte Headwater,2017,ReservoirStorage,06016010,ANTERO RESERVOIR,14000.0,2017-01-01,2017-01-28
10190001,South Platte Headwater,2017,ReservoirStorage,06016010,ANTERO RESERVOIR,14500.0,2017-02-01,2017-02-28
10190001,South Platte Headwater,2017,ReservoirStorage,06016010,ANTERO RESERVOIR,14900.0,2017-03-01,2017-03-28
10190001,South Platte Headwater,2017,ReservoirStorage,06016010,ANTERO RESERVOIR,15400.0,2017-04-01,2017-04-28
10190001,South Platte Headwater,2017,ReservoirStorage,06016010,ANTERO RESERVOIR,15800.0,2017-05-01,2017-05-28
10190001,South Platte Headwater,2017,ReservoirStorage,06016010,ANTERO RESERVOIR,17900.0,2017-06-01,2017-06-28
10190001,South Platte Headwater,2017,ReservoirStorage,06016010,ANTERO RESERVOIR,19900.0,2017-07-01,2017-07-28
10190001,South Platte Headwater,2017,ReservoirStorage,06016010,ANTERO RESERVOIR,20200.0,2017-08-01,2017-08-28
10190001,South Platte Headwater,2017,ReservoirStorage,06016010,ANTERO RESERVOIR,19900.0,2017-09-01,2017-09-28
10190001,South Platte Headwater,2017,ReservoirStorage,06016010,ANTERO RESERVOIR,20100.0,2017-10-01,2017-10-28
10190001,South Platte Headwater,2017,ReservoirStorage,06016010,ANTERO RESERVOIR,20700.0,2017-11-01,2017-11-28
10190001,South Platte Headwater,2017,ReservoirStorage,06016010,ANTERO RESERVOIR,20500.0,2017-12-01,2017-12-28
10190001,South Platte Headwater,2018,ReservoirStorage,06016010,ANTERO RESERVOIR,20100.0,2018-01-01,2018-01-28
10190001,South Platte Headwater,2018,ReservoirStorage,06016010,ANTERO RESERVOIR,20300.0,2018-02-01,2018-02-28
10190001,South Platte Headwater,2018,ReservoirStorage,06016010,ANTERO RESERVOIR,20400.0,2018-03-01,2018-03-28
10190001,South Platte Headwater,2018,ReservoirStorage,06016010,ANTERO RESERVOIR,20100.0,2018-04-01,2018-04-28
10190001,South Platte Headwater,2018,ReservoirStorage,06016010,ANTERO RESERVOIR,20000.0,2018-05-01,2018-05-28
10190001,South Platte Headwater,2018,ReservoirStorage,06016010,ANTERO RESERVOIR,20100.0,2018-06-01,2018-06-28
10190001,South Platte Headwater,2018,ReservoirStorage,06016010,ANTERO RESERVOIR,19620.0,2018-07-01,2018-07-28
10190001,South Platte Headwater,2018,ReservoirStorage,06016010,ANTERO RESERVOIR,19800.0,2018-08-01,2018-08-28
10190001,South Platte Headwater,2018,ReservoirStorage,06016010,ANTERO RESERVOIR,19100.0,2018-09-01,2018-09-28
10190001,South Platte Headwater,2018,ReservoirStorage,06016010,ANTERO RESERVOIR,18600.0,2018-10-01,2018-10-28
10190001,South Platte Headwater,2018,ReservoirStorage,06016010,ANTERO RESERVOIR,18700.0,2018-11-01,2018-11-28
10190001,South Platte Headwater,2018,ReservoirStorage,06016010,ANTERO RESERVOIR,18900.0,2018-12-01,2018-12-28
10190001,South Platte Headwater,2019,ReservoirStorage,06016010,ANTERO RESERVOIR,18900.0,2019-01-01,2019-01-28
10190001,South Platte Headwater,2019,ReservoirStorage,06016010,ANTERO RESERVOIR,19100.0,2019-02-01,2019-02-28
10190001,South Platte Headwater,2019,ReservoirStorage,06016010,ANTERO RESERVOIR,19200.0,2019-03-01,2019-03-28
10190001,South Platte Headwater,2019,ReservoirStorage,06016010,ANTERO RESERVOIR,19600.0,2019-04-01,2019-04-28
10190001,South Platte Headwater,2019,ReservoirStorage,06016010,ANTERO RESERVOIR,19800.0,2019-05-01,2019-05-28
10190001,South Platte Headwater,2019,ReservoirStorage,06016010,ANTERO RESERVOIR,19900.0,2019-06-01,2019-06-28
10190001,South Platte Headwater,2019,ReservoirStorage,06016010,ANTERO RESERVOIR,19900.0,2019-07-01,2019-07-28
10190001,South Platte Headwater,2019,ReservoirStorage,06016010,ANTERO RESERVOIR,20000.0,2019-08-01,2019-08-28
10190001,South Platte Headwater,2019,ReservoirStorage,06016010,ANTERO RESERVOIR,19600.0,2019-09-01,2019-09-28
10190001,South Platte Headwater,2019,ReservoirStorage,06016010,ANTERO RESERVOIR,19400.0,2019-10-01,2019-10-28
10190001,South Platte Headwater,2019,ReservoirStorage,06016010,ANTERO RESERVOIR,19400.0,2019-11-01,2019-11-28
10190001,South Platte Headwater,2019,ReservoirStorage,06016010,ANTERO RESERVOIR,20100.0,2019-12-01,2019-12-28
10190001,South Platte Headwater,2020,ReservoirStorage,06016010,ANTERO RESERVOIR,20100.0,2020-01-01,2020-01-28
10190001,South Platte Headwater,2020,ReservoirStorage,06016010,ANTERO RESERVOIR,20000.0,2020-02-01,2020-02-28
10190001,South Platte Headwater,2020,ReservoirStorage,06016010,ANTERO RESERVOIR,20000.0,2020-03-01,2020-03-28
10190001,South Platte Headwater,2020,ReservoirStorage,06016010,ANTERO RESERVOIR,20000.0,2020-04-01,2020-04-28
10190001,South Platte Headwater,2020,ReservoirStorage,06016010,ANTERO RESERVOIR,19700.0,2020-05-01,2020-05-28
10190001,South Platte Headwater,2020,ReservoirStorage,06016010,ANTERO RESERVOIR,20000.0,2020-06-01,2020-06-28
10190001,South Platte Headwater,2020,ReservoirStorage,06016010,ANTERO RESERVOIR,19800.0,2020-07-01,2020-07-28
10190001,South Platte Headwater,2020,ReservoirStorage,06016010,ANTERO RESERVOIR,20200.0,2020-08-01,2020-08-28
10190001,South Platte Headwater,2020,ReservoirStorage,06016010,ANTERO RESERVOIR,19600.0,2020-09-01,2020-09-28
10190001,South Platte Headwater,2020,ReservoirStorage,06016010,ANTERO RESERVOIR,19300.0,2020-10-01,2020-10-28
10190001,South Platte Headwater,2020,ReservoirStorage,06016010,ANTERO RESERVOIR,19000.0,2020-11-01,2020-11-28
10190001,South Platte Headwater,2020,ReservoirStorage,06016010,ANTERO RESERVOIR,19400.0,2020-12-01,2020-12-28
10190001,South Platte Headwater,2021,ReservoirStorage,06016010,ANTERO RESERVOIR,19500.0,2021-01-01,2021-01-28
10190001,South Platte Headwater,2021,ReservoirStorage,06016010,ANTERO RESERVOIR,19500.0,2021-02-01,2021-02-28
10190003,Middle South Platte-Cherry Creek,2010,ReservoirStorage,06016020,BARR LAKE,6448.0,2010-10-01,2010-10-28
10190003,Middle South Platte-Cherry Creek,2010,ReservoirStorage,06016020,BARR LAKE,8438.0,2010-11-01,2010-11-28
10190003,Middle South Platte-Cherry Creek,2010,ReservoirStorage,06016020,BARR LAKE,8620.0,2010-12-01,2010-12-28
10190003,Middle South Platte-Cherry Creek,2011,ReservoirStorage,06016020,BARR LAKE,13463.0,2011-01-01,2011-01-28
10190003,Middle South Platte-Cherry Creek,2011,ReservoirStorage,06016020,BARR LAKE,19520.0,2011-02-01,2011-02-28
10190003,Middle South Platte-Cherry Creek,2011,ReservoirStorage,06016020,BARR LAKE,25676.0,2011-03-01,2011-03-28
10190003,Middle South Platte-Cherry Creek,2011,ReservoirStorage,06016020,BARR LAKE,29314.0,2011-04-01,2011-04-28
