in_MethodTypeCV,in_VariableSpecificCV,in_WaterSourceTypeCV,in_ReportingUnitName,in_ReportingUnitNativeID,in_ReportingUnitTypeCV,in_ReportYearCV,in_Amount,in_WaterSourceNativeID
Modeled,Annual Groundwater Supply,Groundwater,LODGEPOLE CREEK,4,Basin,2008,0,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,LODGEPOLE CREEK,4,Basin,2009,0,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,LODGEPOLE CREEK,4,Basin,2010,0,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,LODGEPOLE CREEK,4,Basin,2011,0,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,LODGEPOLE CREEK,4,Basin,2012,0,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,LOUP,5,Basin,1988,89515,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,LOUP,5,Basin,1989,94051,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,LOUP,5,Basin,1990,93413,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,LOUP,5,Basin,1991,106352,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,LOUP,5,Basin,1992,106891,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,LOUP,5,Basin,1993,84056,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,LOUP,5,Basin,1994,75088,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,LOUP,5,Basin,1995,89326,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,LOUP,5,Basin,1996,103117,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,LOUP,5,Basin,1997,98569,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,LOUP,5,Basin,1998,100713,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,LOUP,5,Basin,1999,96278,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,LOUP,5,Basin,2000,112176,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,LOUP,5,Basin,2001,120585,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,LOUP,5,Basin,2002,128945,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,LOUP,5,Basin,2003,134750,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,LOUP,5,Basin,2004,139635,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,LOUP,5,Basin,2005,134815,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,LOUP,5,Basin,2006,144145,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,LOUP,5,Basin,2007,139103,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,LOUP,5,Basin,2008,134973,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,LOUP,5,Basin,2009,138111,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,LOUP,5,Basin,2010,125425,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,LOUP,5,Basin,2011,125751,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,LOUP,5,Basin,2012,143640,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,LOWER PLATTE,6,Basin,1988,147785,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,LOWER PLATTE,6,Basin,1989,145621,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,LOWER PLATTE,6,Basin,1990,119993,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,LOWER PLATTE,6,Basin,1991,145641,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,LOWER PLATTE,6,Basin,1992,75090,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,LOWER PLATTE,6,Basin,1993,35213,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,LOWER PLATTE,6,Basin,1994,79813,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,LOWER PLATTE,6,Basin,1995,148654,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,LOWER PLATTE,6,Basin,1996,82542,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,LOWER PLATTE,6,Basin,1997,101374,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,LOWER PLATTE,6,Basin,1998,93847,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,LOWER PLATTE,6,Basin,1999,94914,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,LOWER PLATTE,6,Basin,2000,137900,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,LOWER PLATTE,6,Basin,2001,165931,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,LOWER PLATTE,6,Basin,2002,179960,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,LOWER PLATTE,6,Basin,2003,192778,WaDENE_WS1
