OBJECTID,TCEQ_ID,TYPE,VERIFIED,LAT_DD,LONG_DD,HORZ_METH,HORZ_ACC,HORZ_REF,HORZ_DATE,HORZ_ORG,HORZ_DATUM,WR_ID,WR_TYPE_NO,SHAPE
21804,60603244303,On-channel Reservoir,1,32.422851,-95.837408,DOQ,5,OTHER,12/29/2009,TCEQ,NAD83,C3244,ADJ3244,Point
21805,60603244304,On-channel Reservoir,1,32.424713,-95.839542,DOQ,5,OTHER,12/29/2009,TCEQ,NAD83,C3244,ADJ3244,Point
21806,60603244302,On-channel Reservoir,1,32.42343,-95.832885,DOQ,5,OTHER,12/29/2009,TCEQ,NAD83,C3244,ADJ3244,Point
21807,60603244301,On-channel Reservoir,1,32.422536,-95.830593,DOQ,5,OTHER,12/29/2009,TCEQ,NAD83,C3244,ADJ3244,Point
21808,60603224303,On-channel Reservoir,1,32.486887,-95.550881,DOQ,5,OTHER,12/29/2009,TCEQ,NAD83,C3224,ADJ3224,Point
21809,60603224307,On-channel Reservoir,1,32.477441,-95.53955,DOQ,5,OTHER,12/29/2009,TCEQ,NAD83,C3224,ADJ3224,Point
21810,60603224306,On-channel Reservoir,1,32.480058,-95.538461,DOQ,5,OTHER,12/29/2009,TCEQ,NAD83,C3224,ADJ3224,Point
21811,60603224305,On-channel Reservoir,1,32.480875,-95.53812,DOQ,5,OTHER,12/29/2009,TCEQ,NAD83,C3224,ADJ3224,Point
21812,61802002407,Off-channel Reservoir,2,29.971389,-99.127222,DRG,12,OTHER,3/1/2011,TCEQ,NAD83,C2002,ADJ2002,Point
21813,61802002701,Discharge Point,2,29.967224,-99.131877,DRG,12,OTHER,3/1/2011,TCEQ,NAD83,C2002,ADJ2002,Point
21814,61802002702,Discharge Point,2,29.966389,-99.131667,DRG,12,OTHER,3/1/2011,TCEQ,NAD83,C2002,ADJ2002,Point
21815,61803826101,D/S Limit - Diversion Segment,1,29.709944,-98.122111,DOQ,5,OTHER,1/17/2012,TCEQ,NAD83,C3826,ADJ3826,Point
21816,61803826201,U/S Limit - Diversion Segment,1,29.711528,-98.133028,DOQ,5,OTHER,1/17/2012,TCEQ,NAD83,C3826,ADJ3826,Point
21817,61803891004,Diversion Point,3,29.758171,-97.779134,DOQ,5,OTHER,3/13/2012,TCEQ,NAD83,C3891,ADJ3891,Point
21818,11804117002,Diversion Point,1,28.809641,-97.034261,DOQ,5,OTHER,5/16/2012,TCEQ,NAD83,P4117,WRPERM4117,Point
21819,11805466002,Diversion Point,1,28.809641,-97.034261,DOQ,5,OTHER,5/16/2012,TCEQ,NAD83,P5466,WRPERM5466,Point
21820,61803860002,Diversion Point,1,28.809641,-97.034261,DOQ,5,OTHER,5/16/2012,TCEQ,NAD83,C3860,ADJ3860,Point
21821,61803858006,Diversion Point,1,28.809641,-97.034261,DOQ,5,OTHER,5/16/2012,TCEQ,NAD83,C3858,ADJ3858,Point
21822,61803844002,Diversion Point,1,28.809641,-97.034261,DOQ,5,OTHER,7/16/2012,TCEQ,NAD83,C3844,ADJ3844,Point
21823,61802051701,Release Point,1,29.94002,-98.780401,DOQ,5,OTHER,3/26/2014,TCEQ,NAD83,C2051,ADJ2051,Point
21824,61802051703,Release Point,3,29.938198,-98.778837,MAP_MAN,70,OTHER,3/26/2014,TCEQ,NAD83,C2051,ADJ2051,Point
21825,61802051702,Release Point,3,29.935698,-98.779877,MAP_MAN,70,OTHER,3/26/2014,TCEQ,NAD83,C2051,ADJ2051,Point
21826,61803829003,Diversion Point,1,29.65368,-98.067119,DOQ,5,OTHER,4/28/2014,TCEQ,NAD83,C3829,ADJ3829,Point
21827,61803829004,Diversion Point,1,29.653996,-98.067414,DOQ,5,OTHER,4/28/2014,TCEQ,NAD83,C3829,ADJ3829,Point
21828,60803814401,Off-channel Reservoir,1,32.749814,-97.384049,DOQ,5,OTHER,9/30/2009,TCEQ,NAD83,C3814,ADJ3814,Point
21829,10803835401,Off-channel Reservoir,1,32.773584,-97.369234,DOQ,5,OTHER,9/30/2009,TCEQ,NAD83,P3835,WRPERM3835,Point
21830,10803835601,Off-channel Diversion Point,3,32.774354,-97.369664,MAP_MAN,130,OTHER,9/30/2009,TCEQ,NAD83,P3835,WRPERM3835,Point
21831,10803993401,Off-channel Reservoir,1,30.517404,-94.850504,DOQ,5,OTHER,9/30/2009,TCEQ,NAD83,P3993,WRPERM3993,Point
21832,10803993402,Off-channel Reservoir,1,30.508511,-94.862038,DOQ,5,OTHER,9/30/2009,TCEQ,NAD83,P3993,WRPERM3993,Point
21833,10803993403,Off-channel Reservoir,1,30.497506,-94.850416,DOQ,5,OTHER,9/30/2009,TCEQ,NAD83,P3993,WRPERM3993,Point
21834,10803993404,Off-channel Reservoir,1,30.49777,-94.834305,DOQ,5,OTHER,9/30/2009,TCEQ,NAD83,P3993,WRPERM3993,Point
21835,10804048401,Off-channel Reservoir,1,32.89833,-96.932599,DOQ,5,OTHER,9/30/2009,TCEQ,NAD83,P4048,WRPERM4048,Point
21836,10804066401,Off-channel Reservoir,1,32.622133,-96.88421,DOQ,5,OTHER,9/30/2009,TCEQ,NAD83,P4066,WRPERM4066,Point
21837,10804155401,Off-channel Reservoir,1,32.857045,-97.299313,DOQ,5,OTHER,9/30/2009,TCEQ,NAD83,P4155,WRPERM4155,Point
21838,10804186409,Off-channel Reservoir,1,33.020096,-96.81599,DOQ,5,OTHER,9/30/2009,TCEQ,NAD83,P4186,WRPERM4186,Point
21839,10804186410,Off-channel Reservoir,1,33.018993,-96.815158,DOQ,5,OTHER,9/30/2009,TCEQ,NAD83,P4186,WRPERM4186,Point
21840,10804186403,Off-channel Reservoir,1,33.029406,-96.810779,DOQ,5,OTHER,9/30/2009,TCEQ,NAD83,P4186,WRPERM4186,Point
21841,10804186406,Off-channel Reservoir,1,33.023649,-96.807309,DOQ,5,OTHER,9/30/2009,TCEQ,NAD83,P4186,WRPERM4186,Point
21842,10804186405,Off-channel Reservoir,1,33.023136,-96.804602,DOQ,5,OTHER,9/30/2009,TCEQ,NAD83,P4186,WRPERM4186,Point
21843,10804186404,Off-channel Reservoir,1,33.025675,-96.802654,DOQ,5,OTHER,9/30/2009,TCEQ,NAD83,P4186,WRPERM4186,Point
21844,10804186402,Off-channel Reservoir,1,33.032973,-96.809363,DOQ,5,OTHER,9/30/2009,TCEQ,NAD83,P4186,WRPERM4186,Point
21845,10804186401,Off-channel Reservoir,1,33.035423,-96.808302,DOQ,5,OTHER,9/30/2009,TCEQ,NAD83,P4186,WRPERM4186,Point
21846,10804186414,Off-channel Reservoir,1,33.042756,-96.818512,DOQ,5,OTHER,9/30/2009,TCEQ,NAD83,P4186,WRPERM4186,Point
21847,10804186415,Off-channel Reservoir,1,33.040032,-96.818226,DOQ,5,OTHER,9/30/2009,TCEQ,NAD83,P4186,WRPERM4186,Point
21848,10804186413,Off-channel Reservoir,1,33.037885,-96.809717,DOQ,5,OTHER,9/30/2009,TCEQ,NAD83,P4186,WRPERM4186,Point
21849,10804186412,Off-channel Reservoir,1,33.036016,-96.809756,DOQ,5,OTHER,9/30/2009,TCEQ,NAD83,P4186,WRPERM4186,Point
21850,10804186411,Off-channel Reservoir,1,33.0149,-96.815902,DOQ,5,OTHER,9/30/2009,TCEQ,NAD83,P4186,WRPERM4186,Point
21851,10813436701,Release Point,1,32.730493,-97.577239,DOQ,5,OTHER,12/17/2018,TCEQ,NAD83,P13436,WRPERM13436,Point
21852,10813436001,Diversion Point,1,32.731616,-97.571879,DOQ,5,OTHER,12/17/2018,TCEQ,NAD83,P13436,WRPERM13436,Point
21853,11205851014,Diversion Point,0,29.503864,-95.553439,DRG,12,OTHER,8/25/2009,TCEQ,NAD83,P5851,WRPERM5851,Point
21854,11205851015,Diversion Point,0,29.455899,-95.532779,MAP_MAN,130,OTHER,8/25/2009,TCEQ,NAD83,P5851,WRPERM5851,Point
21855,11205851013,Diversion Point,0,29.581113,-95.778679,MAP_MAN,130,OTHER,8/25/2009,TCEQ,NAD83,P5851,WRPERM5851,Point
21856,11205851014,Diversion Point,0,29.503864,-95.553439,MAP_MAN,130,OTHER,8/25/2009,TCEQ,NAD83,P5851,WRPERM5851,Point
21857,11205851018,Diversion Point,0,29.644797,-95.902397,DOQ,5,OTHER,7/10/2015,TCEQ,NAD83,P5851,WRPERM5851,Point
21858,11205851005,Diversion Point,0,31.969259,-98.485598,MAP_MAN,130,OTHER,8/25/2009,TCEQ,NAD83,P5851,WRPERM5851,Point
21859,11205851001,Diversion Point,0,32.871897,-98.426327,MAP_MAN,130,OTHER,8/25/2009,TCEQ,NAD83,P5851,WRPERM5851,Point
21860,11205851003,Diversion Point,0,31.865414,-97.371994,MAP_MAN,130,OTHER,8/25/2009,TCEQ,NAD83,P5851,WRPERM5851,Point
21861,11205851004,Diversion Point,0,31.898009,-97.207073,UNKNOWN,-9999,OTHER,8/25/2009,TCEQ,NAD83,P5851,WRPERM5851,Point
21862,11205851002,Diversion Point,0,32.373595,-97.687928,MAP_MAN,130,OTHER,8/25/2009,TCEQ,NAD83,P5851,WRPERM5851,Point
21863,11205851012,Diversion Point,0,29.682965,-96.056319,MAP_MAN,130,OTHER,8/25/2009,TCEQ,NAD83,P5851,WRPERM5851,Point
21864,11205851010,Diversion Point,0,30.322358,-96.525699,MAP_MAN,130,OTHER,8/25/2009,TCEQ,NAD83,P5851,WRPERM5851,Point
21865,11205851007,Diversion Point,0,31.021846,-97.531369,MAP_MAN,130,OTHER,8/25/2009,TCEQ,NAD83,P5851,WRPERM5851,Point
21866,11205851006,Diversion Point,0,31.106125,-97.474927,MAP_MAN,130,OTHER,8/25/2009,TCEQ,NAD83,P5851,WRPERM5851,Point
21867,11205851008,Diversion Point,0,30.666538,-97.726812,MAP_MAN,130,OTHER,8/25/2009,TCEQ,NAD83,P5851,WRPERM5851,Point
21868,11205851009,Diversion Point,0,30.693333,-97.333973,MAP_MAN,130,OTHER,8/25/2009,TCEQ,NAD83,P5851,WRPERM5851,Point
21869,11205851011,Diversion Point,0,31.325613,-96.317744,MAP_MAN,130,OTHER,8/25/2009,TCEQ,NAD83,P5851,WRPERM5851,Point
21870,11205851019,Diversion Point,0,29.660981,-96.053343,MAP_MAN,130,OTHER,8/25/2009,TCEQ,NAD83,P5851,WRPERM5851,Point
21871,11205851017,Diversion Point,0,29.670259,-96.052777,MAP_MAN,130,OTHER,8/25/2009,TCEQ,NAD83,P5851,WRPERM5851,Point
21872,11205851016,Diversion Point,0,29.650698,-96.02625,MAP_MAN,130,OTHER,8/25/2009,TCEQ,NAD83,P5851,WRPERM5851,Point
21873,11205851016,Diversion Point,0,29.650698,-96.02625,MAP_MAN,130,OTHER,3/24/2013,TCEQ,NAD83,P5851,WRPERM5851,Point
21874,11205851017,Diversion Point,0,29.670259,-96.052777,MAP_MAN,130,OTHER,3/24/2013,TCEQ,NAD83,P5851,WRPERM5851,Point
21875,11205851500,Release Point,0,32.855253,-98.419632,DOQ,5,OTHER,11/30/2016,TCEQ,NAD83,P5851,WRPERM5851,Point
21876,11205851501,Release Point,0,32.843059,-98.488055,DOQ,5,OTHER,11/30/2016,TCEQ,NAD83,P5851,WRPERM5851,Point
21877,11205851502,Release Point,0,32.419845,-97.780831,DOQ,5,OTHER,11/30/2016,TCEQ,NAD83,P5851,WRPERM5851,Point
21878,11205851503,Release Point,0,32.415116,-97.675464,DOQ,5,OTHER,11/30/2016,TCEQ,NAD83,P5851,WRPERM5851,Point
21879,60804233401,Off-channel Reservoir,1,31.334241,-95.654512,DOQ,5,OTHER,9/30/2009,TCEQ,NAD83,C4233,ADJ4233,Point
21880,60804240401,Off-channel Reservoir,1,30.974576,-95.674881,DOQ,5,OTHER,9/30/2009,TCEQ,NAD83,C4240,ADJ4240,Point
21881,60804241401,Off-channel Reservoir,1,30.977178,-95.667204,DOQ,5,OTHER,9/30/2009,TCEQ,NAD83,C4241,ADJ4241,Point
21882,60804249401,Off-channel Reservoir,1,30.890577,-95.453525,DOQ,5,OTHER,9/30/2009,TCEQ,NAD83,C4249,ADJ4249,Point
21883,60804269401,Off-channel Reservoir,1,30.492226,-94.828366,DOQ,5,OTHER,9/30/2009,TCEQ,NAD83,C4269,ADJ4269,Point
21884,60804280401,Off-channel Reservoir,3,30.002947,-94.643802,MAP_MAN,130,OTHER,9/30/2009,TCEQ,NAD83,C4280,ADJ4280,Point
21885,60804283402,Off-channel Reservoir,1,30.162372,-94.702472,DOQ,5,OTHER,9/30/2009,TCEQ,NAD83,C4283,ADJ4283,Point
21886,60804283401,Off-channel Reservoir,1,30.145695,-94.694179,DOQ,5,OTHER,9/30/2009,TCEQ,NAD83,C4283,ADJ4283,Point
21887,60804285402,Off-channel Reservoir,1,30.037834,-94.605348,DOQ,5,OTHER,9/30/2009,TCEQ,NAD83,C4285,ADJ4285,Point
21888,60804285401,Off-channel Reservoir,1,30.03523,-94.602869,DOQ,5,OTHER,9/30/2009,TCEQ,NAD83,C4285,ADJ4285,Point
21889,60804286401,Off-channel Reservoir,1,29.866838,-94.594517,DOQ,5,OTHER,9/30/2009,TCEQ,NAD83,C4286,ADJ4286,Point
21890,10805418002,Diversion Point,9,32.793889,-97.065994,UNKNOWN,-9999,OTHER,9/30/2009,TCEQ,NAD83,P5418,WRPERM5418,Point
21891,10805418301,On-channel Reservoir,1,32.791511,-97.066843,DOQ,5,OTHER,9/30/2009,TCEQ,NAD83,P5418,WRPERM5418,Point
21892,10804155001,Diversion Point,2,32.855863,-97.295507,DRG,12,OTHER,9/30/2009,TCEQ,NAD83,P4155,WRPERM4155,Point
21893,10804155301,On-channel Reservoir,1,32.855554,-97.296748,DOQ,5,OTHER,9/30/2009,TCEQ,NAD83,P4155,WRPERM4155,Point
21894,10804155302,On-channel Reservoir,1,32.851027,-97.293957,DOQ,5,OTHER,9/30/2009,TCEQ,NAD83,P4155,WRPERM4155,Point
21895,10804155303,On-channel Reservoir,1,32.853145,-97.297794,DOQ,5,OTHER,9/30/2009,TCEQ,NAD83,P4155,WRPERM4155,Point
21896,10804155304,On-channel Reservoir,1,32.850025,-97.306964,DOQ,5,OTHER,9/30/2009,TCEQ,NAD83,P4155,WRPERM4155,Point
21897,10804155305,On-channel Reservoir,1,32.853595,-97.307657,DOQ,5,OTHER,9/30/2009,TCEQ,NAD83,P4155,WRPERM4155,Point
21898,60805082311,On-channel Reservoir,1,31.514688,-96.214267,DOQ,5,OTHER,9/30/2009,TCEQ,NAD83,C5082,ADJ5082,Point
21899,60805082013,Diversion Point,9,31.5126,-96.215302,UNKNOWN,-9999,OTHER,9/30/2009,TCEQ,NAD83,C5082,ADJ5082,Point
21900,60805082313,On-channel Reservoir,1,31.5126,-96.215302,DOQ,5,OTHER,9/30/2009,TCEQ,NAD83,C5082,ADJ5082,Point
21901,60805082014,Diversion Point,9,31.509881,-96.214449,UNKNOWN,-9999,OTHER,9/30/2009,TCEQ,NAD83,C5082,ADJ5082,Point
21902,60805082314,On-channel Reservoir,1,31.509881,-96.214449,DOQ,5,OTHER,9/30/2009,TCEQ,NAD83,C5082,ADJ5082,Point
21903,60805082010,Diversion Point,9,31.518798,-96.206892,UNKNOWN,-9999,OTHER,9/30/2009,TCEQ,NAD83,C5082,ADJ5082,Point
21904,60805082310,On-channel Reservoir,1,31.518798,-96.206892,DOQ,5,OTHER,9/30/2009,TCEQ,NAD83,C5082,ADJ5082,Point
21905,60805082009,Diversion Point,9,31.523152,-96.206882,UNKNOWN,-9999,OTHER,9/30/2009,TCEQ,NAD83,C5082,ADJ5082,Point
21906,60805082309,On-channel Reservoir,1,31.523152,-96.206882,DOQ,5,OTHER,9/30/2009,TCEQ,NAD83,C5082,ADJ5082,Point
21907,60805082008,Diversion Point,9,31.522699,-96.20894,UNKNOWN,-9999,OTHER,9/30/2009,TCEQ,NAD83,C5082,ADJ5082,Point
21908,60805056301,On-channel Reservoir,2,32.00433,-95.890339,DRG,12,OTHER,9/30/2009,TCEQ,NAD83,C5056,ADJ5056,Point
21909,60805056002,Diversion Point,3,32.001043,-95.903111,MAP_MAN,130,OTHER,9/30/2009,TCEQ,NAD83,C5056,ADJ5056,Point
21910,60805056302,On-channel Reservoir,1,32.001845,-95.901223,DOQ,5,OTHER,9/30/2009,TCEQ,NAD83,C5056,ADJ5056,Point
21911,10805061202,U/S Limit - Diversion Segment,2,31.416265,-95.658265,DRG,12,OTHER,9/30/2009,TCEQ,NAD83,P5061,WRPERM5061,Point
21912,10805061102,D/S Limit - Diversion Segment,2,31.368941,-95.67732,DRG,12,OTHER,9/30/2009,TCEQ,NAD83,P5061,WRPERM5061,Point
