Year,in_ReportingUnitType,in_ReportingUnitNativeID,in_ReportingUnitName,NV_BenUse,in_Amount,in_TimeframeStart,in_TimeframeEnd
2017,Basin,032,Silver State Valley,COM,0.0,01/01/2017,12/31/2017
2017,Basin,063,Willow Creek Valley,COM,0.0,01/01/2017,12/31/2017
2017,Basin,016,Duck Lake Valley,COM,68.5,01/01/2017,12/31/2017
2017,Basin,066,Kelley Creek Area,COM,0.0,01/01/2017,12/31/2017
2017,Basin,064,Clovers Area,COM,0.0,01/01/2017,12/31/2017
2017,Basin,188,Independence Valley,COM,0.0,01/01/2017,12/31/2017
2017,Basin,051,Maggie Creek Area,COM,0.030689,01/01/2017,12/31/2017
2017,Basin,191,Pilot Creek Valley,COM,0.0,01/01/2017,12/31/2017
2017,Basin,187,Goshute Valley,COM,0.0,01/01/2017,12/31/2017
2017,Basin,043,Starr Valley Area,COM,0.0,01/01/2017,12/31/2017
2017,Basin,062,Rock Creek Valley,COM,0.0,01/01/2017,12/31/2017
2017,Basin,070,Winnemucca Segment,COM,183.68500824,01/01/2017,12/31/2017
2017,Basin,061,Boulder Flat,COM,9.35671822,01/01/2017,12/31/2017
2017,Basin,192,Great Salt Lake Desert,COM,0.0,01/01/2017,12/31/2017
2017,Basin,050,Susie Creek Area,COM,0.0,01/01/2017,12/31/2017
2017,Basin,177,Clover Valley,COM,26.7,01/01/2017,12/31/2017
2017,Basin,065,Pumpernickel Valley,COM,0.0,01/01/2017,12/31/2017
2017,Basin,021,Smoke Creek Desert,COM,8.28,01/01/2017,12/31/2017
2017,Basin,017,Pilgrim Flat,COM,0.0,01/01/2017,12/31/2017
2017,Basin,045,Lamoille Valley,COM,8.868703,01/01/2017,12/31/2017
2017,Basin,018,Painter Flat,COM,0.0,01/01/2017,12/31/2017
2017,Basin,176,Ruby Valley,COM,4.49,01/01/2017,12/31/2017
2017,Basin,048,Dixie Creek-Tenmile Creek Area,COM,18.56510338,01/01/2017,12/31/2017
2017,Basin,072,Imlay Area,COM,5.37208789,01/01/2017,12/31/2017
2017,Basin,023,Granite Basin,COM,0.0,01/01/2017,12/31/2017
2017,Basin,131,Buffalo Valley,COM,0.0,01/01/2017,12/31/2017
2017,Basin,052,Marys Creek Area,COM,0.0,01/01/2017,12/31/2017
2017,Basin,059,Lower Reese River Valley,COM,1.03,01/01/2017,12/31/2017
2017,Basin,060,Whirlwind Valley,COM,0.061378,01/01/2017,12/31/2017
2017,Basin,022,San Emidio Desert,COM,0.0,01/01/2017,12/31/2017
2017,Basin,079,Kumiva Valley,COM,0.0,01/01/2017,12/31/2017
2017,Basin,046,South Fork Area,COM,0.0,01/01/2017,12/31/2017
2017,Basin,053,Pine Valley,COM,0.0,01/01/2017,12/31/2017
2017,Basin,047,Huntington Valley,COM,61.30647595,01/01/2017,12/31/2017
2017,Basin,078,Granite Springs Valley,COM,0.0,01/01/2017,12/31/2017
2017,Basin,129,Buena Vista Valley,COM,7.84,01/01/2017,12/31/2017
2017,Basin,054,Crescent Valley,COM,0.0,01/01/2017,12/31/2017
2017,Basin,178A,Butte Valley,COM,0.0,01/01/2017,12/31/2017
2017,Basin,186B,Antelope Valley,COM,0.0,01/01/2017,12/31/2017
2017,Basin,098,Skedaddle Creek Valley,COM,0.0,01/01/2017,12/31/2017
2017,Basin,130,Pleasant Valley,COM,0.0,01/01/2017,12/31/2017
2017,Basin,073,Lovelock Valley,COM,56.23298962,01/01/2017,12/31/2017
2017,Basin,073A,Lovelock Valley,COM,7.72379002,01/01/2017,12/31/2017
2017,Basin,080,Winnemucca Lake Valley,COM,0.0,01/01/2017,12/31/2017
2017,Basin,019,Dry Valley,COM,0.0,01/01/2017,12/31/2017
2017,Basin,081,Pyramid Lake Valley,COM,15.33,01/01/2017,12/31/2017
2017,Basin,179,Steptoe Valley,COM,32.51,01/01/2017,12/31/2017
2017,Basin,020,Sano Valley,COM,0.0,01/01/2017,12/31/2017
2017,Basin,097,Honey Lake Valley,COM,0.0,01/01/2017,12/31/2017
2017,Basin,132,Jersey Valley,COM,0.0,01/01/2017,12/31/2017
2017,Basin,055,Carico Lake Valley,COM,0.0,01/01/2017,12/31/2017
