SiteUUID,RegulatoryOverlayUUIDs,WaterSourceUUID,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,Geometry,GNISCodeCV,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,PODorPOUSite,SiteName,SiteNativeID,SitePoint,SiteTypeCV,StateCV,USGSSiteID
COss_S7903,,COss_WS367,,Unspecified,MESA,4326,,185229.0,,,39.006021999999994,-108.132926,,,POD,DEEP CR RES #2,WaDECO_S7903,,RESERVOIR,CO,
COss_S7904,,COss_WS194,,Unspecified,MESA,4326,,185256.0,,,38.93785,-108.13306999999999,,,POD,DRY CREEK RESERVOIR & SUPPLY DITCH,WaDECO_S7904,,RESERVOIR,CO,
COss_S7905,,COss_WS370,,Unspecified,MESA,4326,,185260.0,,,38.960545,-108.108755,,,POD,FLOWING PARK RES,WaDECO_S7905,,RESERVOIR,CO,
COss_S7906,,COss_WS368,,Unspecified,MESA,4326,,185185.0,,,38.849319,-108.75392,,,POD,FRUITA RES #1,WaDECO_S7906,,RESERVOIR,CO,
COss_S7907,,COss_WS368,,Unspecified,MESA,4326,,185185.0,,,38.861777000000004,-108.76702900000001,,,POD,FRUITA RES #2,WaDECO_S7907,,RESERVOIR,CO,
COss_S7908,,COss_WS368,,Unspecified,MESA,4326,,185185.0,,,38.855801,-108.73212,,,POD,GOBBO RESERVOIR,WaDECO_S7908,,RESERVOIR,CO,
COss_S7909,,COss_WS367,,Unspecified,MESA,4326,,185229.0,,,39.009507,-108.110749,,,POD,GRAND MESA RES NO 1,WaDECO_S7909,,RESERVOIR,CO,
COss_S7910,,COss_WS367,,Unspecified,MESA,4326,,185229.0,,,39.031075,-108.07644499999999,,,POD,GRAND MESA RES NO 6,WaDECO_S7910,,RESERVOIR,CO,
COss_S7911,,COss_WS367,,Unspecified,MESA,4326,,185229.0,,,39.035522,-108.05908000000001,,,POD,GRAND MESA RES NO 8,WaDECO_S7911,,RESERVOIR,CO,
COss_S7912,,COss_WS367,,Unspecified,MESA,4326,,185229.0,,,39.029176,-108.066429,,,POD,GRAND MESA RES NO 9,WaDECO_S7912,,RESERVOIR,CO,
COss_S7913,,COss_WS366,,Unspecified,MESA,4326,,174643.0,,,38.969309,-108.29383100000001,,,POD,HALLENBECK RES #1,WaDECO_S7913,,RESERVOIR,CO,
COss_S7914,,COss_WS367,,Unspecified,MESA,4326,,185229.0,,,39.013542,-108.13598300000001,,,POD,HALLENBECK RES #2,WaDECO_S7914,,RESERVOIR,CO,
COss_S7915,,COss_WS366,,Unspecified,MESA,4326,,174643.0,,,38.967537,-108.28542900000001,,,POD,JUNIATA RESERVOIR,WaDECO_S7915,,RESERVOIR,CO,
COss_S7916,,COss_WS368,,Unspecified,MESA,4326,,185185.0,,,38.861771999999995,-108.71183300000001,,,POD,MIRROR LAKES NO 1 RES,WaDECO_S7916,,RESERVOIR,CO,
COss_S7917,,COss_WS367,,Unspecified,MESA,4326,,185229.0,,,39.040464,-108.027169,,,POD,SCALES RES 1,WaDECO_S7917,,RESERVOIR,CO,
COss_S7918,,COss_WS367,,Unspecified,MESA,4326,,185229.0,,,39.041104,-108.015679,,,POD,SCALES RES 3,WaDECO_S7918,,RESERVOIR,CO,
COss_S7919,,COss_WS371,,Unspecified,MESA,4326,,185235.0,,,39.041462,-108.210328,,,POD,SOMERVILLE RES #1,WaDECO_S7919,,RESERVOIR,CO,
COss_S7920,,COss_WS372,,Unspecified,MESA,4326,,185239.0,,,38.885194,-108.323525,,,POD,CHENEY RESERVOIR,WaDECO_S7920,,RESERVOIR,CO,
COss_S7921,,COss_WS366,,Unspecified,MESA,4326,,174643.0,,,39.02381,-108.200994,,,POD,ANDERSON RES NO 6,WaDECO_S7921,,RESERVOIR,CO,
COss_S7922,,COss_WS368,,Unspecified,MESA,4326,,185185.0,,,38.889483,-108.707479,,,POD,AUBERT RESERVOIR,WaDECO_S7922,,RESERVOIR,CO,
COss_S7923,,COss_WS368,,Unspecified,MESA,4326,,185185.0,,,38.892981,-108.68321499999999,,,POD,G H & S RES NO. 2,WaDECO_S7923,,RESERVOIR,CO,
COss_S7924,,COss_WS368,,Unspecified,MESA,4326,,185185.0,,,38.88529000000001,-108.6746,,,POD,KING LAKE RESERVOIR,WaDECO_S7924,,RESERVOIR,CO,
COss_S7925,,COss_WS373,,Unspecified,MESA,4326,,185229.0,,,38.95953400000001,-108.24891000000001,,,POD,BERRY WELL,WaDECO_S7925,,WELL,CO,
COss_S7926,,COss_WS373,,Unspecified,MESA,4326,,185229.0,,,38.96080900000001,-108.24258799999998,,,POD,ANDERSON WELL,WaDECO_S7926,,WELL,CO,
COss_S7927,,COss_WS374,,Unspecified,GUNNISON,4326,,188856.0,,,38.82253400000001,-106.8589,,,POD,CEMENT CR RANGER STA,WaDECO_S7927,,DITCH,CO,
COss_S7928,,COss_WS374,,Unspecified,GUNNISON,4326,,188856.0,,,38.73045,-106.873249,,,POD,DENNIS ALKALI CR DITCH,WaDECO_S7928,,DITCH,CO,
COss_S7929,,COss_WS374,,Unspecified,GUNNISON,4326,,188856.0,,,38.67651400000001,-106.852185,,,POD,MARSTON DITCH,WaDECO_S7929,,DITCH,CO,
COss_S7930,,COss_WS375,,Unspecified,GUNNISON,4326,,186481.0,,,38.846968,-106.95346599999999,,,POD,ANNA ROZMAN ALTERNATE D,WaDECO_S7930,,DITCH,CO,
COss_S7931,,COss_WS375,,Unspecified,GUNNISON,4326,,186481.0,,,38.857724,-106.937903,,,POD,LACY DITCH SPRING HEADGATE NO. 4,WaDECO_S7931,,SPRING,CO,
COss_S7932,,COss_WS376,,Unspecified,GUNNISON,4326,,186665.0,,,38.748484999999995,-107.052632,,,POD,ROCK HOUSE RANCH AUG PD,WaDECO_S7932,,RESERVOIR,CO,
COss_S7933,,COss_WS377,,Unspecified,GUNNISON,4326,,186480.0,,,38.913064,-107.00418799999998,,,POD,MERIDIAN LAKE RESERVOIR,WaDECO_S7933,,RESERVOIR,CO,
COss_S7934,,COss_WS25,,Unspecified,GUNNISON,4326,,188820.0,,,38.861184,-106.707031,,,POD,SPRING CREEK RESERVOIR,WaDECO_S7934,,RESERVOIR,CO,
COss_S7935,,COss_WS375,,Unspecified,GUNNISON,4326,,186481.0,,,38.86660300000001,-106.94632800000001,,,POD,LAKE GRANT RESERVOIR,WaDECO_S7935,,RESERVOIR,CO,
COss_S7936,,COss_WS377,,Unspecified,GUNNISON,4326,,186480.0,,,38.907496,-106.99308799999999,,,POD,MERIDIAN LAKE PARK RESERVOIR NO. 1,WaDECO_S7936,,RESERVOIR,CO,
COss_S7937,,COss_WS377,,Unspecified,GUNNISON,4326,,186480.0,,,38.89,-106.97498200000001,,,POD,GLACIER LILY POND NO 1,WaDECO_S7937,,RESERVOIR,CO,
COss_S7938,,COss_WS374,,Unspecified,GUNNISON,4326,,188856.0,,,38.80618,-106.88754099999998,,,POD,FOWLER POND,WaDECO_S7938,,RESERVOIR,CO,
COss_S7939,,COss_WS374,,Unspecified,GUNNISON,4326,,188856.0,,,38.828546,-106.91619299999999,,,POD,HIDDEN RIVER RANCH POND1,WaDECO_S7939,,RESERVOIR,CO,
COss_S7940,,COss_WS377,,Unspecified,GUNNISON,4326,,186480.0,,,38.87719,-106.96788400000001,,,POD,MOON RIDGE POND,WaDECO_S7940,,RESERVOIR,CO,
COss_S7941,,COss_WS374,,Unspecified,GUNNISON,4326,,188856.0,,,38.722367999999996,-106.856854,,,POD,ESTESS POND #6,WaDECO_S7941,,RESERVOIR,CO,
COss_S7942,,COss_WS375,,Unspecified,GUNNISON,4326,,186481.0,,,38.843012,-106.9405,,,POD,TREY'S POND,WaDECO_S7942,,RESERVOIR,CO,
COss_S7943,,COss_WS378,,Unspecified,GUNNISON,4326,,201748.0,,,38.547973,-106.938428,,,POD,GUNNISON WELL NO 3,WaDECO_S7943,,WELL,CO,
COss_S7944,,COss_WS379,,Unspecified,GUNNISON,4326,,188856.0,,,38.954921,-106.98658,,,POD,SOUTH GOTHIC WELL,WaDECO_S7944,,WELL,CO,
COss_S7945,,COss_WS379,,Unspecified,GUNNISON,4326,,188856.0,,,38.719101,-106.85319199999999,,,POD,ROARING JUDY WELL NO 9,WaDECO_S7945,,WELL,CO,
COss_S7946,,COss_WS380,,Unspecified,GUNNISON,4326,,186480.0,,,38.877116,-106.966349,,,POD,MOON RIDGE WELL A,WaDECO_S7946,,WELL,CO,
COss_S7947,,COss_WS27,,Unspecified,GUNNISON,4326,,,,,38.889577,-106.97893899999998,,,POD,GLACIER LILY WELLS P/A,WaDECO_S7947,,AUGMENTATION/REPLACEMENT PLAN,CO,
COss_S7948,,COss_WS27,,Unspecified,GUNNISON,4326,,,,,38.864119,-106.95574199999999,,,POD,SILVER SAGE SBDV P/A,WaDECO_S7948,,AUGMENTATION/REPLACEMENT PLAN,CO,
COss_S7949,,COss_WS27,,Unspecified,GUNNISON,4326,,,,,38.864119,-106.95574199999999,,,POD,SKYLAND METRO DIST P/A,WaDECO_S7949,,AUGMENTATION/REPLACEMENT PLAN,CO,
COss_S7950,,COss_WS27,,Unspecified,GUNNISON,4326,,,,,38.918371,-106.99376699999999,,,POD,MERIDIAN LAKE PARK P/A,WaDECO_S7950,,AUGMENTATION/REPLACEMENT PLAN,CO,
COss_S7951,,COss_WS27,,Unspecified,GUNNISON,4326,,,,,38.882314,-106.97413799999998,,,POD,MOON RIDGE P/A,WaDECO_S7951,,AUGMENTATION/REPLACEMENT PLAN,CO,
COss_S7952,,COss_WS27,,Unspecified,GUNNISON,4326,,,,,38.842232,-106.942021,,,POD,WHETSTONE VISTA P/A,WaDECO_S7952,,AUGMENTATION/REPLACEMENT PLAN,CO,
COss_S7953,,COss_WS27,,Unspecified,GUNNISON,4326,,,,,38.914640999999996,-107.00299199999999,,,POD,UPPER GUNN DIST- MER LK P/A,WaDECO_S7953,,AUGMENTATION/REPLACEMENT PLAN,CO,
COss_S7954,,COss_WS375,,Unspecified,GUNNISON,4326,,186481.0,,,38.842889,-106.946269,,,POD,RIVERLAND IND WELL P/A POD,WaDECO_S7954,,MEASURING POINT,CO,
