SiteUUID,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,Geometry,GNISCodeCV,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,SiteName,SiteNativeID,SitePoint,SiteTypeCV,StateCV,USGSSiteID
NVwr_S7381,Unknown,Digitized,Humboldt,EPSG:4326,,,,,41.1712199991809,-117.596809999596,,,069  N38 E39 16BCDD1,,,Underground,NV,
NVwr_S7382,Unknown,Digitized,Humboldt,EPSG:4326,,,,,41.4219969986873,-117.53914400024799,,,069  N41 E39 24BBCC1,,,Underground,NV,
NVwr_S7383,Unknown,Digitized,Humboldt,EPSG:4326,,,,,41.257900998882,-117.733636000483,,,069  N39 E38 17CBBA1,,,Spring,NV,
NVwr_S7384,Unknown,Digitized,Humboldt,EPSG:4326,,,,,41.2825669988716,-117.728679000222,,,069  N39 E38 05CDBC1,,,Spring,NV,
NVwr_S7385,Unknown,Digitized,Humboldt,EPSG:4326,,,,,41.3998789986912,-117.603343999648,,,069  N41 E39 29DCAA1,,,stream,NV,
NVwr_S7386,Unknown,Digitized,Humboldt,EPSG:4326,,,,,41.56353499902,-117.518931000107,,,069  N43 E40 31CBBA1,,,Underground,NV,
NVwr_S7387,Unknown,Digitized,Humboldt,EPSG:4326,,,,,41.402715998728105,-117.61760199948401,,,069  N41 E39 30DAAA1,,,stream,NV,
NVwr_S7388,Unknown,Digitized,Humboldt,EPSG:4326,,,,,41.3257229994117,-117.515716999832,,,069  N40 E40 19CDAC1,,,Underground,NV,
NVwr_S7389,Unknown,Digitized,Humboldt,EPSG:4326,,,,,41.1325739986541,-117.686267000579,,,069  N38 E38 34ABCB1,,,Underground,NV,
NVwr_S7390,Unknown,Digitized,Humboldt,EPSG:4326,,,,,41.260601999353796,-117.445301000066,,,069  N39 E40 14BCDD1,,,Spring,NV,
NVwr_S7391,Unknown,Digitized,Humboldt,EPSG:4326,,,,,41.4659689994379,-117.544870999627,,,069  N41 E39 02ABDD1,,,Underground,NV,
NVwr_S7392,Unknown,Digitized,Humboldt,EPSG:4326,,,,,41.4657409990952,-117.554727999725,,,069  N41 E39 02BBDD2,,,Underground,NV,
