X,Y,OBJECTID,PERMIT_NUMBER,LATITUDE,LONGITUDE,WATER_CODE,LEGAL_QUARTER3,LEGAL_QUARTER2,LEGAL_QUARTER1,LEGAL_SECTION,LEGAL_TOWNSHIP,LEGAL_RANGE,LEGAL_TYPE,NWELLS,COUNTY,LL_METHOD,TOTAL_ACRE_FEET,PURPOSE_CODE,SIC_CODE,ENTITY_NAME,DATE_ISSUED,EXP_DATE,BRANCH_OFFICE_CODE,DIV_METHOD,DIV_RATE,DIV_FROM,DIV_TYPE,IRR_ACRES,LEASE,WR_NUMBER,STREAM_SYSTEM,AQUIFER_CODE,BASIN_CODE,STATUS_CODE
-97.642242286532365,34.514398814209471,85,2019S0788,34.5143928,-97.64223444,Surface Water,,,N2,32,01N,04WI,L,1,Stephens,,120,"Oil, Gas & Mining",Drilling oil and gas wells,"Soar Energy Solutions, LLC",2019-08-19T00:00:00.000Z,2019-11-17T00:00:00.000Z,L,Pump,2100,Black Bear Creek,Creek,,Ringer Ranch,,1081,,,A
-98.491601908406494,35.486092312245148,86,2019S0864,35.48608616,-98.49159377,Surface Water,,,N2,29,12N,12WI,L,0,Caddo,,52,"Oil, Gas & Mining",Drilling oil and gas wells,Lynx Oklahoma Operating,2019-09-17T00:00:00.000Z,2019-12-16T00:00:00.000Z,L,Pump,4000,Private,Pond,,Captain 6-31-11-12 1HXL,,2063,,,
-97.874834148374973,35.355872896438861,87,2019S0829,35.35586674,-97.87482618,Surface Water,,SW,NW,07,10N,06WI,L,1,Canadian,,106,"Oil, Gas & Mining",Drilling oil and gas wells,Select Energy Services,2019-09-17T00:00:00.000Z,2019-12-16T00:00:00.000Z,O,Pump,2100,South Canadian River,Stream,,Roan-Big Brown,,2062,,,A
-98.510093606875898,35.035658070547065,88,2019S0791,35.035652,-98.5100855,Surface Water,NW,NE,SW,31,07N,12WI,L,1,Caddo,,20,"Oil, Gas & Mining",Drilling oil and gas wells,King Energy LLC,2019-08-24T00:00:00.000Z,2019-11-22T00:00:00.000Z,L,Pump,3520,pond ,Pond,,Baker 5-8 #1 WH,,1083,,,A
-98.106300360591987,35.478145670240743,89,2019S0817,35.4781395,-98.10629232,Surface Water,NE,NE,NW,36,12N,09WI,L,1,Canadian,,3,"Oil, Gas & Mining",Drilling oil and gas wells,Recoil Oilfield Services LLC,2019-09-06T00:00:00.000Z,2019-12-05T00:00:00.000Z,O,Pump,150,Hanneman Pond,Pond,,Paloma Hanneman,,2062,,,A
-97.395595426714465,36.333860855322015,90,2019S0908,36.3338545,-97.3955875,Surface Water,SE,SW,SE,34,22N,02WI,L,0,Noble,,1,"Oil, Gas & Mining",Drilling oil and gas wells,Davidson Energy,2019-10-01T00:00:00.000Z,2019-12-30T00:00:00.000Z,T,Pump,10,Private,Pond,,Wollard 3,,2110,,,
-98.441464649060578,36.673909236366356,91,2019S0950,36.67390288,-98.44145643,Surface Water,,NE,NE,01,25N,12WI,L,1,Alfalfa,,3,"Oil, Gas & Mining",Dimensional Stone,Select Energy Services,2019-10-24T00:00:00.000Z,2020-01-22T00:00:00.000Z,W,Pump,2100,Schickendanz Pond,Pond,,Mach-McCrady,,2102,,,A
-97.058223153252655,36.658958442294242,92,2019S0904,36.65895201,-97.05821529,Surface Water,,,W2,11,25N,02EI,L,0,Kay,,1,Industrial,Highway and street construction,Bradford Boring,2019-09-26T00:00:00.000Z,2019-12-25T00:00:00.000Z,T,Pump,30,Arkansas River,Stream,,Road Boring,,2120,,,
-97.860849530282195,35.67477642855426,93,2019S0876,35.67477021,-97.86084154,Surface Water,,,SW,20,14N,06WI,L,1,Canadian,,32,"Oil, Gas & Mining",Drilling oil and gas wells,Newfield,2019-09-18T00:00:00.000Z,2019-12-17T00:00:00.000Z,O,Pump,2500,Brandon Nicholson Pond,Pond,,"Slash C 1406 2H, 3H & 4H-17X FRAC",,2092,,,A
-97.642286221631124,34.819275572172806,94,2019S0777,34.8192695,-97.64227835,Surface Water,,SE,NW,17,04N,04WI,L,1,Grady,,95,"Oil, Gas & Mining",Drilling oil and gas wells,Select Energy Services,2019-08-20T00:00:00.000Z,2019-11-18T00:00:00.000Z,O,Pump,2100,Washita River,Stream,,Casillas-Pappy 1-17-8 WXH,,1082,,,A
-97.770176459691925,35.544954697910534,95,2019G0184,35.5449485,-97.7701685,Groundwater,SE,SE,NW,06,12N,05WI,L,1,Canadian,,1,"Oil, Gas & Mining",Drilling oil and gas wells,Aquahawk Energy LLC,2019-10-16T00:00:00.000Z,2020-01-14T00:00:00.000Z,O,Pump,210,,,,Embrey 3,,,313ELRN,,A
-97.888920168704416,35.806694703088588,96,2019S0895,35.80668847,-97.88891216,Surface Water,SE,SE,NE,01,15N,07WI,L,1,Kingfisher,,77,"Oil, Gas & Mining",Drilling oil and gas wells,Recoil Oilfield Services LLC,2019-09-26T00:00:00.000Z,2019-12-25T00:00:00.000Z,O,Pump,2730,Garrett Pond,Pond,,Little Joe,,2092,,,A
-98.441464649060578,36.673909236366356,97,2019S0845,36.67390288,-98.44145643,Surface Water,,NE,NE,01,25N,12WI,L,1,Alfalfa,,4,"Oil, Gas & Mining",Drilling oil and gas wells,Select Energy Services,2019-09-15T00:00:00.000Z,2019-12-14T00:00:00.000Z,W,Pump,2100,Schickendanz Pond,Pond,,Mach-McCrady,,2102,,,A
-98.077267416759881,36.0362605665606,98,2019S0888,36.0362543,-98.07725934,Surface Water,,,S2,17,18N,08WI,L,1,Kingfisher,,3,"Oil, Gas & Mining",Drilling oil and gas wells,Chisholm Oil and Gas Operating,2019-09-19T00:00:00.000Z,2019-12-18T00:00:00.000Z,O,Pump,2000,Cimarron River,Stream,,PhilWW 1808 17-1MH,,2092,,,A
-98.165961542129693,36.065113049560217,99,2019S0847,36.06510678,-98.16595344,Surface Water,,,S2,04,18N,09WI,L,1,Kingfisher,,3,"Oil, Gas & Mining",Drilling oil and gas wells,Chisholm Oil and Gas Operating,2019-09-11T00:00:00.000Z,2019-12-10T00:00:00.000Z,O,Pump,2000,Geis Pond,Pond,,TEXAS RANGERS 19-09-33 1H,,2092,,,A
-98.092135603695326,35.776251115484904,100,2019S0907,35.7762449,-98.09212754,Surface Water,NE,,,18,15N,08WI,L,1,Kingfisher,,1,"Oil, Gas & Mining",Drilling oil and gas wells,Devon Energy Production Company,2019-09-30T00:00:00.000Z,2019-12-29T00:00:00.000Z,O,Pump,120,unknown,Stream,,Safari 0706 3AH,,2092,,,A
-97.878802147718858,35.674934215350383,101,2019S0877,35.674928,-97.87879415,Surface Water,,,SE,19,14N,06WI,L,1,Canadian,,80,"Oil, Gas & Mining",Drilling oil and gas wells,Newfield,2019-09-20T00:00:00.000Z,2019-12-19T00:00:00.000Z,O,Pump,2500,Merveldt Pond,Pond,,"WM Wallace 2H, 3H & 4H-18X FRAC",,2092,,,A
-94.887898228672881,36.215013964495874,102,2019G0164,36.2150075,-94.88789096,Groundwater,NE,SE,NE,18,20N,23EI,L,1,Delaware,,10,Agriculture,Chicken farms and ranches,Chau Tran and Donna Nguyen,2019-08-27T00:00:00.000Z,2019-11-25T00:00:00.000Z,T,Pump,25,,,,,20170583,,367RBDX,,
-97.964893306487966,35.383662310523277,103,2019S0747,35.38365615,-97.96488531,Surface Water,NE,NE,SW,32,11N,07WI,L,1,Canadian,,2,"Oil, Gas & Mining",Drilling oil and gas wells,Brickman Fastline Inc.,2019-08-09T00:00:00.000Z,2019-11-07T00:00:00.000Z,O,Pump,130,Woods Pond,Pond,,Unbridled,,2062,,,A
-97.71465527206631,34.96422328045017,104,2019S0760,34.96421719,-97.71464737,Surface Water,,,NW,27,06N,05WI,L,1,Grady,,4,"Oil, Gas & Mining",Drilling oil and gas wells,"Continental Resources, Inc.",2019-08-13T00:00:00.000Z,2019-11-11T00:00:00.000Z,O,Pump,100,Rimer Pond ,Pond,,"Galvin 3, Galvin 4, Sparks 2",,1082,,,A
-97.606948477354663,34.732088370498815,105,2019S0983,34.73208231,-97.60694062,Surface Water,,NE,SW,15,03N,04WI,L,1,Garvin,,5,"Oil, Gas & Mining",Drilling oil and gas wells,Marathon Oil Company,2019-10-29T00:00:00.000Z,2020-01-27T00:00:00.000Z,O,Pump,126,Private,Pond,,"Eubanks 2,3,4,5-10-3WXH Concho 0304 1,2-10-3MXH",,1081,,,A
-95.526894982399526,35.179237210920448,106,2019S0924,35.17923097,-95.52688762,Surface Water,SE,NE,SE,08,08N,17EI,L,1,Pittsburg,,129,"Oil, Gas & Mining",Drilling oil and gas wells,Trinity Operating,2019-10-07T00:00:00.000Z,2020-01-05T00:00:00.000Z,M,Pump,3800,Lake Eufaula,Federal,,Alamo East Pad,,2030,,,A
-98.711324224144406,36.67427434892884,107,2019S0868,36.67426801,-98.71131594,Surface Water,,NW,SE,04,25N,14WI,L,1,Woods,,4,"Oil, Gas & Mining",Drilling oil and gas wells,Select Energy Services,2019-09-23T00:00:00.000Z,2019-12-22T00:00:00.000Z,W,Pump,2100,Percival Pond,Pond,,Mach-L&D Land and Cattle,,2092,,,A
-97.75287006849652,35.588214808237815,108,2019S0799,35.5882086,-97.75286211,Surface Water,SW,SW,NE,20,13N,05WI,L,1,Canadian,,3,"Oil, Gas & Mining",Drilling oil and gas wells,Brickman Fastline Inc.,2019-08-23T00:00:00.000Z,2019-11-21T00:00:00.000Z,O,Pump,100,Treece Pond,Pond,,Bolding,,2092,,,A
-98.570055261128459,35.732366490357208,109,2019S0685,35.7323603,-98.57004709,Surface Water,,,SW,34,15N,13WI,L,1,Blaine,,4,"Oil, Gas & Mining",Drilling oil and gas wells,"Continental Resources, Inc.",2019-08-25T00:00:00.000Z,2019-11-23T00:00:00.000Z,W,Pump,100,Cowan pond ,Pond,,"Randolph 3,4,5,6",,2063,,,A
-98.094926074833694,36.036195114985794,110,2019S0786,36.03618885,-98.09491799,Surface Water,,,NW,18,18N,08WI,L,1,Kingfisher,,3,"Oil, Gas & Mining",Drilling oil and gas wells,"Chisholm Oil and Gas Operating, LLC",2019-08-19T00:00:00.000Z,2019-11-17T00:00:00.000Z,O,Pump,2000,Meinders Pond,Pond,,PhilWW 1808 17-1MH,,2092,,,A
-98.127465701824221,35.848561491756229,111,2019S0831,35.84855526,-98.12745763,Surface Water,SW,,,23,16N,09WI,L,1,Kingfisher,,26,"Oil, Gas & Mining",Drilling oil and gas wells,Devon Energy Production Company,2019-09-06T00:00:00.000Z,2019-12-05T00:00:00.000Z,O,Pump,84,unknown,Stream,,Cascade 1423 1H,,2092,,,A
-98.441464649060578,36.673909236366356,112,2019S0846,36.67390288,-98.44145643,Surface Water,,NE,NE,01,25N,12WI,L,1,Alfalfa,,4,"Oil, Gas & Mining",Drilling oil and gas wells,Select Energy Services,2019-09-16T00:00:00.000Z,2019-12-15T00:00:00.000Z,W,Pump,2100,Schickendanz Pond,Pond,,Mach-Clifford,,2102,,,A
-98.049572355539198,36.529537969472223,113,2019G0187,36.52953162,-98.04956425,Groundwater,SW,SW,NW,27,24N,08WI,L,1,Garfield,,90,Irrigation,,Lew Meibergen,2019-10-23T00:00:00.000Z,2020-01-21T00:00:00.000Z,W,Pump,75,,,200,,,,318BSON,,A
-97.679334251286107,34.993213096557575,114,2019S0803,34.99320699,-97.67932636,Surface Water,,,SE,13,06N,05WI,L,1,Grady,,4,"Oil, Gas & Mining",Drilling oil and gas wells,"Continental Resources, Inc.",2019-09-06T00:00:00.000Z,2019-12-05T00:00:00.000Z,O,Pump,100,Palmer Pond ,Pond,,Cooley 4-24-25-36XHW ,,1082,,,A
-97.860849530282195,35.67477642855426,115,2019S0873,35.67477021,-97.86084154,Surface Water,,,SW,20,14N,06WI,L,1,Canadian,,52,"Oil, Gas & Mining",Drilling oil and gas wells,Newfield,2019-09-18T00:00:00.000Z,2019-12-17T00:00:00.000Z,O,Pump,2500,"Slash C 1406 2H,3H & 4H-17X FRAC",Pond,,John Niemann Pond,,2092,,,A
-97.567508846749732,34.830808076300436,116,2019S0917,34.830802,-97.56750099,Surface Water,S2,N2,SE,12,04N,04WI,L,1,Garvin,,64,"Oil, Gas & Mining",Drilling oil and gas wells,Marathon Oil Company,2019-09-11T00:00:00.000Z,2019-12-10T00:00:00.000Z,O,Pump,4200,Washita River,Creek,,McCloud 0304 1-6SH and Starfox 0304 2-7-6SXH Completion Water Permit,,1082,,,A
-97.570808481706408,34.834417611792503,117,2019S0807,34.83441153,-97.57080063,Surface Water,SE,S2,N2,12,04N,04WI,L,1,Garvin,,39,"Oil, Gas & Mining",Drilling oil and gas wells,Marathon Oil Company,2019-08-21T00:00:00.000Z,2019-11-19T00:00:00.000Z,O,Pump,4200,Washita River,Stream,,Yoshi 0304 1-5-32SXH,,1082,,,A
