SiteUUID,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,Geometry,GNISCodeCV,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,PODorPOUSite,SiteName,SiteNativeID,SitePoint,SiteTypeCV,StateCV,USGSSiteID
IDwr_S225517,,GPS - Manually Entered,,EPSG:4326,,,,,42.72985,-113.6080667,,,POD,13C824,823793,,Groundwater,ID,
IDwr_S225518,,GPS - Manually Entered,,EPSG:4326,,,,,42.74511583,-113.6988668,,,POD,Unspecified,823781,,Groundwater,ID,
IDwr_S225519,,GPS - Manually Entered,,EPSG:4326,,,,,42.7238545,-113.5289837,,,POD,15A825,823828,,Groundwater,ID,
IDwr_S225520,,Digitized,,EPSG:4326,,,,,42.67601518,-113.9513872,,,POD,1B921,823838,,Groundwater,ID,
IDwr_S225521,,GPS - Manually Entered,,EPSG:4326,,,,,42.78571667,-113.57555,,,POD,30A725,823704,,Groundwater,ID,
IDwr_S225522,,Digitized,,EPSG:4326,,,,,42.66346474,-113.9046731,,,POD,8A922,823850,,Groundwater,ID,
IDwr_S225523,,GPS - Downloaded,,EPSG:4326,,,,,42.71970088,-113.7199306,,,POD,24C823,823752,,Groundwater,ID,
IDwr_S225524,,Digitized,,EPSG:4326,,,,,42.72998926,-113.5893775,,,POD,Unspecified,823794,,Groundwater,ID,
IDwr_S225525,,Digitized,,EPSG:4326,,,,,42.72034343,-113.5046192,,,POD,Unspecified,823826,,Groundwater,ID,
IDwr_S225526,,GPS - Manually Entered,,EPSG:4326,,,,,42.69741671,-113.6639833,,,POD,Unspecified,823806,,Groundwater,ID,
IDwr_S225527,,GPS - Manually Entered,,EPSG:4326,,,,,42.67738331,-113.8331667,,,POD,Unspecified,850383,,Groundwater,ID,
IDwr_S225528,,GPS - Manually Entered,,EPSG:4326,,,,,42.74725002,-113.7350833,,,POD,Unspecified,850382,,Groundwater,ID,
IDwr_S225529,,GPS - Manually Entered,,EPSG:4326,,,,,42.68551671,-113.9716167,,,POD,Unspecified,884989,,Groundwater,ID,
IDwr_S225530,,Digitized,,EPSG:4326,,,,,42.71343334,-113.9743166,,,POD,Unspecified,884988,,Groundwater,ID,
IDwr_S225531,,Digitized,,EPSG:4326,,,,,42.74256225,-113.6908278,,,POD,Unspecified,913194,,Groundwater,ID,
IDwr_S225532,,Digitized,,EPSG:4326,,,,,42.73499275,-113.6771754,,,POD,Unspecified,937750,,Groundwater,ID,
IDwr_S225533,,Digitized,,EPSG:4326,,,,,42.73353064,-113.6287942,,,POD,Unspecified,924884,,Groundwater,ID,
