WRID,culGeometry
1345,"POLYGON ((-110.836239938046 39.6233958532096, -110.83767735329 39.622055323194, -110.838181720215 39.622110089135, -110.843183477039 39.6226629777758, -110.843907171262 39.6236325687515, -110.845172059575 39.6248821994566, -110.846585319354 39.6259743305255, -110.8469965516 39.6265380216243, -110.84782710304 39.6271743442764, -110.849518289674 39.6280280280184, -110.850505079966 39.628637502538, -110.851578306816 39.6286118475606, -110.852146953944 39.6286035623171, -110.852707864724 39.6283970361862, -110.852660320756 39.6354295710323, -110.852347905448 39.635478731365, -110.851640257514 39.6356129852297, -110.849967305593 39.6359307045277, -110.847643353066 39.6360448144868, -110.845376053709 39.6363571813881, -110.844657898965 39.6359687775632, -110.84434691549 39.6348555811205, -110.843934957201 39.6346027381237, -110.841917307957 39.6342981626289, -110.839422845655 39.6340875028127, -110.838036512726 39.633918886387, -110.835785700418 39.6238187000319, -110.836239938046 39.6233958532096))"
1372,"POLYGON ((-111.161304278171 39.722408333189, -111.161704202196 39.7214353927884, -111.162119791043 39.7215265373838, -111.161825042227 39.7224171593552, -111.163345094716 39.7224426921477, -111.163360455388 39.723216469008, -111.163943761682 39.7231737492448, -111.165228748135 39.722820618835, -111.166869680796 39.722405783691, -111.168017220383 39.7224499907753, -111.169144552486 39.7223414024694, -111.169875134121 39.7217903514, -111.170246899462 39.7201400334939, -111.170601112102 39.719375625989, -111.171293950586 39.7195732815364, -111.171038421604 39.7202305042306, -111.170642660166 39.7201852244865, -111.1701720734 39.7218816406983, -111.169500429646 39.7222950213961, -111.168848241258 39.7225557366142, -111.16817577216 39.7225872573166, -111.166909640332 39.7225737670283, -111.165664002553 39.7228352258827, -111.164181308411 39.7232651376955, -111.163363245228 39.7233603584294, -111.16350933503 39.730722856098, -111.153968861249 39.7309206102537, -111.153948486723 39.7222843376087, -111.158384478785 39.7223591926602, -111.158883641022 39.7213953169583, -111.159162331336 39.7214731440562, -111.158698360153 39.7223644404923, -111.161304278171 39.722408333189))"
0,"POLYGON ((-110.048506431143 40.3114372667101, -110.048465142515 40.3087612200044, -110.04974058795 40.3087762087227, -110.049603003077 40.3114552902358, -110.048506431143 40.3114372667101))"
1398,"POLYGON ((-111.597290066062 40.7507785600226, -111.596709250363 40.750074392604, -111.595569591379 40.7503280145565, -111.595670546349 40.7424326578897, -111.596028717771 40.7424326105406, -111.596028564983 40.7424154950456, -111.600472146619 40.7423840846152, -111.607260859227 40.7423359542679, -111.607798555849 40.7423322231311, -111.607823440456 40.7493587706864, -111.607188197984 40.7493233776128, -111.604832137896 40.749194314298, -111.603417566614 40.749170188766, -111.600989376642 40.7494486109177, -111.599490464806 40.7497942273077, -111.599204922193 40.7499191273824, -111.598170128443 40.7503731213554, -111.597290066062 40.7507785600226))"
0,"POLYGON ((-111.717285383033 41.0397301180053, -111.717694637599 41.0395095746223, -111.717815651045 41.0392592971583, -111.717935303085 41.0388838157257, -111.71813805703 41.0386015003902, -111.720255802136 41.0400241725715, -111.722750280886 41.0419434906252, -111.723955848318 41.0428412351395, -111.72416371288 41.0430263962767, -111.723714190016 41.0433724275822, -111.723017543511 41.0437515360215, -111.722064896943 41.0433521454862, -111.721152190984 41.0427957566296, -111.720605764931 41.0418947639542, -111.719361164262 41.0411215392211, -111.718569534107 41.0403157508385, -111.718071233939 41.0400062763575, -111.717285383033 41.0397301180053))"
0,"POLYGON ((-111.755872607689 41.1116727208682, -111.755840753529 41.1142952357154, -111.752230227962 41.1142648191057, -111.751660963689 41.1143757293047, -111.751658377071 41.1144622225417, -111.750863005318 41.114381833577, -111.749954490718 41.1143021756894, -111.748813124249 41.1137511066639, -111.743857525891 41.1097827747626, -111.746758718386 41.1076723571359, -111.747372970173 41.107226983763, -111.749463341525 41.1093428873041, -111.750805897845 41.1101641394448, -111.753235328704 41.1109776443213, -111.755872607689 41.1116727208682))"
0,"POLYGON ((-111.240327831635 40.9608666748229, -111.240364655364 40.9710160495338, -111.227047412307 40.9710430446632, -111.22701262875 40.9608936603578, -111.240327831635 40.9608666748229))"
0,"POLYGON ((-111.871425711375 41.359520127887, -111.871372863397 41.3582291166591, -111.866087059495 41.3581613792303, -111.864964335927 41.3542685639769, -111.86380654863 41.3531203301789, -111.864368175954 41.352389653932, -111.865701211182 41.3532943509511, -111.867999743431 41.3542994843457, -111.871641780683 41.3542988889857, -111.871633526069 41.3536801328096, -111.873454346675 41.3536663272828, -111.877041248289 41.3575403052552, -111.875481452971 41.3583862807447, -111.872768255557 41.3584337324843, -111.872782992676 41.3595367744045, -111.871425711375 41.359520127887))"
1904,"POLYGON ((-111.332630277868 40.9179096380115, -111.331120785087 40.917651839197, -111.331432151763 40.9170789146523, -111.332217465217 40.9170289107463, -111.332815752302 40.917289418661, -111.332630277868 40.9179096380115))"
11014,"POLYGON ((-113.132326281186 37.1023140307609, -113.129603358665 37.1057788376207, -113.129955872327 37.1123608614167, -113.119671414588 37.112056318102, -113.118796372447 37.1049225606411, -113.118489723855 37.0941171743417, -113.132326281186 37.1023140307609))"
1450,"POLYGON ((-112.384528755133 37.0362835058021, -112.400384343202 37.0363768241698, -112.400772240398 37.0260085455589, -112.393026341827 37.0259645389476, -112.39320372456 37.022437035533, -112.394177496793 37.0222181029803, -112.395928698364 37.0217281718203, -112.396644795449 37.0216131132055, -112.400464256505 37.0207940903157, -112.406817529723 37.0193385815587, -112.407640293667 37.0192434643075, -112.408116295512 37.0190885503239, -112.409253497004 37.0187337023909, -112.41073440718 37.0182682163281, -112.41179812385 37.0181349619719, -112.415761013273 37.0173222151723, -112.418124664745 37.0166016515632, -112.420681193117 37.0159978021433, -112.422261231609 37.0159122629338, -112.42425741648 37.0159549298413, -112.4319452672 37.0163686068927, -112.439524815348 37.0166143638448, -112.44674438375 37.0165761310007, -112.448501530394 37.0166613242411, -112.451849763438 37.0164924095531, -112.45344692781 37.016558124671, -112.455014209255 37.0164536474124, -112.456505064812 37.016520624899, -112.461290040639 37.0163765233596, -112.461766888999 37.0361456269738, -112.460634143805 37.0361640859569, -112.459267938578 37.0361741391549, -112.458108665531 37.0361636062376, -112.456138108106 37.0361900635476, -112.45468537316 37.0361200038847, -112.453073993406 37.0354479602664, -112.452201977 37.0344152264931, -112.451232908294 37.0331967315485, -112.450184930296 37.0316817445439, -112.447247659727 37.0281323677641, -112.446466643699 37.0276686788678, -112.445587417123 37.0274856027841, -112.444032446836 37.0274098962996, -112.442365711958 37.0273805961829, -112.440387785392 37.0274339200768, -112.439368830683 37.0275364224219, -112.438350170095 37.0278394650897, -112.437018844454 37.0284640160205, -112.436239564994 37.0292058074755, -112.43563327057 37.0301077455415, -112.434738611204 37.0316442102919, -112.434023640806 37.0325204135565, -112.432525229293 37.0334195955852, -112.43142327132 37.0335433132251, -112.428832631492 37.0338472043874, -112.427435992897 37.0341637195025, -112.425612761208 37.0347197891944, -112.423924857133 37.0355400180564, -112.421353318855 37.036916136568, -112.419969247761 37.0372662148253, -112.419066351972 37.0371733621795, -112.417126701548 37.0370928918164, -112.413720727629 37.036748197267, -112.40555622345 37.0366649387873, -112.404859227978 37.0376038513724, -112.404218209311 37.0385061329427, -112.40361491869 37.0393087246887, -112.402641563102 37.0405077820644, -112.401805064066 37.0412996014183, -112.400764061195 37.0420511053601, -112.399558596469 37.042799943762, -112.398003019285 37.0435461364329, -112.396405821932 37.044096752533, -112.394593608585 37.044512417528, -112.39328667898 37.0448094509467, -112.392379670367 37.045036427719, -112.391079225369 37.0453447179903, -112.389539226691 37.0458179555973, -112.388228774939 37.046214124745, -112.386348136871 37.0468174979808, -112.385272677334 37.0473686265798, -112.384172472996 37.0482422715329, -112.383332889941 37.0497281376125, -112.383177750333 37.050876930902, -112.374984848321 37.0507806446574, -112.374904331605 37.0434127460872, -112.379590069681 37.0434777753404, -112.379681474963 37.039749480361, -112.384480445226 37.0399076446144, -112.384528755133 37.0362835058021))"
10869,"POLYGON ((-112.384528755133 37.0362835058021, -112.374941240478 37.0362260043571, -112.374851034584 37.03340568445, -112.383602505121 37.0331597252536, -112.384311424736 37.0214807492063, -112.393252655131 37.0214662308414, -112.393243542992 37.0216443575939, -112.39320372456 37.022437035533, -112.393026341827 37.0259645389476, -112.400772240398 37.0260085455589, -112.400384343202 37.0363768241698, -112.384528755133 37.0362835058021))"
0,"POLYGON ((-111.572242018145 40.7114657574706, -111.571114417765 40.711471341667, -111.571105457238 40.7104226018371, -111.572233039929 40.7104170178461, -111.572242018145 40.7114657574706))"
1050,"MULTIPOLYGON (((-112.057217375515 40.5007106236218, -112.018697613791 40.5005950967719, -112.014001133034 40.5006364032388, -112.013981798107 40.4993523685463, -112.014025927605 40.4993518912293, -112.013987106552 40.4967736423936, -112.01878030754 40.4967314847108, -112.018726064215 40.4931453774856, -112.00434828692 40.4933443805012, -112.004079666943 40.4627133355938, -112.004211647564 40.4627130898617, -112.004235293644 40.4564837948693, -112.013743411313 40.4565542157543, -112.01379799003 40.4601849392741, -112.032578861595 40.4601976885905, -112.032537717563 40.4618857741225, -112.032884272958 40.4626498711731, -112.033633182224 40.4634614496705, -112.034709864151 40.4638098274043, -112.035451858824 40.4641611939163, -112.036459215796 40.4643567556863, -112.037730473237 40.4642941784769, -112.0389268618 40.463720828296, -112.039321450134 40.4632570189376, -112.039908195746 40.4622288771461, -112.04009798915 40.4615111463443, -112.040488610848 40.4607916074388, -112.041148615447 40.4601718913239, -112.041878751949 40.459756220282, -112.04301278806 40.4594902311496, -112.043016993048 40.464093172037, -112.061897321136 40.4639723293504, -112.061851048961 40.480159712061, -112.05957254522 40.4800782844753, -112.059565309273 40.4796180907516, -112.057220862611 40.4795883913127, -112.057274620507 40.4915554619245, -112.059550980049 40.491483533279, -112.059960871567 40.4919912034589, -112.058031497003 40.4928271525483, -112.057568249482 40.4931894022532, -112.056977502695 40.4939619054676, -112.056181801412 40.4944806095902, -112.0549172044 40.4950035896121, -112.054822158175 40.4932145007616, -112.052344006906 40.4932370943471, -112.052163569544 40.4859763849837, -112.051025138591 40.4859867441842, -112.050996420459 40.4841457857301, -112.052268832948 40.4841342070533, -112.05217307964 40.4822939488707, -112.047484560605 40.4822853697076, -112.04747928 40.484101053089, -112.045068464551 40.4841228791684, -112.04523745473 40.4950148833068, -112.042960163708 40.4950354588843, -112.043021143361 40.4989729212826, -112.052358837318 40.4963311183106, -112.052393197586 40.4985299401465, -112.060498076989 40.4984558441177, -112.06019863424 40.5007088947274, -112.057217375515 40.5007106236218)), ((-111.998286999093 40.5231841159644, -111.997884503502 40.5224405854292, -112.010023263389 40.5224845680736, -112.040483940073 40.5224491393111, -112.042865442136 40.5224276689642, -112.042894888361 40.5243274388768, -112.043080602428 40.5243281948127, -112.042820532401 40.529530660667, -112.042933863419 40.5295299079787, -112.042899436529 40.5369345890867, -111.999367438788 40.5369647554742, -111.999006970248 40.5297960929172, -111.998562135843 40.5297986770722, -111.998286999093 40.5231841159644)))"
0,"POLYGON ((-111.885883987219 40.5992573221112, -111.884267138066 40.5992552981608, -111.884270794048 40.5995327381661, -111.884136071872 40.5995337695309, -111.884133438667 40.5997824298301, -111.882049454284 40.5997596262982, -111.882233216341 40.5991735580408, -111.882230397804 40.5989591724521, -111.885853624234 40.5989269356648, -111.885883987219 40.5992573221112))"
10999,"POLYGON ((-111.752951200444 40.7717991906034, -111.752877262396 40.7703087690962, -111.754884338789 40.769769561844, -111.755718478515 40.7711990635688, -111.755730942653 40.7722990976319, -111.755169732411 40.7728419290855, -111.753217897908 40.7729713452741, -111.752956978797 40.7717967206107, -111.752951200444 40.7717991906034))"
11124,"POLYGON ((-112.102516314791 38.6781752614265, -112.102305510084 38.6791966279683, -112.102166200951 38.679737909202, -112.101512473543 38.6805523086749, -112.100851300523 38.6814669822462, -112.100230486386 38.6826458494364, -112.099927207856 38.683427294418, -112.098721422824 38.6834656641343, -112.09896627216 38.682501297536, -112.097737189525 38.6823833464926, -112.097210611934 38.6819073454037, -112.092821791559 38.6819853884594, -112.092899214142 38.6793205982188, -112.093008753354 38.6772106147211, -112.095187619988 38.6730645868579, -112.095636550785 38.673097419197, -112.095547669659 38.6750038231595, -112.096686745823 38.6759968472402, -112.097083528088 38.6761592075146, -112.097745569476 38.6758883274388, -112.097998553111 38.6763222889811, -112.097509622198 38.6765772177473, -112.097965377305 38.6771379602716, -112.098180612763 38.6774936053849, -112.09824714447 38.6776646494963, -112.098519841439 38.6775977462097, -112.09860695621 38.6767313741506, -112.099281797271 38.6767035853171, -112.099245471442 38.6761174588846, -112.098725368197 38.6761151372624, -112.098517569534 38.675659305517, -112.098685438276 38.6752929433, -112.100902832581 38.6753007470992, -112.101942081066 38.676428209498, -112.102467562065 38.6767809229207, -112.102642458167 38.6774730685156, -112.102516314791 38.6781752614265))"
0,"POLYGON ((-111.71374951507 41.2384471133383, -111.713770140179 41.2411105833773, -111.708512498519 41.2411493614644, -111.708488364087 41.2389146817368, -111.71302251984 41.2386434831496, -111.713020855663 41.2384903613125, -111.71374951507 41.2384471133383))"
1136,"MULTIPOLYGON (((-111.254249833407 38.9317660178459, -111.254271235522 38.9290355027163, -111.250601405348 38.9290524498574, -111.242109039685 38.929038831397, -111.242114551516 38.9245511155871, -111.238628250827 38.9245312594793, -111.238668178189 38.9233641938586, -111.242063303375 38.9233887436564, -111.241947375022 38.9164276270738, -111.25072222699 38.9161793201132, -111.254791156284 38.9163462347225, -111.254763511395 38.9182927720047, -111.259523773382 38.9182101955049, -111.259318705948 38.9290559396056, -111.256788584664 38.9290344981786, -111.256662143894 38.931724693146, -111.254249833407 38.9317660178459)), ((-111.130502248305 39.1019722388309, -111.130524883279 39.1004493212548, -111.12680719197 39.1006696926106, -111.126794574292 39.0968534628169, -111.125748422373 39.0970843814596, -111.122612247762 39.0971147552099, -111.122563422575 39.0962992925608, -111.10988395176 39.0966858963334, -111.109924080979 39.0949737292876, -111.122626105818 39.0951007362843, -111.122514902534 39.089644564954, -111.111811723812 39.0893759718005, -111.111792608327 39.0882540935906, -111.115526199725 39.0882279262696, -111.116148274259 39.0875199276502, -111.122618842263 39.0875673702318, -111.122693008408 39.0869950798219, -111.125778983691 39.0869467358165, -111.131141791781 39.0869858838929, -111.130455369573 39.0683658416994, -111.131488650981 39.068288085664, -111.131577137631 39.0692521892765, -111.136220786374 39.069309936343, -111.136244456254 39.0701975163224, -111.132509394569 39.0701612695094, -111.132503398414 39.0780821549595, -111.136132411338 39.0780644581191, -111.136157350204 39.080212706341, -111.138136666298 39.0802058728422, -111.138099007572 39.0792732552074, -111.140971834834 39.0791887165711, -111.140978319502 39.0841899392239, -111.150094765762 39.0840433927762, -111.150557568277 39.0847366601761, -111.150942952399 39.0865339001743, -111.151832807105 39.0873978217197, -111.152838292765 39.0887887408758, -111.153435342429 39.0895088538451, -111.154298563935 39.0908548909256, -111.153967091449 39.0915672147016, -111.15299160454 39.0917802621371, -111.153018164244 39.0901582093537, -111.151417783953 39.0901377705295, -111.151196432926 39.0942381578568, -111.149568198325 39.0942132242351, -111.149384964795 39.0934159673477, -111.147436183979 39.0932697628702, -111.14748711482 39.092183847837, -111.143230562288 39.092162120577, -111.142988479171 39.0971140753339, -111.145955805617 39.0970833649898, -111.146089332153 39.0990251114394, -111.134617582646 39.0991876055362, -111.132925470184 39.1003069355689, -111.132980287815 39.1017847093273, -111.130502248305 39.1019722388309)), ((-111.09232122284 39.138207493207, -111.092569053949 39.1321833452794, -111.097341562076 39.1320983573074, -111.097542966381 39.1271285370789, -111.097926011623 39.1272048107827, -111.098524062491 39.1271502399105, -111.099023825091 39.1271317941374, -111.100205937831 39.1269505608159, -111.101422202574 39.126386311526, -111.101923798796 39.1260389443909, -111.102370540083 39.125362715892, -111.102844985446 39.1246504165198, -111.103216171106 39.1237399610103, -111.103809078377 39.1233564600787, -111.104145610124 39.1232795650211, -111.104705726954 39.1234142307448, -111.105463856588 39.1236748710939, -111.10610531757 39.1240482522844, -111.106640292016 39.1243811771477, -111.106836252342 39.1246783660733, -111.107014038272 39.1251963447899, -111.107143271457 39.1257368957236, -111.107350012203 39.1262728695338, -111.107800562 39.126610372228, -111.107928156434 39.1374416570121, -111.10797346852 39.1375632654647, -111.104431478573 39.1358994310784, -111.103111122803 39.1357969783468, -111.10324219364 39.1368106160427, -111.100814581164 39.1367631796264, -111.100972035733 39.1384481269353, -111.09232122284 39.138207493207)), ((-111.015209046197 39.2312364216033, -111.014848823846 39.2152599434309, -111.007946153492 39.2153687508757, -111.007964801126 39.206118925616, -111.019545750436 39.2060589868319, -111.019523601439 39.2097264821898, -111.019622054526 39.2097264656517, -111.01962323411 39.2098030592342, -111.027836496878 39.2096752320395, -111.028847659818 39.2096569640063, -111.029039277647 39.2221281728511, -111.027225091372 39.2220925668693, -111.027404587295 39.2278775927967, -111.025633133989 39.2278779960342, -111.02552771882 39.2279185687027, -111.025654759136 39.2299955770397, -111.024378021967 39.2301265107232, -111.02437368519 39.2309870622034, -111.024371526893 39.2314466236416, -111.024278836609 39.2314466429957, -111.023707628182 39.2314332441395, -111.015328385569 39.2312409114632, -111.015209046197 39.2312364216033)), ((-111.065058167092 39.2392336244487, -111.064400761118 39.2388059679045, -111.06358269247 39.2388154283106, -111.062615168962 39.2388519963671, -111.062495632639 39.2347250270627, -111.05593187805 39.2349536384574, -111.055870201288 39.2375398225391, -111.055041590838 39.2373870302036, -111.054979598178 39.2366436527994, -111.053024916116 39.2367346688883, -111.051921191888 39.237456045283, -111.051318860613 39.2377401583659, -111.050503316981 39.238024360957, -111.049642382182 39.2380337420316, -111.04957195594 39.2351051999762, -111.045875625402 39.2349309999521, -111.046150673124 39.2302947332761, -111.048405989212 39.231257994946, -111.048418152095 39.2186065332533, -111.050006322823 39.2185788293235, -111.049801228787 39.2168623178378, -111.053768712582 39.2168650598089, -111.053675351947 39.2205235763826, -111.062581303622 39.2202938572558, -111.062455077072 39.2203434855812, -111.062620000179 39.2312512212891, -111.063727625051 39.2312280931105, -111.063750421597 39.2320931364531, -111.066157273424 39.2324747617666, -111.067707392047 39.2347311253186, -111.072117145846 39.2345437533181, -111.072155847132 39.238391422214, -111.076826489948 39.238163160629, -111.07683456975 39.2455701822908, -111.074312895144 39.245576323923, -111.073794270925 39.2449909401775, -111.073086815699 39.2444552330793, -111.07237377616 39.2441132611408, -111.071697894918 39.2438388442902, -111.071365205243 39.2437354223431, -111.070292527614 39.2429746468391, -111.069447038904 39.242254275534, -111.068994703095 39.2418445446749, -111.068686172615 39.2415473646013, -111.068448361522 39.2412816805992, -111.068252237932 39.2409844332373, -111.06767365372 39.2406198259811, -111.06712773153 39.2404759661271, -111.066379140751 39.2404538676709, -111.065884305453 39.2404135991814, -111.065324525012 39.24031479363, -111.065066698727 39.2396886744731, -111.065058167092 39.2392336244487)), ((-110.962503309262 39.3353804771874, -110.962372683322 39.3344613294982, -110.959035496753 39.334608881649, -110.959216995001 39.3337709373011, -110.955553851033 39.3338146503257, -110.955286846498 39.3194467457093, -110.977135845734 39.3192233109184, -110.976865089375 39.3346993942811, -110.964969366601 39.3347189489131, -110.964753287101 39.3352325014737, -110.962678540069 39.3353444901568, -110.962503309262 39.3353804771874)), ((-110.837973970626 39.3530971417148, -110.837959364357 39.3493711529036, -110.842712096977 39.349287564851, -110.842541599936 39.3456199335274, -110.866004665278 39.3456943650124, -110.866085899704 39.3481273786776, -110.870777970169 39.3481507044108, -110.870917725617 39.3529310942837, -110.869756937182 39.3530154037022, -110.868566222794 39.3529645056565, -110.867508698336 39.3524496905906, -110.865807764606 39.3515601772667, -110.86464042466 39.3508379607584, -110.850156398807 39.3512752598267, -110.849948478923 39.3502702868314, -110.844825669834 39.3502590640158, -110.844762679965 39.3530252975881, -110.837973970626 39.3530971417148)), ((-110.823931068133 39.3518647912268, -110.82617384676 39.3502687445496, -110.826634559134 39.3512245771866, -110.82664568351 39.3528285169061, -110.82670955445 39.3532836575573, -110.826731417296 39.3533602819271, -110.823877130659 39.3539326888112, -110.823931068133 39.3518647912268)), ((-110.807599908535 39.3904185624582, -110.807365606585 39.3890530471003, -110.809490098164 39.388831276341, -110.809333662884 39.3874298490228, -110.810337486217 39.3872287477798, -110.810396646477 39.3855348233272, -110.813798061263 39.3854051549226, -110.813748215521 39.3849365160664, -110.817131590223 39.385031990103, -110.81725821101 39.3859017265438, -110.819688765585 39.3858199162734, -110.819577039993 39.3868199363715, -110.820626615464 39.3868756236151, -110.820676544291 39.388691366328, -110.822347744117 39.3886128332198, -110.822375719819 39.3894869183269, -110.824231674282 39.389368091723, -110.824238662789 39.3930625069817, -110.824211726959 39.3931525736915, -110.810216685837 39.3932432219696, -110.810209205797 39.3904318586313, -110.807599908535 39.3904185624582)))"
0,"POLYGON ((-111.898996225266 41.3756083269589, -111.899939672431 41.3747880245714, -111.902246679346 41.3765209280551, -111.904822263945 41.3796586445999, -111.906356444925 41.3825231148241, -111.906999532907 41.3839876201826, -111.907746852987 41.3854370674325, -111.905737086996 41.3857485309206, -111.904032930441 41.3856055627061, -111.899889832551 41.3862320836951, -111.898430908125 41.3858058103328, -111.897797023495 41.3849977416287, -111.897823038264 41.3838719620256, -111.893755393622 41.3839348849787, -111.892548219971 41.3836941170314, -111.891628537733 41.3832322267792, -111.891608466326 41.3817628987155, -111.892055323085 41.3810402763586, -111.898024820042 41.3804310541355, -111.898636785786 41.3795371459718, -111.899216784293 41.378442076486, -111.899635827721 41.3776961322806, -111.899698838111 41.3770531342566, -111.899216825475 41.375988071239, -111.898996225266 41.3756083269589))"
