,WaterSourceUUID,WaterSourceNativeID,WaterSourceName,WaterSourceTypeCV,WaterQualityIndicatorCV,GNISFeatureNameCV,Geometry
2820,,,CROWTHERS RESERVOIR,UNNAMED STREAM,Fresh,,
2821,,,LITTLE WRIGHTS CREEK,GROUND WATER,Fresh,,
2822,,,LOWER RATTLESNAKE SPRING,IRON CREEK,Fresh,,
2823,,,DEVILS CREEK,IRON CREEK,Fresh,,
2824,,,BOAG SPRING,GROUND WATER,Fresh,,
2825,,,WASP SPRING,BIG BOULDER CREEK,Fresh,,
2826,,,WATER CANYON SPRINGS,SALMON RIVER,Fresh,,
2827,,,GLEN CANYON SPRING,MORGAN CREEK,Fresh,,
2828,,,POLE CANYON SPRING,CHALLIS CREEK,Fresh,,
2829,,,SHEEP CREEK SPRING,SPUD CREEK,Fresh,,
2830,,,WOOD CANYON SPRING,CHALLIS CREEK,Fresh,,
2831,,,IRELAND SPRINGS,JOES GULCH CREEK,Fresh,,
2832,,,LOWER IRELAND SPRINGS,PATTERSON CREEK,Fresh,,
2833,,,TAYLOR SPRING,PAHSIMEROI RIVER,Fresh,,
2834,,,PETTIT SPRING,MC DEVITT CREEK,Fresh,,
2835,,,NORTH CANYON SPRING,MUDDY CREEK,Fresh,,
2836,,,ROCK SPRINGS,REESE CREEK,Fresh,,
2837,,,SALYER SPRING,UNNAMED STREAM,Fresh,,
2838,,,HIDEAWAY SPRING,UNNAMED STREAM,Fresh,,
2839,,,LARSON SPRING,SANDY CREEK,Fresh,,
2840,,,BLACK PINE SPRING,FLUME CREEK,Fresh,,
2841,,,HANSEN SPRING,BASIN CREEK,Fresh,,
2842,,,NONAME SPRING,SPRINGS,Fresh,,
2843,,,NORTH HOLBROOK SPRING,RATTLESNAKE CREEK,Fresh,,
2844,,,BLACK SPRINGS CREEK,FREEMAN CREEK,Fresh,,
2845,,,ELLIS SPRING,LITTLE HAT CREEK,Fresh,,
2846,,,STEELE SPRING,SALMON RIVER,Fresh,,
2847,,,SAWTELL SPRING,PARTRIDGE CREEK,Fresh,,
2848,,,WHITE ELEPHANT SPRING,LAKE CREEK,Fresh,,
2849,,,RED ROCK SPRING,LAKE CREEK,Fresh,,
2850,,,RAYNOLDS SPRING,LITTLE CREEK,Fresh,,
2851,,,GILLAN SPRINGS,UNNAMED STREAMS,Fresh,,
2852,,,NORTH ANTELOPE FLAT LAKE,UNNAMED STREAM,Fresh,,
2853,,,SAGEBRUSH SPRING RESERVOIR,GOOSE CREEK,Fresh,,
2854,,,HOLE IN ROCK LAKE,GOOSE CREEK,Fresh,,
2855,,,BOOT JACK POND NO 1,GOOSE CREEK,Fresh,,
2856,,,BOOTJACK POND NO 2,SEAWELL CREEK,Fresh,,
2857,,,PINYON KNOLL POND,SEAWELL CREEK,Fresh,,
2858,,,SCHOOLHOUSE POND,SEAWELL CREEK,Fresh,,
2859,,,SQUIRREL MEADOW LAKE,GOOSE CREEK,Fresh,,
2860,,,OUTLET POND,LITTLE SALMON RIVER,Fresh,,
2861,,,KELLY SPRING,LITTLE SALMON RIVER,Fresh,,
2862,,,SNOWMELT SPRING,BROWN CREEK,Fresh,,
2863,,,SMEAD CANYON POND,THREEMILE CREEK,Fresh,,
2864,,,HORSEMINT SPRING,THREEMILE CREEK,Fresh,,
2865,,,HORSEFLY SPRING,SPRINGS,Fresh,,
2866,,,GUS POND,THREEMILE CREEK,Fresh,,
2867,,,CLARENCE SPRING,UNNAMED STREAM,Fresh,,
2868,,,MUD CREEK POND,VICK CREEK,Fresh,,
2869,,,BLUE CREEK POND,SPRINGS,Fresh,,
2870,,,JENKINS SPRING,SPRING,Fresh,,
2871,,,TULE LAKE,UNNAMED STREAMS,Fresh,,
2872,,,FALLS RIVER RIDGE POND,SALMON RIVER,Fresh,,
2873,,,SOUTHEAST UNIT 2 PIT TANK,MC KINZIE CREEK,Fresh,,
2874,,,SOUTHEAST UNIT 2 POND,DEEP CREEK,Fresh,,
2875,,,ELK BUTTE POND,WOLF CREEK,Fresh,,
2876,,,ECCLES POND NO 5,SALMON RIVER,Fresh,,
2877,,,OSBORNE BUTTE POND,SALMON RIVER,Fresh,,
2878,,,NORTH DUCK CREEK SPRING,CLEARWATER RIVER,Fresh,,
2879,,,ASPEN POND,AMERICAN RIVER,Fresh,,
2880,,,MOOSE POND,QUARTZ CREEK,Fresh,,
2881,,,FOGG BUTTE POND,SPRINGS,Fresh,,
2882,,,NORTH ANTELOPE FLAT POND,SIXMILE CANYON CREEK,Fresh,,
2883,,,NORTH ANTELOPE SPRING,SUZIE CREEK,Fresh,,
2884,,,LYLE SPRING POND,SPRINGS,Fresh,,
2885,,,OLD SPRING,GROUND WATER,Fresh,,
2886,,,ANDERSON MILL SPRING,GROUND WATER,Fresh,,
2887,,,DYNAMITE SPRING,GROUND WATER,Fresh,,
2888,,,OSBORNE SPRINGS,GROUND WATER,Fresh,,
2889,,,FENCELINE POND,GROUND WATER,Fresh,,
2890,,,FOGG BUTTE POND NO 2,GROUND WATER,Fresh,,
2891,,,EAST ANTELOPE FLAT POND NO 2,GROUND WATER,Fresh,,
2892,,,PINNACLE POND NO 1,GROUND WATER,Fresh,,
2893,,,WOODROAD 16 POND 1,GROUND WATER,Fresh,,
2894,,,WOODROAD 16 POND 2,GROUND WATER,Fresh,,
2895,,,ECCLES ROAD POND NO 3,GROUND WATER,Fresh,,
2896,,,ELK WALLOW POND 1,SPRINGS,Fresh,,
2897,,,GRANDVIEW POND NO 1,UNNAMED STREAMS,Fresh,,
2898,,,LYLE PIT POND,UNNAMED STREAM,Fresh,,
2899,,,PRESTON SPRING,UNNAMED STREAM,Fresh,,
2900,,,GRANDVIEW POND NO 12,GROUND WATER,Fresh,,
2901,,,EAST BEAR GULCH POND,CLEARWATER RIVER,Fresh,,
2902,,,NORTH BEAR GULCH POND,ST JOE RIVER,Fresh,,
2903,,,NORTH MESA MARSH POND,DEEP CREEK,Fresh,,
2904,,,MOSS SPRING,UNNAMED STREAM,Fresh,,
2905,,,RISING CREEK SPRING,UNNAMED STREAM,Fresh,,
2906,,,ROAD 247 POND,UNNAMED STREAM,Fresh,,
2907,,,UPPER GOOSE POND,UNNAMED STREAM,Fresh,,
2908,,,SECTION 13 POND,ST MARIES RIVER,Fresh,,
2909,,,FALLS RIVER RIDGE POND NO 2,WOLF DRAW CREEK,Fresh,,
2910,,,FALLS RIVER RIDGE POND NO 3,UNNAMED STREAM,Fresh,,
2911,,,SECTION 24 POND NO 2,SHEEP CREEK,Fresh,,
2912,,,WEST UNIT 1 POND,HANGMAN CREEK,Fresh,,
2913,,,SECTION 20 POND NO 1,MOCTILEME CREEK,Fresh,,
2914,,,SECTION 20 POND NO 2,SMITH CREEK,Fresh,,
2915,,,SECTION 10 POND,UNNAMED STREAM,Fresh,,
2916,,,PORCUPINE LAKE,UNNAMED STREAM,Fresh,,
2917,,,NORTHEAST UNIT 2 POND,UNNAMED STREAM,Fresh,,
2918,,,FAUCETT SPRING,UNNAMED STREAM,Fresh,,
2919,,,DRY CREEK RESERVOIR NUMBER THREE,BEAVER CREEK,Fresh,,
2920,,,DRY CREEK RESERVOIR NUMBER FOUR,GROUND WATER,Fresh,,
2921,,,BUGGY SPRING,UNNAMED STREAM,Fresh,,
2922,,,BITCH CREEK POND NO 8,MOORES CREEK,Fresh,,
2923,,,BITCH CREEK POND NO 9,SNAKE RIVER,Fresh,,
2924,,,BITCH CREEK POND NO 10,SNAKE RIVER,Fresh,,
2925,,,CART HOLLOW SPRING,SPRING,Fresh,,
2926,,,SQUIRREL MEADOW POND NO 18,SPRINGS,Fresh,,
2927,,,SQUIRREL MEADOW POND NO 20,UNNAMED STREAM,Fresh,,
2928,,,NORTH GRANITE POND NO 2,SNAKE RIVER,Fresh,,
2929,,,CHAIN LAKES,SNAKE RIVER,Fresh,,
2930,,,SQUIRREL MEADOW POND,SNAKE RIVER,Fresh,,
2931,,,SHARP SPRINGS,THOMAS FORK,Fresh,,
2932,,,COLEMAN CREEK,THOMAS FORK,Fresh,,
2933,,,SECTION 11 POND,SPRINGS,Fresh,,
2934,,,SECTION 12 POND,BLACK CANYON CREEK,Fresh,,
2935,,,SECTION 35 POND,BURTON CREEK,Fresh,,
2936,,,SECTION 24 POND,BEAR CREEK,Fresh,,
2937,,,ROAD 141 POND,TROUT CREEK,Fresh,,
2938,,,SECTION 14 POND,TROUT CREEK,Fresh,,
2939,,,MOOSE DRAW POND,TROUT CREEK,Fresh,,
2940,,,SECTION 4 POND,TANK SPRING,Fresh,,
2941,,,SECTION 9 PONDS,TROUT CREEK,Fresh,,
2942,,,GRAVEL PIT POND,TROUT CREEK,Fresh,,
2943,,,STEWART MILL SPRING,TROUT CREEK,Fresh,,
2944,,,JACKSON MILL SPRING,TROUT CREEK,Fresh,,
2945,,,WEST THURMON CREEK SPRING,TROUT CREEK,Fresh,,
2946,,,BLUE SPRING,TANK SPRING,Fresh,,
2947,,,SPLIT CREEK,GROUND WATER,Fresh,,
2948,,,BLUE LAKE,GROUND WATER,Fresh,,
2949,,,ELKHORN SPRINGS,SNAKE RIVER,Fresh,,
2950,,,BUFFALO RIVER,SNAKE RIVER,Fresh,,
2951,,,BLACK SPRING,SNAKE RIVER,Fresh,,
2952,,,DRAIN DITCH,BLUE CREEK,Fresh,,
2953,,,WALKER SPRING,BLUE CREEK,Fresh,,
2954,,,HOWARD SPRINGS,SPRING CREEK,Fresh,,
2955,,,DRY CANYON POND,SPRING CREEK,Fresh,,
2956,,,JULY CREEK,UPPER SAND CREEK,Fresh,,
2957,,,PINEVIEW SPRING,DRY CREEK,Fresh,,
2958,,,SNOW CREEK POND,TETON RIVER,Fresh,,
2959,,,RIPLEY BUTTE POND NO 2,GROUND WATER,Fresh,,
2960,,,RIPLEY BUTTE POND NO 3,GROUND WATER,Fresh,,
2961,,,SUNSHINE POND,GROUND WATER,Fresh,,
2962,,,LODGEPOLE POND,GROUND WATER,Fresh,,
2963,,,WOODROAD 5 POND,GROUND WATER,Fresh,,
2964,,,GRANITE POND NO 2,GROUND WATER,Fresh,,
2965,,,UNIT 2 POND NO 7,GROUND WATER,Fresh,,
2966,,,UNIT 2 POND NO 5,SPRING CREEK,Fresh,,
2967,,,UNIT 2 POND NO 4,SPRING CREEK,Fresh,,
2968,,,LARKSPUR POND NO 3,SPRING CREEK,Fresh,,
2969,,,LARKSPUR POND NO 2,SPRING CREEK,Fresh,,
2970,,,COLD SPRING POND,SPRING CREEK,Fresh,,
2971,,,BEAR WALLOW POND,GROUND WATER,Fresh,,
2972,,,UNIT 2 POND NO 2,SPRING CREEK,Fresh,,
2973,,,ANDERSON MILL POND,SPRING CREEK,Fresh,,
2974,,,SECTION 24 POND NO 3,SPRING CREEK,Fresh,,
2975,,,DRY CREEK RESERVOIR NUMBER TWO,SPRING CREEK,Fresh,,
2976,,,WOODROAD12 POND 3,SPRING CREEK,Fresh,,
2977,,,WOODROAD 12 POND 1,TETON RIVER,Fresh,,
2978,,,HATCHERY BUTTE POND NO 2,TETON RIVER,Fresh,,
2979,,,HATCHERY BUTTE POND NO 1,TETON RIVER,Fresh,,
2980,,,ECCLES POND 3 AND 4,GROUND WATER,Fresh,,
2981,,,BISHOP MOUNTAIN POND NO 2,TETON RIVER,Fresh,,
2982,,,BISHOP MOUNTAIN POND,BADGER CREEK,Fresh,,
2983,,,ECCLES POND 1,TETON RIVER,Fresh,,
2984,,,WOODROAD 6 POND 2,TETON RIVER,Fresh,,
2985,,,ECCLES POND NO 6,TETON RIVER,Fresh,,
2986,,,DRY CREEK POND NO 1,TETON RIVER,Fresh,,
2987,,,STEWART MILL SPRINGS,TETON RIVER,Fresh,,
2988,,,CABIN SPRING,TETON RIVER,Fresh,,
2989,,,UNIT 2 POND NO 1,TETON RIVER,Fresh,,
2990,,,NORTH GERRIT POND,TETON RIVER,Fresh,,
2991,,,UNIT 2 POND NO 3,TETON RIVER,Fresh,,
2992,,,LARKSPUR POND NO 1,TETON RIVER,Fresh,,
2993,,,GRANITE POND NO 3,TETON RIVER,Fresh,,
2994,,,SMITH POND,TETON RIVER,Fresh,,
2995,,,WET WEATHER POND,TETON RIVER,Fresh,,
2996,,,HIDDEN LAKE POND,GROUND WATER,Fresh,,
2997,,,COUNTINA CORRAL POND,TETON RIVER,Fresh,,
2998,,,WOODROAD 11 POND,TETON RIVER,Fresh,,
2999,,,CHERRY SPRING,TETON RIVER,Fresh,,
3000,,,QUAYLES LAKE,TETON RIVER,Fresh,,
3001,,,CHICK CREEK,TETON RIVER,Fresh,,
3002,,,COLEMAN CANYON,TETON RIVER,Fresh,,
3003,,,WOODS CREEK SPRINGS,TETON RIVER,Fresh,,
3004,,,SPRING SLOUGH,TETON RIVER,Fresh,,
3005,,,PARADISE SPRING,GROUND WATER,Fresh,,
3006,,,WIGGLETON SPRING,GROUND WATER,Fresh,,
3007,,,PARADISE SPRINGS,GROUND WATER,Fresh,,
3008,,,BUCKSKIN SPRING,SPRINGS,Fresh,,
3009,,,GRANDVIEW SPRING,WILLOW CREEK,Fresh,,
3010,,,IDAHO MINE SPRING,GRAYS LAKE,Fresh,,
3011,,,UPPER HENDERSON SPRING,HELL CREEK,Fresh,,
3012,,,WOODS HOLLOW SPRING,BADGER CREEK,Fresh,,
3013,,,CROOKED TRAIL SPRING,GRAYS LAKE,Fresh,,
3014,,,POWERLINE ROAD SPRING,GROUND WATER,Fresh,,
3015,,,HANDS SPRING,GROUND WATER,Fresh,,
3016,,,GROVE CREEK SPRING,GROUND WATER,Fresh,,
3017,,,PATTERSON CREEK SPRING,WILLOW CREEK,Fresh,,
3018,,,SMITH CANYON SPRING,SAND CREEK,Fresh,,
3019,,,UPPER DRY HOLLOW POND,GROUND WATER,Fresh,,
3020,,,PACKSADDLE SPRING,GROUND WATER,Fresh,,
3021,,,ALLEN SPRING,UNNAMED STREAMS,Fresh,,
3022,,,DICK SPRING,GRAVE CREEK,Fresh,,
3023,,,CHUCK SPRING,GROUND WATER,Fresh,,
3024,,,GRANDVIEW SPRING NO 2,GROUND WATER,Fresh,,
3025,,,SNOWSHOE SPRING,CALDWELL CANYON CREEK,Fresh,,
3026,,,CROOKED CREEK SPRING,GROUND WATER,Fresh,,
3027,,,LOWER CROOKED CREEK SPRING,SPRINGS,Fresh,,
3028,,,GRAHAM SPRING,GROUND WATER,Fresh,,
3029,,,LOST SPRING,SPRINGS,Fresh,,
3030,,,SPORI CANYON SPRING,GROUND WATER,Fresh,,
3031,,,EAST FARNES MOUNTAIN SPRING,TWENTYFOUR MILE CREEK,Fresh,,
3032,,,SOUTH MOODY SPRING,GROUND WATER,Fresh,,
3033,,,UPPER POLE CANYON SPRING,GROUND WATER,Fresh,,
3034,,,SQUIRREL MEADOW POND NO 8,BIRCH CREEK,Fresh,,
3035,,,SHERMAN SPRINGS,MARSH CREEK,Fresh,,
3036,,,PATTERSON CREEK SPRING NO 3,TOPONCE CREEK,Fresh,,
3037,,,PATTERSON CREEK SPRING NO 4,BIRCH CREEK,Fresh,,
3038,,,LOWER CROOKED CREEK TROUGH NO 1,BIRCH CREEK,Fresh,,
3039,,,HORSE CREEK SPRING,GROUND WATER,Fresh,,
3040,,,NORDELL SPRING,GROUND WATER,Fresh,,
3041,,,FINN SPRING,GROUND WATER,Fresh,,
3042,,,BUFFALO FLAT SPRINGS,GROUND WATER,Fresh,,
3043,,,LYONS CREEK,BIRCH CREEK,Fresh,,
3044,,,DRAIN,BIRCH CREEK,Fresh,,
3045,,,NORTH FORK BADGER CREEK,BIRCH CREEK,Fresh,,
3046,,,PAUL SPRING,BIRCH CREEK,Fresh,,
3047,,,CRANDALL SPRING,GROUND WATER,Fresh,,
3048,,,JUANITA CREEK,GROUND WATER,Fresh,,
3049,,,TONKS SPRINGS,GROUND WATER,Fresh,,
3050,,,MIKE HARRIS SPRING,GROUND WATER,Fresh,,
3051,,,PINE CREEK SPRING,TWENTYFOUR MILE CREEK,Fresh,,
3052,,,NELSON SPRING,TWENTYFOUR MILE CREEK,Fresh,,
3053,,,STALEY SPRING,GROUND WATER,Fresh,,
3054,,,BUTTERMILK DRAW CREEK,TWENTYFOUR MILE CREEK,Fresh,,
3055,,,RAMMELL HOLLOW CREEK,SNAKE RIVER,Fresh,,
3056,,,HORSEHOE CREEK,HOOLIE SPRINGS,Fresh,,
3057,,,NEVILLE SPRING,SPRING,Fresh,,
3058,,,CEDAR POINT DRAIN,BEAVER CREEK,Fresh,,
3059,,,BUSTER SPRING,RATTLESNAKE CREEK,Fresh,,
3060,,,SOUTH FORK TETON RIVER,GROUND WATER,Fresh,,
3061,,,PRICE SPRINGS,GROUND WATER,Fresh,,
3062,,,SPRING CANYON SPRINGS,GROUND WATER,Fresh,,
3063,,,HAWLEY WARM SPRING,GROUND WATER,Fresh,,
3064,,,BRANDYWINE SLOUGH,GROUND WATER,Fresh,,
3065,,,BLOWOUT SPRING,GROUND WATER,Fresh,,
3066,,,SPAULDING SPRING,GROUND WATER,Fresh,,
3067,,,BOOTH CANYON SPRING,GROUND WATER,Fresh,,
3068,,,LITTLE ELK CREEK SPRING,GROUND WATER,Fresh,,
3069,,,WHISKEY SPRING,RATTLESNAKE CREEK,Fresh,,
3070,,,BULL SPRING,GROUND WATER,Fresh,,
3071,,,SNOWSLIDE GULCH CREEK,WEST THREEMILE CREEK,Fresh,,
3072,,,DYNAMITE POND,GROUND WATER,Fresh,,
3073,,,TRIANGLE SPRING,GROUND WATER,Fresh,,
3074,,,NORTH PINE CREEK POND,GROUND WATER,Fresh,,
3075,,,CONNER SPRING,GROUND WATER,Fresh,,
3076,,,TABLE ROCK SPRING,SPRINGS,Fresh,,
3077,,,LUFKIN SPRING,GROUND WATER,Fresh,,
3078,,,UPPER WOOD CANYON SPRING,GROUND WATER,Fresh,,
3079,,,JENSEN CREEK SPRING NO 2,GROUND WATER,Fresh,,
3080,,,LOWER BEAVER SPRING,MEDICINE LODGE CREEK,Fresh,,
3081,,,WEST JENSEN SPRING,MEDICINE LODGE CREEK,Fresh,,
3082,,,LITTLE BOX CANYON SPRING,MEDICINE LODGE CREEK,Fresh,,
3083,,,BITTERS SPRING NO 3,MEDICINE LODGE CREEK,Fresh,,
3084,,,FOURTH OF JULY SPRING,MEDICINE LODGE CREEK,Fresh,,
3085,,,EDWARDS CREEK SPRING,MEDICINE LODGE CREEK,Fresh,,
3086,,,RED SPRING,SPRINGS,Fresh,,
3087,,,COYOTE HOLLOW SPRING,GROUND WATER,Fresh,,
3088,,,MUDDY CREEK SPRING,GROUND WATER,Fresh,,
3089,,,SEEP SPRING POND,GROUND WATER,Fresh,,
3090,,,PINE CREEK RIDGE SPRING,GROUND WATER,Fresh,,
3091,,,VAN RIDGE SPRING,GROUND WATER,Fresh,,
3092,,,VAN CREEK SPRING,GROUND WATER,Fresh,,
3093,,,CAMP CREEK SPRING,GROUND WATER,Fresh,,
3094,,,GOLDEN GATE SPRING,GROUND WATER,Fresh,,
3095,,,HUNTER SPRING,GROUND WATER,Fresh,,
3096,,,SULPHUR BAR SPRING,GROUND WATER,Fresh,,
3097,,,INDIAN CAMP HOLLOW SPRING,GROUND WATER,Fresh,,
3098,,,MC CABE SPRING,GROUND WATER,Fresh,,
3099,,,POINT LOOKOUT SPRING,MAHOGANY CREEK,Fresh,,
3100,,,LITTLE CURRANT HOLLOW SPRING,GROUND WATER,Fresh,,
3101,,,LOWER ECHO CANYON SPRING,GROUND WATER,Fresh,,
3102,,,MIDDLE ECHO CANYON POND,UNNAMED STREAM,Fresh,,
3103,,,LONG GULCH SPRING,ANTELOPE CREEK,Fresh,,
3104,,,FLATIRON POND NO 1,BIG LOST RIVER,Fresh,,
3105,,,UPPER INDIAN CREEK SPRING,BIG LOST RIVER,Fresh,,
3106,,,LOWER INDIAN CREEK SPRING,BIG LOST RIVER,Fresh,,
3107,,,BEAR HOLLOW SPRING,BIG LOST RIVER,Fresh,,
3108,,,CLARK SPRING,BIG LOST RIVER,Fresh,,
3109,,,DRY FARM SPRING,BIG LOST RIVER,Fresh,,
3110,,,ECHO CANYON SPRING,BIG LOST RIVER,Fresh,,
3111,,,COMMISSARY SPRING,BIG LOST RIVER,Fresh,,
3112,,,JOE SMITH SPRING,BIG LOST RIVER,Fresh,,
3113,,,BEAR SPRING,BIG LOST RIVER,Fresh,,
3114,,,PAPOOSE SPRING,BIG LOST RIVER,Fresh,,
3115,,,PORCUPINE SPRING,BIG LOST RIVER,Fresh,,
3116,,,LIGHTNING BASIN SPRING,BIG LOST RIVER,Fresh,,
3117,,,BLACKTAIL SPRING,BIG LOST RIVER,Fresh,,
3118,,,BATES SPRING,BIG LOST RIVER,Fresh,,
3119,,,HASKIN SPRING,BIG LOST RIVER,Fresh,,
3120,,,FALL CREEK SPRING,BIG LOST RIVER,Fresh,,
3121,,,GIBSON CREEK SPRING,BIG LOST RIVER,Fresh,,
3122,,,CALF HOLLOW SPRING,BIG LOST RIVER,Fresh,,
3123,,,KEY AREA CREEK SPRING,BIG LOST RIVER,Fresh,,
3124,,,MAHOGANY SPRING,BIG LOST RIVER,Fresh,,
3125,,,WILLOW LAKE,BIG LOST RIVER,Fresh,,
3126,,,INDIAN CREEK SPRING,ANTELOPE CREEK,Fresh,,
3127,,,BOX SPRING,ANTELOPE CREEK,Fresh,,
3128,,,GRAVEL FLAT SPRING,ANTELOPE CREEK,Fresh,,
3129,,,TAG ALDER SPRING,BIG LOST RIVER,Fresh,,
3130,,,STEVES LAKE,BIG LOST RIVER,Fresh,,
3131,,,ASHMENT LAKE,BIG LOST RIVER,Fresh,,
3132,,,JACK BRANCH LAKE,BIG LOST RIVER,Fresh,,
3133,,,PALISADES PASTURE SPRING,BIG LOST RIVER,Fresh,,
3134,,,UPPER CONANT VALLEY POND,BIG LOST RIVER,Fresh,,
3135,,,LOWER CONANT VALLEY POND,BIG LOST RIVER,Fresh,,
3136,,,SCHOOL HOUSE SPRING,BIG LOST RIVER,Fresh,,
3137,,,SQUAW CREEK SPRING,BIG LOST RIVER,Fresh,,
3138,,,JUNE CREEK RIDGE SPRING,BIG LOST RIVER,Fresh,,
3139,,,SHARP SPRING,BIG LOST RIVER,Fresh,,
3140,,,LITTLE LAKE,BIG LOST RIVER,Fresh,,
3141,,,DRY CANYON SPRING LAKE,BIG LOST RIVER,Fresh,,
3142,,,LDS CAMP SPRING,BIG LOST RIVER,Fresh,,
3143,,,BALD MOUNTAIN SPRING,BIG LOST RIVER,Fresh,,
3144,,,WATER CREST SPRING,BIG LOST RIVER,Fresh,,
3145,,,ROYAL PIT SPRING,ARCO CITY DRAIN,Fresh,,
3146,,,SPENCER MOUNTAIN SPRING,BIG LOST RIVER,Fresh,,
3147,,,BULL SPRING POND,BIG LOST RIVER,Fresh,,
3148,,,UPPER CEDAR SPRING,HOWELL SPRING,Fresh,,
3149,,,EAST OPEN CANYON SPRING,BIG LOST RIVER,Fresh,,
3150,,,UPPER GRAVEL PIT SPRING,BIG LOST RIVER,Fresh,,
3151,,,DORA SPRING,ANTELOPE CREEK,Fresh,,
3152,,,WEST DORA SPRING,ANTELOPE CREEK,Fresh,,
3153,,,KELLY SKIHILL SPRING,THOUSAND SPRINGS CREEK,Fresh,,
3154,,,FALL CREEK POND NO 84,GROUND WATER,Fresh,,
3155,,,CAMP CREEK POND NO 83,ANTELOPE CREEK,Fresh,,
3156,,,GIBSON CREEK POND NO 93,ANTELOPE CREEK,Fresh,,
3157,,,FALL CREEK POND NO 89,ANTELOPE CREEK,Fresh,,
3158,,,EAST GIBSON RIDGE SPRING,ANTELOPE CREEK,Fresh,,
3159,,,LOWER HASKIN POND,PARSONS CREEK,Fresh,,
3160,,,FALL CREEK POND NO 77,PARSONS CREEK,Fresh,,
3161,,,FALL CREEK POND NO 78,PARSONS CREEK,Fresh,,
3162,,,FALL CREEK POND NO 79,BIG LOST RIVER,Fresh,,
3163,,,FALL CREEK POND NO 80,ANTELOPE CREEK,Fresh,,
3164,,,FALL CREEK POND NO 88,BIG LOST RIVER,Fresh,,
3165,,,FALL CREEK POND NO 82,BIG LOST RIVER,Fresh,,
3166,,,FALL CREEK POND NO 90,BIG LOST RIVER,Fresh,,
3167,,,JUNE CREEK RIDGE POND NO 95,ANTELOPE CREEK,Fresh,,
3168,,,JUNE CREEK RIDGE POND NO 96,ANTELOPE CREEK,Fresh,,
3169,,,GIBSON CREEK POND NO 99,ANTELOPE CREEK,Fresh,,
3170,,,GIBSON CREEK POND NO 100,POLE STACKYARD CREEK,Fresh,,
3171,,,GIBSON CREEK POND NO 101,GROUND WATER,Fresh,,
3172,,,COOKE PAYNE POND NO 1,GROUND WATER,Fresh,,
3173,,,COOKE PAYNE POND NO 2,GROUND WATER,Fresh,,
3174,,,COOKE PAYNE POND NO 3,GROUND WATER,Fresh,,
3175,,,HASKIN WILLOW POND,GROUND WATER,Fresh,,
3176,,,CORNER CAMP CREEK SPRING,GROUND WATER,Fresh,,
3177,,,FALL CREEK POND NO 87,GROUND WATER,Fresh,,
3178,,,HOLDING GROUND SPRING,GROUND WATER,Fresh,,
3179,,,HIDDEN POND,GROUND WATER,Fresh,,
3180,,,FALL CREEK POND NO 86,GROUND WATER,Fresh,,
3181,,,EAST PAPOOSE POND,GROUND WATER,Fresh,,
3182,,,WEST PAPOOSE POND,GROUND WATER,Fresh,,
3183,,,PHOSPHATE CANYON SPRING,GROUND WATER,Fresh,,
3184,,,JUNE CREEK POND,GROUND WATER,Fresh,,
3185,,,NELSON RIDGE POND,GROUND WATER,Fresh,,
3186,,,STINKING SPRING,GROUND WATER,Fresh,,
3187,,,JACK BRANCH SPRING,GROUND WATER,Fresh,,
3188,,,GUARD STATION SPRING,GROUND WATER,Fresh,,
3189,,,OVERALL SPRING,GROUND WATER,Fresh,,
3190,,,SKUNK CANYON SPRING,GROUND WATER,Fresh,,
3191,,,SHEEP CREEK SPRING NO 1,GROUND WATER,Fresh,,
3192,,,ARVEY SPRING,GROUND WATER,Fresh,,
3193,,,WHITE SPRING,GROUND WATER,Fresh,,
3194,,,WOODS CANYON SPRING,GROUND WATER,Fresh,,
3195,,,LITTLE SHEEP SPRING,GROUND WATER,Fresh,,
3196,,,YEAMEN CREEK,GROUND WATER,Fresh,,
3197,,,ROYAL RIDGE SPRING,GROUND WATER,Fresh,,
3198,,,PIFER SPRING,GROUND WATER,Fresh,,
3199,,,LAKE CREEK SPRING,GROUND WATER,Fresh,,
3200,,,BURTON SPRING,GROUND WATER,Fresh,,
3201,,,SPRING ,GROUND WATER,Fresh,,
3202,,,CLIFF SPRING,GROUND WATER,Fresh,,
3203,,,UPPER ELK CREEK SPRING,GROUND WATER,Fresh,,
3204,,,ELK CREEK SPRING,GROUND WATER,Fresh,,
3205,,,UPPER JACK BRANCH SPRING,GROUND WATER,Fresh,,
3206,,,LOWER JACK BRANCH SPRING,GROUND WATER,Fresh,,
3207,,,HINCKS SPRING,GROUND WATER,Fresh,,
3208,,,HOFFMAN SPRING,GROUND WATER,Fresh,,
3209,,,CRYSTAL SPRING,GROUND WATER,Fresh,,
3210,,,SHEEP SPRING,GROUND WATER,Fresh,,
3211,,,GOPHER CANYON SPRING,GROUND WATER,Fresh,,
3212,,,HINCKS SPRINGS,GROUND WATER,Fresh,,
3213,,,BRANDYWINE CHANNEL,GROUND WATER,Fresh,,
3214,,,JIM HILL SPRING,GROUND WATER,Fresh,,
3215,,,LITTLE SHEEP CREEK SPRING,GROUND WATER,Fresh,,
3216,,,LAKE CANYON SPRING,GROUND WATER,Fresh,,
3217,,,DRY CANYON SPRING,GROUND WATER,Fresh,,
3218,,,GOLDEN SPRING,GROUND WATER,Fresh,,
3219,,,SAGE SPRING,GROUND WATER,Fresh,,
3220,,,BECHLER SPRING,MARKET LAKE SLOUGH CREEK,Fresh,,
