,WaterSourceUUID,WaterSourceNativeID,WaterSourceName,WaterSourceTypeCV,WaterQualityIndicatorCV,GNISFeatureNameCV,Geometry
135,,,HENRYS FORK,GROUND WATER,Fresh,,
136,,,HARDMANS HOLLOW CREEK,GROUND WATER,Fresh,,
137,,,GREYS LAKE OUTLET,GROUND WATER,Fresh,,
138,,,GRAYS LAKE OUTLET,GROUND WATER,Fresh,,
139,,,MARSH CREEK,GROUND WATER,Fresh,,
140,,,GARDEN CREEK,GROUND WATER,Fresh,,
141,,,FLAT CREEK,GROUND WATER,Fresh,,
142,,,WARM SPRINGS CREEK,GROUND WATER,Fresh,,
143,,,DRY FORK CREEK,GROUND WATER,Fresh,,
144,,,WEST FORK FISH CREEK,GROUND WATER,Fresh,,
145,,,PARKS CREEK,GROUND WATER,Fresh,,
146,,,COLD CREEK,GROUND WATER,Fresh,,
147,,,LANGFORD FLAT CREEK,GROUND WATER,Fresh,,
148,,,BATTLE CREEK,GROUND WATER,Fresh,,
149,,,JUNIPER CREEK,GROUND WATER,Fresh,,
150,,,BATTLE CREEK LAKES,GROUND WATER,Fresh,,
151,,,MUD FLAT LAKE,GROUND WATER,Fresh,,
152,,,LANGFORD SPRINGS,GROUND WATER,Fresh,,
153,,,WILDHORSE RIVER,GROUND WATER,Fresh,,
154,,,GOAT CREEK,TETON RIVER,Fresh,,
155,,,KELLY CREEK,GROUND WATER,Fresh,,
156,,,BIG CREEK,GROUND WATER,Fresh,,
157,,,AGENCY CREEK,GROUND WATER,Fresh,,
158,,,FERRY CREEK,GROUND WATER,Fresh,,
159,,,DUTCH OVEN CREEK,GROUND WATER,Fresh,,
160,,,AMERICAN RIVER,GROUND WATER,Fresh,,
161,,,WEBB CREEK,GROUND WATER,Fresh,,
162,,,ROSE CREEK,GROUND WATER,Fresh,,
163,,,EIGHTMILE CREEK,GROUND WATER,Fresh,,
164,,,NORTH CANYON SPRINGS,GROUND WATER,Fresh,,
165,,,NORTH LEIGH CREEK,GROUND WATER,Fresh,,
166,,,ROSS FORK CREEK,GROUND WATER,Fresh,,
167,,,REESE CREEK,GROUND WATER,Fresh,,
168,,,WEBBER CREEK,GROUND WATER,Fresh,,
169,,,WEST FORK CORRAL CREEK,GROUND WATER,Fresh,,
170,,,FISH CREEK,GROUND WATER,Fresh,,
171,,,COMBINATION CREEK,GROUND WATER,Fresh,,
172,,,PLAYA,GROUND WATER,Fresh,,
173,,,BOWNS CREEK,GROUND WATER,Fresh,,
174,,,LITTLE SMOKY CREEK,GROUND WATER,Fresh,,
175,,,LITTLE WILLOW CREEK,GROUND WATER,Fresh,,
176,,,LITTLE ROCK CREEK,GROUND WATER,Fresh,,
177,,,LONG GULCH CREEK,GROUND WATER,Fresh,,
178,,,STANLEY CREEK,GROUND WATER,Fresh,,
179,,,BIG HAZARD LAKE,GROUND WATER,Fresh,,
180,,,HANGMAN CREEK,GROUND WATER,Fresh,,
181,,,DAVIS CREEK,GROUND WATER,Fresh,,
182,,,TEX CREEK,GROUND WATER,Fresh,,
183,,,HENRY CREEK,GROUND WATER,Fresh,,
184,,,BANNOCK CREEK,GROUND WATER,Fresh,,
185,,,MILL CREEK,GROUND WATER,Fresh,,
186,,,TWO AND A HALF MILE CREEK,GROUND WATER,Fresh,,
187,,,EAST CAMAS CREEK,GROUND WATER,Fresh,,
188,,,SAW CREEK,GROUND WATER,Fresh,,
189,,,ROCK LAKES,GROUND WATER,Fresh,,
190,,,DRY CREEK,GROUND WATER,Fresh,,
191,,,WEST CAMAS CREEK,GROUND WATER,Fresh,,
192,,,MEDICINE LODGE CREEK,GROUND WATER,Fresh,,
